ELM,Naive,CM,EM,PD1_Low
ELM_14_3_3,0.3593177542825692,-5.266606425899963,0.4479731859206173,-2.2404152670575956
MAPK,-4.8826529731036405,1.4797809153385484,-2.8821152427084797,3.7263232611576584
SH2,-4.695766268006781,-2.8966705225342566,-1.0431097796338262,2.0893889486209583
LIR,-1.84667150158635,-0.8286730528918664,-4.691013848188695,-1.854000481445818
PDZ,0.3464982594793812,-4.634896059408526,2.122950358553594,-1.0692677454306163
FHA,0.36126788837877516,-3.795425546471678,-0.3949209381605407,-0.847229708603101
WD40,-2.0480493500081125,-3.5852446858431035,-1.9169477449858616,0.9653755417438952
SH3,2.8342736615117596,-3.210807116779388,-0.9243665530115458,-1.0344648231943163
USP7,1.7786129310148318,-2.746174971600028,-1.8127328663905755,-1.5072569911000033
CYCLIN,-1.8334244658132306,2.4631586887776833,-1.1200264660020995,-0.008870694219319207
BIR,-1.1273564998151235,2.3029509944180107,-1.2044977458298265,1.2367291811923755
SUMO,0.322046643566396,0.36144091542192724,-1.692329464486094,-1.1152267070843447
TYR,-1.5712695308195666,0.40370938182286464,0.27161875306016214,0.3376773166800088
BRCT,1.5303322363734622,-0.2872624678860178,0.2721939886575242,-1.0740897521178123
Arc,-1.4476430875534225,-0.36685451628638815,-0.49508284200632835,0.5051263911281567
Pex14,1.322359601784724,-0.784456084706539,-0.7930844754218482,-0.09344955967806293
WRC,-0.017547482795104066,-1.279497381673789,0.7418032779428518,0.07124878299344803
UBA3,-1.110418698253826,-0.4004154084171764,-0.26810884177705924,0.5313583341110721
PP1,1.0802328077303451,0.09389650117656405,-1.026850988329862,-0.5253957310403936
TRAF4,0.7931518166368419,-0.3026824276892556,-0.4397083470753425,-0.9642675676552448
WW,0.8188930022078525,-0.949730262822929,0.4851517039756135,-0.21348220006331362
PP2A,-0.6776948457940011,-0.5245918157048608,0.8395200914777086,0.7995155860990943
NRP,-0.22169045117896638,-0.23720198818604604,0.13667476773196563,0.6723832519838371
MYND,0.46940284383492253,-0.026323800216049402,-0.32111575964719963,-0.6525337075446092
REV1ctd,-0.6171995552029265,-0.19837103575637346,0.6503569440802239,0.1839082394355564
TRAF6,-0.2835908952467496,-0.6013952708013277,0.2571769389550107,0.4632121936210782
PP2B,-0.5742276474314967,0.5253989044334784,0.04245475937828418,0.535687511993922
TRAF2like,0.18984335211819567,-0.3147654861419102,-0.530408055315382,-0.21084710177449767
Actin,0.484908534434503,0.24388111159608816,-0.22235417440491287,-0.3920673071698822
IRF7,0.37242587760162194,-0.1609224006648934,-0.18424915019550364,-0.46705418534693643
MSH2,-0.39899285623125325,-0.44310775516125106,-0.2212210071059087,0.04702066189947765
PCNA,-0.26125614402609243,0.24484501149043722,-0.3772124346612299,0.14535233088437927
eIF4E,0.12092830197297656,-0.371451310294988,0.020210606899156543,0.04530878105385483
CKS1,-0.14441269814268512,0.363196452938816,-0.34943286597489975,0.19849206422896135
PTB,-0.27339378195487024,-0.34534712141110835,-0.016786468066051087,0.26907381389810175
PP4,-0.2795758299578313,-0.03255321629074232,-0.3399206978225853,0.09718927012553212
deltaCOP1,-0.08071096710547111,0.31402830859483943,-0.09967897054974703,-8.98437818103776e-05
DLG,0.1277371543863543,-0.3052244755296838,0.11904014930326001,-0.016852166479579073
ANK,-0.28336497919694864,-0.007244153006428479,-0.03473688984669786,0.05820718799252167
APCC,0.04468449732020037,-0.0024390631188645684,-0.28041048258073814,-0.02064625881748313
EVH1,0.17377277806439528,-0.27501649665330746,-0.06493289478300943,0.13180970382014334
NRBOX,0.04588296777741232,-0.13577831308886743,-0.25363327944185854,0.245762718901993
Clathr,-0.1354871253927386,0.2515243349259389,-0.10808443013084318,0.0699544006460149
Integrin,-0.00837016582673357,-0.19580155032291835,0.03515415508110466,-0.06487685802021427
CSL,-0.16943139331790716,7.378987680682694e-08,-0.07713230760388398,1.358103838515715e-07
CDC14,-0.07480253224674391,0.07371743671868888,-0.1284254165570649,0.09165396486315125
TRFH,0.10877738588773431,-0.12597613357646606,0.0048319354155476795,0.0947582585157807
GBD,0.08732637745031459,-0.026734379245647952,1.3983341342314141e-05,0.017902054168652055
LYPXL,0.03313230143162405,0.056566854756181624,-0.07217115925776298,0.02921798574024124
