motif,log2FC,pvalue,z,qvalue,-log10p
ELM_14_3_3,0.09344245473570077,3.2294157019663317e-05,4.156654666351823,0.0007912068469817513,4.490876047441833
ANK,-0.0012852430498454174,0.9858315486646703,-0.01775845371053738,0.9999998793777514,0.006197287630129582
APCC,-0.01162965158350274,0.8325747058287332,-0.2114005779068688,0.9999998793777514,0.07957678740296638
Actin,-0.024146581083320424,0.745378312833149,-0.3247393995071895,0.9999998793777514,0.12762324742053427
Arc,-0.0029672954726042183,0.9348873657266936,-0.08169737512967913,0.9999998793777514,0.029240709330640876
BIR,-0.07913485616443912,0.013454267781862761,-2.4715129511220417,0.09772600803696285,1.8711399327534088
BRCT,0.017115945144314134,0.6923036769880118,0.3957307381519548,0.9999998793777514,0.159703361742077
CDC14,-0.014098236440962256,0.8872882041912868,-0.14173642271542644,0.9999998793777514,0.05193529205108677
CKS1,-0.030243840950037737,0.6146268257000451,-0.503480017935739,0.9999998793777514,0.21138848866268897
CSL,-0.01090515648166365,0.9999998793777514,-1.511775693765105e-07,0.9999998793777514,5.238558013587659e-08
CYCLIN,-0.08881501165690911,0.012522215497889677,-2.4970758890025264,0.09772600803696285,1.902318826605922
Clathr,-0.02183261814883233,0.7895700687939105,-0.26686894401052835,0.9999998793777514,0.10260932336276371
DLG,0.026159207598776654,0.7719675510168078,0.28980221789211746,0.9999998793777514,0.11240095447063789
EVH1,0.011332768535157947,0.8819075144726185,0.1485515394985826,0.9999998793777514,0.054576956886574025
FHA,0.05526058277798666,0.013960858290994693,2.458268937277824,0.09772600803696285,1.855087881169551
GBD,0.0022351414999677763,0.9834712443923743,0.020717204959505804,0.9999998793777514,0.00723833384763108
IRF7,-0.001626959652280366,0.9803535784504984,-0.024625626567433834,0.9999998793777514,0.00861726157755223
Integrin,0.01138131695790231,0.8938472068413446,0.1334377314287473,0.9999998793777514,0.048736712632343374
LIR,-0.05884315580655862,0.0069840391814643965,-2.697604351418176,0.08555447997293886,2.1558933328411394
LYPXL,-0.00826725437675749,0.9270254118440828,-0.09158796745719008,0.9999998793777514,0.03290836070728829
MAPK,-0.0816762691297927,0.0020360861919515028,-3.0849175043378096,0.03325607446854121,2.6912038413172987
MSH2,0.010451869038929095,0.8670728399732937,0.16737773876136577,0.9999998793777514,0.06194441732230012
MYND,-0.01407352015386976,0.845818398033291,-0.1944565708617297,0.9999998793777514,0.07272287241986392
NRBOX,-0.004380702691161467,0.9393725937482869,-0.07605845338547909,0.9999998793777514,0.027162114535475203
NRP,0.015113783593794738,0.7930069807309907,0.26240790256461743,0.9999998793777514,0.10072298963119178
PCNA,-0.024658760178579108,0.6600377560386785,-0.4398610384614293,0.9999998793777514,0.1804312208668233
PDZ,0.14685055265245298,1.2125573418675373e-06,4.853574541424722,5.9415309751509326e-05,5.916297714442972
PP1,-0.03440120875353574,0.4364102379200334,-0.7782693544312121,0.9999998793777514,0.36010506967851047
PP2A,0.05217101498277308,0.33826316577453075,0.9576026432813161,0.9999998793777514,0.47074529092559864
PP2B,-0.02899888429908484,0.7038552313191069,-0.3801214939673423,0.9999998793777514,0.1525166571996355
PP4,-0.010380525578363395,0.8374687267520287,-0.20513234414399523,0.9999998793777514,0.07703140166736998
PTB,0.013829637852543606,0.8015115798071673,0.25139131755397504,0.9999998793777514,0.09609019881198784
Pex14,0.00035829380745327864,0.9922824242445294,0.00967269762935633,0.9999998793777514,0.0033647009968562737
REV1ctd,0.038923686884239826,0.5557619333989123,0.589148093805239,0.9999998793777514,0.25511120329625614
SH2,0.02830233223361085,0.1796226761870261,1.3419177180144402,0.8001373757422072,0.7456388373722885
SH3,0.04997114424230311,0.09781692502917694,1.6555305485410388,0.5991286658037087,1.009585993772462
SUMO,-0.055101748217522645,0.1579522410259755,-1.4119922571896228,0.77396598102728,0.8014742079461663
TRAF2like,-0.006819451383299417,0.9096136766768692,-0.11352584185479281,0.9999998793777514,0.04114301835039965
TRAF4,-0.006184372048126033,0.922812196300417,-0.09689195679622327,0.9999998793777514,0.034886674282101224
TRAF6,0.037844223867541424,0.5588025103446501,0.5846211096766359,0.9999998793777514,0.2527416515442903
TRFH,0.007729813604066904,0.9263045470256892,0.09249527261817068,0.9999998793777514,0.033246204087109515
TYR,-0.0046929622696653284,0.9180137790121166,-0.1029359830741595,0.9999998793777514,0.0371508001669294
UBA3,0.004225897795973422,0.9186352016026471,0.10215303966666466,0.9999998793777514,0.03685691667025214
USP7,0.014967225516972351,0.4794536083770726,0.7071816372469029,0.9999998793777514,0.31925340851531575
WD40,0.023920157293810657,0.22502563847408896,1.2132725387751602,0.9188546904358632,0.6477679973842833
WRC,0.07710095968280435,0.1529250927039325,1.4292754032317685,0.77396598102728,0.81552124755866
WW,0.02949692973264573,0.3062107739051858,1.023205328868089,0.9999998793777514,0.5139795328890493
deltaCOP1,-0.023933899808015725,0.764841753805565,-0.29912882452305783,0.9999998793777514,0.11642841132769262
eIF4E,0.021127845353383468,0.7818209581293636,0.27694679758050367,0.9999998793777514,0.10689269169612942
