motif,log2FC,pvalue,z,qvalue,-log10p
ELM_14_3_3,0.0594272598539996,0.9619692116589886,0.04768258727369358,0.9997132033051916,0.016838827567781874
ANK,-0.004364772019607022,0.9972127018138838,-0.003493367326845516,0.9997132033051916,0.0012121983867277497
APCC,0.0025541435746563364,0.9983688799202349,0.0020443072795534195,0.9997132033051916,0.0007089648106476573
Actin,0.0008104196238459158,0.9994824567382021,0.0006486443321686953,0.9997132033051916,0.00022482436593244877
Arc,-0.010179303120379865,0.9935004529418366,-0.008146064306496325,0.9997132033051916,0.002831930557089611
BIR,-0.03542082280020165,0.9774204214366864,-0.028303083340024238,0.9997132033051916,0.009918591413213489
BRCT,0.030489873741507564,0.9805363022643592,0.024396547423515033,0.9997132033051916,0.00853632287203675
CDC14,-0.006264023415938606,0.9959999255490372,-0.005013370860543502,0.9997132033051916,0.001740694039798802
CKS1,-0.007520021160397203,0.9951981094370504,-0.006018313658842241,0.9997132033051916,0.0020904576751983985
CSL,-0.005415759413497244,0.9965415752387649,-0.004334506218803178,0.9997132033051916,0.0015045780270837054
CYCLIN,-0.05792235594387705,0.96315662502646,-0.04619274491067038,0.9997132033051916,0.016303083743871852
Clathr,-0.011435515952919558,0.9926983015587627,-0.009151449618717573,0.9997132033051916,0.0031827211690270926
DLG,0.011127998925945714,0.9928943186025883,0.008905768672685081,0.9997132033051916,0.003096974354796841
EVH1,0.010778528321308538,0.9931174461267221,0.008626109046800815,0.9997132033051916,0.0029993887768856157
FHA,0.054805524198266634,0.9649124925236743,0.04398985255891285,0.9997132033051916,0.015512070839963754
GBD,0.002666584709731095,0.9982971030350222,0.0021342664608943744,0.9997132033051916,0.0007401891671055107
IRF7,0.014295801371709953,0.9908722005187725,0.011440249676173525,0.9997132033051916,0.003982355795861493
Integrin,0.006839293856853531,0.9956325015029218,0.005473874946868596,0.9997132033051916,0.0019009346900205324
LIR,0.008450866463136593,0.9945936785762696,0.006775870920322083,0.9997132033051916,0.0023543053774398876
LYPXL,-0.002546606089762618,0.9983737253964203,-0.002038234363095981,0.9997132033051916,0.0007068570141155316
MAPK,-0.04463205976279595,0.9715810551262667,-0.03562539971954441,0.9997132033051916,0.012520962099037346
MSH2,0.004387450460737614,0.9971981104102913,0.003511655051424263,0.9997132033051916,0.0012185531116667833
MYND,0.010903609533454353,0.993037454166312,0.008726367875223058,0.9997132033051916,0.0030343710101610063
NRBOX,-0.0005799665288980029,0.999629627389826,-0.00046419324507595135,0.9997132033051916,0.0001608805755654531
NRP,-0.0015648119840198451,0.9990006998441555,-0.0012524373401701326,0.9997132033051916,0.0004342075314266289
PCNA,-0.01571613686432619,0.9899664914967787,-0.012575469498657463,0.9997132033051916,0.004379505204805044
PDZ,0.07005305132464648,0.9553312358062981,0.05601327002657705,0.9997132033051916,0.01984602219506086
PP1,0.004748849525522476,0.9969671806427008,0.0038010845295731875,0.9997132033051916,0.0013191380778879906
PP2A,0.0034893925507658596,0.9977715656859932,0.0027929318608489076,0.9997132033051916,0.0009688766662558933
PP2B,-0.017845957832656648,0.9886078038724377,-0.014278485618311043,0.9997132033051916,0.00497596562786148
PP4,-0.003198206487925762,0.9979576177456261,-0.0025597493485878683,0.9997132033051916,0.0008879023699934886
PTB,0.005132107371845071,0.9967224884671757,0.004107763091479729,0.9997132033051916,0.0014257428958549783
Pex14,0.030458345582484538,0.9805519931774761,0.024376875931714198,0.9997132033051916,0.00852937318292924
REV1ctd,-0.010114512521829329,0.9935417131970282,-0.008094350540432744,0.9997132033051916,0.0028138946024837586
SH2,-0.0004484161412567614,0.9997132033051916,-0.00035944635987890855,0.9997132033051916,0.00012457208626864808
SH3,0.05968644270756946,0.9619141854089673,0.04775163100967391,0.9997132033051916,0.016863670650046646
SUMO,0.0008496735295822262,0.9994573398029888,0.0006801237491065721,0.9997132033051916,0.00023573829779265283
TRAF2like,0.011866440581227945,0.9924223546182559,0.009497312857181998,0.9997132033051916,0.0033034616730958943
TRAF4,0.01279688209852355,0.9918288089121035,0.010241248328777723,0.9997132033051916,0.0035632812336086686
TRAF6,0.007566692846892781,0.9951678971225513,0.0060561798698014375,0.9997132033051916,0.0021036422266128454
TRFH,0.007497211779315479,0.9952124281292902,0.006000367515395814,0.9997132033051916,0.0020842091863459253
TYR,-0.022554327396114637,0.9856063287680873,-0.018040770214798812,0.9997132033051916,0.006296516482173041
UBA3,-0.01747049695604536,0.9888478258944752,-0.013977632599748241,0.9997132033051916,0.004870536976367211
USP7,0.04229669816113122,0.9729039105189515,0.03396644217180779,0.9997132033051916,0.011930050987682501
WD40,0.042112676805663385,0.9729886929871522,0.03386012198334825,0.9997132033051916,0.011892206598882588
WRC,0.025347133713365277,0.983820313654095,0.020279619591673195,0.9997132033051916,0.007084214489838673
WW,0.02735578829843423,0.9825145306214408,0.02191654038930191,0.9997132033051916,0.007661018029333717
deltaCOP1,-0.010443798243743613,0.9933313635690615,-0.008357993623906509,0.9997132033051916,0.0029058518433421974
eIF4E,0.010021819014824941,0.9936005156959044,0.008020650144867058,0.9997132033051916,0.002788191761066406
