motif,log2FC,pvalue,z,qvalue,-log10p
ELM_14_3_3,-0.003055895546278371,0.8698397314826669,-0.16386206453571936,0.9920325161328057,0.060560759041809686
ANK,-0.007991608027601913,0.8924234699899252,-0.13523829522637915,0.9920325161328057,0.049429016656822186
APCC,0.012897808879248702,0.7941889192703755,0.26087498091964567,0.9920325161328057,0.10007617661902889
Actin,0.029683267949674266,0.6635489041529645,0.4350186308894216,0.9920325161328057,0.17812706372479675
Arc,-0.01119939204184741,0.7102648851968631,-0.3715003635805969,0.9920325161328057,0.148579655892785
BIR,0.009762203935166245,0.7255341111042304,0.35107229632547426,0.9920325161328057,0.13934216432054455
BRCT,0.02393004775684616,0.508424899367943,0.6612922675318316,0.9920325161328057,0.2937731886583429
CDC14,0.004342750646517797,0.9616279888556596,0.04811073746638032,0.9920325161328057,0.016992904712518894
CKS1,0.010367856720697436,0.8232057511821993,0.2234237120318611,0.9920325161328057,0.08449160411300849
CSL,-0.00019818908182084948,0.9980236487228185,-0.002476991528915816,0.9980236487228185,0.0008591677425482828
CYCLIN,-0.003481335089755824,0.9121826955675523,-0.11028582894600131,0.9920325161328057,0.039918170738806956
Clathr,-0.0027913399336662497,0.9708124908965856,-0.03658928029135942,0.9920325161328057,0.01286464448208623
DLG,-0.0037646032649223454,0.9606428009796484,-0.04934695426547072,0.9920325161328057,0.017438067483460575
EVH1,0.009431393012283329,0.8825292033445189,0.14776376924982426,0.9920325161328057,0.05427091467494511
FHA,0.009935536070335585,0.5967013672578065,0.5291500452029259,0.9920325161328057,0.22424296702964017
GBD,0.0036479708277324693,0.9636348173509754,0.04559278823539491,0.9920325161328057,0.016087516778478726
IRF7,0.024451630738845084,0.7016536020694177,0.38308923375062454,0.9920325161328057,0.15387724091659702
Integrin,-0.002829799346487224,0.9717869545790749,-0.03536718039854696,0.9920325161328057,0.012428935271313992
LIR,0.052442880876253734,0.004628476542974491,2.831813989328634,0.22679535060575007,2.33456193292477
LYPXL,0.006308991462156755,0.9371514948803723,0.07885055152478383,0.9920325161328057,0.02819019772226173
MAPK,-0.006173279143977146,0.7830655337127783,-0.2753263348731902,0.9920325161328057,0.10620189089368322
MSH2,-0.002241947735600915,0.9658079794362162,-0.04286646723686151,0.9920325161328057,0.015109210811007023
MYND,0.031508261914202626,0.593895295129993,0.5331997780804162,0.9920325161328057,0.22629011521325562
NRBOX,0.011409863782691945,0.8174862217123038,0.23077935364622193,0.9920325161328057,0.0875195584043655
NRP,-0.011569578513488426,0.8149773767337616,-0.23400979206713496,0.9920325161328057,0.08885444683800973
PCNA,0.0072337682144670784,0.8836747913048713,0.1463123824049223,0.9920325161328057,0.05370753399978785
PDZ,-0.03850413287584562,0.11917553885878784,-1.558243491188147,0.9906130033067919,0.9238128757099701
PP1,0.05397333522253763,0.14505351470866001,1.457227779825435,0.9920325161328057,0.8384717435929027
PP2A,-0.04928536403779868,0.28159975015155725,-1.0767325859592691,0.9920325161328057,0.5503677348560907
PP2B,-0.019014758803534888,0.7368059030420397,-0.33608614899811046,0.9920325161328057,0.1326469033753841
PP4,0.004852519693142391,0.9075487943820859,0.11613090687364072,0.9920325161328057,0.04213001581118127
PTB,-0.0066243432943772045,0.8816190639446619,-0.14891707956591604,0.9920325161328057,0.05471902729849058
Pex14,0.04303467125070902,0.16433271051749365,1.390646295011894,0.9920325161328057,0.784275981401834
REV1ctd,-0.04758849236775219,0.37767851485027526,-0.8821817769575783,0.9920325161328057,0.4228777203548104
SH2,-0.03152316501045547,0.0767253026162773,-1.7700110340803472,0.939884957049397,1.1150613899691906
SH3,0.05788868127230594,0.020807274453245483,2.3114633650954985,0.33985214940300956,1.681784804336095
SUMO,0.051066902361245003,0.12129955142532145,1.549341904175961,0.9906130033067919,0.9161408051834504
TRAF2like,0.02663490551182814,0.590076172548404,0.538725649623634,0.9920325161328057,0.22909192194746655
TRAF4,0.04080599783961809,0.43526230892936946,0.7802184420639874,0.9920325161328057,0.3612489384771076
TRAF6,-0.021094064010519702,0.714187132760155,-0.36623847756010375,0.9920325161328057,0.14618797859241314
TRFH,0.004259720928454751,0.9530656936278414,0.05885739427796893,0.9920325161328057,0.02087716295373716
TYR,-0.04140714450477048,0.27422725070585985,-1.0933794083367427,0.9920325161328057,0.561889390381175
UBA3,-0.014174119617069379,0.6839643187134787,-0.40705945843152963,0.9920325161328057,0.16496655411327785
USP7,0.04400736787455171,0.012692882878936773,2.4922719005824465,0.31097563053395094,1.896439727296884
WD40,0.0078172606859086,0.6368216300287157,0.47214733183724805,0.9920325161328057,0.19598219394724073
WRC,-0.028718840513678828,0.5245693571822343,-0.6363177206134746,0.9920325161328057,0.2801970823986445
WW,0.001485717435892043,0.9506656150946831,0.06187093318496604,0.9920325161328057,0.021972213931309652
deltaCOP1,0.0029923731979838324,0.9611966720157488,0.04865194601365821,0.9920325161328057,0.017187741538235587
eIF4E,0.0030354968275430683,0.9620686519790598,0.04755781592384913,0.9920325161328057,0.0167939361619107
