motif,log2FC,pvalue,z,qvalue,-log10p
ELM_14_3_3,-0.037130664633272484,0.025063976049548575,-2.2404152670575956,0.598987845459341,1.6009500331261064
ANK,0.0031048495749628952,0.9535835952419234,0.05820718799252167,0.9999998916389916,0.020641228825725957
APCC,-0.0008400380477070545,0.983527839118691,-0.02064625881748313,0.9999998916389916,0.007213342704974242
Actin,-0.02138341933545551,0.6950084827156544,-0.3920673071698822,0.9999998916389916,0.15800989472770163
Arc,0.013418568039963946,0.6134700662647403,0.5051263911281567,0.9999998916389916,0.21220662343934704
BIR,0.029435753956699392,0.21618764132707646,1.2367291811923755,0.9999998916389916,0.6651691367326907
BRCT,-0.034394630594740065,0.2827824571385269,-1.0740897521178123,0.9999998916389916,0.5485475361914427
CDC14,0.007069403613620599,0.9269729740871455,0.09165396486315125,0.9999998916389916,0.03293292753394805
CKS1,0.008565978876776128,0.8426600930612003,0.19849206422896135,0.9999998916389916,0.07434757303461058
CSL,0.006531098909467704,0.9999998916389916,1.358103838515715e-07,0.9999998916389916,4.70605905463699e-08
CYCLIN,-0.00023525504043568287,0.9929223028619967,-0.008870694219319207,0.9999998916389916,0.003084734141566007
Clathr,0.004706539057095283,0.944229953688102,0.0699544006460149,0.9999998916389916,0.024922226616989958
DLG,-0.0010841349237951316,0.9865545529606525,-0.016852166479579073,0.9999998916389916,0.00587889480638937
EVH1,0.007343542452833908,0.8951348109864177,0.13180970382014334,0.9999998916389916,0.048111553222054564
FHA,-0.014000813779876208,0.3968670973622537,-0.847229708603101,0.9999998916389916,0.4013549051904339
GBD,0.0013808114752052775,0.9857169902878447,0.017902054168652055,0.9999998916389916,0.006247757674345265
IRF7,-0.024340501412796377,0.6404611113567271,-0.46705418534693643,0.9999998916389916,0.1935072353742886
Integrin,-0.003973209019341218,0.9482720463922933,-0.06487685802021427,0.9999998916389916,0.023067051588295823
LIR,-0.029893216360419528,0.06373909111522691,-1.854000481445818,0.7808038661615296,1.1955941336212428
LYPXL,0.0019375027881700657,0.9766907368107789,0.02921798574024124,0.9999998916389916,0.010242931223620556
MAPK,0.07254601376808208,0.00019429319608055273,3.7263232611576584,0.009520366607947084,3.711542407616426
MSH2,0.0021655253258035492,0.9624967599260894,0.04702066189947765,0.9999998916389916,0.016600723792021484
MYND,-0.03480702425925713,0.5140569353075581,-0.6525337075446092,0.9999998916389916,0.2889887772682987
NRBOX,0.010605956802309168,0.8058659180518739,0.245762718901993,0.9999998916389916,0.09373721116542777
NRP,0.028405931494994045,0.5013397421091301,0.6723832519838371,0.9999998916389916,0.2998678667123614
PCNA,0.006140647229920348,0.8844326993167366,0.14535233088437927,0.9999998916389916,0.05333520902605235
PDZ,-0.023743557060820108,0.2849490401718868,-1.0692677454306163,0.9999998916389916,0.5452328015740081
PP1,-0.017124742383913413,0.5993081205461042,-0.5253957310403936,0.9999998916389916,0.22234983763061378
PP2A,0.03227489305589108,0.4239915127755851,0.7995155860990943,0.9999998916389916,0.37264283678373317
PP2B,0.029216490363399582,0.5921745357739132,0.535687511993922,0.9999998916389916,0.22755027173673426
PP4,0.0036323091376608183,0.9225760889049823,0.09718927012553212,0.9999998916389916,0.03499780551703473
PTB,0.010947854684677785,0.787872881023415,0.26907381389810175,0.9999998916389916,0.10354384789561703
Pex14,-0.0025406435516765555,0.925546419810066,-0.09344955967806293,0.9999998916389916,0.03360179478054686
REV1ctd,0.008873399692587056,0.85408544092616,0.1839082394355564,0.9999998916389916,0.06849868122356106
SH2,0.03250621257811507,0.03667272523220455,2.0893889486209583,0.598987845459341,1.435656815446242
SH3,-0.022819619276019904,0.3009189135268602,-1.0344648231943163,0.9999998916389916,0.5215505148780433
SUMO,-0.03250036600070387,0.2647532841233018,-1.1152267070843447,0.9999998916389916,0.5771586439956172
TRAF2like,-0.009409804510237572,0.8330065827431106,-0.21084710177449767,0.9999998916389916,0.07935156661516582
TRAF4,-0.04440911195747368,0.334911796590704,-0.9642675676552448,0.9999998916389916,0.4750695550459203
TRAF6,0.02197390346438076,0.6432122768404054,0.4632121936210782,0.9999998916389916,0.19164567490456802
TRFH,0.005902422627366341,0.9245068425043432,0.0947582585157807,0.9999998916389916,0.03408987017178312
TYR,0.011289719720882984,0.7356063703703246,0.3376773166800088,0.9999998916389916,0.13335451841615134
UBA3,0.01623068206217761,0.5951704888178515,0.5313583341110721,0.9999998916389916,0.22535861116733008
USP7,-0.023400389440177947,0.13174479715792042,-1.5072569911000033,0.9999998916389916,0.8802665268571386
WD40,0.013979831523889527,0.3343567473626816,0.9653755417438952,0.9999998916389916,0.47578990825647677
WRC,0.0028068595273460775,0.9431997568230521,0.07124878299344803,0.9999998916389916,0.025396319883302522
WW,-0.004533869058011119,0.830950871413062,-0.21348220006331362,0.9999998916389916,0.08042465239511198
deltaCOP1,-5.10870274612714e-06,0.9999283150337057,-8.98437818103776e-05,0.9999998916389916,3.113350121235298e-05
eIF4E,0.0025242978893963027,0.9638611883590775,0.04530878105385483,0.9999998916389916,0.0159855070416571
