motif,log2FC,pvalue,z,qvalue,-log10p
ELM_14_3_3,0.052542290241142445,0.09930061347714458,1.6482537387722542,0.9731460120760168,1.0030480684339675
ANK,-0.018719765963324343,0.8461829359988053,-0.19399099106494216,0.9999999491592799,0.07253573683535532
APCC,-0.02611378261180012,0.7321227492280882,-0.34230317129301174,0.9999999491592799,0.13541609811757602
Actin,-0.02560337793110179,0.8024706174928384,-0.25015094772394736,0.9999999491592799,0.09557086034905674
Arc,-0.09806380456103944,0.05263968439738842,-1.9378650872180743,0.7011600723235454,1.278686723210278
BIR,-0.06210045713281405,0.1748756985141775,-1.3567026865538832,0.9999999491592799,0.7572705377739004
BRCT,0.029851860541154032,0.6255215986079137,0.48803987301284313,0.9999999491592799,0.20375768997649515
CDC14,-0.004748018572358307,0.9722456532811756,-0.034791932988758455,0.9999999491592799,0.012223989821253166
CKS1,-0.026001242695345785,0.7557003080168001,-0.3111319566945164,0.9999999491592799,0.1216504007675767
CSL,0.009192765260135311,0.9999999491592799,6.371939321610067e-08,0.9999999491592799,2.207984474728277e-08
CYCLIN,-0.006251651914467791,0.9029096818316817,-0.12198653538787858,0.9999999491592799,0.04435569004516059
Clathr,-0.024134148262696928,0.7891859918394855,-0.2673677964845481,0.9999999491592799,0.10282063213855616
DLG,0.023919863564411722,0.8687450801972427,0.16525270839708706,0.9999999491592799,0.06110764185419178
EVH1,0.03717081363273064,0.730447044501247,0.34453092323326073,0.9999999491592799,0.13641126380159724
FHA,0.03694739323664269,0.2433169892044602,1.1667360262220094,0.9999999491592799,0.6138275661199271
GBD,0.0029763439349560013,0.9825997736705687,0.021809678533976945,0.9999999491592799,0.007623340235427038
IRF7,-0.0025133099448586527,0.9792213101994209,-0.02604517000969611,0.9999999491592799,0.009119143808285645
Integrin,-0.0048175813023422775,0.9624583236144113,-0.04706888801005287,0.9999999491592799,0.016618067238849378
LIR,-0.032246187617951824,0.2953207733649652,-1.0465205256847934,0.9999999491592799,0.5297060029486884
LYPXL,0.006638592734792672,0.9509354022582044,0.06153216086380604,0.9999999491592799,0.021848984004397998
MAPK,-0.04206257648372683,0.2753293156113996,-1.0908717583508252,0.9999999491592799,0.5601475447619795
MSH2,-0.00429737603692756,0.9644793392747084,-0.04453326168797182,0.9999999491592799,0.015707071218740556
MYND,0.015721409202773737,0.8705819500329341,0.1629193312650785,0.9999999491592799,0.0601903414082995
NRBOX,-0.016444937012322306,0.835677819675847,-0.2074251796506927,0.9999999491592799,0.07796112460106931
NRP,-0.006371960855945243,0.9359417511802117,-0.08037155291511672,0.9999999491592799,0.028751178962947585
PCNA,-0.06439671809980634,0.4166446803777797,-0.8122561254420418,0.9999999491592799,0.3802341587737035
PDZ,0.1490301919840785,0.0006905957040170829,3.3932856988097466,0.03383918949683706,3.160776127590211
PP1,0.0007313291396345768,0.9904604806380719,0.011956299338387995,0.9999999491592799,0.00416284812463829
PP2A,0.026239390178234998,0.740670388202537,0.33096570802106173,0.9999999491592799,0.13037501797471612
PP2B,0.02303290143056059,0.8309458416276714,0.21348864926712585,0.9999999491592799,0.0804272812083507
PP4,0.006788685068710843,0.9244256219292224,0.09486051194849085,0.9999999491592799,0.03412802586247838
PTB,-0.026546801106030717,0.7377433866097347,-0.3348431790552672,0.9999999491592799,0.1320946749784907
Pex14,0.03890239873872057,0.45123774344362255,0.7533531240390708,0.9999999491592799,0.345594581268208
REV1ctd,0.02746156372776554,0.7759649137498952,0.28458133366514904,0.9999999491592799,0.1101579154806048
SH2,0.024146870579380655,0.41892649775351565,0.8082850656175428,0.9999999491592799,0.3778621689675392
SH3,0.050894743773181025,0.23930869253956621,1.1767164682755593,0.9999999491592799,0.6210415259857954
SUMO,-0.06519407627860511,0.22991737779639432,-1.200571716665463,0.9999999491592799,0.6384282023024487
TRAF2like,-0.01151141158356798,0.8904411377956725,-0.13774603207532563,0.9999999491592799,0.05039478409006527
TRAF4,-0.013349918463107744,0.8824250317096778,-0.1478957634583885,0.9999999491592799,0.05432218078183483
TRAF6,0.038024674920222955,0.7102577808919379,0.37150990364572806,0.9999999491592799,0.14858399987194204
TRFH,0.017432680121777594,0.8827353268649882,0.14750260102555593,0.9999999491592799,0.0541694926994789
TYR,-0.012598851212923862,0.8419228042698186,-0.1994345909344781,0.9999999491592799,0.07472772704735604
UBA3,-0.015286667124525363,0.7900936500370399,-0.2661890054593177,0.9999999491592799,0.10232142860347354
USP7,-0.06000525939049274,0.04607191471798644,-1.9947338565805472,0.7011600723235454,1.3365637383838234
WD40,0.05347360520844031,0.05723755692437105,1.9014923243947628,0.7011600723235454,1.2423189115458722
WRC,0.04096399357611532,0.5912939694319905,0.536961845718767,0.9999999491592799,0.22819655031894767
WW,-0.028220394854829814,0.49300991433323493,-0.6855294009504185,0.9999999491592799,0.3071443470576146
deltaCOP1,-0.04358413183231741,0.7122938926342512,-0.3687770763760226,0.9999999491592799,0.14734077937663634
eIF4E,0.03786016865938236,0.7487067513671308,0.32034508254119737,0.9999999491592799,0.12568825065949896
