motif,log2FC,pvalue,z,qvalue,-log10p
ELM_14_3_3,0.051016107708474846,0.9795030402459786,0.025691955594913767,0.9999960093365969,0.008994211675367346
ANK,-0.004289560107518837,0.9983224475331932,-0.002102501771759428,0.9999960093365969,0.0007291635556416245
APCC,0.0024133748706759058,0.999055898457288,0.0011832560866539838,0.9999960093365969,0.0004102117616184614
Actin,0.013730852233453411,0.994630245493214,0.006730040041366387,0.9999960093365969,0.0023383385372477803
Arc,-0.019933559278224194,0.9921803722852819,-0.009800606855616175,0.9999960093365969,0.003409368604518337
BIR,0.019021564847551003,0.9925223345966522,0.00937200095967322,0.9999960093365969,0.0032597115845509027
BRCT,0.016656408637444324,0.9934776354982738,0.008174662683281052,0.9999960093365969,0.0028419049900122013
CDC14,0.006332680972066754,0.9975235098055323,0.003103825155211613,0.9999960093365969,0.0010768599936004076
CKS1,-0.009793935755897215,0.9961686274604253,-0.004801931823371025,0.9999960093365969,0.0016671397120117553
CSL,0.010537915133874115,0.9958790909709617,0.005164816506789971,0.9999960093365969,0.0017933857847395433
CYCLIN,0.08339516683722284,0.9673584121611927,0.04092158168328407,0.9999960093365969,0.014412587360156229
Clathr,0.0010714627990271197,0.9995809738875183,0.0005251713748185043,0.9999960093365969,0.00018201886641700256
DLG,0.0020191651199394133,0.9992103521624576,0.0009896769598508027,0.9999960093365969,0.00034307517060871073
EVH1,0.00702969604016019,0.9972509188370106,0.0034454691031986766,0.9999960093365969,0.0011955548720615392
FHA,0.012020610327213856,0.9951535654698178,0.0060741422631644774,0.9999960093365969,0.002109896651152583
GBD,1.0204393404134819e-05,0.9999960093365969,5.001554860281567e-06,0.9999960093365969,1.733126553248592e-06
IRF7,0.00829474551710237,0.9967560787869858,0.0040656635172259545,0.9999960093365969,0.0014111070820770914
Integrin,-0.003772291180238255,0.998524760284459,-0.0018489398448738948,0.9999960093365969,0.0006411615177790788
LIR,0.054682292929222075,0.9778822944992157,0.02772398411120527,0.9999960093365969,0.009713417120259023
LYPXL,0.006403937907174795,0.9974955718465773,0.0031388403647106752,0.9999960093365969,0.0010890235879461008
MAPK,0.012884941045132964,0.9948887308765454,0.006406069666871577,0.9999960093365969,0.0022254883683391563
MSH2,0.0066771433183816856,0.9973885007375339,0.0032730347890992098,0.9999960093365969,0.0011356432311750199
MYND,0.0340321839151276,0.9866958959905149,0.016674994369315625,0.9999960093365969,0.005816678174879349
NRBOX,-0.003442370664142348,0.9986536657855543,-0.0016873805052492708,0.9999960093365969,0.0005850994782941693
NRP,-0.013146611366307341,0.9948584251584931,-0.006444053035745748,0.9999960093365969,0.0022387177940793304
PCNA,0.007207789973216422,0.9971808364352819,0.0035333049028253545,0.9999960093365969,0.0012260762476677587
PDZ,0.024674596101620053,0.990281553153284,0.012180568016542652,0.9999960093365969,0.004241310860511905
PP1,0.04019098772446108,0.9842749555350742,0.019709696574781308,0.9999960093365969,0.006883565195310434
PP2A,-0.026845607320427615,0.9895003961291725,-0.013159681783848966,0.9999960093365969,0.004584027595352179
PP2B,0.0034300752748761608,0.9986584668224646,0.0016813632892799398,0.9999960093365969,0.0005830116084980092
PP4,0.01285001324075613,0.9949717461833604,0.006302023308822066,0.9999960093365969,0.002189251566714312
PTB,-0.024707128103394017,0.9903359053901776,-0.012112442564288816,0.9999960093365969,0.004217474984011808
Pex14,0.022420019203268526,0.9912073650077083,0.011020156791086089,0.9999960093365969,0.003835479664354133
REV1ctd,0.01036377672080884,0.9959467562760695,0.005080009510644177,0.9999960093365969,0.0017638785176493524
SH2,0.022938239557504153,0.9906653700180371,0.011699490618160236,0.9999960093365969,0.00407301806421356
SH3,0.013263177018111026,0.9947700828048143,0.006554776095170363,0.9999960093365969,0.002277284387383271
SUMO,0.014019731437993458,0.9945042654356181,0.006887936288910769,0.9999960093365969,0.0023933498435383324
TRAF2like,0.011380702218919087,0.9955483768956254,0.005579311116706474,0.9999960093365969,0.0019376313589763428
TRAF4,0.03511993838455406,0.9862697079071574,0.017209218590708685,0.9999960093365969,0.006004305506413494
TRAF6,-0.0077652875541318065,0.9969630150083857,-0.0038063054157192722,0.9999960093365969,0.0013209526970764133
TRFH,0.001087255854399726,0.9995748058980005,0.0005329018043617384,0.9999960093365969,0.00018469872142291366
TYR,0.006712945314227125,0.9973716027737989,0.0032942133601159395,0.9999960093365969,0.001143001201081067
UBA3,0.02457464151554727,0.9903767519805844,0.012061245215445588,0.9999960093365969,0.004199562795936729
USP7,0.021068968127045062,0.9914669966152058,0.010694737645163885,0.9999960093365969,0.003721737763726518
WD40,0.02889386109533877,0.9880629744617347,0.014961401014641863,0.9999960093365969,0.005215374653615761
WRC,-0.01856306553726927,0.9927393784973547,-0.00909996516712669,0.9999960093365969,0.0031647508363939073
WW,-0.023186228810498123,0.9908487863317846,-0.011469596933081192,0.9999960093365969,0.0039926182417607935
deltaCOP1,-0.005341570715728375,0.9979110486190053,-0.0026181152889529257,0.9999960093365969,0.000908168948714808
eIF4E,0.005285511400266826,0.9979329442811621,0.0025906730529567626,0.9999960093365969,0.0008986399822359301
