CCD,contrast,effect,EM_effect,CM_effect,overall_pvalue,overall_qvalue,max_pip,contrast_max_pip,Naive_effect,Low_effect,High_effect
ACKR1-1,EM_vs_CM,-0.29420772525187533,-0.1692436382086525,0.12496408704322282,2.4064941616378044e-304,3.4926550875944116e-304,1.0,1.0,,,
ACKR1-1,Naive_vs_CM,-0.058642273845117554,,0.12496408704322282,2.4064941616378044e-304,3.4926550875944116e-304,1.0,1.0,0.06632181319810526,,
ACKR1-1,Naive_vs_EM,0.23556545140675778,-0.1692436382086525,,2.4064941616378044e-304,3.4926550875944116e-304,1.0,1.0,0.06632181319810526,,
ACKR1-1,PD1Low_vs_PD1High,0.058397063773721294,,,2.4064941616378044e-304,3.4926550875944116e-304,1.0,1.0,,0.03654595256441917,-0.021851111209302127
ACKR2-1,EM_vs_CM,-0.04111950265846365,0.009803968761745052,0.0509234714202087,0.19813038679059422,0.20394919403848247,0.9802481594751719,0.9802481594751719,,,
ACKR2-1,Naive_vs_CM,-0.04245347185705828,,0.0509234714202087,0.19813038679059422,0.20394919403848247,0.9802481594751719,0.9802481594751719,0.008469999563150421,,
ACKR2-1,Naive_vs_EM,-0.0013339691985946311,0.009803968761745052,,0.19813038679059422,0.20394919403848247,0.9802481594751719,0.9742992720600415,0.008469999563150421,,
ACKR2-1,PD1Low_vs_PD1High,0.009231002561663166,,,0.19813038679059422,0.20394919403848247,0.9802481594751719,0.9802481594751719,,0.02768131452919964,0.018450311967536475
ACKR3-1,EM_vs_CM,1.3802779724636913,0.08989766799349763,-1.2903803044701938,4.3224866381885394e-165,5.36294359888525e-165,1.0,1.0,,,
ACKR3-1,Naive_vs_CM,1.6367240758032042,,-1.2903803044701938,4.3224866381885394e-165,5.36294359888525e-165,1.0,1.0,0.34634377133301053,,
ACKR3-1,Naive_vs_EM,0.2564461033395129,0.08989766799349763,,4.3224866381885394e-165,5.36294359888525e-165,1.0,1.0,0.34634377133301053,,
ACKR3-1,PD1Low_vs_PD1High,0.41430808418218584,,,4.3224866381885394e-165,5.36294359888525e-165,1.0,1.0,,-0.07755891295680233,-0.4918669971389882
ACKR4-1,EM_vs_CM,-0.4332342667762339,-0.0930952466683096,0.3401390201079243,0.0,0.0,1.0,1.0,,,
ACKR4-1,Naive_vs_CM,-0.6392231106757383,,0.3401390201079243,0.0,0.0,1.0,1.0,-0.29908409056781404,,
ACKR4-1,Naive_vs_EM,-0.20598884389950445,-0.0930952466683096,,0.0,0.0,1.0,1.0,-0.29908409056781404,,
ACKR4-1,PD1Low_vs_PD1High,0.4142879391724469,,,0.0,0.0,1.0,1.0,,0.189797197210157,-0.2244907419622899
ACKR4-2,EM_vs_CM,-0.04888381064183117,-0.06448549229463901,-0.015601681652807842,0.0,0.0,1.0,1.0,,,
ACKR4-2,Naive_vs_CM,-0.23598884044749646,,-0.015601681652807842,0.0,0.0,1.0,1.0,-0.2515905221003043,,
ACKR4-2,Naive_vs_EM,-0.1871050298056653,-0.06448549229463901,,0.0,0.0,1.0,1.0,-0.2515905221003043,,
ACKR4-2,PD1Low_vs_PD1High,0.29098282990602475,,,0.0,0.0,1.0,1.0,,0.034932182937095324,-0.25605064696892943
ADCYAP1R1-1,EM_vs_CM,0.849040295054537,-0.37081171966313037,-1.2198520147176675,0.0,0.0,1.0,1.0,,,
ADCYAP1R1-1,Naive_vs_CM,1.7976683595221494,,-1.2198520147176675,0.0,0.0,1.0,1.0,0.577816344804482,,
ADCYAP1R1-1,Naive_vs_EM,0.9486280644676124,-0.37081171966313037,,0.0,0.0,1.0,1.0,0.577816344804482,,
ADCYAP1R1-1,PD1Low_vs_PD1High,0.004375546332108238,,,0.0,0.0,1.0,1.0,,-0.3354280233593845,-0.3398035696914927
ADGRA1-2,EM_vs_CM,0.12613149655292433,-0.05039029142544349,-0.17652178797836782,0.0,0.0,1.0,1.0,,,
ADGRA1-2,Naive_vs_CM,-0.35493566483346906,,-0.17652178797836782,0.0,0.0,1.0,1.0,-0.5314574528118369,,
ADGRA1-2,Naive_vs_EM,-0.4810671613863934,-0.05039029142544349,,0.0,0.0,1.0,1.0,-0.5314574528118369,,
ADGRA1-2,PD1Low_vs_PD1High,1.5533826469609737,,,0.0,0.0,1.0,1.0,,0.5239014794086042,-1.0294811675523696
ADGRA2-1,EM_vs_CM,0.04576430193450731,-0.1847992256419586,-0.23056352757646592,0.0,0.0,1.0,1.0,,,
ADGRA2-1,Naive_vs_CM,0.4752856644678283,,-0.23056352757646592,0.0,0.0,1.0,1.0,0.24472213689136235,,
ADGRA2-1,Naive_vs_EM,0.42952136253332096,-0.1847992256419586,,0.0,0.0,1.0,1.0,0.24472213689136235,,
ADGRA2-1,PD1Low_vs_PD1High,-0.14158426843937927,,,0.0,0.0,1.0,1.0,,-0.1276723396620437,0.013911928777335566
ADGRA2-2,EM_vs_CM,8.919602575254894,-3.093340268784306,-12.0129428440392,4.7610104766686095e-54,5.255855660070386e-54,0.9995771104779243,0.9995771104779243,,,
ADGRA2-2,Naive_vs_CM,4.4068485936388155,,-12.0129428440392,4.7610104766686095e-54,5.255855660070386e-54,0.9995771104779243,0.9913618370835161,-7.606094250400385,,
ADGRA2-2,Naive_vs_EM,-4.512753981616079,-3.093340268784306,,4.7610104766686095e-54,5.255855660070386e-54,0.9995771104779243,0.9995771104779243,-7.606094250400385,,
ADGRA2-2,PD1Low_vs_PD1High,2.953052799349809,,,4.7610104766686095e-54,5.255855660070386e-54,0.9995771104779243,0.9995771104779243,,-6.094266054733058,-9.047318854082867
ADGRA3-2,EM_vs_CM,0.07795536145136461,-0.43579154407262255,-0.5137469055239872,1.4504483787713113e-307,2.109469530121762e-307,1.0,1.0,,,
ADGRA3-2,Naive_vs_CM,1.0447716642180087,,-0.5137469055239872,1.4504483787713113e-307,2.109469530121762e-307,1.0,1.0,0.5310247586940215,,
ADGRA3-2,Naive_vs_EM,0.9668163027666441,-0.43579154407262255,,1.4504483787713113e-307,2.109469530121762e-307,1.0,1.0,0.5310247586940215,,
ADGRA3-2,PD1Low_vs_PD1High,0.7434404265424239,,,1.4504483787713113e-307,2.109469530121762e-307,1.0,1.0,,0.2322156496370159,-0.511224776905408
ADGRB3-1,EM_vs_CM,3.058115182696062,1.027715320673766,-2.0303998620222963,0.0,0.0,1.0,1.0,,,
ADGRB3-1,Naive_vs_CM,1.3183970341655837,,-2.0303998620222963,0.0,0.0,1.0,1.0,-0.7120028278567125,,
ADGRB3-1,Naive_vs_EM,-1.7397181485304785,1.027715320673766,,0.0,0.0,1.0,1.0,-0.7120028278567125,,
ADGRB3-1,PD1Low_vs_PD1High,0.1737673306262053,,,0.0,0.0,1.0,1.0,,-0.484678791088645,-0.6584461217148503
ADGRD1-1,EM_vs_CM,-0.43868297198390616,-0.26057099874301226,0.1781119732408939,0.0,0.0,1.0,1.0,,,
ADGRD1-1,Naive_vs_CM,-0.08389003480210888,,0.1781119732408939,0.0,0.0,1.0,1.0,0.09422193843878501,,
ADGRD1-1,Naive_vs_EM,0.3547929371817973,-0.26057099874301226,,0.0,0.0,1.0,1.0,0.09422193843878501,,
ADGRD1-1,PD1Low_vs_PD1High,-0.3617112785405092,,,0.0,0.0,1.0,1.0,,-0.17693466829136573,0.1847766102491435
ADGRD1-2,EM_vs_CM,1.0811662606704977,-0.6253978351816563,-1.706564095852154,5.919815408262691e-169,7.370853643325305e-169,1.0,1.0,,,
ADGRD1-2,Naive_vs_CM,2.269381491044557,,-1.706564095852154,5.919815408262691e-169,7.370853643325305e-169,1.0,1.0,0.5628173951924029,,
ADGRD1-2,Naive_vs_EM,1.1882152303740592,-0.6253978351816563,,5.919815408262691e-169,7.370853643325305e-169,1.0,1.0,0.5628173951924029,,
ADGRD1-2,PD1Low_vs_PD1High,0.8163835933125048,,,5.919815408262691e-169,7.370853643325305e-169,1.0,1.0,,-0.18152304862421673,-0.9979066419367215
ADGRD2-1,EM_vs_CM,-0.6372250645495257,-0.1494878534632995,0.4877372110862261,0.0,0.0,1.0,1.0,,,
ADGRD2-1,Naive_vs_CM,-1.17543824536282,,0.4877372110862261,0.0,0.0,1.0,1.0,-0.687701034276594,,
ADGRD2-1,Naive_vs_EM,-0.5382131808132945,-0.1494878534632995,,0.0,0.0,1.0,1.0,-0.687701034276594,,
ADGRD2-1,PD1Low_vs_PD1High,-0.238399480759204,,,0.0,0.0,1.0,1.0,,-0.23568363259749114,0.002715848161712849
ADGRD2-2,EM_vs_CM,0.7829160942064894,0.38183506834439007,-0.40108102586209937,5.383021490241531e-48,5.914573769058484e-48,1.0,1.0,,,
ADGRD2-2,Naive_vs_CM,-0.3275141249698037,,-0.40108102586209937,5.383021490241531e-48,5.914573769058484e-48,1.0,0.9999995114909745,-0.7285951508319031,,
ADGRD2-2,Naive_vs_EM,-1.1104302191762931,0.38183506834439007,,5.383021490241531e-48,5.914573769058484e-48,1.0,1.0,-0.7285951508319031,,
ADGRD2-2,PD1Low_vs_PD1High,0.5244951155752259,,,5.383021490241531e-48,5.914573769058484e-48,1.0,1.0,,0.012967188337742167,-0.5115279272374837
ADGRE1-1,EM_vs_CM,-0.2195418147836803,-0.19505725151773845,0.02448456326594184,0.0,0.0,1.0,1.0,,,
ADGRE1-1,Naive_vs_CM,0.050164020914938656,,0.02448456326594184,0.0,0.0,1.0,1.0,0.0746485841808805,,
ADGRE1-1,Naive_vs_EM,0.26970583569861895,-0.19505725151773845,,0.0,0.0,1.0,1.0,0.0746485841808805,,
ADGRE1-1,PD1Low_vs_PD1High,0.2202719723775297,,,0.0,0.0,1.0,1.0,,0.07816128483179281,-0.14211068754573689
ADGRE2-1,EM_vs_CM,-0.33975060497928145,0.013082057182420503,0.35283266216170195,0.0,0.0,1.0,1.0,,,
ADGRE2-1,Naive_vs_CM,-0.7156586127718334,,0.35283266216170195,0.0,0.0,1.0,1.0,-0.36282595061013145,,
ADGRE2-1,Naive_vs_EM,-0.37590800779255196,0.013082057182420503,,0.0,0.0,1.0,1.0,-0.36282595061013145,,
ADGRE2-1,PD1Low_vs_PD1High,0.15455554194294413,,,0.0,0.0,1.0,1.0,,0.07830736054946907,-0.07624818139347507
ADGRE2-2,EM_vs_CM,0.24257002820606643,-0.09177529988596722,-0.33434532809203366,0.0,0.0,1.0,1.0,,,
ADGRE2-2,Naive_vs_CM,0.2556706266059757,,-0.33434532809203366,0.0,0.0,1.0,1.0,-0.07867470148605793,,
ADGRE2-2,Naive_vs_EM,0.013100598399909291,-0.09177529988596722,,0.0,0.0,1.0,1.0,-0.07867470148605793,,
ADGRE2-2,PD1Low_vs_PD1High,0.9504747708197252,,,0.0,0.0,1.0,1.0,,0.30697227558850965,-0.6435024952312155
ADGRE3-1,EM_vs_CM,0.050588129906069534,0.004611511780983735,-0.0459766181250858,0.0,0.0,1.0,1.0,,,
ADGRE3-1,Naive_vs_CM,-0.01583180866789735,,-0.0459766181250858,0.0,0.0,1.0,1.0,-0.06180842679298315,,
ADGRE3-1,Naive_vs_EM,-0.06641993857396689,0.004611511780983735,,0.0,0.0,1.0,1.0,-0.06180842679298315,,
ADGRE3-1,PD1Low_vs_PD1High,0.02525193487343228,,,0.0,0.0,1.0,1.0,,-0.021765210275645597,-0.04701714514907788
ADGRE3-2,EM_vs_CM,-0.07898010388363652,-0.0732355657924656,0.005744538091170925,0.0,0.0,1.0,1.0,,,
ADGRE3-2,Naive_vs_CM,0.024752938630150823,,0.005744538091170925,0.0,0.0,1.0,1.0,0.030497476721321748,,
ADGRE3-2,Naive_vs_EM,0.10373304251378734,-0.0732355657924656,,0.0,0.0,1.0,1.0,0.030497476721321748,,
ADGRE3-2,PD1Low_vs_PD1High,-0.3875405910943894,,,0.0,0.0,1.0,1.0,,-0.20610147920718566,0.1814391118872037
