CCD,Naive_High,Naive_Low,CM_High,CM_Low,EM_High,EM_Low
OR3A4P-1,-2.7977192635482826,-2.388963060049182,0.6268680880356529,-2.9883539564506982,-2.6239480212517003,1.8562981203678923
OR4K15-1,1.4751828931902593,-1.4802421392292835,0.19743908242710684,-0.5997513081471402,-0.1748024206605745,-1.187518936762784
OR6B3-1,-0.8770726206648827,-0.5381465346329608,-0.3785240655672273,0.17624175766575645,-0.5967641765988023,1.0436318633197998
MRGPRD-1,0.9323242692427396,-0.5530572184727627,-0.1845724827111599,-0.03228281962836288,0.23480331121460063,-0.8044193447760606
OR4N4-1,-0.19800209787380307,0.13006949555050928,-0.4936811313502414,0.7787760252365274,-0.3782921997937181,-0.026126010283904044
OR2T12-1,-0.09333197750816447,0.16071803728472744,-0.7312560269281894,0.1477878018651797,-0.5726955429004086,0.4987788847657145
OR4D6-1,0.03157922025583915,-0.086244114532525,-0.6644741048745002,-0.2760568888360031,-0.37326357136942767,0.6586673773616077
OR4P4-1,-0.5925296997246103,-0.06056411457182165,0.03832044984458949,0.35510591542781733,0.13375711199976825,0.09464002280429762
OR4A15-1,-0.5742803186584151,-0.07432617149832232,-0.252474208891569,0.5653072815603821,0.002315704726157275,0.20340231676265164
OR52E2-1,-0.33044700117740544,0.3266164634543933,0.2545564239704188,0.18746025143337275,-0.5582116616930195,-0.07952995719115763
OR51J1-1,-0.5475166526748156,0.01223337518431844,-0.44294199013681945,0.41983603875353004,-0.17779452488426872,0.42115709125074674
OR51F2-1,0.20491712781073024,0.25626509251561225,0.20815716002620377,-0.37069216224328017,-0.5400774017514536,-0.10699169535240505
OR4A16-1,-0.15897556770402033,-0.03807606599133084,0.527115286821703,-0.33308864644198133,0.242439590367014,-0.3342117418402002
OR4M2B-2,0.3244610787738049,0.5211513372398098,-0.3989617294872476,0.07651004636046022,-0.39504739366749697,-0.34342600562177306
OR4N4C-1,-0.2620451535505035,-0.25650316426459474,-0.08051187395187775,0.35028670117776417,-0.5192971616356941,0.4032684197502221
OR2T33-1,-0.039742409779369936,0.19111783352097178,-0.20899694386230872,0.41268089614840076,-0.504549137708677,0.0036088346804279414
OR4D9-1,0.23266236702143384,0.3538230070438615,-0.48755827165968135,-0.4725042351852231,-0.34170729497908336,0.20962784558961878
OR4K2-1,-0.1454630617663697,-0.2606448356159421,0.06164676590046558,-0.14770512721902662,0.4746593633190759,-0.015799735497720846
OR51E2-1,0.19981472382239907,0.04363605572273355,-0.10382179008696824,-0.470456187692307,-0.15761134697702328,0.17258377016040605
OR51J1-2,-0.15776841358401095,-0.39911521105107184,0.30928582862637,-0.44927492041225836,0.03548285735504164,0.2839552496734816
OR6K3-1,0.11557922461058245,0.346755487450116,0.1584855869642905,-0.4471312425567886,-0.27646855939616954,-0.14708852182643817
OR4C15-1,0.2261522348387428,0.10746374871381636,-0.4283505626773296,-0.4162873540877885,-0.24871352069985786,0.31032647262067536
OR2V1-1,0.008902607526944717,0.1152630440848399,0.21503205236775536,-0.41504458540571054,0.021428032205174086,-0.08008196872259421
OR4C5-1,-0.2007902328640665,0.15640537652769004,0.40626826235859426,0.01031688385728513,-0.14836547417686208,-0.25190465551047025
OR4K5-1,0.11675699198688227,0.07851841290176131,0.40044569411010933,-0.2905365400561295,-0.3467763296416304,-0.18004073035741386
OR51T1-1,-0.3695540218364928,0.3978474332537887,-0.1907227664474993,-0.32032654597226395,-0.22788533462345617,0.3283042280065087
OR52B2-1,0.07522292726882895,-0.0455870982032478,0.21078934170553199,-0.39567168341925596,0.2368586856837649,-0.1643997634443699
OR51M1-1,-0.22926478671771378,-0.1218293458484363,-0.0378327832417924,0.39485564622786695,-0.06267198827085063,0.05966602019812095
OR52A4P-1,-0.3947759677578664,-0.08691313171593151,0.11813860196315695,-0.02415049837104588,0.026125192717686874,0.23182368948078114
OR51G1-1,-0.383295294839046,0.18951206289300515,0.1032632086257621,-0.045412849491115015,-0.16534353842801575,0.15718603317444557
OR2W1-1,-0.0019090248630839746,-0.3673583885642646,0.2683119893071535,0.07453450226088454,0.14288556919344075,-0.12120148144541654
OR4E2-1,-0.12370370583598644,-0.08905887644416977,0.3551764591179778,-0.04163432207862261,-0.13400372603482524,-0.04358278296150453
OR4N4C-2,-0.1459959564517137,-0.016447150796428334,0.33411584010219975,-0.08829635506699551,-0.13081866076959803,-0.03441677076293259
OR6C76-1,-0.33242776080941416,-0.1966648921948615,-0.16066658506631248,0.24462950272713502,0.16105546560540862,0.22230603075230337
OR2T8-1,-0.049396203497222846,0.07386541866023144,0.18197240339792642,0.08325026836147087,0.14969456196757003,-0.3259178438225221
OR2T1-1,-0.09871862635816386,0.24347203590060396,0.07385998582989717,0.32131224623905164,-0.23250433057169184,-0.26528892114283
OR6C6-2,-0.19450801124433026,0.10357380214809742,0.30571862317770826,0.035140796373026806,-0.048423951111567165,-0.182241367945283
OR4S2-1,-0.017261822662681725,0.11239282479383061,0.11024891264203562,0.29496732935075687,-0.24349111049381578,-0.2229532679905617
OR4K3-1,-0.24928844093773805,-0.006930221033850659,0.11712542986313235,-0.2927103064822374,-0.04670524767543416,0.2564095502035726
OR2T4-1,-0.2917041305906187,0.10299828476924522,0.19454037825987358,-0.05278391296898377,-0.28214048852219764,0.15285714126449745
OR2T11-1,-0.03432088011258694,-0.2497146172757958,0.28101555545548984,0.055297031345622694,0.1588271963422907,-0.17708105867288326
OR52I1-1,0.012394089549380594,0.05957671174366319,0.19778063503456544,0.12166334033846571,-0.24226133918139747,-0.16047029460712436
OR2T6-1,0.11282245402531466,-0.013925625787727158,0.003013579902284569,0.08341517705317081,0.10959409907318385,-0.21200872655030745
ACKR1-1,0.0477618432862712,0.08488178310993932,0.04319262422126546,0.20673554986518017,-0.15650780113544305,-0.18197947528186198
OR52I2-1,0.02449638944608523,0.19736810579019237,-0.16122730234400828,0.0764211450854233,-0.1689212880717157,-0.007960250204240182
OR52E5-1,-0.036918003460971294,-0.17451215136650067,0.17127126571537232,0.13768688823352626,0.06267673383147554,-0.11081586269452948
OR4M2B-1,-0.08296478150426312,0.17258067896913865,-0.032166293229252574,0.10358761293737273,0.007141066222943859,-0.10911383222378435
OR4D5-1,-0.01833632439436217,0.15517020853147545,0.1718598619261773,-0.019982601793566257,-0.1374900310413496,-0.15668992951634086
OR6C75-1,-0.14634792042470912,0.053694566733406335,0.0712437905298624,0.13484259094246664,-0.08293351216029343,-0.014317284029246258
OR6C74-1,-0.07380671483477386,0.042420247144690615,0.0787514326531451,0.14406776169120117,-0.032859326378712916,-0.10222729774900374
