CCD,total_counts,g_statistic,df,pvalue,Naive_High_prop,Naive_Low_prop,CM_High_prop,CM_Low_prop,EM_High_prop,EM_Low_prop,Naive_High_effect,Naive_Low_effect,CM_High_effect,CM_Low_effect,EM_High_effect,EM_Low_effect,Naive_High_se,Naive_Low_se,CM_High_se,CM_Low_se,EM_High_se,EM_Low_se,qvalue,Naive_High_pip,Naive_Low_pip,CM_High_pip,CM_Low_pip,EM_High_pip,EM_Low_pip,max_pip,Naive_High_ci_excludes_zero,Naive_Low_ci_excludes_zero,CM_High_ci_excludes_zero,CM_Low_ci_excludes_zero,EM_High_ci_excludes_zero,EM_Low_ci_excludes_zero,significant_pip
ACKR1-1,115574,1417.3404314522713,5,2.4064941616378044e-304,0.19076089777977745,0.16935469915378892,0.1736549743021787,0.1423676605464897,0.10775780019727621,0.21610396802048903,0.0477618432862712,0.08488178310993932,0.04319262422126546,0.20673554986518017,-0.15650780113544305,-0.18197947528186198,0.007493799408186827,0.007850371242881142,0.007772491510356063,0.00842719784647811,0.009494269720757221,0.007152781113851376,3.4926550875944116e-304,0.9999999967756618,1.0,0.9999995950570022,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
ACKR2-1,131,7.316725765034125,5,0.19813038679059422,0.183206106870229,0.16030534351145037,0.1297709923664122,0.16793893129770993,0.16793893129770993,0.19083969465648856,-0.002029442611289012,0.018969441737589854,-0.2999323245396739,0.4017792673800913,0.3573127030535723,-0.3377047655300822,0.22585962042674754,0.2381387777214103,0.25999148883165124,0.23372849726929018,0.2337284864269193,0.22233768953581692,0.20394919403848247,0.9299822231601007,0.9331041813020575,0.9634179311846756,0.9802481594751719,0.9742992720600415,0.9731600664388426,0.9802481594751719,False,False,False,True,False,False,True
ACKR3-1,2615,774.2400019449706,5,4.3224866381885394e-165,0.24053537284894838,0.20994263862332696,0.04780114722753346,0.03938814531548757,0.0841300191204589,0.37820267686424475,0.3430149465132286,0.34967259615279245,-1.3887069260288316,-1.1920536829115562,-0.42990901190136155,0.6097043478883568,0.04575430993273443,0.04801709571758183,0.09166090473123348,0.10053347747358397,0.07044954982301159,0.04032634901094588,5.36294359888525e-165,0.9999999999997445,0.9999999999988032,1.0,1.0,0.9999999976128646,1.0,1.0,True,True,True,True,True,True,True
ACKR4-1,35529,2867.1464330248536,5,0.0,0.12313884432435475,0.1415463424244983,0.17202848377381857,0.20521264319288468,0.10045315094711363,0.2576205353373301,-0.47052035512625245,-0.12764782600937563,0.03175295423860591,0.6485250859772427,-0.23470482499922318,0.04851433166260399,0.016148596251177524,0.015223481270465177,0.014061351638579227,0.013142369124440475,0.017652979849728176,0.012134785745253118,0.0,1.0,0.9999999999999994,0.9185074259165478,1.0,1.0,0.9995542452240925,1.0,True,True,True,True,True,True,True
ACKR4-2,21642,2383.9857073295498,5,0.0,0.11810368727474356,0.15973569910359486,0.22040476850568338,0.0852509010257832,0.07259033361057203,0.34391461047962296,-0.5179175991719092,0.014736554971300553,0.33987582813974826,-0.37107919144536394,-0.5901101698746274,0.46113918528534936,0.021065085776632082,0.01855745982239346,0.01640208768363749,0.024344839664618076,0.02620130501215165,0.014313206601580836,0.0,1.0,0.6144782680425757,1.0,1.0,1.0,1.0,1.0,True,False,True,True,True,True,True
ADCYAP1R1-1,6130,1956.5944035565333,5,0.0,0.23947797716150082,0.29804241435562806,0.11207177814029363,0.018433931484502446,0.054812398042414355,0.2771615008156607,0.3372386967592609,0.8183939928497032,-0.4667371431493761,-1.9729668862859588,-0.889912262684363,0.14828882335810223,0.02993002200975975,0.02792601193535268,0.04049001511981417,0.09495212666904812,0.056115334860845696,0.028536820804094757,0.0,1.0,1.0,1.0,1.0,1.0,0.9999992111212814,1.0,True,True,True,True,True,True,True
ADGRA1-2,3345,1792.0465910124854,5,0.0,0.07952167414050822,0.14409566517189837,0.035575485799701045,0.3411061285500747,0.08370702541106129,0.3159940209267564,-0.9561555217080171,-0.10675938391565665,-1.6968722001424175,1.3438286241856818,-0.4354157808066743,0.33463519795578733,0.06390842160733458,0.049235084188044606,0.09334590390755029,0.03647324736198627,0.06243269045210129,0.03719170149497671,0.0,1.0,0.969521409105194,1.0,1.0,0.9999999999909366,1.0,1.0,True,True,True,True,True,True,True
ADGRA2-1,46244,4359.924582925436,5,0.0,0.30667762304298934,0.1343525646570366,0.1218968947322896,0.10993858662745437,0.09782890753395035,0.22930542340627974,0.6776580650134749,-0.18821379123075022,-0.37177814202397563,-0.08934891312895621,-0.2641441366574926,-0.10545431462642463,0.01009002911543306,0.01364017243613143,0.01421761994939004,0.014870914838675628,0.01565760900460091,0.011065639698206271,0.0,1.0,1.0,1.0,0.9999999842900326,1.0,1.0,1.0,True,True,True,True,True,True,True
ADGRA2-2,97,259.6100719835562,5,4.7610104766686095e-54,0.010309278350515464,0.0,0.0,0.0,0.0,0.9896907216494846,-3.0716044246967567,-12.140584076104012,-12.212458078345323,-11.813427609733077,-11.857894059206524,5.671213521637912,1.0051948934145114,101.53466728130283,101.5346672812747,101.53466728146194,101.53466728143698,1.0051948828913193,5.255855660070386e-54,0.9913618370835161,0.9745127138189191,0.9745127138949533,0.974512713478497,0.9745127135242204,0.9995771104779243,0.9995771104779243,True,False,False,False,False,True,True
ADGRA3-2,6564,1432.1997827927855,5,1.4504483787713113e-307,0.24314442413162707,0.2748324192565509,0.061547836684948204,0.1291895185862279,0.06139549055453992,0.22989031078610603,0.3572706405338526,0.7047788768541904,-1.121443876243154,0.09395006519517968,-0.7695010950069228,-0.10208199313832234,0.02877432457636871,0.02765010892365387,0.05135854574905122,0.036801438426427475,0.05141837109405798,0.029335991420793506,2.109469530121762e-307,1.0,1.0,1.0,0.9833944867082447,1.0,0.9987060666638515,1.0,True,True,True,True,True,True,True
