ELM,effect,se,zscore,pvalue,contrast,pip,ci_excludes_zero,significant_pip,qvalue
14-3-3,0.039860797274658494,0.020578229022965678,1.937037304336205,0.05274078348061542,EM_vs_CM,0.09132592638476793,True,False,0.9993964239193447
ANK,-0.0009145247642536429,0.09536496954981859,-0.009589734769179535,0.9923486159597119,EM_vs_CM,0.0898068304031248,False,False,0.9993964239193447
APCC,-0.009600384869696922,0.0575197300544776,-0.16690594445774148,0.8674440557618832,EM_vs_CM,0.08976428699360146,False,False,0.9993964239193447
Actin,-0.015617112015770249,0.058288791801043224,-0.26792650067402396,0.7887558946125588,EM_vs_CM,0.08976905691602981,False,False,0.9993964239193447
Arc,-0.017547897798338465,0.03440749725932647,-0.5100021563928758,0.6100499510620467,EM_vs_CM,0.08968779801132654,False,False,0.9993964239193447
BIR,-0.016402381958834665,0.026854988281896728,-0.6107759864446379,0.5413478930541644,EM_vs_CM,0.08963136839134807,False,False,0.9993964239193447
BRCT,0.011334515889126569,0.03686392546235893,0.3074690431625366,0.758486382528077,EM_vs_CM,0.089678300849739,False,False,0.9993964239193447
CDC14,-0.004078442364345621,0.1220851532655526,-0.03340653843038906,0.9733503956609324,EM_vs_CM,0.08981677149554858,False,False,0.9993964239193447
CKS1,0.0012515848702837474,0.06169819386543085,0.02028559981858729,0.9838155431047355,EM_vs_CM,0.08977151061138085,False,False,0.9993964239193447
CSL,-0.004494291390125462,0.13364228581909104,-0.03362926159620838,0.9731727880805693,EM_vs_CM,0.08981934034255715,False,False,0.9993964239193447
CYCLIN,-0.04057958162372651,0.03011564819959891,-1.347458349718236,0.17783265895414735,EM_vs_CM,0.09003882899332195,False,False,0.9993964239193447
Clathr,-0.0009496671813256595,0.09591874447852394,-0.009900746579708292,0.9921004762220236,EM_vs_CM,0.08980712364306483,False,False,0.9993964239193447
DLG,0.006154054700034271,0.08596491370640552,0.07158798205803017,0.9429298044638309,EM_vs_CM,0.08980111716265231,False,False,0.9993964239193447
EVH1,0.005363825505457465,0.15855395583037504,0.03382965424839869,0.9730129888033419,EM_vs_CM,0.08982309164747014,False,False,0.9993964239193447
FHA,0.0031081814935927377,0.021407764165217575,0.14518944947285894,0.8845612957697456,EM_vs_CM,0.08934149405750354,False,False,0.9993964239193447
GBD,-0.003555437838494128,0.11920243445670657,-0.02982688948173652,0.9762051135984039,EM_vs_CM,0.08981600799094286,False,False,0.9993964239193447
IRF7,0.002448261332792552,0.07275853391597245,0.033649129538811294,0.9731569447225843,EM_vs_CM,0.08978860554422678,False,False,0.9993964239193447
Integrin,0.008630958295604743,0.09944609429856685,0.08679031948396114,0.9308381825205263,EM_vs_CM,0.08980905117020974,False,False,0.9993964239193447
LIR,-0.040202694028073103,0.024079160168182526,-1.6696053245742237,0.09499747624793727,EM_vs_CM,0.09054040618760968,True,False,0.9993964239193447
LYPXL,-0.0034462366981964144,0.09167972663093898,-0.037589953906269825,0.9700146178837856,EM_vs_CM,0.08980477922577249,False,False,0.9993964239193447
MAPK,0.004080038867915296,0.023341311098174763,0.17479904409629954,0.8612375394748228,EM_vs_CM,0.08942285798251058,False,False,0.9993964239193447
MSH2,0.008036832397109572,0.06234663207903346,0.1289056381894328,0.8974323152650521,EM_vs_CM,0.08977373129005103,False,False,0.9993964239193447
MYND,-0.010770798644163672,0.06754908764693934,-0.15945143035032092,0.8733132216184696,EM_vs_CM,0.08978284424185959,False,False,0.9993964239193447
NRBOX,-0.01039070866179011,0.055468174955070934,-0.1873273939553006,0.8514039458742917,EM_vs_CM,0.08975971296121824,False,False,0.9993964239193447
NRP,0.004837942688240183,0.05556545511226277,0.08706745366281532,0.9306178953275568,EM_vs_CM,0.08975790704950684,False,False,0.9993964239193447
PCNA,-0.011406220283923005,0.047900658443931425,-0.23812241114126206,0.8117861530294765,EM_vs_CM,0.08973718357024912,False,False,0.9993964239193447
PDZ,0.06081251264124091,0.026709478323305794,2.2768139424190084,0.022797338581810916,EM_vs_CM,0.0911885006308829,True,False,0.9993964239193447
PP1,-0.01836769655709258,0.03664495386551194,-0.5012339932123415,0.6162064532220568,EM_vs_CM,0.08970334890587206,False,False,0.9993964239193447
PP2A,0.012002103915692265,0.0575128391227985,0.20868564478387133,0.8346936472198189,EM_vs_CM,0.08976536745427008,False,False,0.9993964239193447
PP2B,-0.008747759087364056,0.07607624002491715,-0.1149867433577016,0.9084556296111448,EM_vs_CM,0.08979281412808908,False,False,0.9993964239193447
