motif,Naive,CM,EM,PD1_Low
14-3-3,-0.005101616983097222,-0.04991062170179842,-0.01004982442713992,-0.02668630922987993
WD40,-0.012395999522780452,-0.04575733437820748,-0.014881813071080514,-0.01865430959508901
LIR,-0.007439971779763116,-0.0014904573039839907,-0.041693151332057095,-0.024737056069797717
PDZ,-0.005148166866602687,-0.04046826148646786,0.020344251154773053,-0.011520991481347165
MAPK,-0.038687412892667715,-0.010213160754304462,-0.006133121886389165,-0.0004703639986121484
USP7,-0.0014321249365184543,-0.031335418058619176,-0.0179731210363842,-0.019353521501259893
SH2,-0.0289148299978405,-0.016877693816626512,-0.017629706152571707,-0.012008049849154837
CYCLIN,-0.02282231993396602,0.02474480329375079,-0.01583477832997572,-0.0053741942037606495
FHA,-8.648238357498867e-05,-0.023873895191533663,-0.020765713697940925,-0.020848347171074713
WW,-0.0013749719014006256,-0.01797701619386071,0.018796935289494936,0.0020374815153289157
TRAF2like,0.004978928263420405,0.004325989868027677,-0.01875237617562213,-0.008293580583415436
WRC,0.004412570224361324,-0.01635345194212203,0.0027617629448829306,-0.005133894544777614
PP1,0.0047502459350313095,0.0025869194475959065,-0.015780777109496675,-0.005367579341351809
Arc,-0.014923307781944957,0.007179864421431612,-0.010368033376906852,-0.004500280159550041
Pex14,0.009972374914426527,-0.013019401445288795,-0.014571046136289465,-0.012102113580233664
BIR,-0.014407733672976384,0.007902708375670935,-0.008499673583163732,0.005376552328193611
BRCT,0.014270460654282328,-0.008752652366770575,0.002581863522355994,-0.0022796636862770013
UBA3,-0.00707400260433556,-0.00024187387698061192,-0.013868774433832342,-0.006591865071008937
SH3,0.009521341544195304,-0.013027015062289067,-0.011358727967311102,-0.012652232367331073
MYND,0.00914429688538495,0.0001698557511726176,-0.010600942892991055,-0.01187619927499631
SUMO,0.003249064614596798,-0.0039514322418924925,-0.01119779741149729,-0.007014707936401264
TRAF4,0.007740730511497767,-0.005519793045325965,-0.008536199874428513,-0.010670706936456623
PP2B,-0.006347533125999357,0.010136349215680652,0.0013885901283165968,0.007946873298848809
NRBOX,-0.0029131322697788335,0.001332725003494266,-0.009057983658295844,-0.001989487693493399
APCC,0.002726031224833525,0.0006907324838979585,-0.008909652385798963,-0.0027616338057805147
PCNA,-0.00453363628740391,0.0025479867547228627,-0.008858233529200142,-0.0037423822855120973
Actin,0.005027003404922907,0.006875569844051597,-0.008741542171718653,-0.0026157880545438234
TYR,-0.007049875164095318,0.008696264225294674,-0.006808852221682646,0.0011373677594221504
REV1ctd,-0.007600005224016453,0.004448798437904437,0.0006856574873408128,-0.0012358646952564908
MSH2,-0.006021523622004175,-0.00745632418836785,0.0005805082087417218,-0.0037604308524615613
Integrin,0.001472575292998878,-0.007147661923784982,0.0014832963718197619,-0.0021434354176593294
PP2A,-0.004417330692449628,-0.005325388604661845,0.00667671531103042,-0.0013481939488886273
deltaCOP1,-0.001833019367597245,0.006019357838431631,-0.0042339661431311125,-0.0012461295351229036
IRF7,0.005538245281056307,-0.004826110062823451,-0.0023778487300308996,-0.004792892999490661
DLG,0.002653599255308136,-0.005502602805320157,0.0006514518947141139,0.00019742477465349017
PP4,0.00018607840306915878,-0.004164802704573062,-0.0023995123640033825,-0.005342131434566901
NRP,-0.00531686136167798,-0.003179355631322505,0.0016585870569176785,0.004560032978772018
Clathr,-0.004355631999574983,0.002093375569223101,0.0011437083878974414,0.0023645352867012978
CDC14,-0.0008183778508862217,0.0006890373988090397,-0.0033894049655365816,-0.0022197005635018964
ANK,0.0012294476334543253,-0.00096088283470712,-0.0018754075989607629,-0.003119418481207664
CSL,-0.0024270134182818454,0.0014354795159125596,-0.003058811874212903,-0.000370054916830537
EVH1,-0.0019019942926833816,-0.002856484915194582,0.002507340590262883,0.0014105732221580802
eIF4E,0.0024058948103874702,-0.002168786640960381,-0.002238730520428093,-0.0027818612238562726
LYPXL,-0.0009474323506757238,0.0009561464673703162,-0.002490090230826098,-0.0007024379440750874
TRFH,-0.001066332515763607,-0.0022715845748302386,-0.00022691005918744974,-0.00026555728559596894
PTB,-0.0011925743202920798,0.0010457032595367188,-5.8247103073890555e-06,0.0022049322610552826
CKS1,-0.002156119159789845,-0.00013728946360624678,0.0011142954066775007,-0.001638520250930882
GBD,-0.0006814762722827616,0.0019272916204546985,-0.0016281462180394296,-0.0005652178748140751
TRAF6,-0.0016729339202625848,-0.0018783104646300686,0.00047067698173325833,0.00043249410783855906
