motif,Naive,CM,EM,PD1_Low
MAPK,0.09510971739796546,0.09404489749604297,0.09397601023773508,0.09397905245873664
SH2,0.09465525283455414,0.09405003620385541,0.09406897613279686,0.09407357686277892
14-3-3,0.09394926633353834,0.09460522637026766,0.09411761114276405,0.09439579484308809
LIR,0.09402119512570593,0.0940000440868892,0.09459153779801124,0.0945939231077893
WD40,0.09410286744761956,0.0944716440194993,0.09399348645240935,0.09414864143875912
FHA,0.09393711804126664,0.0940837350511075,0.09417689520093042,0.09424054698278433
USP7,0.09391560412452418,0.09420309268811278,0.09402937775226639,0.0941744872804639
CYCLIN,0.09419552359466073,0.0940934346905889,0.0941175181184065,0.09413455687603432
PDZ,0.09403025176908639,0.09419483177608134,0.09406246364223766,0.09417729448202597
EVH1,0.0941614417661191,0.09416168474548843,0.09416157439149384,0.09416170099325538
CSL,0.09415969829422585,0.0941606339396459,0.09415978584809108,0.09416032215065977
TRFH,0.09415960385289648,0.09415978973965498,0.09415951605909115,0.09415963901379301
CDC14,0.09415918236678611,0.09415976207806931,0.09415911859151685,0.0941592221733932
GBD,0.09415780659457916,0.09415877440057546,0.09415744272118526,0.0941578876118391
deltaCOP1,0.09415541363238217,0.09415689317835238,0.09415519948800177,0.0941557370884665
Integrin,0.09415621277632114,0.09415606255203632,0.09415604122538165,0.09415571080200541
ANK,0.09415430012801479,0.09415505165919287,0.09415374721297404,0.09415383679491031
Clathr,0.09415316639655555,0.09415461263136088,0.09415334945844184,0.09415398776432139
eIF4E,0.09415412463403562,0.09415424883666391,0.09415357622928382,0.09415354152948038
LYPXL,0.0941530527877302,0.09415358300665369,0.09415278587064639,0.09415312553835713
DLG,0.09415255606670732,0.09415245460035551,0.09415146557399079,0.09415171239542951
TRAF6,0.09415097120067847,0.0941519851720658,0.09415054114232174,0.09415118415766363
IRF7,0.09414769435754401,0.09414719526505519,0.09414568330514715,0.09414577448515084
PP2B,0.09414433197113975,0.09414746771251636,0.0941434371061578,0.09414593805650764
TRAF2like,0.09414609056720219,0.0941473501617087,0.09414491685389131,0.09414608033131504
MYND,0.09414421163465873,0.09414411948540927,0.09414289678389126,0.09414284221573295
REV1ctd,0.09414077277212145,0.09414245356456705,0.09414015552042498,0.09414035529464158
MSH2,0.0941408788932497,0.09414190677220574,0.09414083950637872,0.09414073009038888
CKS1,0.09413741708506339,0.09413947138443013,0.0941362601906875,0.09413734416642934
PTB,0.09413640299344733,0.09413803864562689,0.09413434234538558,0.09413550343522772
WRC,0.09413726260181514,0.09413772809867038,0.0941349842510914,0.09413499647912149
Actin,0.09413491508284728,0.0941363647819595,0.09413210341421281,0.09413328333021466
PP2A,0.09413306152799536,0.09413583361360439,0.09413260222589223,0.09413328275656105
APCC,0.09413519500078456,0.09413578770140296,0.09413316458324979,0.09413421366467366
NRBOX,0.09413260856021244,0.09413531521040025,0.09413219232758016,0.0941333135367815
NRP,0.09413224523227687,0.09413503532527259,0.09413272299581635,0.09413367606452028
TRAF4,0.09413347798644162,0.09413327548257269,0.09413120560387842,0.09413174032484171
TYR,0.0941233906121613,0.09412485098060941,0.09412110581672292,0.09412335690717517
PCNA,0.09412207695779473,0.09412451622365817,0.09412160029878028,0.09412281263727422
PP4,0.09411712522430908,0.09412004828462307,0.09411651045440284,0.09411733541735115
Arc,0.09411237187969561,0.09408518081361678,0.09408585656408389,0.09408903326951638
BRCT,0.09411227520972074,0.09409353464472629,0.09408374412865808,0.09408491753721618
BIR,0.09410999117770844,0.09405134659056909,0.09402192907213176,0.09404132550043429
PP1,0.09409001160721814,0.09409354466738835,0.09409659190794493,0.09409937725725318
WW,0.09405470597661217,0.09408015673485329,0.09408101411862865,0.09409039075491006
Pex14,0.09407476629120674,0.0940699648986261,0.09408471096821922,0.09408969562125524
UBA3,0.09407885277434982,0.09407813566187853,0.09408590926182377,0.09408860013308044
SUMO,0.09408153523905188,0.0940853920979554,0.09408247532475851,0.09408404567702297
SH3,0.09407307363998166,0.09406688311094571,0.09405729444702521,0.09407169786692135
