motif,Naive,CM,EM,PD1_Low
F_14_3_3,-11.850581903238467,-9.640983319581109,-16.420940693678183,-29.872934586959744
Arc,-8.78879788068955,-6.971618739313956,-19.97719131392842,-9.905970204276352
BIR,-0.39634012136879465,-0.23581560436481902,-1.2966741368414751,-0.2999823310382354
BRCT,-12.794555077356028,-9.55271270972305,-6.341086738445346,-13.846220523915138
CYCLIN,-10.865438266475742,-7.535865592945554,-8.94340540360058,-10.808867742628076
FHA,-16.12716316407765,-10.988052991731672,-14.86732164416999,-15.977816779178596
LIR,4.396617478263712,8.273218066483018,3.1642213014298344,9.224366843677958
MAPK,-6.478159610774763,-3.1484093740681796,-2.222026143634478,-3.506748290809735
PDZ,-18.629285662096407,-28.13161936880434,-18.393353761366036,-23.540650670892358
PP1,-15.060681076689646,-8.134006272003875,-19.38205255863091,-20.772417451952236
PP4,-5.4211634081464775,-14.002694153736467,-4.923197712732009,-12.386249323016775
Pex14,-13.965191436584721,-11.272649486066275,-10.125599703381994,-15.887962830161976
SH2,-11.12533138028612,-10.94562119463399,-6.082052458922084,-8.373279062560115
SH3,-12.291999439964844,-20.485969644736397,-17.65771394181473,-42.7367437691266
SUMO,-10.810498687475151,-7.260544660587721,-9.610424311387684,-13.301810336750822
TYR,7.471945866585419,14.954373105169946,7.0984209219638865,9.906882706932658
UBA3,8.949730646928273,20.249934268403415,8.259427704759196,16.176717825524307
USP7,-30.56935867848971,-42.73016982125016,-22.300538679070456,-33.75546981249739
WD40,-18.86335328462329,-27.43496917537365,-11.653263753573157,-18.018589266523584
WW,-5.47500580152695,-9.907500531576419,-7.198833793316292,-9.680919373887898
