motif,contrast,log_effect,se_log_effect,z,logFC,pvalue,qvalue,neglog10_q
TYR,EM_vs_CM,-0.15006309674065985,0.014380553332433392,-10.435140656389962,-0.21649528548819075,1.713597839557964e-25,3.427195679115928e-24,23.46506109839063
PP1,EM_vs_CM,-0.1598730805452202,0.03136304131962221,-5.0974992799947625,-0.230648100474231,3.4416972448397117e-07,3.441697244839712e-06,5.463227335832533
BRCT,EM_vs_CM,0.15673092386814194,0.03544707692837431,4.42154720359138,0.22611492661851407,9.799664963871983e-06,6.533109975914656e-05,4.184880030998788
Arc,EM_vs_CM,-0.13774858518681138,0.04311055326749595,-3.195240486293402,-0.1987292007384837,0.0013971436922204086,0.006985718461102043,2.1557889213112653
FHA,EM_vs_CM,-0.04221878197661455,0.017643591852012537,-2.3928677522541317,-0.06090882739003416,0.016717265496629847,0.06686906198651939,1.1747747688733137
MAPK,EM_vs_CM,0.04171851736861421,0.020595975283349773,2.025566490281252,0.060187098120939815,0.04280922837896317,0.14269742792987725,0.8455838548175774
LIR,EM_vs_CM,-0.03240889376332147,0.020791176345013384,-1.5587811495377226,-0.04675615031304114,0.11904818727234638,0.3044069376734174,0.5165454538760117
PP4,EM_vs_CM,0.07318547995211652,0.0472952603406619,1.5474167902866074,0.10558432899199716,0.12176277506936696,0.3044069376734174,0.5165454538760117
SH2,EM_vs_CM,0.04045788436699746,0.027627094451934783,1.4644277717074266,0.05836838914112635,0.14307710464456203,0.31794912143236004,0.49764237073573864
BIR,EM_vs_CM,-0.027028160860832297,0.02051161465601315,-1.3177003036622845,-0.03899339363827193,0.18760399287596863,0.37520798575193726,0.42572792687321703
SUMO,EM_vs_CM,-0.09292563042937821,0.08246254770178858,-1.1268828458396354,-0.1340633461919445,0.2597920170423348,0.45312905038139006,0.34377809404261284
PDZ,EM_vs_CM,0.042320517667875535,0.03851699154018554,1.098749304543209,0.06105560096729779,0.27187743022883404,0.45312905038139006,0.34377809404261284
CYCLIN,EM_vs_CM,-0.022260987377376695,0.021956267464675366,-1.0138784933819731,-0.03211581609463317,0.3106407347783696,0.47790882273595325,0.32065495183917436
WW,EM_vs_CM,0.028672081329493893,0.03479467460993444,0.8240364840574641,0.041365069546025875,0.40991882798042034,0.5698650677899663,0.2442279640667537
SH3,EM_vs_CM,-0.04093713534373569,0.0515807958033382,-0.7936507125600867,-0.059059802148607794,0.4273988008424747,0.5698650677899663,0.2442279640667537
