motif,Naive,CM,EM,PD1_Low
EVH1,0.01788720538720539,-0.14560974326599327,-0.1140440867003367,0.042201529180695856
DLG,0.006889171884396335,-0.1344449750610209,-0.03297339842230004,-0.025702477389838104
deltaCOP1,-0.10365999046256558,0.13006676204101097,-0.08765001589572405,-0.06027791024214487
ANK,-0.09298005086631697,-0.1209863296773168,-0.11535328246701637,-0.11900929899856938
GBD,0.04699546485260771,0.11143990929705215,0.1208843537414966,0.07713529856386998
Integrin,0.06447278911564626,-0.12081632653061225,0.08241496598639456,-0.018871882086167798
PP2B,-0.1172310621515028,0.015803498572011423,0.00594357745138039,-0.030639421551294257
APCC,0.029064976506066344,0.11283809056268555,-0.06581369661266569,0.016211983075016947
CDC14,0.10384353741496599,0.022324263038548755,0.04866780045351474,0.07690854119425548
TYR,-0.05265330611075292,0.10281538792177089,-0.013715165842825417,0.0234451488884113
LYPXL,-3.586800573887952e-05,0.09994420532440618,-0.07438625856846803,0.008172591529836867
TRAF2like,0.07288651712493971,0.05668365090850619,-0.09039586348287505,-0.008825440853299027
Clathr,-0.08797622837737451,0.06844511655877464,0.04147210725529732,0.0494446213166366
PP1,-0.006185847930154348,0.08373043259171623,0.012585307875162946,0.015096390139523333
NRP,0.019872498779892632,0.019980952768288054,0.0398254907542975,0.07864100374166261
IRF7,0.07742801546836128,-0.062011995369344076,0.011973817089090864,-0.0074488698408006785
REV1ctd,0.009563869626762709,0.07199555627228582,0.06491784479205863,0.020803096274794385
Actin,-0.02278971381755516,0.06398582506992118,0.003114670734808034,-0.016815808307672025
CKS1,-0.06271351878965349,-0.057722940729895346,-0.0337868065723117,-0.054646123673698095
PDZ,-0.01998637611872341,-0.0626099159089939,0.03808959747300124,-0.032315514387482626
WW,-0.012112567298737512,-0.004508739881080305,0.05917174334727526,-0.007463707818317747
PTB,0.004175848235726191,0.05914166454784304,0.019319257281690542,0.01400071569153695
PP2A,-0.03503239591949269,0.00871800173909355,0.0572005365739857,0.006491113656126063
WRC,0.018989956775997966,-0.05214424951267056,0.05652844873859367,-0.008577704325225302
CSL,0.0394903450459006,0.05440804051915163,-0.02510288065843621,0.03847209032394218
eIF4E,0.05273903195040534,-0.026640240025433158,-0.03696749324431728,-0.013355719811370742
LIR,-0.007708782729169954,0.04975493921342819,-0.011494546843365698,-0.0025239239344568933
BRCT,-0.04071765334888694,-0.043643676484883834,0.038784995625546805,-0.048443423738699316
CYCLIN,-0.005527627717753768,0.04579290049353074,0.017438850540216086,-0.0014830932372949177
TRAF6,0.006522636025517869,-0.0029557378260548287,0.04562766324293702,0.0258544955951296
MSH2,0.004156558305029919,-0.04488921235646126,0.019820475497331392,0.016216507628443583
TRFH,0.032977207977207976,-0.013319088319088318,0.04275878442545109,0.03584995251661918
MYND,0.041768665850673195,0.018591476268189855,-0.005140333877328977,-0.01817568792782991
UBA3,0.040216018706576595,0.026340934080444044,0.011778637243180694,0.03347433687522707
Arc,-0.030647965794803143,0.03886271582054715,0.010575153176809803,0.003808682021533427
BIR,-0.03617235962792871,0.026230234481147443,-0.016022020263499265,0.007497499851425595
WD40,-0.006543347920286591,-0.027902687503128326,0.034143593002552715,-0.007972324116381005
14-3-3,-0.006351704057191963,-0.02712035818112007,0.032941944124476624,-0.019597495718525832
TRAF4,0.01348159009449332,-0.03191511893124796,0.004317367220593027,-0.021588465298142717
USP7,0.003709519652067065,-0.0035588439241977586,0.029779227498342793,-0.001669109814087258
SH2,-0.020091538311382186,0.020385954396122456,0.028101428297828454,0.008729663268412936
Pex14,-0.0168096659743856,-5.040671512634206e-05,-0.0015939771547248162,-0.023889754240221533
NRBOX,-0.0031964809384164225,-0.022839687194525907,-0.016783968719452588,0.01754969045291626
FHA,0.014432074746601338,0.019788754383436614,0.013748859105538743,0.004407535507838146
SUMO,-0.0058442521505211375,0.01910025877852445,0.01094247036321049,0.009074082597740887
PP4,0.007890461934579582,0.011018937489525725,0.019090318722671664,-0.016569668530452844
PCNA,-0.0021725414095141154,0.014847246081737398,-0.002119520264681554,0.007914289552006673
MAPK,-0.014304536343406546,-0.013568792573340807,0.006447578521802647,0.004774991223450939
SH3,-0.007997634913563747,-0.011062657002140796,0.012088778136639814,-0.011570207026271177
