ELM,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars
14-3-3,295,412,2194935.0,0.8544675598459742,0.0032979540343371183,4375440,-0.4426424634319256,-0.6240381342969481,-2.6070418334560648,-2.630466471634761,Naive_High,0.9538449525967402,
ANK,8,699,91151.0,0.25993489705194894,-0.0944305356859005,201312,-0.3314439708826444,-0.5508321692070095,-5.495613598301205,-2.576322509356306,Naive_High,0.8063022875064795,
APCC,28,679,350289.0,0.6038193642646923,0.023590363980643805,684432,-1.928885519239195,-0.49142038807667654,-2.088423330134386,-2.68322371073399,Naive_High,0.9206479756931892,
Actin,23,684,288260.0,0.719422343852811,0.017953498884086223,566352,-1.3360277368275972,-0.5218634504323477,-1.9334419535603016,-2.6737375436996613,Naive_High,0.9488308388878706,
Arc,83,624,894125.5,0.13753307451254543,-0.04090131895101774,1864512,-1.2087371776388698,-0.46050969919669016,-2.8950841714218747,-2.572944710738978,Naive_High,0.7487911834571919,
BIR,124,583,1236241.5,0.032096280336236564,-0.04996288201552961,2602512,-2.3665951893842214,-0.1616216716279884,-3.515719243295152,-2.4528349541326477,Naive_High,0.4420787453262746,
BRCT,72,635,828263.0,0.8260258413181872,0.006443812578983183,1645920,-1.247814638600803,-0.46904028986378427,-2.2506815482726044,-2.6972015943126633,Naive_High,0.9538449525967402,
CDC14,7,700,91984.0,0.6318891606219164,0.04290249433106576,176400,0.04583494439244107,-0.5542915466478683,-0.7278013066496047,-2.6689062601749525,Naive_High,0.9206479756931892,
CKS1,24,683,289633.0,0.7073680331286358,-0.018379561845886884,590112,0.8221334656428646,-0.5965072345800725,-2.871244672975954,-2.5823284104372934,Naive_High,0.9488308388878706,
CSL,5,702,61265.0,0.7745557868472412,-0.0303102247546692,126360,-3.499836984166345,-0.5273277109998987,-1.2804364948255509,-2.630466471634761,Naive_High,0.9488308388878706,
CYCLIN,112,595,1199676.5,0.9957263598933885,0.00013046885420835,2399040,-1.6010043465136978,-0.3502029432491202,-2.3181305710725395,-2.7365034045591328,Naive_High,0.9957263598933884,
Clathr,9,698,102070.0,0.21842292822962384,-0.09733276734231844,226152,-3.988316703440085,-0.5039948248020057,-4.14966683435955,-2.5823284104372934,Naive_High,0.8063022875064795,
DLG,9,698,115108.0,0.8202835255143903,0.017970214722841275,226152,-2.465407442872193,-0.5236311906259471,-2.2897919519189314,-2.630466471634761,Naive_High,0.9538449525967402,
EVH1,3,704,38308.0,0.9551661755329313,0.007680976430976431,76032,-1.4955296137526417,-0.5443134221612256,-2.3755507004219556,-2.617974628520029,Naive_High,0.9750654708565341,
FHA,257,450,2152052.5,0.06671220888603349,0.03379569582552722,4163400,-0.2656245029875195,-0.7098172017221516,-2.141036187808221,-2.9704296166617965,Naive_High,0.5448163725692735,
GBD,7,700,93198.0,0.5268726790031296,0.056666666666666664,176400,-1.3969408708100688,-0.539863788495843,-1.9348496092987446,-2.6646889679403833,Naive_High,0.9206479756931892,
IRF7,13,694,175612.0,0.2174995360098796,0.08138131481070962,324792,2.3322102434924328,-0.6023083158619055,-1.8660547714792182,-2.6342414868345987,Naive_High,0.8063022875064795,
Integrin,7,700,91803.5,0.6482357432865379,0.04085600907029478,176400,3.1482712716132863,-0.5853159099200769,-2.258443673324508,-2.630466471634761,Naive_High,0.9206479756931892,
LIR,249,458,2047748.5,0.8954462820295929,-0.002439403416674948,4105512,-1.5032876149533714,-0.02918039720386706,-2.356465357347803,-2.788741968783128,Naive_High,0.9538449525967402,
LYPXL,10,697,118649.0,0.4696520964452524,-0.05428821935278176,250920,-3.4460562364378116,-0.506775718333404,-2.6920173419905047,-2.617974628520029,Naive_High,0.9206479756931892,
MAPK,211,496,1810440.0,0.0444172519316696,-0.038946644243999386,3767616,-1.931772065414215,0.040162636612174986,-3.0429212389452447,-2.4326275467320557,Naive_High,0.4420787453262746,
MSH2,20,687,232431.0,0.2602510710243706,-0.06020135856380398,494640,-2.599892234988596,-0.4886250267001291,-2.9710069341628165,-2.572109360925868,Naive_High,0.8063022875064795,
MYND,19,688,249546.0,0.26930381608313203,0.060562015503875966,470592,3.454889729601853,-0.6589042774784825,-2.266724288017999,-2.6689062601749525,Naive_High,0.8063022875064795,
NRBOX,25,682,296300.0,0.47183775260857375,-0.03453893776474422,613800,-2.819826087081987,-0.46508443675324224,-3.2175839098820047,-2.576322509356306,Naive_High,0.9206479756931892,
NRP,24,683,297386.5,0.8718546549526578,0.007898500623610433,590112,-2.10781593354742,-0.49355147238304925,-2.0355859341058844,-2.6737375436996613,Naive_High,0.9538449525967402,
PCNA,31,676,367969.0,0.5716296639875109,-0.024493117855400735,754416,-2.655417001783116,-0.45172383282172207,-3.3018011927165403,-2.563678018914218,Naive_High,0.9206479756931892,
PDZ,137,570,1400941.0,0.882033064999683,-0.0033287801824106087,2811240,-0.28552080185480816,-0.6115208564713193,-2.6275782885750063,-2.6177764742789646,Naive_High,0.9538449525967402,
PP1,63,644,741102.0,0.6344431199818484,0.014796739952019454,1460592,-0.5341264953700002,-0.549741100674613,-2.0793096430129063,-2.7341645188703527,Naive_High,0.9206479756931892,
PP2A,31,676,360420.5,0.30402928589266787,-0.0445046234438294,754416,-4.296393889023862,-0.37647193414648084,-1.6186043747378527,-2.6972015943126633,Naive_High,0.8063022875064795,
PP2B,19,688,217228.0,0.16131849544277366,-0.07678838569291446,470592,-3.2368656416791346,-0.47410289367857145,-1.928803549400881,-2.642087944597743,Naive_High,0.7904606276695909,
PP4,44,663,544553.0,0.3126478257678186,0.037054176760059114,1050192,3.8966263967722625,-0.8433405723993065,-1.7509799157889874,-2.6737375436996613,Naive_High,0.8063022875064795,
PTB,23,684,290982.5,0.5812092256669081,0.027567661101223266,566352,-1.0657405148504155,-0.5309520558497093,-1.4887638556412979,-2.6760626245007,Naive_High,0.9206479756931892,
Pex14,107,600,1164648.0,0.7516284336918236,0.007829698857736241,2311200,-0.1502789719608818,-0.619338980071577,-2.6355042457999964,-2.617974628520029,Naive_High,0.9488308388878706,
REV1ctd,18,689,229329.0,0.6277470070944673,0.027293984841154653,446472,-0.07149161379171436,-0.5608075311966764,-2.266724288017999,-2.6342414868345987,Naive_High,0.9206479756931892,
