ELM,contrast,effect_low,effect_high,diff,pvalue,qvalue
14-3-3,PD1Low_vs_PD1High,-0.019597495718525832,0.01924408364263556,-0.038841579361161394,0.007220743991337544,0.09399526672189508
ANK,PD1Low_vs_PD1High,-0.11900929899856938,-0.10053714300853071,-0.018472155990038666,0.25619351158642795,0.5021392827093988
APCC,PD1Low_vs_PD1High,0.016211983075016947,0.0345142638957072,-0.018302280820690252,0.03913944366886151,0.16114561739703484
Actin,PD1Low_vs_PD1High,-0.016815808307672025,0.04635632963245473,-0.06317213794012676,0.3842323594312749,0.5674408909113529
Arc,PD1Low_vs_PD1High,0.003808682021533427,0.008717920113502446,-0.004909238091969019,0.6332645547789104,0.8174358304300531
BIR,PD1Low_vs_PD1High,0.007497499851425595,-0.02480693012494595,0.03230442997637155,0.07659147508583136,0.2501988186137158
BRCT,PD1Low_vs_PD1High,-0.048443423738699316,0.01805920093321668,-0.06650262467191599,0.016313019129993916,0.09732918923953104
CDC14,PD1Low_vs_PD1High,0.07690854119425548,0.039648526077097505,0.03726001511715798,0.3943959479062648,0.5674408909113529
CKS1,PD1Low_vs_PD1High,-0.054646123673698095,-0.04816938705420892,-0.006476736619489172,0.1726490825315557,0.40284785924029665
CSL,PD1Low_vs_PD1High,0.03847209032394218,0.007391579613801837,0.03108051071014034,1.0,1.0
CYCLIN,PD1Low_vs_PD1High,-0.0014830932372949177,0.039952508781290294,-0.04143560201858521,0.0494835291370273,0.18651484059341059
Clathr,PD1Low_vs_PD1High,0.0494446213166366,-0.034817291025504966,0.08426191234214156,0.31374335694354166,0.5674408909113529
DLG,PD1Low_vs_PD1High,-0.025702477389838104,-0.08131699034277831,0.055614512952940204,0.09368901228477439,0.2700448001149379
EVH1,PD1Low_vs_PD1High,0.042201529180695856,-0.20337927890011223,0.2455808080808081,0.01787678986032203,0.09732918923953104
FHA,PD1Low_vs_PD1High,0.004407535507838146,0.02757225664921299,-0.02316472114137484,0.38717752242247006,0.5674408909113529
GBD,PD1Low_vs_PD1High,0.07713529856386998,0.10907785336356764,-0.03194255479969765,0.24724103922458163,0.5021392827093988
IRF7,PD1Low_vs_PD1High,-0.0074488698408006785,0.025708761299539393,-0.03315763114034007,0.6339298276804494,0.8174358304300531
Integrin,PD1Low_vs_PD1High,-0.018871882086167798,0.03625283446712018,-0.055124716553287975,0.08392557735670289,0.2570220806549026
LIR,PD1Low_vs_PD1High,-0.0025239239344568933,0.022891663695051922,-0.025415587629508817,0.039464232831926904,0.16114561739703484
LYPXL,PD1Low_vs_PD1High,0.008172591529836867,0.008842127636962648,-0.0006695361071257806,0.17167855493293938,0.40284785924029665
MAPK,PD1Low_vs_PD1High,0.004774991223450939,-0.01905882482008074,0.02383381604353168,0.2665035115900176,0.5022566179965716
MSH2,PD1Low_vs_PD1High,0.016216507628443583,-0.030157959997843545,0.04637446762628713,1.0,1.0
MYND,PD1Low_vs_PD1High,-0.01817568792782991,0.05498889342218596,-0.07316458135001587,0.7680924648932701,0.9409132694942558
NRBOX,PD1Low_vs_PD1High,0.01754969045291626,-0.046096448354512876,0.06364613880742914,1.0,1.0
NRP,PD1Low_vs_PD1High,0.07864100374166261,-0.025521708873343815,0.10416271261500643,0.013569311605818535,0.09498518124072974
PCNA,PD1Low_vs_PD1High,0.007914289552006673,-0.0008774999469788545,0.008791789498985528,1.0,1.0
PDZ,PD1Low_vs_PD1High,-0.032315514387482626,0.0026443846843385854,-0.03495989907182121,0.011509624496558582,0.09399526672189508
PP1,PD1Low_vs_PD1High,0.015096390139523333,0.04499020488495988,-0.02989381474543655,0.009874441331264593,0.09399526672189508
PP2A,PD1Low_vs_PD1High,0.006491113656126063,0.01409964793959831,-0.0076085342834722475,0.3932472564093812,0.5674408909113529
PP2B,PD1Low_vs_PD1High,-0.030639421551294257,-0.03301656920077973,0.002377147649485472,0.02415940010152403,0.11838106049746774
PP4,PD1Low_vs_PD1High,-0.016569668530452844,0.041902813961637496,-0.05847248249209034,0.170968398143877,0.40284785924029665
PTB,PD1Low_vs_PD1High,0.01400071569153695,0.041090464351969565,-0.027089748660432615,0.3833806127317348,0.5674408909113529
Pex14,PD1Low_vs_PD1High,-0.023889754240221533,0.011587054344063692,-0.03547680858428522,0.5629794046012511,0.7662775229294806
REV1ctd,PD1Low_vs_PD1High,0.020803096274794385,0.07684841751927705,-0.056045321244482665,0.16654546637516018,0.40284785924029665
SH2,PD1Low_vs_PD1High,0.008729663268412936,0.010200899653299546,-0.0014712363848866095,0.22424789434934328,0.47774551404860094
SH3,PD1Low_vs_PD1High,-0.011570207026271177,0.006922531173561355,-0.018492738199832534,0.7433156378040968,0.9339093910871986
SUMO,PD1Low_vs_PD1High,0.009074082597740887,0.007058235396401648,0.002015847201339239,1.0,1.0
TRAF2like,PD1Low_vs_PD1High,-0.008825440853299027,0.03494164388701292,-0.04376708474031195,0.20878115087341637,0.4650125633089728
TRAF4,PD1Low_vs_PD1High,-0.021588465298142717,0.012177690887368307,-0.03376615618551102,1.0,1.0
TRAF6,PD1Low_vs_PD1High,0.0258544955951296,0.006941878699803769,0.01891261689532583,1.0,1.0
TRFH,PD1Low_vs_PD1High,0.03584995251661918,0.005761316872427984,0.0300886356441912,1.0,1.0
TYR,PD1Low_vs_PD1High,0.0234451488884113,0.0008527950903837421,0.022592353798027556,0.0008712683257272684,0.021346073980318077
UBA3,PD1Low_vs_PD1High,0.03347433687522707,0.018749389811573813,0.014724947063653258,0.4053149220795378,0.5674408909113529
USP7,PD1Low_vs_PD1High,-0.001669109814087258,0.02162237863156199,-0.02329148844564925,0.373768391121528,0.5674408909113529
WD40,PD1Low_vs_PD1High,-0.007972324116381005,0.007770695835806203,-0.015743019952187208,0.01101135339239212,0.09399526672189508
WRC,PD1Low_vs_PD1High,-0.008577704325225302,0.02416047499317268,-0.03273817931839798,0.37008149261564194,0.5674408909113529
WW,PD1Low_vs_PD1High,-0.007463707818317747,0.035830665263289374,-0.04329437308160712,0.00028315643571126547,0.013874665349852008
deltaCOP1,PD1Low_vs_PD1High,-0.06027791024214487,0.019449080697292426,-0.0797269909394373,0.07159242349893814,0.2501988186137158
eIF4E,PD1Low_vs_PD1High,-0.013355719811370742,0.006109918931807348,-0.01946563874317809,1.0,1.0
