ELM,tsubset,cliff_delta,pvalue,qvalue
14-3-3,Naive,-0.006351704057191963,0.6836133505267106,0.9270733716374815
14-3-3,CM,-0.02712035818112007,0.0270429950876252,0.14723408436595942
14-3-3,EM,0.032941944124476624,0.006548095171443613,0.08482051897182954
ANK,Naive,-0.09298005086631697,0.259979037598951,0.5790442201067546
ANK,CM,-0.1209863296773168,0.08480199539023858,0.26467781849784267
ANK,EM,-0.11535328246701637,0.12520405612730812,0.31168566355721233
APCC,Naive,0.029064976506066344,0.6237036104765226,0.9046100749425795
APCC,CM,0.11283809056268555,0.0015751599756549384,0.015436567761418395
APCC,EM,-0.06581369661266569,0.08975137291403223,0.31168566355721233
Actin,Naive,-0.02278971381755516,0.4278593125391188,0.8735460964340342
Actin,CM,0.06398582506992118,0.1374244008402885,0.3544102969039019
Actin,EM,0.003114670734808034,0.7395395590555677,0.8981953425319568
Arc,Naive,-0.030647965794803143,0.2375283137711658,0.5790442201067546
Arc,CM,0.03886271582054715,0.11406033086937561,0.3287621301529062
Arc,EM,0.010575153176809803,0.41604211369038,0.7280736989581651
BIR,Naive,-0.03617235962792871,0.059781075778547965,0.5790442201067546
BIR,CM,0.026230234481147443,0.05763535417172716,0.2172514755641172
BIR,EM,-0.016022020263499265,0.5814471879693304,0.8379680061910938
BRCT,Naive,-0.04071765334888694,0.015942424038958847,0.2603929259696612
BRCT,CM,-0.043643676484883834,0.08642541012174454,0.26467781849784267
BRCT,EM,0.038784995625546805,0.029540937303666692,0.1911695082173137
CDC14,Naive,0.10384353741496599,0.17366932314145445,0.5790442201067546
CDC14,CM,0.022324263038548755,0.9155550127547112,0.9545148005315074
CDC14,EM,0.04866780045351474,0.6863461879816724,0.8981953425319568
CKS1,Naive,-0.06271351878965349,0.09962378667887273,0.5790442201067546
CKS1,CM,-0.057722940729895346,0.20007624863826523,0.4084890076364582
CKS1,EM,-0.0337868065723117,0.5572987516528587,0.8379680061910938
CSL,Naive,0.0394903450459006,0.5733249855651592,0.9046100749425795
CSL,CM,0.05440804051915163,0.6697278190298019,0.7813491222014355
CSL,EM,-0.02510288065843621,0.5439174826489399,0.8379680061910938
CYCLIN,Naive,-0.005527627717753768,0.9266363768059808,0.978371886145094
CYCLIN,CM,0.04579290049353074,0.020708300524635126,0.12683834071339015
CYCLIN,EM,0.017438850540216086,0.013686157472837301,0.1149236554793265
Clathr,Naive,-0.08797622837737451,0.2559702735438434,0.5790442201067546
Clathr,CM,0.06844511655877464,0.18019742827670038,0.3838988689373182
Clathr,EM,0.04147210725529732,0.6837680459691553,0.8981953425319568
DLG,Naive,0.006889171884396335,0.9751817462179114,0.978371886145094
DLG,CM,-0.1344449750610209,0.03196806277590991,0.15664350760195855
DLG,EM,-0.03297339842230004,0.7210179368297247,0.8981953425319568
EVH1,Naive,0.01788720538720539,0.978371886145094,0.978371886145094
EVH1,CM,-0.14560974326599327,0.00929396588621012,0.07590072140404931
EVH1,EM,-0.1140440867003367,0.3487654006014784,0.657288639595094
FHA,Naive,0.014432074746601338,0.20762336838816065,0.5790442201067546
FHA,CM,0.019788754383436614,0.2707226578747024,0.5102080859946315
FHA,EM,0.013748859105538743,0.1893349324239686,0.3865588203656025
GBD,Naive,0.04699546485260771,0.724316259549,0.9270733716374815
GBD,CM,0.11143990929705215,0.17814260643730928,0.3838988689373182
GBD,EM,0.1208843537414966,0.10222314722338444,0.31168566355721233
IRF7,Naive,0.07742801546836128,0.22244667130749418,0.5790442201067546
IRF7,CM,-0.062011995369344076,0.29174827589317454,0.5255378776144348
IRF7,EM,0.011973817089090864,0.960584852459005,0.960584852459005
Integrin,Naive,0.06447278911564626,0.5390482204408579,0.9046100749425795
Integrin,CM,-0.12081632653061225,0.062071850161176334,0.2172514755641172
Integrin,EM,0.08241496598639456,0.3892873747272163,0.7064844948753185
LIR,Naive,-0.007708782729169954,0.7960708610586678,0.9270733716374815
LIR,CM,0.04975493921342819,0.0005838594955809295,0.007152278820866387
LIR,EM,-0.011494546843365698,0.03121134828037775,0.1911695082173137
LYPXL,Naive,-3.586800573887952e-05,0.5543917745672753,0.9046100749425795
LYPXL,CM,0.09994420532440618,0.12835085736236695,0.34939955615311
LYPXL,EM,-0.07438625856846803,0.11320211227649013,0.31168566355721233
MAPK,Naive,-0.014304536343406546,0.1222345924278806,0.5790442201067546
MAPK,CM,-0.013568792573340807,0.49065397215629736,0.6683561739689019
MAPK,EM,0.006447578521802647,0.8767450389050481,0.9140533384329225
MSH2,Naive,0.004156558305029919,0.20596497924516377,0.5790442201067546
MSH2,CM,-0.04488921235646126,0.3988689636463918,0.5922599763234303
MSH2,EM,0.019820475497331392,0.7860397485741589,0.8981953425319568
MYND,Naive,0.041768665850673195,0.4917892649188774,0.8925064437416664
MYND,CM,0.018591476268189855,0.8598492229389273,0.936280264977943
MYND,EM,-0.005140333877328977,0.11091501611421739,0.31168566355721233
NRBOX,Naive,-0.0031964809384164225,0.6144338326644787,0.9046100749425795
NRBOX,CM,-0.022839687194525907,0.4910371890383769,0.6683561739689019
NRBOX,EM,-0.016783968719452588,0.625858058062386,0.8762012812873404
NRP,Naive,0.019872498779892632,0.8088024072873511,0.9270733716374815
NRP,CM,0.019980952768288054,0.5261953598343354,0.6968533143752009
NRP,EM,0.0398254907542975,0.003116153316944481,0.07634575626513979
PCNA,Naive,-0.0021725414095141154,0.7347019140610809,0.9270733716374815
PCNA,CM,0.014847246081737398,0.6136493986156972,0.7572975783499737
PCNA,EM,-0.002119520264681554,0.8212920963841159,0.8981953425319568
PDZ,Naive,-0.01998637611872341,0.30732130238217525,0.6547279920315907
PDZ,CM,-0.0626099159089939,0.00029199550314840117,0.007152278820866387
PDZ,EM,0.03808959747300124,0.014072284344407326,0.1149236554793265
PP1,Naive,-0.006185847930154348,0.5864288060808871,0.9046100749425795
PP1,CM,0.08373043259171623,0.00046490932547293973,0.007152278820866387
PP1,EM,0.012585307875162946,0.1774065348392464,0.37847306701712863
PP2A,Naive,-0.03503239591949269,0.46898399560418,0.8925064437416664
PP2A,CM,0.00871800173909355,0.9516686700184125,0.9714951006437961
PP2A,EM,0.0572005365739857,0.12721863818661727,0.31168566355721233
PP2B,Naive,-0.1172310621515028,0.005416818366588472,0.13271204998141756
PP2B,CM,0.015803498572011423,0.058287567740236135,0.2172514755641172
PP2B,EM,0.00594357745138039,0.47411560782619744,0.8010918890856439
PP4,Naive,0.007890461934579582,0.4813307953100987,0.8925064437416664
PP4,CM,0.011018937489525725,0.8967109794006375,0.9545148005315074
PP4,EM,0.019090318722671664,0.04236556947265213,0.23065698935110607
PTB,Naive,0.004175848235726191,0.7730512726589522,0.9270733716374815
PTB,CM,0.05914166454784304,0.16488038804363458,0.3838988689373182
PTB,EM,0.019319257281690542,0.8120765958620868,0.8981953425319568
Pex14,Naive,-0.0168096659743856,0.2575429372228044,0.5790442201067546
Pex14,CM,-5.040671512634206e-05,0.7929797452938767,0.9036280818465107
Pex14,EM,-0.0015939771547248162,0.06475235576497829,0.25200399640223947
REV1ctd,Naive,0.009563869626762709,0.8819820744197796,0.978371886145094
REV1ctd,CM,0.07199555627228582,0.16800778807392258,0.3838988689373182
REV1ctd,EM,0.06491784479205863,0.11874274107665994,0.31168566355721233
SH2,Naive,-0.020091538311382186,0.1553616634909909,0.5790442201067546
SH2,CM,0.020385954396122456,0.21170830234201,0.4149482725903396
SH2,EM,0.028101428297828454,0.061819545955834165,0.25200399640223947
SH3,Naive,-0.007997634913563747,0.19572773124961584,0.5790442201067546
SH3,CM,-0.011062657002140796,0.5757441176211772,0.7424068885115179
SH3,EM,0.012088778136639814,0.5737336248340597,0.8379680061910938
SUMO,Naive,-0.0058442521505211375,0.9528719796581412,0.978371886145094
SUMO,CM,0.01910025877852445,0.620256235548819,0.7572975783499737
