ELM,contrast,effect_ts1,effect_ts2,diff,pvalue,qvalue
14-3-3,EM_vs_CM,0.032941944124476624,-0.02712035818112007,0.0600623023055967,0.013096190342887226,0.07539601686384849
ANK,EM_vs_CM,-0.11535328246701637,-0.1209863296773168,0.005633047210300432,0.16960399078047717,0.3613302412279731
APCC,EM_vs_CM,-0.06581369661266569,0.11283809056268555,-0.17865178717535124,0.0031503199513098767,0.025727612935697326
Actin,EM_vs_CM,0.003114670734808034,0.06398582506992118,-0.06087115433511314,0.274848801680577,0.44891970941160914
Arc,EM_vs_CM,0.010575153176809803,0.03886271582054715,-0.028287562643737347,0.22812066173875123,0.4139967564888448
BIR,EM_vs_CM,-0.016022020263499265,0.026230234481147443,-0.04225225474464671,0.11527070834345432,0.2978229048390103
BRCT,EM_vs_CM,0.038784995625546805,-0.043643676484883834,0.08242867211043065,0.059081874607333384,0.24099001169532086
CDC14,EM_vs_CM,0.04866780045351474,0.022324263038548755,0.026343537414965982,1.0,1.0
CKS1,EM_vs_CM,-0.0337868065723117,-0.057722940729895346,0.023936134157583645,0.40015249727653046,0.5602134961871427
CSL,EM_vs_CM,-0.02510288065843621,0.05440804051915163,-0.07951092117758785,1.0,1.0
CYCLIN,EM_vs_CM,0.017438850540216086,0.04579290049353074,-0.028354049953314656,0.027372314945674603,0.12193122112164141
Clathr,EM_vs_CM,0.04147210725529732,0.06844511655877464,-0.02697300930347732,0.36039485655340076,0.5351317567005042
DLG,EM_vs_CM,-0.03297339842230004,-0.1344449750610209,0.10147157663872086,0.06393612555181982,0.24099001169532086
EVH1,EM_vs_CM,-0.1140440867003367,-0.14560974326599327,0.031565656565656575,0.01858793177242024,0.09108086568485918
FHA,EM_vs_CM,0.013748859105538743,0.019788754383436614,-0.006039895277897871,0.3786698648479372,0.5457300993396741
GBD,EM_vs_CM,0.1208843537414966,0.11143990929705215,0.00944444444444445,0.20444629444676887,0.4139967564888448
IRF7,EM_vs_CM,0.011973817089090864,-0.062011995369344076,0.07398581245843494,0.5834965517863491,0.7942036399314196
Integrin,EM_vs_CM,0.08241496598639456,-0.12081632653061225,0.2032312925170068,0.12414370032235267,0.2978229048390103
LIR,EM_vs_CM,-0.011494546843365698,0.04975493921342819,-0.06124948605679389,0.001167718991161859,0.011443646113386219
LYPXL,EM_vs_CM,-0.07438625856846803,0.09994420532440618,-0.1743304638928742,0.22640422455298026,0.4139967564888448
MAPK,EM_vs_CM,0.006447578521802647,-0.013568792573340807,0.020016371095143454,0.9813079443125947,1.0
MSH2,EM_vs_CM,0.019820475497331392,-0.04488921235646126,0.06470968785379265,0.7977379272927836,1.0
MYND,EM_vs_CM,-0.005140333877328977,0.018591476268189855,-0.023731810145518832,0.22183003222843478,0.4139967564888448
NRBOX,EM_vs_CM,-0.016783968719452588,-0.022839687194525907,0.006055718475073319,0.9820743780767538,1.0
