motif,Naive,CM,EM,PD1_Low
GBD,-1.5748506530936401,-1.3280979499653498,-1.4965226145449078,-1.3945170690825492
PP2B,-1.1736773946649428,-0.7164380381584484,-0.890035590924745,-0.7650965004808014
Integrin,-0.7155331090761888,-1.1505710308899533,-0.90124134074215,-0.863329197632499
WRC,-0.8421736365076382,-0.9636737499704637,-1.0295229352287054,-0.9787651995802252
deltaCOP1,-0.9529761374332828,-0.425751222811221,-0.884668597625832,-0.8418788975752907
Actin,-0.8451641819336371,-0.7184152166559564,-0.933958257229656,-0.8537631130519096
TRAF2like,-0.5354668556897819,-0.47523276420755695,-0.9160110440284045,-0.7385246206183156
TRAF6,-0.6866830247579181,-0.6013049295256715,-0.6471352832032927,-0.5253270990035971
MSH2,-0.4846589722604591,-0.6760735599446466,-0.49536134738328114,-0.5365517355228127
USP7,-0.5657237800169629,-0.611774048791295,-0.5547039316725269,-0.5939672430665027
Clathr,-0.6093520978471306,-0.3540057191175348,-0.4600938178443279,-0.3849344833499871
IRF7,-0.3908674169940049,-0.5968704456748023,-0.5978010595095151,-0.5465150173329915
PCNA,-0.5689076166582926,-0.531742466307379,-0.4740430589107474,-0.5029746683871129
CKS1,-0.5472959374714695,-0.49288587182420857,-0.427711152198704,-0.3792440785123438
PDZ,-0.45776179518506066,-0.5409416209448185,-0.49493500270439433,-0.49950604940495896
SUMO,-0.4347256905397544,-0.5043969379685548,-0.522347959682168,-0.49935781074759267
LYPXL,0.401967571821377,0.32438736438001436,0.5120563133253039,0.40549433006399604
BRCT,-0.5093964807084931,-0.44788448282035487,-0.3422827689980845,-0.5041495459109475
NRBOX,-0.5035830437917114,-0.46236836964309647,-0.4426572961385268,-0.39182061180811606
Pex14,-0.452011278240895,-0.4663463176794367,-0.42337573851578886,-0.48173107204225996
PP4,-0.32085742916581755,-0.44590334079934596,-0.4642043358513253,-0.4736721870579846
TRAF4,-0.24684311669428152,-0.46421769814764313,-0.37028905318743444,-0.38467283116897993
WD40,-0.43521559379738806,-0.4608491680631452,-0.4578731722566356,-0.44780763410436525
MYND,-0.2758532540041821,-0.4198292066358604,-0.4179286247225178,-0.4552773948403476
SH3,-0.39368751605277974,-0.4434879768361622,-0.40624491416644104,-0.4099315397210454
SH2,-0.3675731213214314,-0.3113336141283081,-0.26924922881976887,-0.28691066910630775
CDC14,0.20740662141340782,0.3636541435590612,0.21665428772092835,0.2919458754560323
PP2A,-0.35511843484048117,-0.2644762021960476,-0.11701237252093337,-0.15521720755394408
PP1,-0.19764516872774593,-0.1432465535147185,-0.33783885211679393,-0.23386784319885673
DLG,-0.3302777410029521,-0.29491022721465754,-0.12121259737338302,-0.13336408910263894
TYR,0.14975210148405055,0.3301373647339603,0.12497306267947764,0.2029250977746189
ANK,-0.3251039910315794,-0.20983031665883345,-0.043138712410115854,-0.07071530257843324
UBA3,0.3018581429016702,0.30896838514222685,0.2097933078885415,0.25039872596506807
Arc,-0.21170762755863337,-0.1635639439723172,-0.3030030535260181,-0.25871006877169184
eIF4E,0.24044091922771418,0.27181142938565583,0.14929366105425057,0.17669505433475155
FHA,-0.2704383258625089,-0.20931926401913203,-0.24679974843322233,-0.25706931193687027
14-3-3,-0.22860785456406993,-0.25555407171282446,-0.23222016756547803,-0.26658924736010514
WW,-0.12658258580462092,-0.2352775065665812,-0.19390896897982215,-0.23641983585726323
NRP,-0.21951868941367642,-0.13978670198089072,-0.07446174688602575,-0.0701649109962992
REV1ctd,0.15210238936971146,0.18470497959823448,0.1500918850323626,0.19302792222141713
PTB,-0.002895853688786627,0.03593153631156168,-0.13610121846085704,-0.08432454454828532
CYCLIN,-0.12863140774165463,-0.05945081477272987,-0.12467232688677737,-0.13385020071240916
LIR,0.11688652666673326,0.13092408730353605,0.1141613915344701,0.12789675680310003
APCC,0.060464926075036694,-0.015644157477022365,-0.10385180874902071,-0.08524897056206099
MAPK,-0.026815177868285297,0.00518422815753965,0.07057894113376194,0.05427496536309994
BIR,-0.026750726056337524,-0.0339327124846643,-0.0001293878912806635,0.008493932491998184
