motif,contrast,EM_coef,CM_coef,logFC,se,zscore,pvalue,Naive_coef,Low_coef,High_coef,qvalue
14-3-3,EM_vs_CM,-0.24466748387546097,-0.2644912599314856,0.019823776056024617,0.03435139842591232,0.5770878905783041,0.5638800841949171,,,,0.6633883343469612
Arc,EM_vs_CM,-0.3568537034158449,-0.22863478171908252,-0.12821892169676236,0.05492167062758108,-2.334577958602231,0.0195654791111735,,,,0.12854564547342368
BIR,EM_vs_CM,0.0042594080079068255,-0.003299358130469827,0.007558766138376652,0.04449206677113915,0.16989020036443503,0.8650964880646695,,,,0.9353346861117001
BRCT,EM_vs_CM,-0.38389296745406576,-0.5109687595540885,0.12707579210002273,0.056969906916275126,2.230577492197373,0.025709129094684736,,,,0.12854564547342368
CYCLIN,EM_vs_CM,-0.19023778579927192,-0.1300757462695423,-0.06016203952972962,0.04740339714186995,-1.2691503807137559,0.20438743436246976,,,,0.4248084222139741
FHA,EM_vs_CM,-0.2950515329878206,-0.23364063618401326,-0.06141089680380735,0.03544397725030948,-1.7326186722815125,0.08316346821837589,,,,0.31222310302757983
LIR,EM_vs_CM,0.09030357019732095,0.11650187401072219,-0.02619830381340124,0.03970702850468904,-0.6597900875485422,0.5093885452886577,,,,0.6367356816108222
MAPK,EM_vs_CM,-0.014166219291901126,-0.06974150847427489,0.05557528918237377,0.03823713181147905,1.4534377070010696,0.14610226352825184,,,,0.3652556588206296
PDZ,EM_vs_CM,-0.5077910086173886,-0.5743109665649713,0.0665199579475827,0.04310274261625874,1.543288290023818,0.12276084354219323,,,,0.3507452672634092
PP1,EM_vs_CM,-0.3600346271433314,-0.16031984147410705,-0.19971478566922435,0.0590327185303633,-3.383120253330391,0.0007166724410709716,,,,0.014333448821419433
PP4,EM_vs_CM,-0.3725979847724548,-0.3730805186394572,0.000482533867002366,0.07331503498583831,0.006581649549721598,0.9947486413528454,,,,0.9947486413528454
Pex14,EM_vs_CM,-0.4812339359283397,-0.5156870005702953,0.03445306464195558,0.04834661241998632,0.7126262403384607,0.4760770698067559,,,,0.6347694264090079
SH2,EM_vs_CM,-0.2969696572934389,-0.344825772715166,0.04785611542172713,0.03837756061651824,1.246981690679141,0.21240421110698704,,,,0.4248084222139741
SH3,EM_vs_CM,-0.5019291054526887,-0.5085137430604006,0.006584637607711996,0.04699402330954843,0.1401164902255582,0.888567951806115,,,,0.9353346861117001
SUMO,EM_vs_CM,-0.5400999544451358,-0.4891575648306159,-0.05094238961451991,0.05846577867695303,-0.8713197834240287,0.3835795713890562,,,,0.5479708162700803
TYR,EM_vs_CM,0.2719317587997152,0.4520044394022827,-0.18007268060256748,0.07217595875657978,-2.494912207676791,0.01259882973253079,,,,0.1259882973253079
UBA3,EM_vs_CM,0.33085865477358095,0.42589909514433777,-0.09504044037075682,0.05669439615385169,-1.676363923391042,0.09366693090827395,,,,0.31222310302757983
USP7,EM_vs_CM,-0.567386750481053,-0.5997986061261545,0.03241185564510152,0.034213076582989686,0.947352851079645,0.3434590080539408,,,,0.5479708162700803
WD40,EM_vs_CM,-0.5058059277373516,-0.5369893269504568,0.0311833992131052,0.03531490814095631,0.8830094952714995,0.3772311412642281,,,,0.5479708162700803
WW,EM_vs_CM,-0.2673059297913352,-0.31348635618906856,0.04618042639773334,0.0455767290480524,1.0132457366355636,0.31094279929589086,,,,0.5479708162700803
14-3-3,Naive_vs_CM,,-0.2644912599314856,0.000321180528776277,0.03435213705188741,0.00934965205486773,0.9925401656615057,-0.2641700794027093,,,0.9925401656615056
Arc,Naive_vs_CM,,-0.22863478171908252,-0.06413825496248232,0.05492325743277286,-1.1677795156448758,0.24289571290900824,-0.29277303668156485,,,0.5397682509089071
BIR,Naive_vs_CM,,-0.003299358130469827,-0.010193545375053712,0.04449316597130449,-0.229103619680109,0.8187883801846327,-0.013492903505523538,,,0.9870120205109084
BRCT,Naive_vs_CM,,-0.5109687595540885,-0.1377628927743334,0.05697491884445129,-2.417956805703286,0.015607929447403449,-0.6487316523284219,,,0.31215858894806897
CYCLIN,Naive_vs_CM,,-0.1300757462695423,-0.0038895617805032034,0.047404132804422384,-0.08205111137778986,0.934606069438583,-0.1339653080500455,,,0.9870120205109084
FHA,Naive_vs_CM,,-0.23364063618401326,-0.07124274068631292,0.035444764294631344,-2.0099651416529163,0.044434878341727484,-0.3048833768703262,,,0.36001100382336637
