motif,tsubset,coef,se
14-3-3,Naive,-0.2641700794027093,0.024289791308701222
Arc,Naive,-0.29277303668156485,0.03883505024763215
BIR,Naive,-0.013492903505523538,0.03146033614290705
BRCT,Naive,-0.6487316523284219,0.04028599954685092
CYCLIN,Naive,-0.1339653080500455,0.033518626573280336
FHA,Naive,-0.3048833768703262,0.025062404995931455
LIR,Naive,0.10271299023385257,0.028077028145570303
MAPK,Naive,-0.10139559845865849,0.02703760651153358
PDZ,Naive,-0.49707590936738916,0.030477477772850377
PP1,Naive,-0.23298143770728383,0.04174185460996548
PP4,Naive,-0.2453196561697543,0.051838478307901496
Pex14,Naive,-0.511905687801854,0.034185937792368434
SH2,Naive,-0.39378733118329945,0.027136805241934157
SH3,Naive,-0.49167063159609714,0.03322899980131341
SUMO,Naive,-0.49827484633492203,0.04134068299615438
TYR,Naive,0.3296355942871532,0.05103702549896679
UBA3,Naive,0.43938240761843106,0.040088260727505785
USP7,Naive,-0.5843692783856926,0.02419210727457504
WD40,Naive,-0.5156760883117883,0.024971158535914063
WW,Naive,-0.2430621261336454,0.03222695647443798
14-3-3,CM,-0.2644912599314856,0.0242914667776855
Arc,CM,-0.22863478171908252,0.03883816524104255
BIR,CM,-0.003299358130469827,0.031462502569333924
BRCT,CM,-0.5109687595540885,0.04028870335271338
CYCLIN,CM,-0.1300757462695423,0.03352094091132138
FHA,CM,-0.23364063618401326,0.02506406135728771
LIR,CM,0.11650187401072219,0.028078632607596916
MAPK,CM,-0.06974150847427489,0.027039300922905317
PDZ,CM,-0.5743109665649713,0.03048099645736774
PP1,CM,-0.16031984147410705,0.04174390401155225
PP4,CM,-0.3730805186394572,0.05184713143372935
Pex14,CM,-0.5156870005702953,0.03418919588633424
SH2,CM,-0.344825772715166,0.027138639239997535
SH3,CM,-0.5085137430604006,0.03323255091870131
SUMO,CM,-0.4891575648306159,0.041344761391295066
TYR,CM,0.4520044394022827,0.05103764437833583
UBA3,CM,0.42589909514433777,0.04008992742283726
USP7,CM,-0.5997986061261545,0.024193603040776043
WD40,CM,-0.5369893269504568,0.02497238351833042
WW,CM,-0.31348635618906856,0.03223009002130645
14-3-3,EM,-0.24466748387546097,0.02428874668657016
Arc,EM,-0.3568537034158449,0.03883280604378181
BIR,EM,0.0042594080079068255,0.03145878156639511
BRCT,EM,-0.38389296745406576,0.040278911060331726
CYCLIN,EM,-0.19023778579927192,0.03351758614532892
FHA,EM,-0.2950515329878206,0.025061291898036166
LIR,EM,0.09030357019732095,0.028075585542598803
MAPK,EM,-0.014166219291901126,0.027036169380461328
PDZ,EM,-0.5077910086173886,0.030475486476992986
PP1,EM,-0.3600346271433314,0.04174096710618251
PP4,EM,-0.3725979847724548,0.0518359847699288
Pex14,EM,-0.4812339359283397,0.034183238833297255
SH2,EM,-0.2969696572934389,0.027135427379641502
SH3,EM,-0.5019291054526887,0.0332270339671525
SUMO,EM,-0.5400999544451358,0.04133833549865466
TYR,EM,0.2719317587997152,0.05103457532636115
UBA3,EM,0.33085865477358095,0.04008805650666435
USP7,EM,-0.567386750481053,0.02419099380304309
WD40,EM,-0.5058059277373516,0.02497043849069538
WW,EM,-0.2673059297913352,0.0322251381368345
14-3-3,High,-0.24656396783993773,0.019832788014244984
Arc,High,-0.3061270216616303,0.031708894733184195
BIR,High,-0.024023519704529185,0.025687622228221522
BRCT,High,-0.4312414231467224,0.032891137512648876
CYCLIN,High,-0.12235747832838062,0.027368239782439623
FHA,High,-0.26701752526410377,0.020463585396108024
LIR,High,0.08342541632100957,0.02292496862250178
MAPK,High,-0.07146943270164281,0.02207630620526588
PDZ,High,-0.5381642316217202,0.024885408950927754
PP1,High,-0.2585055828240897,0.03408258401207678
PP4,High,-0.23712342288253171,0.04232600691413802
Pex14,High,-0.4857737029990336,0.027912808115425014
SH2,High,-0.3581852759889022,0.022157344063566765
SH3,High,-0.5238348721821326,0.02713205569568278
SUMO,High,-0.5110346986381655,0.033755399706460056
TYR,High,0.37586239330306065,0.04167111492185404
UBA3,High,0.4082701320714607,0.03273247244454979
USP7,High,-0.5637812740752927,0.01975295671369391
WD40,High,-0.5370004867085554,0.02038911810805785
WW,High,-0.23545897281295874,0.026313501438831086
14-3-3,Low,-0.2747942495843129,0.019832352043227107
Arc,Low,-0.2933786799895334,0.031708361213546574
BIR,Low,0.012135690904186864,0.025686872391108097
BRCT,Low,-0.56634439143473,0.03289174132463069
CYCLIN,Low,-0.19265097643903012,0.027367888972763252
FHA,Low,-0.2871697329455636,0.020463160527201152
LIR,Low,0.1114247539639695,0.02292440327711789
MAPK,Low,-0.038504299723631515,0.022075720560383077
PDZ,Low,-0.5148556929155087,0.024884383436995876
PP1,Low,-0.25726846298305955,0.03408195673784742
PP4,Low,-0.40872244390301066,0.04232769329137165
Pex14,Low,-0.5205881890501214,0.027912248100267625
SH2,Low,-0.3196688435148404,0.02215678553310885
SH3,Low,-0.4780566921561574,0.027131001444973653
SUMO,Low,-0.5144216984762321,0.03375400643590575
TYR,Low,0.3118039677338197,0.041670651377301596
UBA3,Low,0.37011109604565756,0.032732104958353714
USP7,Low,-0.5990133691693609,0.019752529159718462
WD40,Low,-0.4977247045571679,0.02038871584398528
WW,Low,-0.30628665679424394,0.02631308220832136
