CCD,Naive_High,Naive_Low,CM_High,CM_Low,EM_High,EM_Low
PAQR8-1,-0.08892760541928135,-1.5782945052836264,1.2064869696197194,-1.6207525438633372,-0.5521839119319769,0.3131695195066696
PAQR3-1,0.5002332408489645,-1.1149359350322117,1.1022467868576673,-1.2177406141757574,0.8414994589424629,-1.5415535978523445
MCOLN2-1,0.4975743807537574,-1.1263865868840037,-1.46797624657731,-1.2653970539745516,-1.5275192340964048,1.358748624794051
PAQR6-1,0.20092019434621755,1.0705909729361793,-0.8019220241783371,-1.2252368045977307,-0.46321128455737126,-0.11120563500069636
CLN3-1,1.1802233587270559,-0.27828559135444264,-0.2866617368903528,-0.4296632673867735,-0.4299706851009395,-0.39970059746755715
PAQR7-1,0.02390558073258453,0.9695542941879859,-0.09459609018677284,-0.8073736522216801,-0.09157193737842828,-0.5224770870867862
TAS2R7-1,-0.40527485222432946,0.15217373658342215,-0.9375821281123644,0.09945062672724947,-0.5504378957309739,0.6533966066726373
PAQR5-1,-0.001904602248784304,-0.7433045510034828,-0.4808526120304355,-0.6938559690154775,0.8280448865704255,0.36889684523634014
DCST1-1,0.6520551936104808,0.19787013780104545,-0.2290750387473608,-0.7383275570754935,0.20778797890678113,-0.3672106146222992
MMD-1,0.42488347726868936,0.014468533784165682,0.27823922341684426,-0.6788008098963296,0.014743262146242664,-0.23026789228965971
OR1E3-1,0.4463967386909842,-0.04766781943201459,-0.565621410478556,0.23656132396859375,-0.4651433280792361,0.040117045499327375
ACKR4-1,-0.2946990016152504,-0.190705630188007,0.15373563114639865,0.522717716474959,-0.1700416676474963,-0.08462783042761968
VN1R3-1,0.04008385169183293,-0.08791043851108715,0.516426810075084,-0.3904880441897711,-0.02069932836490418,-0.15611867453745176
GPR143-1,0.47398712790691233,-0.14822819007943866,-0.37210726393384674,-0.060611541812229275,-0.23307386145532094,0.10811960899823503
OR4N4C-1,-0.08353878277223448,-0.321860415859895,0.03969778548470959,0.21902138029006846,-0.45891948778725267,0.27647256284581545
TAS2R31-1,-0.3497932406402495,-0.0015703071351027553,-0.08436887713432095,-0.0424907816702873,0.43657054839206966,0.02711210617462434
ADGRG1-1,-0.40858752564093326,0.26845687239486726,0.20245767543923643,-0.20312026652865578,0.010172981735624198,0.00747707539031961
OR2K2-1,-0.07140530636653519,0.07624715394247761,0.40603799999284873,-0.33709542979062523,-0.04132947794954367,-0.10671603381768946
TAS2R50-1,-0.14277993695206193,0.06863571080959674,-0.3800644731174121,0.11822063961767104,-0.16145470759906289,0.26033669203478826
TAS2R1-1,-0.10939464791112274,0.09588374599267668,-0.3722848522212643,0.30759531285908226,0.2305243693203478,-0.11890618277621501
TAS2R13-1,-0.3665035097943121,-0.26813888651162743,0.11893890663539719,0.2783052329950493,0.268007064728669,-0.013560523747686792
VN1R5-1,-0.32789119110476417,0.023575055926007504,0.033145612229569466,0.2660863513065601,-0.016155614712141553,-0.0033427332047513136
OR5G3-1,0.12724329684047975,0.01607533009982931,0.16668334054192235,-0.058507893308962444,0.20441952183034462,-0.31917329698999297
OR4M2B-1,0.1095846053102616,0.12588903636430082,0.09852049379798622,-0.036022068748905234,0.08361021857380879,-0.26826540586008896
TAS2R19-1,-0.0023105774016198843,0.07651193045370097,0.07127689547297278,0.15870872701350347,0.09016574814535971,-0.2583941296066625
TAS2R14-1,-0.10804626642026527,-0.04581492055127012,-0.25603335152494355,0.22712966194834006,-0.10464518459860228,0.15980431465061395
ADGRF5-1,-0.17615673746346738,-0.2169665894041244,0.19350082784481137,0.011256797965557785,-0.052849390620728354,0.13516698963693508
