ELM,effect,se,zscore,pvalue,contrast,pip,ci_excludes_zero,significant_pip,qvalue
14-3-3,-0.06996742522686714,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
ANK,-0.09119265754265912,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
Arc,-0.10811354947787968,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
BIR,-0.14941703189878358,2253067.251051138,-6.63171646692193e-08,0.9999999470865581,EM_vs_CM,0.0999999999999982,False,False,1.0
BRCT,0.10879066635480851,37506013.34890246,2.9006193045039286e-09,0.9999999976856406,EM_vs_CM,0.0999999999999982,False,False,1.0
CKS1,-0.07626932844508408,40606168.649963185,-1.878269508816445e-09,0.9999999985013578,EM_vs_CM,0.0999999999999982,False,False,1.0
CYCLIN,-0.022612864440237926,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
Clathr,0.034414896452457905,18064815.016049813,1.9050788187912107e-09,0.999999998479967,EM_vs_CM,0.0999999999999982,False,False,1.0
FHA,0.03338566646690081,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
IRF7,-0.03302659831817403,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
Integrin,0.026127387291677132,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
LIR,-0.05745554839575323,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
MAPK,-0.12314891191234101,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
MSH2,-0.07725734612114696,39687391.04804821,-1.9466471360542204e-09,0.9999999984468003,EM_vs_CM,0.0999999999999982,False,False,1.0
MYND,-0.0808169508871982,73178629.81566173,-1.1043791212103525e-09,0.999999999118833,EM_vs_CM,0.0999999999999982,False,False,1.0
PCNA,0.024305311397007985,9299045.57491835,2.6137425826328845e-09,0.9999999979145352,EM_vs_CM,0.0999999999999982,False,False,1.0
PDZ,-0.14633606188497394,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
PP1,0.15283092674682772,20249547.003859725,7.54737509524025e-09,0.9999999939780659,EM_vs_CM,0.0999999999999982,False,False,1.0
PP2A,-0.04556999402165656,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
PP2B,-0.0475033644077744,167212.85080571048,-2.840891963678674e-07,0.9999997733296163,EM_vs_CM,0.09999999999999806,False,False,1.0
PP4,0.0071773740825013185,177251.64215998515,4.0492567487883184e-08,0.9999999676916056,EM_vs_CM,0.09999999999999806,False,False,1.0
PTB,0.012099538608927526,670015.9100081036,1.805858402493933e-08,0.9999999855913346,EM_vs_CM,0.09999999999999819,False,False,1.0
Pex14,-0.06694597113775383,171910.58328423076,-3.894232097803297e-07,0.9999996892852333,EM_vs_CM,0.0999999999999981,False,False,1.0
REV1ctd,-0.087958979830659,221538.38454918307,-3.9703719971439756e-07,0.9999996832101483,EM_vs_CM,0.09999999999999812,False,False,1.0
SH2,-0.003864697335600114,42653.42080496881,-9.060697272725908e-08,0.9999999277060954,EM_vs_CM,0.09999999999999615,False,False,1.0
SH3,-0.15069205048998668,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
SUMO,0.012176997836073858,34451.54517098135,3.534528792726134e-07,0.9999997179854047,EM_vs_CM,0.09999999999999501,False,False,1.0
TRAF2like,-0.05204998804756175,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
TRAF4,0.09669112774588103,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
UBA3,0.1277938499671129,44604.847104058885,2.86502158989542e-06,0.999997714043507,EM_vs_CM,0.09999999999999629,False,False,1.0
USP7,0.1563634395454379,41609.79932713052,3.757851325264274e-06,0.9999970016684457,EM_vs_CM,0.09999999999999601,False,False,1.0
WD40,0.21058400344382466,61158.207436790755,3.4432664440250467e-06,0.9999972526708656,EM_vs_CM,0.09999999999999717,False,False,1.0
WRC,0.21267725479490673,120025.75896399851,1.771930097594291e-06,0.9999985862043324,EM_vs_CM,0.09999999999999795,False,False,1.0
WW,-0.04833098940897893,210400.746502866,-2.2970921069579278e-07,0.9999998167185673,EM_vs_CM,0.09999999999999812,False,False,1.0
deltaCOP1,-0.04556999402165656,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
eIF4E,-0.04556999402165656,1.5385126442464206e+31,-2.9619512190604852e-33,1.0,EM_vs_CM,0.0999999999999982,False,False,1.0
14-3-3,-0.004375795023772769,13906438.597803026,-3.1465964437969534e-10,0.9999999997489379,Naive_vs_CM,0.0999999999999982,False,False,1.0
ANK,-0.04260865360913274,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
Arc,-0.09705600789181415,20816372.29139146,-4.662484247168818e-09,0.9999999962798758,Naive_vs_CM,0.0999999999999982,False,False,1.0
