motif,contrast,log_effect,se_log_effect,z,logFC,pvalue,qvalue,neglog10_q
Arc,EM_vs_CM,-0.5880766713336045,0.18714310683575316,-3.142390234280615,-0.8484152973954802,0.0016757453146977021,0.030163415664558636,1.5205194810954556
PDZ,EM_vs_CM,-0.4156543922395731,0.17535373465462017,-2.3703766164903954,-0.5996625304077482,0.01776997389336573,0.1558168467705105,0.8073855886151103
SH3,EM_vs_CM,-0.3488890876008256,0.1566866262210687,-2.226667942346139,-0.5033405565019863,0.02596947446175175,0.1558168467705105,0.8073855886151103
WD40,EM_vs_CM,0.32988160377400166,0.1890393408922113,1.7450420754592952,0.47591855384525017,0.08097754520179644,0.3460440114996405,0.4608686620861782
F_14_3_3,EM_vs_CM,-0.2842275575193209,0.17081543275267286,-1.6639454230746222,-0.4100536877171069,0.0961233365276779,0.3460440114996405,0.4608686620861782
PP1,EM_vs_CM,0.3846220418439461,0.2568775603931016,1.4972971607771273,0.5548923123848485,0.13431595333294513,0.4029478599988354,0.3947511463645046
Pex14,EM_vs_CM,0.2778124927489285,0.20700743221478377,1.3420411517431887,0.40079870558588027,0.1795826530125294,0.4617839648893613,0.33556115171545337
CYCLIN,EM_vs_CM,0.48628882522960426,0.4202003802498532,1.1572784035570234,0.7015664765984699,0.24715863403657445,0.5561069265822925,0.2548416955403738
SH2,EM_vs_CM,0.08983630286130641,0.14847164745962643,0.605073792864967,0.12960638862980575,0.5451299665264235,0.7951650893012666,0.09954269533186735
MAPK,EM_vs_CM,-0.14117542407980105,0.23455360311673493,-0.6018898119827197,-0.20367308421532532,0.5472474863292873,0.7951650893012666,0.09954269533186735
PP4,EM_vs_CM,0.1885164627471103,0.3141531293728245,0.6000782584068626,0.27197176593118505,0.5484540814715579,0.7951650893012666,0.09954269533186735
LIR,EM_vs_CM,-0.12847278472094198,0.22121759765948465,-0.580753005548398,-0.1853470494060984,0.5614069319803368,0.7951650893012666,0.09954269533186735
UBA3,EM_vs_CM,0.10229763179913501,0.1821050423722126,0.5617506822795403,0.1475842860912972,0.5742858978286925,0.7951650893012666,0.09954269533186735
BIR,EM_vs_CM,0.0545073381843616,0.11800342245132409,0.4619131975332804,0.07863746649063612,0.6441435694029395,0.8155236123750009,0.0885634600366909
SUMO,EM_vs_CM,-0.11011205919093252,0.30054350294861504,-0.36637644171519074,-0.15885812173683037,0.7140841962929312,0.8155236123750009,0.0885634600366909
USP7,EM_vs_CM,0.0660128839341016,0.18758749114462706,0.3519045088310642,0.0952364602865071,0.7249098776666675,0.8155236123750009,0.0885634600366909
WW,EM_vs_CM,-0.034860279135188355,0.1668225551312765,-0.20896622226986034,-0.05029275183234124,0.8344746072030358,0.8835613488032144,0.05376329050162982
FHA,EM_vs_CM,0.0034209933186417074,0.14497672364607517,0.023596845290787625,0.004935450095718669,0.9811741885451923,0.9811741885451924,0.008253885169929902
Pex14,Naive_vs_CM,0.29787245188108125,0.16055331788706786,1.8552868031702885,0.4297391091462723,0.06355528171660974,0.43355014315833634,0.36296066603645466
PP1,Naive_vs_CM,0.5856703223807287,0.3311173706761311,1.768769548951203,0.8449436696945178,0.07693234042120223,0.43355014315833634,0.36296066603645466
MAPK,Naive_vs_CM,-0.23663589418863196,0.13759188848812104,-1.7198389875218687,-0.3413934310422648,0.08546171351109218,0.43355014315833634,0.36296066603645466
Arc,Naive_vs_CM,-0.46774308776399653,0.3426145193844719,-1.365216770743767,-0.674810633127209,0.17218492881658376,0.43355014315833634,0.36296066603645466
LIR,Naive_vs_CM,0.12937585203246693,0.09955773161778682,1.2995058237079486,0.18664990013802438,0.19377039617170777,0.43355014315833634,0.36296066603645466
SUMO,Naive_vs_CM,-0.47763129047133984,0.37459222278064597,-1.2750699598774948,-0.689076294136398,0.20228448090173978,0.43355014315833634,0.36296066603645466
F_14_3_3,Naive_vs_CM,-0.4333121528423851,0.3463807080117165,-1.2509708041468872,-0.6251372940626295,0.21094512949778987,0.43355014315833634,0.36296066603645466
FHA,Naive_vs_CM,-0.22970069403556392,0.18926895775212885,-1.2136205364240735,-0.3313880521738612,0.22489266121574736,0.43355014315833634,0.36296066603645466
CYCLIN,Naive_vs_CM,0.517809823260023,0.4342987285286999,1.1922895215793947,0.7470416641408258,0.23314774174203967,0.43355014315833634,0.36296066603645466
PDZ,Naive_vs_CM,-0.42082674216697036,0.3588109464408307,-1.1728369670471195,-0.6071246539977466,0.24086119064352018,0.43355014315833634,0.36296066603645466
WD40,Naive_vs_CM,0.18183733773563837,0.20671498943161698,0.8796524056413029,0.26233582539965705,0.37904763992884005,0.5671856429398814,0.24627477089780422
BIR,Naive_vs_CM,0.16769771190261734,0.20008227829157213,0.8381437543320953,0.24193665733033215,0.40194997172470637,0.5671856429398814,0.24627477089780422
WW,Naive_vs_CM,0.18933562796824704,0.23286887514782637,0.8130568237084317,0.27315357153338776,0.4161854795969545,0.5671856429398814,0.24627477089780422
PP4,Naive_vs_CM,0.2775234793251622,0.3602974264482677,0.7702621749506435,0.4003817473526623,0.44114438895324104,0.5671856429398814,0.24627477089780422
