motif,Naive,CM,EM,PD1_Low
PP4,-5.434231612946004,-5.907631902421051,-4.80367315862025,-5.2358159191527465
CYCLIN,-4.065652165945655,-4.443389596115766,-3.2378847364844967,-3.9146050152668312
Arc,2.5125553814081205,3.1378466550800663,1.867038552186841,2.4458761326593415
PP1,-2.5809417448679643,-3.0522066590884354,-2.2851480574685303,-2.3052945465052512
14-3-3,1.007546887744186,1.5884619615958278,0.8464588336842271,0.7713781942642743
PDZ,-1.325560030682129,-0.6518807687528384,-1.2633667944218914,-1.4329081271565427
BIR,-1.0486719394426216,-1.321255741354049,-0.9944714406140103,-0.9671594087713795
WW,1.1876832384082276,0.8613201229253896,1.0028907274057948,0.9943436652878201
LIR,-0.6855142571161655,-0.9124782233529323,-1.1768199840671054,-1.1353241127705949
WD40,0.9715068350084368,0.7639249932841647,1.0248878674128206,1.1402901635392126
SUMO,0.019125104147793295,1.0610053240547705,0.943663638675219,0.9019832097338782
FHA,0.5885513593217827,0.9424675585028885,0.7514542788665096,0.7129058351749057
Pex14,-0.20341564953272914,-0.4930603236484513,-0.8024034453454394,-0.8159089673271822
UBA3,-0.1981587414204005,-0.808846236697491,-0.7696468330306908,-0.669655336689499
USP7,-0.7659712704198549,-0.7394192832154663,-0.696737196778114,-0.6261682753776276
MAPK,0.5179392510136107,0.6649559725031529,0.24382608369915187,0.13379157533422265
SH3,-0.24392963729590283,0.023160038416984628,-0.4622020093713451,-0.4997531614782848
SH2,0.11692735782052002,-0.017362801565313026,0.09871784877983175,0.19935848222575803
