motif,contrast,EM_coef,CM_coef,logFC,se,zscore,pvalue,Naive_coef,Low_coef,High_coef,qvalue
14-3-3,EM_vs_CM,0.8464588336842271,1.5884619615958278,-0.7420031279116006,0.36626717057674435,-2.025852130681551,0.0427799399292456,,,,0.1925097296816052
Arc,EM_vs_CM,1.867038552186841,3.1378466550800663,-1.2708081028932254,0.4480663415103887,-2.8362052338264307,0.0045653098590992215,,,,0.06292764455533642
BIR,EM_vs_CM,-0.9944714406140103,-1.321255741354049,0.32678430074003884,0.30480801682023356,1.0720987726932596,0.2836756700669727,,,,0.4798751268723349
CYCLIN,EM_vs_CM,-3.2378847364844967,-4.443389596115766,1.2055048596312696,0.5153490447879158,2.3392007258447083,0.019325047546269986,,,,0.11595028527761991
FHA,EM_vs_CM,0.7514542788665096,0.9424675585028885,-0.19101327963637893,0.18174372903142427,-1.0510034137318263,0.293257021977538,,,,0.4798751268723349
LIR,EM_vs_CM,-1.1768199840671054,-0.9124782233529323,-0.26434176071417315,0.3120897106172235,-0.8470056900991106,0.3969919498701793,,,,0.5677875645967438
MAPK,EM_vs_CM,0.24382608369915187,0.6649559725031529,-0.421129888804001,0.2930518036761565,-1.43704929818272,0.15070398628421827,,,,0.3390839691394911
PDZ,EM_vs_CM,-1.2633667944218914,-0.6518807687528384,-0.611486025669053,0.39990166549887934,-1.529090970166931,0.12624189357771795,,,,0.324622012056989
PP1,EM_vs_CM,-2.2851480574685303,-3.0522066590884354,0.767058601619905,0.4487118960348552,1.7094679423438357,0.08736430499384995,,,,0.26209291498154985
PP4,EM_vs_CM,-4.80367315862025,-5.907631902421051,1.103958743800801,0.4092939802438088,2.6972269251142986,0.0069919605061484905,,,,0.06292764455533642
Pex14,EM_vs_CM,-0.8024034453454394,-0.4930603236484513,-0.3093431216969881,0.37552005652963205,-0.8237725690493924,0.41006879665320395,,,,0.5677875645967438
SH2,EM_vs_CM,0.09871784877983175,-0.017362801565313026,0.11608065034514478,0.2899253977255573,0.40038110236560387,0.6888758409366333,,,,0.8266510091239601
SH3,EM_vs_CM,-0.4622020093713451,0.023160038416984628,-0.4853620477883297,0.2787785556722441,-1.741030785592285,0.08167818235921451,,,,0.26209291498154985
SUMO,EM_vs_CM,0.943663638675219,1.0610053240547705,-0.11734168537955159,0.39290358091276173,-0.29865262390063463,0.7652051087072957,,,,0.8608557472957077
UBA3,EM_vs_CM,-0.7696468330306908,-0.808846236697491,0.03919940366680019,0.3953988840800001,0.09913888289798276,0.9210280000518664,,,,0.9210280000518664
USP7,EM_vs_CM,-0.696737196778114,-0.7394192832154663,0.042682086437352385,0.3517108974216702,0.12135559844817757,0.9034093841847077,,,,0.9210280000518664
WD40,EM_vs_CM,1.0248878674128206,0.7639249932841647,0.2609628741286558,0.2358699463658988,1.1063845909551826,0.2685600921261002,,,,0.4798751268723349
WW,EM_vs_CM,1.0028907274057948,0.8613201229253896,0.14157060448040515,0.3201507720633817,0.4421997909546748,0.6583446373349979,,,,0.8266510091239601
14-3-3,Naive_vs_CM,,1.5884619615958278,-0.5809150738516418,0.31300142736404457,-1.8559502387699758,0.06346065116004072,1.007546887744186,,,0.2537894748376478
Arc,Naive_vs_CM,,3.1378466550800663,-0.6252912736719458,0.3832190799207711,-1.6316809533628183,0.10274671448861769,2.5125553814081205,,,0.3082401434658531
BIR,Naive_vs_CM,,-1.321255741354049,0.2725838019114275,0.2604386729575497,1.0466333544705837,0.2952687122403648,-1.0486719394426216,,,0.4543414104746699
CYCLIN,Naive_vs_CM,,-4.443389596115766,0.37773743017011174,0.44066536905117487,0.8571979027610966,0.39133552134653016,-4.065652165945655,,,0.4737254925835242
FHA,Naive_vs_CM,,0.9424675585028885,-0.35391619918110584,0.15533875472558265,-2.2783509485853988,0.022705676396801513,0.5885513593217827,,,0.20435108757121362
LIR,Naive_vs_CM,,-0.9124782233529323,0.22696396623676673,0.266703729909827,0.8509965957862818,0.3947712438196035,-0.6855142571161655,,,0.4737254925835242
MAPK,Naive_vs_CM,,0.6649559725031529,-0.14701672148954215,0.2504203083203559,-0.5870798677456608,0.5571500679099971,0.5179392510136107,,,0.6222177076736668
PDZ,Naive_vs_CM,,-0.6518807687528384,-0.6736792619292905,0.34166127557407616,-1.9717752935194113,0.048635263949278404,-1.325560030682129,,,0.2537894748376478
PP1,Naive_vs_CM,,-3.0522066590884354,0.471264914220471,0.38324302879651573,1.2296764162948175,0.218818301627016,-2.5809417448679643,,,0.4543414104746699
PP4,Naive_vs_CM,,-5.907631902421051,0.4734002894750473,0.35018676353035644,1.3518508943699978,0.17642301914828318,-5.434231612946004,,,0.4536591920955853
Pex14,Naive_vs_CM,,-0.4930603236484513,0.28964467411572214,0.3209917988276906,0.9023429108579947,0.3668747374097845,-0.20341564953272914,,,0.4737254925835242
SH2,Naive_vs_CM,,-0.017362801565313026,0.13429015938583305,0.24765608500921568,0.5422445379480012,0.587650057247352,0.11692735782052002,,,0.6222177076736668
