CCD,contrast,effect,EM_effect,CM_effect,overall_pvalue,overall_qvalue,max_pip,contrast_max_pip,Naive_effect,Low_effect,High_effect
ADGRA2-1,EM_vs_CM,0.17251063497251107,-0.1268463994015997,-0.29935703437411076,0.0,0.0,1.0,1.0,,,
ADGRA2-1,Naive_vs_CM,0.5328388582554306,,-0.29935703437411076,0.0,0.0,1.0,1.0,0.23348182388131988,,
ADGRA2-1,Naive_vs_EM,0.3603282232829196,-0.1268463994015997,,0.0,0.0,1.0,1.0,0.23348182388131988,,
ADGRA2-1,PD1Low_vs_PD1High,-0.11060990441468828,,,0.0,0.0,1.0,1.0,,-0.11954548883880767,-0.008935584424119384
ADGRE3-1,EM_vs_CM,0.17721844567936684,0.06307969888834575,-0.1141387467910211,0.0,0.0,1.0,1.0,,,
ADGRE3-1,Naive_vs_CM,0.04005438133580641,,-0.1141387467910211,0.0,0.0,1.0,1.0,-0.07408436545521468,,
ADGRE3-1,Naive_vs_EM,-0.13716406434356043,0.06307969888834575,,0.0,0.0,1.0,1.0,-0.07408436545521468,,
ADGRE3-1,PD1Low_vs_PD1High,0.05695016972772001,,,0.0,0.0,1.0,1.0,,-0.013239386255436672,-0.07018955598315668
ADGRE4P-1,EM_vs_CM,0.09481936996020929,0.08744552622168772,-0.007373843738521568,0.0,0.0,1.0,1.0,,,
ADGRE4P-1,Naive_vs_CM,-0.1494218273686767,,-0.007373843738521568,0.0,0.0,1.0,1.0,-0.15679567110719828,,
ADGRE4P-1,Naive_vs_EM,-0.244241197328886,0.08744552622168772,,0.0,0.0,1.0,1.0,-0.15679567110719828,,
ADGRE4P-1,PD1Low_vs_PD1High,0.4930920910315866,,,0.0,0.0,1.0,1.0,,0.2209713826411159,-0.27212070839047064
ADGRL2-1,EM_vs_CM,-0.217146477069798,0.07475354798130612,0.29190002505110413,0.0,0.0,1.0,1.0,,,
ADGRL2-1,Naive_vs_CM,-0.9001773873259853,,0.29190002505110413,0.0,0.0,1.0,1.0,-0.6082773622748812,,
ADGRL2-1,Naive_vs_EM,-0.6830309102561873,0.07475354798130612,,0.0,0.0,1.0,1.0,-0.6082773622748812,,
ADGRL2-1,PD1Low_vs_PD1High,0.45624393047984957,,,0.0,0.0,1.0,1.0,,0.14758070215910116,-0.30866322832074844
AVPR2-1,EM_vs_CM,0.057507181067436686,-0.0345614183524271,-0.09206859941986378,0.0,0.0,1.0,1.0,,,
