CCD,total_counts,g_statistic,df,pvalue,Naive_High_prop,Naive_Low_prop,CM_High_prop,CM_Low_prop,EM_High_prop,EM_Low_prop,Naive_High_effect,Naive_Low_effect,CM_High_effect,CM_Low_effect,EM_High_effect,EM_Low_effect,Naive_High_se,Naive_Low_se,CM_High_se,CM_Low_se,EM_High_se,EM_Low_se,qvalue,Naive_High_pip,Naive_Low_pip,CM_High_pip,CM_Low_pip,EM_High_pip,EM_Low_pip,max_pip,Naive_High_ci_excludes_zero,Naive_Low_ci_excludes_zero,CM_High_ci_excludes_zero,CM_Low_ci_excludes_zero,EM_High_ci_excludes_zero,EM_Low_ci_excludes_zero,significant_pip
ADGRA2-1,46244,4640.727682610928,5,0.0,0.30667762304298934,0.1343525646570366,0.1218968947322896,0.10993858662745437,0.09782890753395035,0.22930542340627974,0.675126885200936,-0.20816323743829623,-0.44585327875185743,-0.1528607899963641,-0.2560803597214367,0.0023875609182373303,0.010112113778219712,0.01365832045877159,0.014233500212465397,0.014891129039800098,0.015677464249059955,0.011082993075776162,0.0,1.0,1.0,1.0,1.0,1.0,0.6895925078419229,1.0,True,True,True,True,True,False,True
ADGRE3-1,38352,2093.414377927336,5,0.0,0.12648623279098872,0.20442219440967876,0.21146224447225698,0.08463704630788485,0.125,0.24799228201919066,-0.44591743832868747,0.2977487074182581,0.21480061197117628,-0.44307810555321847,0.02054815840804114,0.10561123936865036,0.015379999879829727,0.012686275685673947,0.01252750959332021,0.018366016288640954,0.015464912588145925,0.011844171233750925,0.0,1.0,1.0,1.0,1.0,0.8795550804579667,1.0,1.0,True,True,True,True,False,True,True
ADGRE4P-1,207806,10493.551646124197,5,0.0,0.13545325928991464,0.16817127513161315,0.13956286151506694,0.15898482238241438,0.10760517020682753,0.2902226114741634,-0.3715513578509839,0.05796001563658737,-0.29330265438305037,0.27855496690600723,-0.15150811293737765,0.3263991653807531,0.006453712834025996,0.0059182075976875245,0.0063754655179526385,0.006062874116483043,0.007133928853399207,0.004882535352394282,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
ADGRL2-1,48116,6463.341348975173,5,0.0,0.08764236428630809,0.11781943636212487,0.21377504364452574,0.16998503616260704,0.09427217557569208,0.3165059439687422,-0.8576379445191855,-0.3589167800305768,0.22886525216551368,0.3549347979366946,-0.2972169926085735,0.44672408857118573,0.01613897220321575,0.014162374791680624,0.01114546805477973,0.012167986195273324,0.015626103900031687,0.009825592119189468,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
AVPR2-1,372089,5153.514565786816,5,0.0,0.2254675628680235,0.1525145865639672,0.17509789324597072,0.10928030659331504,0.12723300070682014,0.21040665002190337,0.26233791201231127,-0.061272698720706176,-0.020335552462580564,-0.163801646377147,0.04205822024021,-0.1111810569450642,0.003995051677024655,0.00462877194711444,0.00438060569026154,0.005327623408875199,0.004999518518398132,0.004081574907118875,0.0,1.0,1.0,0.9999755821255032,1.0,0.9999999999999997,1.0,1.0,True,True,True,True,True,True,True
CASR-1,100244,1293.48360784767,5,1.6484296503616595e-277,0.16394996209249432,0.1862256095127888,0.1545030126491361,0.1346314991420933,0.11227604644667012,0.24841387015681737,-0.14256112951367084,0.1824709673242666,-0.17084522461231955,0.07912115968971012,-0.10212239722149552,0.10845122613955427,0.008563410843455887,0.008151448327401103,0.008771214139121724,0.009294220976566334,0.010042932705072224,0.0073418605930260965,2.0116429631532117e-277,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,True,True,True,True,True,True,True
CELSR1-1,151050,27578.162855803537,5,0.0,0.10738166170142337,0.11912611717974181,0.1529427341939755,0.26440251572327045,0.09876861966236346,0.25737835153922545,-0.6365310700955407,-0.3490117388195306,-0.18366093102538095,0.9318983320494625,-0.24740610779712524,0.15701939136892418,0.008344092334101575,0.007981856944191502,0.007188435035002532,0.0058999729294852005,0.008668930706043437,0.005925532920757936,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
CXCR4-1,171391,7050.145081316392,5,0.0,0.21375101376384992,0.1976416497949134,0.19347573676564114,0.07900064764194152,0.09736217187600282,0.21876878015765122,0.1880563702024729,0.2584752975404303,0.10414906657057665,-0.5230432923194994,-0.26387922804885955,-0.05906393794137621,0.005939375400058389,0.006117001343973821,0.006161578278244987,0.008997214804078555,0.008195590780889621,0.00588334654593531,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
EDNRA-1,76810,1962.087443482504,5,0.0,0.19454498112224972,0.17673480015622967,0.1889467517250358,0.08584819684936858,0.0984767608384325,0.2554485093086838,0.06738871308800443,0.1177380252827489,0.07381724495203179,-0.42867443970035746,-0.24931408741933692,0.1458169127225719,0.009145408423318173,0.009491959463298434,0.009247969597653784,0.012909317689616655,0.012141594991618375,0.008302015437177294,0.0,0.9999999999990744,1.0,0.9999999999999918,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
GABBR2-1,50512,1361.1026537648695,5,3.6891480571343034e-292,0.17562163446309786,0.17368150142540387,0.15459692746278111,0.09550205891669307,0.11405210643015522,0.28654577130186887,-0.05884344115783935,0.09624634278816213,-0.1694563860257563,-0.31032606242228367,-0.08394984134931005,0.30376660523937915,0.011717253630960623,0.011771212412189933,0.012330544512046323,0.015163744207916326,0.014024894960317414,0.009864519334290948,4.579632070925343e-292,0.9999985197042103,0.9999999999999987,1.0,1.0,0.9999999937430665,1.0,1.0,True,True,True,True,True,True,True
GNRHR-1,87109,640.806560448842,5,3.0730119372412837e-136,0.177260673409177,0.1628993559792903,0.17088934553260857,0.12580789585461893,0.1043634986051958,0.2587792306191094,-0.04766069209373103,0.01891360313925361,-0.049482487975032186,0.0005195026557345273,-0.18450192507339236,0.16352187429911846,0.008903364551766282,0.009208947489449521,0.009032854729461998,0.010253723151164842,0.011117064076743658,0.007766702987419626,3.2066211519039485e-136,0.9999996526013127,0.9368676489258756,0.9999998257875837,0.6678859874218257,1.0,1.0,1.0,True,True,True,False,True,True,True
GPR12-1,29552,819.4541451137034,5,7.152997310058116e-175,0.19822685435841905,0.12469545208446128,0.17541959935029777,0.09725230102869518,0.12374796968056308,0.28065782349756363,0.09050946684666727,-0.2937579503456904,-0.017530718621029173,-0.28970956916773116,0.009007960994274589,0.27413355367026715,0.014610375889454564,0.01762512806017326,0.015313565993347746,0.019651586868206946,0.017687152958604502,0.01296456971565101,7.803269792790672e-175,0.9999999983093876,1.0,0.8521463984216391,1.0,0.7975094615088625,1.0,1.0,True,True,False,True,False,True,True
GPR139-1,92066,6718.847191544538,5,0.0,0.13691264962092412,0.12812547520257206,0.24183737753350856,0.17902374383594377,0.08796950014120306,0.2261312536658484,-0.35589234429963823,-0.263882521213177,0.39092659397468177,0.41980678195071874,-0.37476770311501073,-0.015790652838994612,0.009616231972945028,0.009891945452052651,0.007733745948089985,0.00864075513641395,0.011668493105330885,0.007908275808875449,0.0,1.0,1.0,1.0,1.0,1.0,0.9190899385439083,1.0,True,True,True,True,True,True,True
GPR142-1,496605,4205.922406076097,5,0.0,0.19719294006302795,0.1628114900172169,0.174323657635344,0.0993747545836228,0.1325177958337109,0.23377936186707746,0.08745054334361835,0.01891350728824648,-0.026148653726319138,-0.27536684234103137,0.09139351235862869,0.028711216448007004,0.0036462351008997424,0.003926096992636613,0.003818277020534069,0.004824699152348864,0.004280165283790282,0.0034249871795759344,0.0,1.0,0.9999881076248797,0.9999999999122083,1.0,1.0,0.9999999999999991,1.0,True,True,True,True,True,True,True
GPR150-1,2268,2408.292994384855,5,0.0,0.057760141093474424,0.1675485008818342,0.0564373897707231,0.5282186948853616,0.03350970017636684,0.15652557319223986,-1.3044232529250763,0.05249616155422099,-1.2864809477303447,2.052741565087807,-1.395599143993381,-0.4697713465387363,0.09001157540063794,0.05623036789109162,0.09099645620792657,0.04207204189035888,0.11668276214182811,0.05779367756864395,0.0,1.0,0.9430262412039266,1.0,1.0,1.0,0.9999999999999988,1.0,True,False,True,True,True,True,True
GPR156-1,115823,2741.0337870060453,5,0.0,0.18669003565785725,0.20682420590038247,0.14148312511331945,0.12008841076470131,0.10680952833202387,0.23810469423171562,0.01618877397668661,0.3147539828064583,-0.27522982870510804,-0.05303143623799178,-0.15879301620091923,0.052022271159243294,0.0075774858101525025,0.0072973735467938275,0.008464665246789106,0.00908114977158256,0.009553791192796089,0.006932969927698023,0.0,0.9355950332690683,1.0,1.0,0.9999999775763876,1.0,0.9999999999995568,1.0,True,True,True,True,True,True,True
GPR179-1,201245,6024.3833065909785,5,0.0,0.17023031628114985,0.18144550175159632,0.18447663295982508,0.08466297299311784,0.10704365325846604,0.27214092275584484,-0.09787999006750536,0.15165693198685748,0.04465208456811198,-0.44786431882319877,-0.1573782453663266,0.23498061222820332,0.005978098231483852,0.005838001075252039,0.005796917168098232,0.008054957462387229,0.007263954450073511,0.005056053418553716,0.0,1.0,1.0,0.9999999999998838,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
