motif,Naive,CM,EM,PD1_Low
Integrin,0.16118935837245696,-0.392018779342723,0.013302034428794997,-0.14580073030777255
deltaCOP1,-0.36502347417840375,0.229264475743349,-0.155320813771518,-0.14267083985393844
MSH2,-0.2591269841269841,-0.1742063492063492,0.15515873015873016,-0.022222222222222216
BRCT,0.14503968253968255,-0.24206349206349206,0.07321428571428572,-0.08624338624338625
REV1ctd,-0.22460317460317458,0.14325396825396824,-0.032539682539682535,-0.09417989417989418
CSL,0.007042253521126765,0.01995305164319249,-0.2237871674491393,-0.035472091810119975
Actin,-0.1784037558685446,-0.22339593114241,-0.21517996870109546,-0.019822639540949396
WRC,0.17605633802816903,0.01330203442879499,-0.054381846635367756,-0.1121544079290558
eIF4E,0.17136150234741784,-0.17331768388106417,0.1717527386541471,0.10224308815858112
IRF7,0.17136150234741784,-0.17331768388106417,0.1717527386541471,0.10224308815858112
CKS1,0.14285714285714288,-0.057341269841269846,-0.16547619047619047,-0.04933862433862434
ANK,0.16001564945226918,-0.06807511737089202,-0.11697965571205007,-0.09154929577464788
UBA3,0.02073552425665101,0.0015649452269170527,0.1068075117370892,-0.139019300991132
MYND,0.10590277777777778,0.1352124183006536,-0.0272671568627451,0.10491557734204793
USP7,0.11431327160493827,-0.1343364197530864,0.011766975308641976,-0.04117798353909465
NRP,0.003676470588235295,-0.1275531045751634,0.007965686274509803,0.07625272331154685
FHA,0.11797542735042735,0.06073717948717949,0.009775641025641026,0.06789529914529914
Clathr,-0.1107085346215781,0.07004830917874397,0.0034889962426194326,0.06736446591519056
APCC,0.0002286236854138089,0.10982510288065844,-0.015775034293552814,0.005105928974241729
DLG,0.041862284820031306,-0.033255086071987475,0.10954616588419405,-0.09520083463745437
TRAF4,-0.09821428571428571,0.028373015873015883,0.008333333333333345,-0.020502645502645484
PP4,0.09560530679933664,-0.04734660033167496,-0.015091210613598666,-0.09049198452183527
TRFH,-0.07785602503912363,0.053208137715179966,0.09115805946791863,-0.043035993740219096
TYR,-0.08145861911294011,0.06131687242798354,0.03664837677183356,0.01719250114311843
BIR,0.04413549597263599,0.06956857552686749,-0.05072823568354849,0.07960940086064217
LYPXL,0.0723593964334705,0.053203997648442095,0.03414658044287674,0.008459076360310925
TRAF2like,0.006651017214397495,0.06846635367762129,-0.04655712050078247,-0.04434011476264998
SH2,-0.06810115350488022,-0.008577343981070691,-0.023489105787242434,-0.034999507049196486
Pex14,-0.06520674113266706,0.04521849892220263,-0.0015187144816774453,-0.010843294793912078
PP1,-0.04932844932844932,0.021367521367521368,0.008608058608058609,-0.05929995929995929
PP2A,-0.05790441176470588,0.023284313725490197,-0.025837418300653593,0.03833061002178648
14-3-3,0.030422008547008546,-0.056463675213675214,0.011939102564102563,0.014387464387464383
WW,0.0071203841695644966,-0.05630071203841696,0.009231660871005132,-0.050173869846000994
PDZ,0.037171229200214706,-0.035292538915727326,0.05340848094471283,-0.03399534800500984
SH3,0.03987396784006954,0.011082138200782268,-0.051028538316673915,0.013061953739919835
CYCLIN,0.029079861111111112,-0.04647197420634921,0.033203125,-0.023933531746031744
Arc,-0.018300653594771243,0.004188948306595366,0.03749257278669044,-0.0413151119033472
WD40,0.0007930384087791488,0.016803840877914953,-0.03352194787379972,-0.0016718106995884756
LIR,0.011972402597402598,0.019818722943722944,-0.031881313131313135,-0.022952741702741707
MAPK,0.005717998700454841,0.0011046133853151383,0.026088369070825214,-0.011912497292614253
SUMO,-0.005927885557515186,0.02586713697824809,-0.01151283558690966,0.005911555294271345
