ELM,contrast,effect_low,effect_high,diff,pvalue,qvalue
14-3-3,PD1Low_vs_PD1High,0.014387464387464383,-0.02378917378917379,0.038176638176638175,0.37760024969281747,0.8600894576336398
ANK,PD1Low_vs_PD1High,-0.09154929577464788,0.07485654668753262,-0.1664058424621805,0.8398762619038942,1.0
APCC,PD1Low_vs_PD1High,0.005105928974241729,0.05774653254077122,-0.05264060356652949,0.20076026832551414,0.676161954105714
Actin,PD1Low_vs_PD1High,-0.019822639540949396,-0.39149713093375066,0.3716744913928013,0.23088456969463406,0.676161954105714
Arc,PD1Low_vs_PD1High,-0.0413151119033472,0.0569023569023569,-0.09821746880570409,0.21962497589070348,0.676161954105714
BIR,PD1Low_vs_PD1High,0.07960940086064217,-0.03762551031667219,0.11723491117731435,0.19120473955965295,0.676161954105714
BRCT,PD1Low_vs_PD1High,-0.08624338624338625,0.07037037037037037,-0.15661375661375662,0.13300439594910768,0.676161954105714
CKS1,PD1Low_vs_PD1High,-0.04933862433862434,-0.003968253968253954,-0.04537037037037039,0.6204376967550571,1.0
CSL,PD1Low_vs_PD1High,-0.035472091810119975,-0.0957224830464267,0.06025039123630673,0.7864632231163138,1.0
CYCLIN,PD1Low_vs_PD1High,-0.023933531746031744,0.034474206349206345,-0.05840773809523809,0.71584610385963,1.0
Clathr,PD1Low_vs_PD1High,0.06736446591519056,-0.09214528538200036,0.15950975129719092,0.883629435460622,1.0
DLG,PD1Low_vs_PD1High,-0.09520083463745437,0.1739697443922796,-0.26917057902973396,1.0,1.0
FHA,PD1Low_vs_PD1High,0.06789529914529914,0.057763532763532764,0.010131766381766376,0.1407999954158716,0.676161954105714
IRF7,PD1Low_vs_PD1High,0.10224308815858112,0.010954616588419397,0.09128847157016172,0.1618523856257986,0.676161954105714
Integrin,PD1Low_vs_PD1High,-0.14580073030777255,0.000782472613458531,-0.1465832029212311,0.1843926034688874,0.676161954105714
LIR,PD1Low_vs_PD1High,-0.022952741702741707,0.02289261664261664,-0.04584535834535835,1.0,1.0
LYPXL,PD1Low_vs_PD1High,0.008459076360310925,0.09801423998954863,-0.0895551636292377,0.43258651088717937,0.9334761550723345
MAPK,PD1Low_vs_PD1High,-0.011912497292614253,0.03385315139701105,-0.0457656486896253,1.0,1.0
MSH2,PD1Low_vs_PD1High,-0.022222222222222216,-0.1632275132275132,0.14100529100529097,0.15587668799852883,0.676161954105714
MYND,PD1Low_vs_PD1High,0.10491557734204793,0.037649782135076255,0.06726579520697168,0.5521020203463685,1.0
NRP,PD1Low_vs_PD1High,0.07625272331154685,-0.15352668845315903,0.2297794117647059,0.29944591404062765,0.8184854983777156
PDZ,PD1Low_vs_PD1High,-0.03399534800500984,0.07085346215780998,-0.10484881016281983,1.0,1.0
PP1,PD1Low_vs_PD1High,-0.05929995929995929,0.0463980463980464,-0.10569800569800569,0.6499590123548077,1.0
PP2A,PD1Low_vs_PD1High,0.03833061002178648,-0.07863562091503268,0.11696623093681915,0.6173189771602308,1.0
PP4,PD1Low_vs_PD1High,-0.09049198452183527,0.11260364842454396,-0.20309563294637922,0.3385249297231556,0.8600894576336398
Pex14,PD1Low_vs_PD1High,-0.010843294793912078,-0.0034946763341825054,-0.007348618459729573,1.0,1.0
REV1ctd,PD1Low_vs_PD1High,-0.09417989417989418,0.018253968253968248,-0.11243386243386243,0.3572617495384566,0.8600894576336398
SH2,PD1Low_vs_PD1High,-0.034999507049196486,-0.031778895132932396,-0.0032206119162640906,0.48063130122483433,0.9852941675109104
SH3,PD1Low_vs_PD1High,0.013061953739919835,-0.013110241923801247,0.02617219566372108,1.0,1.0
SUMO,PD1Low_vs_PD1High,0.005911555294271345,-0.00029394473838918284,0.006205500032660528,1.0,1.0
TRAF2like,PD1Low_vs_PD1High,-0.04434011476264998,0.06338028169014086,-0.10772039645279083,1.0,1.0
TRAF4,PD1Low_vs_PD1High,-0.020502645502645484,-0.020502645502645495,1.0408340855860843e-17,0.1257974987568256,0.676161954105714
TRFH,PD1Low_vs_PD1High,-0.043035993740219096,0.08737610850286907,-0.13041210224308816,1.0,1.0
TYR,PD1Low_vs_PD1High,0.01719250114311843,-0.0061880810852004324,0.02338058222831886,0.09065353103974595,0.676161954105714
UBA3,PD1Low_vs_PD1High,-0.139019300991132,0.22509128847157014,-0.36411058946270214,1.0,1.0
USP7,PD1Low_vs_PD1High,-0.04117798353909465,0.0356738683127572,-0.07685185185185185,0.006617828747633807,0.2713309786529861
WD40,PD1Low_vs_PD1High,-0.0016718106995884756,-0.008944901691815272,0.007273090992226796,1.0,1.0
WRC,PD1Low_vs_PD1High,-0.1121544079290558,0.20213875847678664,-0.31429316640584243,0.8075211877720865,1.0
WW,PD1Low_vs_PD1High,-0.050173869846000994,0.023541425180769442,-0.07371529502677043,1.0,1.0
deltaCOP1,PD1Low_vs_PD1High,-0.14267083985393844,-0.051382368283776715,-0.09128847157016173,0.053684633714375554,0.676161954105714
eIF4E,PD1Low_vs_PD1High,0.10224308815858112,0.010954616588419397,0.09128847157016172,0.1618523856257986,0.676161954105714
