ELM,tsubset,cliff_delta,pvalue,qvalue
14-3-3,Naive,0.030422008547008546,0.7328012264148424,0.863811759888503
14-3-3,CM,-0.056463675213675214,0.2312792561609478,0.6460287375822223
14-3-3,EM,0.011939102564102563,0.06979153043727127,0.7592214793629534
ANK,Naive,0.16001564945226918,0.6088294484400367,0.863811759888503
ANK,CM,-0.06807511737089202,0.20509997727465756,0.6460287375822223
ANK,EM,-0.11697965571205007,0.74800515776437,0.9533277096591077
APCC,Naive,0.0002286236854138089,0.999296143442135,0.999296143442135
APCC,CM,0.10982510288065844,0.03954903170732371,0.3568346226631314
APCC,EM,-0.015775034293552814,0.4440021526984407,0.9533277096591077
Actin,Naive,-0.1784037558685446,0.4532237440912926,0.863811759888503
Actin,CM,-0.22339593114241,0.14735597987470828,0.6460287375822223
Actin,EM,-0.21517996870109546,0.3309304286085102,0.9533277096591077
Arc,Naive,-0.018300653594771243,0.7795374418506003,0.863811759888503
Arc,CM,0.004188948306595366,0.9009433785942329,0.9293143148186896
Arc,EM,0.03749257278669044,0.06777985296604627,0.7592214793629534
BIR,Naive,0.04413549597263599,0.07588446311692898,0.5185438312990147
BIR,CM,0.06956857552686749,0.25304526270523664,0.6460287375822223
BIR,EM,-0.05072823568354849,0.1957834278273507,0.805664190018596
BRCT,Naive,0.14503968253968255,0.34916346046147173,0.863811759888503
BRCT,CM,-0.24206349206349206,0.0676745903489473,0.3568346226631314
BRCT,EM,0.07321428571428572,0.7992135655236534,0.9533277096591077
CKS1,Naive,0.14285714285714288,0.32718445902057613,0.863811759888503
CKS1,CM,-0.057341269841269846,0.868861096976129,0.9293143148186896
CKS1,EM,-0.16547619047619047,0.33725484785374926,0.9533277096591077
CSL,Naive,0.007042253521126765,0.6302960191754021,0.863811759888503
CSL,CM,0.01995305164319249,0.8973850115818802,0.9293143148186896
CSL,EM,-0.2237871674491393,0.3186832921941233,0.9533277096591077
CYCLIN,Naive,0.029079861111111112,0.7426160197859442,0.863811759888503
CYCLIN,CM,-0.04647197420634921,0.33795735637776114,0.6460287375822223
CYCLIN,EM,0.033203125,0.7518712867997419,0.9533277096591077
Clathr,Naive,-0.1107085346215781,0.4706465913298039,0.863811759888503
Clathr,CM,0.07004830917874397,0.32310651325656936,0.6460287375822223
