ELM,contrast,effect_ts1,effect_ts2,diff,pvalue,qvalue
14-3-3,EM_vs_CM,0.011939102564102563,-0.056463675213675214,0.06840277777777778,0.13958306087454253,0.5202641359869312
ANK,EM_vs_CM,-0.11697965571205007,-0.06807511737089202,-0.04890453834115806,0.4101999545493151,0.9343443409178845
APCC,EM_vs_CM,-0.015775034293552814,0.10982510288065844,-0.12560013717421126,0.07909806341464742,0.5202641359869312
Actin,EM_vs_CM,-0.21517996870109546,-0.22339593114241,0.008215962441314534,0.29471195974941655,0.8630850249804343
Arc,EM_vs_CM,0.03749257278669044,0.004188948306595366,0.03330362448009507,0.13555970593209254,0.5202641359869312
BIR,EM_vs_CM,-0.05072823568354849,0.06956857552686749,-0.12029681121041598,0.3915668556547014,0.9343443409178845
BRCT,EM_vs_CM,0.07321428571428572,-0.24206349206349206,0.31527777777777777,0.1353491806978946,0.5202641359869312
CKS1,EM_vs_CM,-0.16547619047619047,-0.057341269841269846,-0.10813492063492063,0.6745096957074985,1.0
CSL,EM_vs_CM,-0.2237871674491393,0.01995305164319249,-0.2437402190923318,0.6373665843882466,1.0
CYCLIN,EM_vs_CM,0.033203125,-0.04647197420634921,0.07967509920634921,0.6759147127555223,1.0
Clathr,EM_vs_CM,0.0034889962426194326,0.07004830917874397,-0.06655931293612453,0.6462130265131387,1.0
DLG,EM_vs_CM,0.10954616588419405,-0.033255086071987475,0.14280125195618154,1.0,1.0
FHA,EM_vs_CM,0.009775641025641026,0.06073717948717949,-0.05096153846153847,0.693299133015068,1.0
IRF7,EM_vs_CM,0.1717527386541471,-0.17331768388106417,0.34507042253521125,0.1392525356734171,0.5202641359869312
Integrin,EM_vs_CM,0.013302034428794997,-0.392018779342723,0.405320813771518,0.09017198652539449,0.5202641359869312
LIR,EM_vs_CM,-0.031881313131313135,0.019818722943722944,-0.05170003607503608,1.0,1.0
LYPXL,EM_vs_CM,0.03414658044287674,0.053203997648442095,-0.019057417205565357,0.22221116469159607,0.7592214793629534
MAPK,EM_vs_CM,0.026088369070825214,0.0011046133853151383,0.024983755685510076,0.6376084186362565,1.0
