motif,tsubset,coef,se
14-3-3,Naive,-0.1995023412005892,0.0963278545749565
APCC,Naive,-0.06763458492303355,0.12769412979934486
Arc,Naive,0.16292166222556292,0.10781255785892621
BIR,Naive,-0.011768600325522793,0.10483788257775899
CYCLIN,Naive,0.20101859035264524,0.10777115874045831
Clathr,Naive,-1.8360367637327832,0.26244238153815935
FHA,Naive,-0.052328831481039284,0.10980347891055042
LIR,Naive,-0.2897100255472157,0.11545589647076254
LYPXL,Naive,0.5053505240837743,0.159566621933176
MAPK,Naive,0.07312298884148749,0.11585536741016521
MYND,Naive,-1.014497999748378,0.19065195319601078
NRP,Naive,-0.16003467717393227,0.19845983159001407
PDZ,Naive,-1.5225182328454694,0.23750989795866223
PP1,Naive,-0.8726613454905434,0.14456158454079446
PP2A,Naive,0.3383234529588356,0.2069029587751497
PP4,Naive,0.13172762975493144,0.18472347291995328
Pex14,Naive,-0.1722414220096986,0.14136156507958
SH2,Naive,-0.09922579205668891,0.11896038402745146
SH3,Naive,-0.7322431182325949,0.12981709731889549
SUMO,Naive,0.3131416950161483,0.15135834375232507
TYR,Naive,0.18838426766626115,0.13637316145983988
USP7,Naive,-0.7866194724655806,0.1212887072904214
WD40,Naive,-0.14746615258060802,0.09365315705389184
WW,Naive,0.6458013851100859,0.14278909255075248
14-3-3,CM,-0.2995583633069068,0.09633057074745575
APCC,CM,-0.030009084174530645,0.12769523770066404
Arc,CM,0.1498474682981521,0.10781355944027855
BIR,CM,0.04794167175676908,0.10483942267374842
CYCLIN,CM,0.23346457539188892,0.10777460369552835
Clathr,CM,-1.8122797809753581,0.2624504911324137
FHA,CM,-0.13329181169083493,0.10980544054017653
LIR,CM,-0.46594218756926564,0.11546035744287184
LYPXL,CM,0.3828640742177364,0.15956909378315157
MAPK,CM,0.07682732025563321,0.11585834767740205
MYND,CM,-0.8601274636239471,0.19065341468217076
NRP,CM,-0.1817450071607179,0.19847253754858457
PDZ,CM,-1.2006485955760517,0.23750079304558416
PP1,CM,-0.8386176089025295,0.14456552341645273
PP2A,CM,0.45804136819238794,0.206906505771443
PP4,CM,-0.07408731063945254,0.18472592452021014
Pex14,CM,-0.10699735848818748,0.1413638577071143
SH2,CM,0.08865742644106678,0.11896408067181723
SH3,CM,-0.6907412785332406,0.12981952393165275
SUMO,CM,0.3146711824848627,0.15135982427689595
TYR,CM,0.29679590544685674,0.13637494815594156
USP7,CM,-1.0508942213663235,0.12129544927674112
WD40,CM,-0.12243505849138758,0.09365538776189888
WW,CM,0.4779761298671573,0.14279140665768536
14-3-3,EM,-0.2472384236314236,0.09632859568230116
APCC,EM,-0.21105656577706775,0.12769388398641845
Arc,EM,0.07724585562974828,0.10781222122101444
BIR,EM,-0.00371739230317944,0.10483768188609364
CYCLIN,EM,0.19705052208386808,0.1077733115771369
Clathr,EM,-1.842996932603648,0.26245068738746125
FHA,EM,-0.15720461789184803,0.10980373977243907
LIR,EM,-0.38171477992918224,0.11545676026876639
LYPXL,EM,0.4682115204122134,0.15956797064783868
MAPK,EM,0.06441851409589061,0.11585458530073885
MYND,EM,-1.1278690568901384,0.19065399828264828
NRP,EM,-0.038511304971861116,0.1984622440667035
PDZ,EM,-1.068723003798674,0.23749436282962297
PP1,EM,-0.8826230421239606,0.14456143873890473
PP2A,EM,0.6007683639740365,0.20690431577629936
PP4,EM,-0.19548451794559774,0.18472333595916007
Pex14,EM,-0.07037859699322357,0.14136197532592112
SH2,EM,0.007931314277399126,0.118961134898882
SH3,EM,-0.9219992626720805,0.12982002467665693
SUMO,EM,0.2927283166678569,0.15135684965199056
TYR,EM,0.40033145325760666,0.1363724388360016
USP7,EM,-0.8628686540690289,0.1212895706413848
WD40,EM,-0.16654271333790843,0.09365308173742114
WW,EM,0.6779655881799009,0.1427895638609188
14-3-3,High,-0.30427558407977673,0.07865401611678643
APCC,High,-0.07168350805795357,0.10426266366389007
Arc,High,0.20873562586663447,0.0880294631358055
BIR,High,-0.045697698718684066,0.08560134596024521
CYCLIN,High,0.1781484722116054,0.087999047475139
Clathr,High,-1.9827251138522595,0.21430757982281043
FHA,High,-0.12353452893631145,0.08965556740763225
LIR,High,-0.4220502805143695,0.09427261353783423
LYPXL,High,0.5270232189382213,0.1302887526841207
MAPK,High,0.07719814840325212,0.09459717878421738
MYND,High,-1.0598748843388641,0.1556697696677935
NRP,High,-0.3330143948400693,0.16205302200476832
PDZ,High,-1.3410153705535814,0.19392573159933207
PP1,High,-0.8053336649369827,0.11803545229735538
PP2A,High,0.3364924630872058,0.16894185192784272
PP4,High,-0.0016762390319141618,0.1508277940290893
Pex14,High,-0.10900325842903363,0.11542421758740282
SH2,High,0.0403497873330074,0.09713472689321191
SH3,High,-0.7961025661618362,0.1060004694962546
SUMO,High,0.2809996939438462,0.12358496927721302
TYR,High,0.24205054508295415,0.1113492340135619
USP7,High,-0.8481204985864781,0.09903475089951576
WD40,High,-0.1220198212242661,0.07646858138587057
WW,High,0.6652679784238555,0.11658898863369299
14-3-3,Low,-0.20550781287469813,0.07865093562188977
APCC,Low,-0.13975395917901334,0.10426139506211744
Arc,Low,0.05283904160806527,0.08802815966320483
BIR,Low,0.05422990511093895,0.08559900479628606
CYCLIN,Low,0.23137048616337152,0.08799439774765737
