ELM,phenotype,effect,se,pip,significant
14-3-3,Naive_High,-0.002868027147124504,0.04589097750659562,0.0958346395113401,False
14-3-3,CM_High,0.016254118545045333,0.04739259084346723,0.09585724741608632,False
14-3-3,CM_Low,-0.07312568105989384,0.05089901286598803,0.09608433167588826,False
14-3-3,EM_High,-0.008312446844124265,0.049937363656399864,0.09585808572714445,False
14-3-3,EM_Low,-0.05486555385503632,0.04438725622810533,0.09604378219536407,False
ANK,Naive_High,-0.011059508781908825,0.2230082014034904,0.09596266206111942,False
ANK,CM_High,0.007210273681034985,0.23895610158315478,0.09596338742179353,False
ANK,CM_Low,-0.003180398582158163,0.25372038340666114,0.09596394413041512,False
ANK,EM_High,0.00062198130727796,0.25418016709197494,0.09596395936966454,False
ANK,EM_Low,0.010734822255807257,0.2283771639627053,0.09596292469142095,False
APCC,Naive_High,-0.004426349817399502,0.2876743604786467,0.0959649216599459,False
APCC,CM_High,-0.010586887552156539,0.2978718477300465,0.095965155231793,False
APCC,CM_Low,0.0012032873407750164,0.3216574958060694,0.09596560594175683,False
APCC,EM_High,-0.003166475133678386,0.3149721488377899,0.09596548873467198,False
APCC,EM_Low,0.012537047230915217,0.28138707516844924,0.09596477328245613,False
Actin,Naive_High,0.0023044330546662115,0.14011417368061746,0.0959539208475598,False
Actin,CM_High,0.01705811838957329,0.14485669969530698,0.09595503307678348,False
Actin,CM_Low,0.014289233729979377,0.1607774635594975,0.09595747290462958,False
Actin,EM_High,0.0028135050775446586,0.15387383022198564,0.09595638527200288,False
Actin,EM_Low,-0.039484430297197066,0.13312095924149905,0.09595376743141043,False
Arc,Naive_High,0.015212979543046479,0.15161874481985763,0.09595614686653932,False
Arc,CM_High,-0.02245539047504201,0.15354893745824966,0.09595658748388705,False
Arc,CM_Low,0.002583700201926434,0.1622199815104893,0.09595758307364653,False
Arc,EM_High,-0.0015507005337163668,0.16500428126542419,0.09595794138793921,False
Arc,EM_Low,-0.0033708680761513703,0.14157605345567778,0.09595422128730818,False
BIR,Naive_High,0.003944794268972596,0.061258617567803646,0.09589325542531006,False
BIR,CM_High,-0.004395156326032302,0.06334151251126469,0.09589815411889833,False
BIR,CM_Low,0.032834901512313705,0.0677509303003225,0.09592115591808176,False
BIR,EM_High,-0.03435811668006378,0.06674922942121718,0.09592163863338231,False
BIR,EM_Low,-0.02968916449806396,0.059191421508690154,0.09590788274286924,False
BRCT,Naive_High,0.009321169087845261,0.1146655894387563,0.09594694732492642,False
BRCT,CM_High,0.020205984304738085,0.12146268725462568,0.0959496785917037,False
BRCT,CM_Low,0.003796395099049869,0.12511231167814135,0.09595026745574717,False
BRCT,EM_High,0.011638881189927838,0.13056847676348496,0.09595186291998091,False
BRCT,EM_Low,-0.015000424332589048,0.10926345345307843,0.09594507031410748,False
CDC14,Naive_High,0.005895702527418998,0.4641035063966663,0.09596702888856165,False
CDC14,CM_High,0.0012415926396455725,0.48654718864934726,0.09596714722226209,False
CDC14,CM_Low,-0.0019332213588543763,0.49533321902687294,0.09596718930765313,False
CDC14,EM_High,0.002215011295390375,0.5129138926319675,0.09596726710365205,False
CDC14,EM_Low,-0.006020234761573394,0.43340627474302307,0.09596683606436932,False
CKS1,Naive_High,-0.0417647584794008,0.17872334987186517,0.09595996029983724,False
CKS1,CM_High,0.013209003391651267,0.18974924596070952,0.09596051473908272,False
CKS1,CM_Low,0.021404049412797343,0.2001996463414696,0.09596135720940335,False
CKS1,EM_High,-0.015512604482334031,0.19241401506901326,0.09596074271676,False
CKS1,EM_Low,0.04159025324315638,0.16977835438832453,0.09595910682890502,False
CYCLIN,Naive_High,-0.038881398958523765,0.07293032823114227,0.09593024077229728,False
CYCLIN,CM_High,0.012515397047399016,0.07441464720459032,0.095918671758482,False
CYCLIN,CM_Low,0.03391057353424237,0.08137356358222106,0.09593301004575132,False
CYCLIN,EM_High,0.0027096282570850203,0.07958262318861385,0.0959236975277541,False
CYCLIN,EM_Low,-0.011993860538622593,0.07139667679027639,0.09591438377025302,False
Clathr,Naive_High,0.004269008314524131,0.3871949861345136,0.09596645454493412,False
Clathr,CM_High,0.0025894195430483545,0.3554682398451005,0.09596610208952512,False
Clathr,CM_Low,-0.011637597745905155,0.3538125794968471,0.09596608338821587,False
Clathr,EM_High,0.0017371859283969076,0.4009106285210689,0.09596658142349418,False
Clathr,EM_Low,-0.0005019315778648882,0.3350099168994834,0.09596581980683878,False
DLG,Naive_High,-0.0018185860010708247,0.2645623321254511,0.09596429688525236,False
DLG,CM_High,-0.01651892631674769,0.2673355675546056,0.09596439535441562,False
DLG,CM_Low,0.005327813098584706,0.3034369102091635,0.09596526817681095,False
DLG,EM_High,-0.0006108068796071998,0.2891508054337875,0.09596495573075774,False
DLG,EM_Low,0.01112418423408072,0.26729974547767177,0.09596438602552204,False
EVH1,Naive_High,0.0033341986852664027,0.38660097547976524,0.09596644864524008,False
EVH1,CM_High,-0.0030289034218602376,0.3958190997604874,0.09596653586256136,False
EVH1,CM_Low,0.0011365943376644033,0.4280536317516981,0.09596679783221752,False
EVH1,EM_High,-0.001982889598181179,0.4117598316256293,0.09596667308188746,False
EVH1,EM_Low,-0.0054583590441845955,0.36829252359084436,0.0959662558382364,False
FHA,Naive_High,0.011517845501253794,0.04972414021068474,0.09586010188314019,False
FHA,CM_High,-0.04673348636585928,0.05156467191307186,0.09594923217987826,False
FHA,CM_Low,-0.01681929400037238,0.05478623834004803,0.09588297279117816,False
FHA,EM_High,-0.03487132782701361,0.05488650431983695,0.09591229797439348,False
FHA,EM_Low,-0.013590618700102064,0.04799514267791333,0.09585542745555861,False
GBD,Naive_High,-0.0057172255436189305,0.5011018042039108,0.09596721586683658,False
GBD,CM_High,0.0020318282776425143,0.5145975581285018,0.09596727413491221,False
GBD,CM_Low,0.003306326679047256,0.5253744353098081,0.09596731759658954,False
GBD,EM_High,-0.0014303279624270392,0.5494047194705117,0.09596740537999925,False
GBD,EM_Low,0.0019061653879994807,0.46234489268303347,0.09596701867459953,False
IRF7,Naive_High,-0.0016369379490434471,0.23885979454902184,0.09596337913747803,False
IRF7,CM_High,0.0014594051154401477,0.24469163608067568,0.09596361290044905,False
IRF7,CM_Low,-0.002304228880566679,0.25372726597304185,0.09596394404062074,False
IRF7,EM_High,-0.0019440980184308794,0.2492667380949027,0.09596378507713836,False
IRF7,EM_Low,-0.00442406807300473,0.2317311134125971,0.09596307068075825,False
Integrin,Naive_High,-0.002582288061104999,0.2547615144737323,0.09596397977806422,False
Integrin,CM_High,-0.006865095551220347,0.26048507092794065,0.0959641719121824,False
Integrin,CM_Low,-0.0012184923028929198,0.2832749084300692,0.09596481377059878,False
Integrin,EM_High,0.0014124772957246426,0.28236510564694706,0.09596479100967682,False
Integrin,EM_Low,0.0061181273166830115,0.2511676416000873,0.09596385620690197,False
LIR,Naive_High,-0.045730031004476215,0.06017949887650033,0.09593528345320336,False
