CCD,contrast,effect,EM_effect,CM_effect,overall_pvalue,overall_qvalue,max_pip,contrast_max_pip,Naive_effect,Low_effect,High_effect
ACKR1-1,EM_vs_CM,-0.3223048358351991,-0.1808101438625177,0.14149469197268139,0.0,0.0,1.0,1.0,,,
ACKR1-1,Naive_vs_CM,-0.0742499163706799,,0.14149469197268139,0.0,0.0,1.0,1.0,0.06724477560200148,,
ACKR1-1,Naive_vs_EM,0.24805491946451919,-0.1808101438625177,,0.0,0.0,1.0,1.0,0.06724477560200148,,
ACKR1-1,PD1Low_vs_PD1High,0.05959414109859311,,,0.0,0.0,1.0,1.0,,0.039106845120018274,-0.02048729597857483
ACKR2-1,EM_vs_CM,-0.0689745749214109,-0.001643489231025974,0.06733108569038493,0.17712354649527787,0.18298652103083585,0.9846166063908114,0.9846166063908114,,,
ACKR2-1,Naive_vs_CM,-0.05798024848205463,,0.06733108569038493,0.17712354649527787,0.18298652103083585,0.9846166063908114,0.9846166063908114,0.009350837208330298,,
ACKR2-1,Naive_vs_EM,0.010994326439356272,-0.001643489231025974,,0.17712354649527787,0.18298652103083585,0.9846166063908114,0.9786685195329666,0.009350837208330298,,
ACKR2-1,PD1Low_vs_PD1High,0.010383654135403503,,,0.17712354649527787,0.18298652103083585,0.9846166063908114,0.9846166063908114,,0.030204638290264835,0.019820984154861332
ACKR3-1,EM_vs_CM,1.3524346787230543,0.07845159546658442,-1.27398308325647,3.032968851126909e-160,3.8185786172362145e-160,1.0,1.0,,,
ACKR3-1,Naive_vs_CM,1.6212128453584231,,-1.27398308325647,3.032968851126909e-160,3.8185786172362145e-160,1.0,1.0,0.347229762101953,,
ACKR3-1,Naive_vs_EM,0.2687781666353686,0.07845159546658442,,3.032968851126909e-160,3.8185786172362145e-160,1.0,1.0,0.347229762101953,,
ACKR3-1,PD1Low_vs_PD1High,0.4154657495713201,,,3.032968851126909e-160,3.8185786172362145e-160,1.0,1.0,,-0.07503436711031752,-0.4905001166816376
ACKR4-2,EM_vs_CM,-0.07675285360147271,-0.07593680393384067,0.0008160496676320461,0.0,0.0,1.0,1.0,,,
ACKR4-2,Naive_vs_CM,-0.2515480379129703,,0.0008160496676320461,0.0,0.0,1.0,1.0,-0.25073198824533827,,
ACKR4-2,Naive_vs_EM,-0.1747951843114976,-0.07593680393384067,,0.0,0.0,1.0,1.0,-0.25073198824533827,,
ACKR4-2,PD1Low_vs_PD1High,0.2921603183162257,,,0.0,0.0,1.0,1.0,,0.03746257832093055,-0.25469773999529516
ADCYAP1R1-1,EM_vs_CM,0.8211964513408352,-0.3822680790478004,-1.2034645303886355,0.0,0.0,1.0,1.0,,,
ADCYAP1R1-1,Naive_vs_CM,1.7821841314384541,,-1.2034645303886355,0.0,0.0,1.0,1.0,0.5787196010498186,,
ADCYAP1R1-1,Naive_vs_EM,0.9609876800976189,-0.3822680790478004,,0.0,0.0,1.0,1.0,0.5787196010498186,,
ADCYAP1R1-1,PD1Low_vs_PD1High,0.005537310945134766,,,0.0,0.0,1.0,1.0,,-0.3329023473229717,-0.33843965826810646
ADGRA1-2,EM_vs_CM,0.09826364539883181,-0.061838704857075766,-0.16010235025590758,0.0,0.0,1.0,1.0,,,
ADGRA1-2,Naive_vs_CM,-0.3704808712032245,,-0.16010235025590758,0.0,0.0,1.0,1.0,-0.5305832214591321,,
ADGRA1-2,Naive_vs_EM,-0.4687445166020563,-0.061838704857075766,,0.0,0.0,1.0,1.0,-0.5305832214591321,,
ADGRA1-2,PD1Low_vs_PD1High,1.5545608141938612,,,0.0,0.0,1.0,1.0,,0.5264389815728922,-1.028121832620969
ADGRA2-2,EM_vs_CM,8.891748814732932,-3.104787097999412,-11.996535912732345,1.8697337118750417e-53,2.0880453693821089e-53,0.9997088796128628,0.9997088796128628,,,
ADGRA2-2,Naive_vs_CM,4.39132191899537,,-11.996535912732345,1.8697337118750417e-53,2.0880453693821089e-53,0.9997088796128628,0.9930251460815321,-7.6052139937369745,,
ADGRA2-2,Naive_vs_EM,-4.500426895737562,-3.104787097999412,,1.8697337118750417e-53,2.0880453693821089e-53,0.9997088796128628,0.9997088796128628,-7.6052139937369745,,
ADGRA2-2,PD1Low_vs_PD1High,2.954206227329487,,,1.8697337118750417e-53,2.0880453693821089e-53,0.9997088796128628,0.9997088796128628,,-6.091742554491501,-9.045948781820988
ADGRA3-2,EM_vs_CM,0.05009685798753405,-0.4472515618131955,-0.4973484198007295,1.2699417541763631e-307,1.873322040364635e-307,1.0,1.0,,,
ADGRA3-2,Naive_vs_CM,1.0292754793022931,,-0.4973484198007295,1.2699417541763631e-307,1.873322040364635e-307,1.0,1.0,0.5319270595015637,,
ADGRA3-2,Naive_vs_EM,0.9791786213147592,-0.4472515618131955,,1.2699417541763631e-307,1.873322040364635e-307,1.0,1.0,0.5319270595015637,,
ADGRA3-2,PD1Low_vs_PD1High,0.7446138150961371,,,1.2699417541763631e-307,1.873322040364635e-307,1.0,1.0,,0.23474926684394812,-0.509864548252189
ADGRB3-1,EM_vs_CM,3.0303287268416224,1.016306087999477,-2.0140226388421456,0.0,0.0,1.0,1.0,,,
ADGRB3-1,Naive_vs_CM,1.3028834514772074,,-2.0140226388421456,0.0,0.0,1.0,1.0,-0.7111391873649382,,
ADGRB3-1,Naive_vs_EM,-1.7274452753644152,1.016306087999477,,0.0,0.0,1.0,1.0,-0.7111391873649382,,
ADGRB3-1,PD1Low_vs_PD1High,0.17492473984588452,,,0.0,0.0,1.0,1.0,,-0.48215620947959326,-0.6570809493254778
ADGRD1-1,EM_vs_CM,-0.4666476586000641,-0.2720709594048042,0.19457669919525988,0.0,0.0,1.0,1.0,,,
ADGRD1-1,Naive_vs_CM,-0.09945324857220372,,0.19457669919525988,0.0,0.0,1.0,1.0,0.09512345062305616,,
ADGRD1-1,Naive_vs_EM,0.36719441002786035,-0.2720709594048042,,0.0,0.0,1.0,1.0,0.09512345062305616,,
ADGRD1-1,PD1Low_vs_PD1High,-0.3606292436497276,,,0.0,0.0,1.0,1.0,,-0.17443822502035985,0.18619101862936774
ADGRD1-2,EM_vs_CM,1.0533149745678725,-0.6368469225823736,-1.6901618971502461,1.2281302462078637e-167,1.5561564871821861e-167,1.0,1.0,,,
ADGRD1-2,Naive_vs_CM,2.2538654232549775,,-1.6901618971502461,1.2281302462078637e-167,1.5561564871821861e-167,1.0,1.0,0.5637035261047313,,
ADGRD1-2,Naive_vs_EM,1.200550448687105,-0.6368469225823736,,1.2281302462078637e-167,1.5561564871821861e-167,1.0,1.0,0.5637035261047313,,
ADGRD1-2,PD1Low_vs_PD1High,0.8175425643751653,,,1.2281302462078637e-167,1.5561564871821861e-167,1.0,1.0,,-0.17899714902171351,-0.9965397133968787
ADGRD2-1,EM_vs_CM,-0.6651986274389386,-0.16095858269127372,0.5042400447476649,0.0,0.0,1.0,1.0,,,
ADGRD2-1,Naive_vs_CM,-1.191129792133502,,0.5042400447476649,0.0,0.0,1.0,1.0,-0.6868897473858371,,
ADGRD2-1,Naive_vs_EM,-0.5259311646945634,-0.16095858269127372,,0.0,0.0,1.0,1.0,-0.6868897473858371,,
ADGRD2-1,PD1Low_vs_PD1High,-0.23727274726514114,,,0.0,0.0,1.0,1.0,,-0.23317246874238587,0.004100278522755259
ADGRD2-2,EM_vs_CM,0.7550635148479474,0.37038909391118835,-0.3846744209367591,1.1778174765687142e-46,1.307950868174621e-46,1.0,1.0,,,
ADGRD2-2,Naive_vs_CM,-0.343041612030495,,-0.3846744209367591,1.1778174765687142e-46,1.307950868174621e-46,1.0,0.9999996246518662,-0.7277160329672541,,
ADGRD2-2,Naive_vs_EM,-1.0981051268784423,0.37038909391118835,,1.1778174765687142e-46,1.307950868174621e-46,1.0,1.0,-0.7277160329672541,,
ADGRD2-2,PD1Low_vs_PD1High,0.5256495266828033,,,1.1778174765687142e-46,1.307950868174621e-46,1.0,1.0,,0.015490976677126733,-0.5101585500056766
ADGRE1-1,EM_vs_CM,-0.24754466102821893,-0.20660573064077803,0.0409389303874409,0.0,0.0,1.0,1.0,,,
ADGRE1-1,Naive_vs_CM,0.03463556448033589,,0.0409389303874409,0.0,0.0,1.0,1.0,0.07557449486777679,,
ADGRE1-1,Naive_vs_EM,0.2821802255085548,-0.20660573064077803,,0.0,0.0,1.0,1.0,0.07557449486777679,,
ADGRE1-1,PD1Low_vs_PD1High,0.2215242855977503,,,0.0,0.0,1.0,1.0,,0.08073137433702171,-0.1407929112607286
ADGRE2-1,EM_vs_CM,-0.36770652011556393,0.00162884934970009,0.369335369465264,0.0,0.0,1.0,1.0,,,
ADGRE2-1,Naive_vs_CM,-0.7313382963783714,,0.369335369465264,0.0,0.0,1.0,1.0,-0.3620029269131074,,
ADGRE2-1,Naive_vs_EM,-0.3636317762628075,0.00162884934970009,,0.0,0.0,1.0,1.0,-0.3620029269131074,,
ADGRE2-1,PD1Low_vs_PD1High,0.15574524740897083,,,0.0,0.0,1.0,1.0,,0.0808597210051043,-0.07488552640386652
ADGRE2-2,EM_vs_CM,0.2147363730524613,-0.10321906096905697,-0.31795543402151827,0.0,0.0,1.0,1.0,,,
ADGRE2-2,Naive_vs_CM,0.2401435786040379,,-0.31795543402151827,0.0,0.0,1.0,1.0,-0.07781185541748037,,
ADGRE2-2,Naive_vs_EM,0.025407205551576606,-0.10321906096905697,,0.0,0.0,1.0,1.0,-0.07781185541748037,,
ADGRE2-2,PD1Low_vs_PD1High,0.9518320536547495,,,0.0,0.0,1.0,1.0,,0.3095872433580229,-0.6422448102967266
ADGRE3-2,EM_vs_CM,-0.10694411924652192,-0.08474115083099898,0.02220296841552294,0.0,0.0,1.0,1.0,,,
ADGRE3-2,Naive_vs_CM,0.00919732547191876,,0.02220296841552294,0.0,0.0,1.0,1.0,0.0314002938874417,,
ADGRE3-2,Naive_vs_EM,0.11614144471844068,-0.08474115083099898,,0.0,0.0,1.0,1.0,0.0314002938874417,,
ADGRE3-2,PD1Low_vs_PD1High,-0.38659240274146556,,,0.0,0.0,1.0,1.0,,-0.20367549754674422,0.18291690519472134
ADGRE3-3,EM_vs_CM,-0.8533501251919883,-0.09748425191025734,0.7558658732817309,0.0,0.0,1.0,1.0,,,
ADGRE3-3,Naive_vs_CM,-1.7512902761984859,,0.7558658732817309,0.0,0.0,1.0,1.0,-0.995424402916755,,
ADGRE3-3,Naive_vs_EM,-0.8979401510064977,-0.09748425191025734,,0.0,0.0,1.0,1.0,-0.995424402916755,,
ADGRE3-3,PD1Low_vs_PD1High,0.22052349615685077,,,0.0,0.0,1.0,1.0,,-0.0020858457700017783,-0.22260934192685256
ADGRE4P-2,EM_vs_CM,-0.08129929042811768,-0.08057163615790541,0.0007276542702122635,1.708966219660087e-154,2.124563874755622e-154,1.0,1.0,,,
ADGRE4P-2,Naive_vs_CM,0.030477993115220592,,0.0007276542702122635,1.708966219660087e-154,2.124563874755622e-154,1.0,1.0,0.031205647385432855,,
ADGRE4P-2,Naive_vs_EM,0.11177728354333827,-0.08057163615790541,,1.708966219660087e-154,2.124563874755622e-154,1.0,1.0,0.031205647385432855,,
ADGRE4P-2,PD1Low_vs_PD1High,0.06531450614449316,,,1.708966219660087e-154,2.124563874755622e-154,1.0,1.0,,0.016444474904826478,-0.04887003123966668
ADGRE5-1,EM_vs_CM,-0.2642953691684542,-0.07299238340364878,0.19130298576480542,0.0,0.0,1.0,1.0,,,
ADGRE5-1,Naive_vs_CM,-0.34032890967445517,,0.19130298576480542,0.0,0.0,1.0,1.0,-0.14902592390964975,,
ADGRE5-1,Naive_vs_EM,-0.07603354050600097,-0.07299238340364878,,0.0,0.0,1.0,1.0,-0.14902592390964975,,
ADGRE5-1,PD1Low_vs_PD1High,0.013984294680750018,,,0.0,0.0,1.0,1.0,,-0.0032462931757893574,-0.017230587856539376
ADGRE5-2,EM_vs_CM,-2.2129310058002933,-1.0404964263407757,1.1724345794595177,0.0,0.0,1.0,1.0,,,
ADGRE5-2,Naive_vs_CM,-2.2384828349832637,,1.1724345794595177,0.0,0.0,1.0,1.0,-1.066048255523746,,
ADGRE5-2,Naive_vs_EM,-0.025551829182970387,-1.0404964263407757,,0.0,0.0,1.0,1.0,-1.066048255523746,,
ADGRE5-2,PD1Low_vs_PD1High,0.6989525597248093,,,0.0,0.0,1.0,1.0,,0.038106245727403364,-0.6608463139974059
ADGRF1-1,EM_vs_CM,-0.07283940485878149,-0.09848642123364837,-0.025647016374866882,0.0,0.0,1.0,1.0,,,
ADGRF1-1,Naive_vs_CM,0.09972980886846883,,-0.025647016374866882,0.0,0.0,1.0,1.0,0.07408279249360195,,
ADGRF1-1,Naive_vs_EM,0.17256921372725031,-0.09848642123364837,,0.0,0.0,1.0,1.0,0.07408279249360195,,
ADGRF1-1,PD1Low_vs_PD1High,0.2583236346328792,,,0.0,0.0,1.0,1.0,,0.11247826894480184,-0.14584536568807738
ADGRF1-2,EM_vs_CM,-0.29816011061575,-0.15480427667454666,0.14335583394120333,0.0065641018677832525,0.007000921596394728,0.9997452993444436,0.9997452993444436,,,
ADGRF1-2,Naive_vs_CM,-0.0753204677800684,,0.14335583394120333,0.0065641018677832525,0.007000921596394728,0.9997452993444436,0.9762363958556675,0.06803536616113492,,
ADGRF1-2,Naive_vs_EM,0.22283964283568158,-0.15480427667454666,,0.0065641018677832525,0.007000921596394728,0.9997452993444436,0.9997452993444436,0.06803536616113492,,
ADGRF1-2,PD1Low_vs_PD1High,-0.14470285622735402,,,0.0065641018677832525,0.007000921596394728,0.9997452993444436,0.9997452993444436,,-0.05348912030441314,0.09121373592294087
ADGRF3-1,EM_vs_CM,-0.12482865126005227,-0.12755807290633703,-0.0027294216462847576,0.0,0.0,1.0,1.0,,,
ADGRF3-1,Naive_vs_CM,0.11437635301778848,,-0.0027294216462847576,0.0,0.0,1.0,1.0,0.11164693137150372,,
ADGRF3-1,Naive_vs_EM,0.23920500427784075,-0.12755807290633703,,0.0,0.0,1.0,1.0,0.11164693137150372,,
ADGRF3-1,PD1Low_vs_PD1High,-0.27054351088983475,,,0.0,0.0,1.0,1.0,,-0.14148527650529008,0.1290582343845447
ADGRF3-2,EM_vs_CM,-0.8146992760741666,-0.28021292946734455,0.534486346606822,0.0,0.0,1.0,1.0,,,
ADGRF3-2,Naive_vs_CM,-1.2697308315384976,,0.534486346606822,0.0,0.0,1.0,1.0,-0.7352444849316755,,
ADGRF3-2,Naive_vs_EM,-0.45503155546433094,-0.28021292946734455,,0.0,0.0,1.0,1.0,-0.7352444849316755,,
ADGRF3-2,PD1Low_vs_PD1High,-0.006048548515910079,,,0.0,0.0,1.0,1.0,,-0.16334796352202105,-0.15729941500611097
ADGRF4-1,EM_vs_CM,0.3990673824638771,0.16279413635607298,-0.2362732461078041,0.0,0.0,1.0,1.0,,,
ADGRF4-1,Naive_vs_CM,0.21500285969107547,,-0.2362732461078041,0.0,0.0,1.0,1.0,-0.021270386416728626,,
ADGRF4-1,Naive_vs_EM,-0.1840645227728016,0.16279413635607298,,0.0,0.0,1.0,1.0,-0.021270386416728626,,
ADGRF4-1,PD1Low_vs_PD1High,0.3724554171668469,,,0.0,0.0,1.0,1.0,,0.15464454319393686,-0.21781087397291002
ADGRF4-2,EM_vs_CM,-0.019484467767241886,-0.015566449649718761,0.0039180181175231255,2.0675392102312494e-37,2.274676719234009e-37,1.0,1.0,,,
ADGRF4-2,Naive_vs_CM,0.015516658258216687,,0.0039180181175231255,2.0675392102312494e-37,2.274676719234009e-37,1.0,1.0,0.019434676375739812,,
