ELM,effect,se,zscore,pvalue,contrast,pip,ci_excludes_zero,significant_pip,qvalue
14-3-3,0.034863336900988195,0.023041888376331525,1.5130416540338587,0.13026907858689687,EM_vs_CM,0.09030664200961043,False,False,0.9999506005506484
ANK,0.000943130191483956,0.11873508916247781,0.007943146361673852,0.9936623527980286,EM_vs_CM,0.08982827693186536,False,False,0.9999506005506484
APCC,0.004297908920698904,0.08816849183720228,0.04874654007505005,0.9611212863206416,EM_vs_CM,0.08981718962900972,False,False,0.9999506005506484
Actin,-0.018589360595042473,0.06219814978619116,-0.29887320859131994,0.7650367897539427,EM_vs_CM,0.08979652185777796,False,False,0.9999506005506484
Arc,-0.013421829304534477,0.043265617406103,-0.31021929442387225,0.7563941989867388,EM_vs_CM,0.0897488207327013,False,False,0.9999506005506484
BIR,-0.01109532337442164,0.031232595043825653,-0.3552482065243908,0.7224036532409568,EM_vs_CM,0.08966936722738963,False,False,0.9999506005506484
BRCT,0.0013142165755914885,0.040710996402713674,0.03228161164593571,0.9742474733427271,EM_vs_CM,0.08972572724579911,False,False,0.9999506005506484
CDC14,-0.00534460224211749,0.1281433685651268,-0.0417079892776596,0.9667314849822763,EM_vs_CM,0.0898302347796891,False,False,0.9999506005506484
CKS1,0.0031002674948419147,0.0712209052850078,0.04353030170615551,0.9652788101438792,EM_vs_CM,0.08980397724038283,False,False,0.9999506005506484
CSL,-0.004806426435050559,0.16581206172154653,-0.028987194207392125,0.9768748038459112,EM_vs_CM,0.08983495885805662,False,False,0.9999506005506484
CYCLIN,-0.050063456313562835,0.03492402361846962,-1.4334962334376244,0.15171607455213276,EM_vs_CM,0.09000832631839256,False,False,0.9999506005506484
Clathr,9.35858367898969e-06,0.15115693639705013,6.19130282874159e-05,0.9999506005506484,EM_vs_CM,0.0898335241945088,False,False,0.9999506005506484
DLG,0.007349624674914735,0.09567328866091333,0.07682002759373499,0.9387667181011425,EM_vs_CM,0.08982099955975774,False,False,0.9999506005506484
EVH1,0.006238225182263268,0.1651146790346483,0.037781166512483214,0.9698621605961664,EM_vs_CM,0.08983490357848926,False,False,0.9999506005506484
FHA,0.0024484446381360797,0.024567971112752676,0.09966002592966042,0.9206142371754609,EM_vs_CM,0.08952668653058242,False,False,0.9999506005506484
GBD,-0.004449217894523092,0.12751197572663717,-0.034892549261893786,0.972165421824855,EM_vs_CM,0.08983011198053022,False,False,0.9999506005506484
IRF7,0.0032716061604508044,0.08711005153630454,0.03755716019852553,0.9700407650134741,EM_vs_CM,0.08981655918505495,False,False,0.9999506005506484
Integrin,0.009094314317289003,0.12762320285504156,0.07125909798407591,0.9431915475175904,EM_vs_CM,0.08983017844439861,False,False,0.9999506005506484
LIR,-0.0309111029865439,0.027691487228092983,-1.1162673471428657,0.2643077142006206,EM_vs_CM,0.08990286414953284,False,False,0.9999506005506484
LYPXL,0.0022054944584393977,0.28966802769104244,0.00761386914537824,0.9939250700559501,EM_vs_CM,0.08983967850123352,False,False,0.9999506005506484
