motif,Naive,CM,EM,PD1_Low
14-3-3,-0.0066730118337026585,-0.04957218860660049,-0.014708851705612293,-0.02921177037160184
PDZ,-0.004269673027697344,-0.04488626489519544,0.02044819279221569,-0.011751806528552096
WD40,-0.00833902145713912,-0.04117691691780975,-0.01490777527478506,-0.020699690469936336
MAPK,-0.03915344700188777,-0.00941632157884447,-0.005933112383671125,0.000536997286567315
LIR,-0.005805218088223393,-0.002110214343133066,-0.03302131732967697,-0.019467799734309545
CYCLIN,-0.023049389931847287,0.030357434710628253,-0.019706021602934585,-0.005829397446097634
SH2,-0.02987876856436717,-0.015043036983850922,-0.010557146360315343,-0.008053843724622707
USP7,-0.005884711447044868,-0.02445922181851322,-0.025979317016529842,-0.0196802774416954
WW,-0.005951546131088793,-0.017794202369066047,0.025070604956083035,0.006245097290762835
FHA,0.0010634785787163041,-0.022335019154540725,-0.019886574516404645,-0.020840316448135776
TRAF2like,0.006040836675685552,0.0036011687708088014,-0.02152259720433501,-0.009192828490520388
UBA3,-0.006388505421300826,0.0027276682544084777,-0.021014008082560015,-0.007561494042240696
PP1,0.004693529935162646,0.009308161473434643,-0.01899792622702414,-0.005821277672603836
Arc,-0.01578893435778036,0.006809519100182747,-0.006612310204351729,-0.00025577766766824464
SH3,0.013396330317567231,-0.015685117204062248,-0.007817679840323227,-0.014142052611069031
Pex14,0.01266174683435698,-0.01405169910933582,-0.015452753713954978,-0.011581738265221369
WRC,0.003941589024468184,-0.015408275918234161,0.0012541918636372659,-0.005687545279776138
TRAF4,0.00857843916075332,-0.006162086277744872,-0.010458045963701595,-0.013427672139922986
PP2B,-0.007658616202941232,0.012599022984346474,0.0019548169922316435,0.010302430973834617
BIR,-0.011845497672093558,0.00798120825335944,-0.0031141151210622004,0.00521207813570924
PCNA,-0.005419049510549693,0.00367427175607447,-0.011769377915187907,-0.005136924765229465
MYND,0.011437793755423118,-0.002644583397627882,-0.008204079092229878,-0.011529690914627555
NRBOX,-0.003831251760732696,0.0022232173213160436,-0.011491256544395406,-0.0021497822400539544
SUMO,0.008809891241088398,-0.008096035235974531,-0.011440010997295691,-0.010283570316735005
Actin,0.006216938609973576,0.00819280233527435,-0.010396558259768124,-0.003114360585586624
BRCT,0.009986006432881896,-0.0016305200850305589,-0.00031630350943907034,-0.003913299752257343
PP2A,-0.0037738158431910493,-0.0073367058618859175,0.009041344718389011,-0.0015684427842316666
MSH2,-0.0038582527343820104,-0.00848489581179429,-0.0008548416830101539,-0.00462567827595744
REV1ctd,-0.007650667349378513,0.002867757829803076,0.0013019410330408158,-0.0007549116772374428
IRF7,0.006963193328511875,-0.00519986146147905,-0.0019282553010282458,-0.006075519429893817
Integrin,0.00036167191146619726,-0.0069108901465233154,0.002183424170765689,-0.0004829822465090997
DLG,0.0020957701697815858,-0.006239879134726176,0.0011097455401885596,0.0011592273556861742
APCC,0.0058126142060611185,-0.005953113369906902,-0.0016552044492079982,0.0006758696396333422
NRP,-0.005378803724981024,-0.0038412324007186735,0.003938374600754706,0.005053787086475347
deltaCOP1,-0.0011793139289479468,0.004929577191323313,-0.00435556537793454,-0.001278818416949484
TYR,-0.0006815045729532551,0.004885685878661115,-0.0019367987554434324,0.0037973663606398495
CDC14,-0.0010260565829045708,0.0010512037357861249,-0.004293398506331365,-0.0026535883344495585
PP4,-0.004100728504164183,-0.0032647248300739186,0.0007609516418701267,-0.003626583141982848
EVH1,-0.002334817574828564,-0.0033282124125860006,0.0029100127696772672,0.0016818108317849991
CKS1,-0.0031670789474316065,-0.0003922646715486776,0.002708002823293237,-0.0003811770552887746
CSL,-0.002803848353914418,0.0017597284801399576,-0.0030466979549106017,-0.0001884141083887903
TRFH,-0.0001336687283494823,-0.0029800234020607008,0.0008958037489711669,0.0011274141174672809
eIF4E,0.0028530563835415627,-0.0028452760801396275,-0.0024381067086951874,-0.0028189815416144255
ANK,0.0006224830539286338,-0.0014605342247296026,-0.0005174040332456466,-0.0026204503866936596
GBD,-0.0008355022279403716,0.002368796790813195,-0.0020804211037098973,-0.0006163332158816665
PTB,-0.0022442218055745556,0.0023077151327417895,-0.0006311603154011988,0.0014442658260946678
TRAF6,-0.002089533055249932,-0.0020735033891316292,0.0002758813793417806,0.0005640728720376799
LYPXL,-0.00010717831908571649,-0.0008241823510214095,0.0013813121074179881,0.001900368471437584
Clathr,-0.0009543478772757135,0.00018894541061236365,0.0001983039942913534,0.0006178023212542137
