motif,Naive,CM,EM,PD1_Low
MAPK,0.09528400628382905,0.09471975176977976,0.09468235060068667,0.09468369566648563
SH2,0.09509253484642187,0.0947201709212471,0.09469941420185123,0.09470223755302382
14-3-3,0.09466278944832834,0.09503561515380832,0.09483419066618626,0.09497603240678795
LIR,0.09469820804376111,0.09470312738931538,0.09491343219942852,0.09491847956659659
WD40,0.09468954551939948,0.09487492426267582,0.09468797351068653,0.09478851039404268
PDZ,0.09470407249098915,0.09483390673428496,0.09472819093182006,0.0948056255114918
FHA,0.09465272568770984,0.09472624380922824,0.09479825241826224,0.09482651709839657
LYPXL,0.09481183772647568,0.09481193811111402,0.09481182577552713,0.09481206528959074
TRFH,0.09481049175582627,0.0948106254608515,0.09481053113174726,0.09481068015749977
CSL,0.09480967035142224,0.09481036288004865,0.09480981001760339,0.09481022323293231
EVH1,0.09480972857426413,0.09480998334974595,0.09480986985406942,0.09480999384177086
CYCLIN,0.09480961176906864,0.09476682162949429,0.09478483699497742,0.0947994361371074
Clathr,0.09480912697020577,0.0948092864561281,0.09480903858363746,0.09480917368627895
CDC14,0.09480790928476283,0.0948084553488309,0.09480791666746832,0.09480801429159635
Integrin,0.09480810710242733,0.09480806810015066,0.0948081313111777,0.09480803987862135
deltaCOP1,0.09480693437512405,0.09480785514284244,0.09480679337476408,0.0948072568958578
GBD,0.09480710137035761,0.09480783232039175,0.09480680418849481,0.09480718196536761
ANK,0.09480632410373409,0.09480695265939922,0.09480629843189806,0.09480629028722971
eIF4E,0.09480542429683823,0.09480553393033485,0.09480509626856415,0.09480510262434756
DLG,0.09480364088804988,0.09480369920389406,0.09480309013019847,0.09480335323506095
APCC,0.0948021722373275,0.09480180076121263,0.09480053619046191,0.09480104479179009
TRAF6,0.09480093858468543,0.09480184020483906,0.09480065862455178,0.09480122006524305
IRF7,0.0948016559375255,0.09480125846360106,0.09480037854851434,0.09480029380600391
MYND,0.09480104418577244,0.09480071794117956,0.09479970864197887,0.0947995707424878
TRAF2like,0.09479967779871037,0.0948004404683511,0.09479871985889197,0.09479960385430605
PP2B,0.09479666751702755,0.09479911481627451,0.09479591981798267,0.09479794094696613
MSH2,0.0947970447041786,0.09479787911797638,0.0947973031689674,0.09479719213039282
REV1ctd,0.09479513051502092,0.09479653003567078,0.09479493601426094,0.09479508101108261
USP7,0.09465330343735968,0.09473863152021039,0.09476998588309374,0.09479633638684562
CKS1,0.09479383753594176,0.09479532197224777,0.0947931593787353,0.09479390120190712
TYR,0.09479330832239825,0.09479476916137375,0.09479260394145182,0.09479336240994024
PP2A,0.09479164680828449,0.09479349760449754,0.09479155404201764,0.09479200270178627
WRC,0.09479170920453392,0.09479252428338031,0.09479064014477082,0.09479071940627035
PTB,0.09479016129948252,0.09479191359872637,0.09478890274940271,0.09478983699003674
NRP,0.0947893339596015,0.09479155454209143,0.0947902371071517,0.09479082916063916
Actin,0.09478864421994565,0.09478977846963554,0.09478650818313164,0.09478741493074105
TRAF4,0.09478910483622058,0.09478909907291258,0.09478872002700625,0.09478890450394878
NRBOX,0.09478571715018139,0.09478806029685247,0.09478578218953312,0.09478666875594025
PP4,0.0947828204996434,0.09478520170847857,0.09478283176445154,0.09478319914364637
PCNA,0.09477832266067081,0.09478022567315095,0.0947786421174259,0.09477953637821315
Arc,0.09477635722681564,0.09476691790276606,0.09476192349048998,0.09476383833813268
PP1,0.09476317122124879,0.09476808430092837,0.09477179758770424,0.09477524194066994
WW,0.09473984687315479,0.09475088324944919,0.09476721721023662,0.09477388929703538
UBA3,0.09474539911805546,0.09474844028498591,0.09476075616777528,0.09476294846494113
BRCT,0.0947607388013778,0.0947570360766038,0.09475310644147998,0.09475349144590818
SUMO,0.09476023362739852,0.09475937585200331,0.0947563100538861,0.09475911689079114
SH3,0.09475884517709053,0.09474818839043031,0.0947365241214776,0.09474859095309326
Pex14,0.09475365586165978,0.09474563719399207,0.09474866839684187,0.09475191075873318
BIR,0.0947434192277233,0.09472983950719757,0.09471116400753152,0.09472327006492863
