motif,Naive,CM,EM,PD1_Low
F_14_3_3,-5.807079160405721,-6.214201989850209,-8.016774255488647,-32.98514927445992
ANK,-1.8962491596023388,-1.6988153086397837,-1.6831688417425186,-1.8615186834725856
APCC,-15.359768898478707,-3.9150880179812106,-15.2831605917575,-11.275002957881247
Actin,-19.98009009591514,-22.354984720789513,-15.774971896078961,-13.315238898555252
Arc,-13.188802685433659,-12.53748143429524,-24.83314937483206,-16.42943965333689
BIR,0.6574293872846263,2.510441082018814,1.65917244670745,3.043971122675551
BRCT,-16.733653288177823,-6.697613513820729,-4.7064307633013245,-15.831229064978546
CDC14,1.2065703247411603,2.219506068162112,1.679668872782422,2.19686973989017
CKS1,-4.334280267510178,-9.851288167965707,-3.8913494612674926,-2.9370839114866816
CYCLIN,-8.287765622938762,-7.607629699358594,-10.449365694441461,-12.976669404487454
DLG,-1.176533697740912,-0.3740625647037087,-0.37752531374454046,0.24444633635343593
FHA,-8.173433021640932,-7.447683674542002,-10.310700011767192,-15.174075711255066
GBD,-9.819412616422408,-9.252098592400799,-13.316341940852894,-11.777159542695827
IRF7,-7.23536267830884,-5.94264463531737,-6.158862689521909,-8.436588101046627
Integrin,-11.620258792040003,-9.293717457914175,-12.326565086860738,-16.890665447796376
LIR,5.236839757009359,9.15494543428199,11.238307999954833,12.042904982240822
MAPK,-0.2728959404897136,-0.25609089249226585,2.124667050532588,1.5602348492812228
MSH2,-4.602860378045974,-13.764752365626075,-8.061869642813848,-12.594733680019326
MYND,1.4239941905308606,-2.0020668794104615,-0.45100909029923936,-1.6882613432035634
NRBOX,-4.5673978270580475,-7.16738562915399,-5.016123874731251,-3.0854941611070923
NRP,-9.571964702117908,-6.337423366148878,-7.4087145170241335,-8.16917987642898
PCNA,-7.522152738970746,-3.880969107591391,-3.496651570860462,-4.50423815186395
PDZ,-16.237999890412,-14.271094635522276,-17.60525989892479,-17.130216538451077
PP1,-11.16209032024612,-8.037394435322886,-12.125720435449805,-10.23827420316171
PP2A,-7.5781099112906,-11.030396211830354,-5.607123122761753,-6.555730315602746
PP2B,-5.2804004964016755,-2.734427599191781,-2.6542069362954135,-2.5311260063611525
PP4,-17.45440980839054,-17.346625653091973,-21.456801120815904,-22.723254183200382
PTB,4.671535376695163,7.658171958729003,4.503699698880968,4.891081130441276
Pex14,-8.538394105330537,-8.11711880622378,-5.298768838620854,-10.100865110149847
REV1ctd,7.896601538490633,4.65469095719595,5.088957290913301,6.528380650456145
SH2,-11.02141810009269,-13.510224364140607,-6.255734784975688,-8.506012854225219
SH3,-8.52105079626034,-13.024553255584186,-20.260618394552328,-13.67775913128784
SUMO,-9.399296703989096,-7.348728435773684,-16.528909954901625,-35.0460220524838
TRAF2like,-5.5225396087646175,-8.4501704084202,-19.138820867276717,-13.552278858812246
TRAF4,-5.822245378919776,-7.559693364548898,-4.752589732898882,-6.292980762301921
TRAF6,-7.068835780989419,-13.361984556997154,-6.870947017841588,-13.620563281150536
TYR,-9.416858745742049,-4.5132624557856165,-8.901462776445683,-8.116429409589657
UBA3,10.116477193377046,20.70212095832766,4.742902515338221,11.774948344847587
USP7,-48.94395207469023,-41.46978665130905,-28.735348802378464,-40.91383745762984
WD40,-18.53390165698534,-38.210157426979436,-13.44278477664577,-21.010340602476493
WRC,-10.854341524267477,-16.378202505435233,-25.20233766159237,-15.434874667172542
WW,-8.909441201473049,-11.700185784199503,-10.531499824520738,-10.78638076641518
deltaCOP1,-6.002693029678704,-1.084015094638734,-6.8149180206043845,-3.1502814635293617
eIF4E,-1.7912484727063411,-4.925209404125385,-4.380579596403726,-4.175161581846444
