motif,contrast,log_effect,se_log_effect,z,logFC,pvalue,qvalue,neglog10_q
TRAF2like,EM_vs_CM,-0.40647906728353844,0.05516693040785231,-7.368165389634971,-0.5864253345951322,1.7299209441821782e-13,7.611652154401584e-12,11.118521066795385
PP1,EM_vs_CM,-0.21382632485071887,0.04239849200007877,-5.043253067828959,-0.3084861784736446,4.576832912669301e-07,1.0069032407872462e-05,4.997012261334343
deltaCOP1,EM_vs_CM,-0.6411138157536918,0.1357236924156105,-4.723669127645638,-0.9249317226332517,2.316271575017337e-06,3.397198310025428e-05,4.468879100631901
Actin,EM_vs_CM,-0.24309502912611242,0.06530908948246325,-3.7222235228281373,-0.3507119929850005,0.00019747608719790605,0.0021722369591769663,2.663092801343872
Arc,EM_vs_CM,-0.18198836908078997,0.0628792505295039,-2.8942515622923697,-0.26255371757232604,0.003800635351919539,0.03344559109689195,1.4756611241888493
MYND,EM_vs_CM,0.1761724013601589,0.06979411547158625,2.5241727066786903,0.25416304978380133,0.011597093824890669,0.0692884761549724,1.1593389898971305
GBD,EM_vs_CM,-0.30477504796623467,0.12083755178864192,-2.5221882060248917,-0.4396974502875827,0.011662729037004623,0.0692884761549724,1.1593389898971305
MAPK,EM_vs_CM,0.07225246681625523,0.02923242960631797,2.4716545216836647,0.10423827556780582,0.013448941551014556,0.0692884761549724,1.1593389898971305
SH2,EM_vs_CM,0.06791983982586922,0.027690086710297282,2.4528576070009724,0.09798761609475423,0.014172642849880717,0.0692884761549724,1.1593389898971305
MSH2,EM_vs_CM,0.11577288806948466,0.05041982374431291,2.2961779608073942,0.16702497148723855,0.021665708146633284,0.09532911584518645,1.0207744349369063
CYCLIN,EM_vs_CM,-0.0688546742136603,0.03242515570660738,-2.1234955611833675,-0.0993362970300729,0.03371234706361484,0.13409172839085112,0.8725980112983314
BRCT,EM_vs_CM,0.1099034718246866,0.05257213300512587,2.090527158446678,0.15855719377795527,0.03657047137932303,0.13409172839085112,0.8725980112983314
PP2B,EM_vs_CM,-0.17444658732486393,0.098368672110015,-1.773395773094952,-0.2516732264335847,0.07616314893032898,0.25778296561034425,0.5887457843676196
CDC14,EM_vs_CM,-0.15652905295233943,0.0983759926242206,-1.5911306079548648,-0.22582368844938605,0.11158018547732237,0.32967123654638736,0.4819189429208959
USP7,EM_vs_CM,0.03276754793644723,0.020640312889552724,1.5875509306369486,0.04727357891000381,0.11238792154990478,0.32967123654638736,0.4819189429208959
PCNA,EM_vs_CM,0.08510813551086455,0.05555533381908682,1.531952553611053,0.12278508504083017,0.12553414347013758,0.34521889454287835,0.4619054424726276
TYR,EM_vs_CM,-0.2466441940484086,0.1649943822034058,-1.4948641932811055,-0.3558323556176943,0.13494988884910178,0.34928206525649874,0.4568237137041945
PDZ,EM_vs_CM,0.06822820031247995,0.048214535273016126,1.4150960893045197,0.09843248623959365,0.15704032466511425,0.3659875322242259,0.436533709082223
CKS1,EM_vs_CM,-0.17410924105765002,0.12335083932289831,-1.4114962007018068,-0.2511865386468128,0.1580983550904964,0.3659875322242259,0.436533709082223
WRC,EM_vs_CM,-0.11395494651713822,0.08233729476383234,-1.384001585721205,-0.16440223622504238,0.16635796919282997,0.3659875322242259,0.436533709082223
F_14_3_3,EM_vs_CM,0.045245815443572535,0.03880430850810834,1.1659997867019898,0.06527591356141937,0.24361453171563396,0.5088871980705838,0.2933784744111145
NRBOX,EM_vs_CM,-0.06707599795298018,0.05885808395228396,-1.139622519947446,-0.09677020960944277,0.2544435990352919,0.5088871980705838,0.2933784744111145
PTB,EM_vs_CM,-0.10840881364060426,0.10891621996054564,-0.9953413153695089,-0.15640085782795557,0.31957029000809845,0.5951599514623656,0.2253663003184879
eIF4E,EM_vs_CM,0.11027157901932186,0.111952838465168,0.984982431272886,0.15908826020217112,0.32463270079765394,0.5951599514623656,0.2253663003184879
BIR,EM_vs_CM,-0.03169776790697337,0.03317416183982238,-0.9554956673818135,-0.045730212566639825,0.339327095333556,0.5972156877870585,0.22386879265855314
SH3,EM_vs_CM,0.03392063508960841,0.03903295204632721,0.8690256132651426,0.04893713202758221,0.38483312138540327,0.6308497974043857,0.20007403207690103
REV1ctd,EM_vs_CM,-0.05259614757318984,0.061007573265274756,-0.8621248929946757,-0.07588020127370507,0.38861879440551783,0.6308497974043857,0.20007403207690103
TRAF4,EM_vs_CM,0.08733490045061809,0.10408974342075207,0.8390346404985602,0.12599762777663803,0.4014498710755182,0.6308497974043857,0.20007403207690103
APCC,EM_vs_CM,-0.1687217006830839,0.22314527649191743,-0.7561069780887574,-0.24341396086583716,0.4495850585238613,0.6821290543120654,0.16613345192219287
SUMO,EM_vs_CM,-0.07100111638407103,0.0985647492625786,-0.7203499924189177,-0.1024329585048794,0.47130953149728794,0.6912539795293556,0.16036235545915872
Integrin,EM_vs_CM,0.1333846898743416,0.19561162613743344,0.6818852872304623,0.19243343061222495,0.49531148933711255,0.7030227590591275,0.15303061527348985
UBA3,EM_vs_CM,-0.029511567211349787,0.05151551837182009,-0.5728675192268499,-0.042576191664675675,0.566734398360808,0.779259797746111,0.10831772856947873
PP2A,EM_vs_CM,0.06250338550572093,0.12110000461878712,0.5161303313115179,0.09017332430787471,0.6057633848940147,0.8076845131920196,0.09275824434379161
LIR,EM_vs_CM,-0.013842697468051307,0.03174213073960247,-0.43609855877698617,-0.01997079098968383,0.6627652227920515,0.8576961706720666,0.06666652889833491
TRAF6,EM_vs_CM,-0.06397378507295631,0.15855819495072485,-0.4034719561031674,-0.09229466247165047,0.6866010612893543,0.8631556199066168,0.06391089747847274
PP4,EM_vs_CM,0.02041288801363228,0.055231313511168646,0.36958903773860946,0.029449572307489055,0.7116887202713402,0.8698417692205269,0.06055974163913246
WD40,EM_vs_CM,-0.010211248022753638,0.03266138492138909,-0.3126397746859337,-0.014731716883713908,0.7545543560172725,0.8968705824394808,0.04727022070996306
