motif,Naive,CM,EM,PD1_Low
LYPXL,-0.4692493496841323,-0.3169825343738387,-0.1467391304347826,-0.14814814814814814
DLG,9.9877796578305e-05,-0.15376480541455162,-0.052770727580372254,-0.01567102212195275
EVH1,0.015333706189410885,-0.14890939597315436,-0.1310123042505593,0.04259880686055182
PP2B,-0.14449066105692612,0.007307005800981703,-0.008226025796306921,-0.041483393893032454
deltaCOP1,-0.041494909749547185,0.13836581100493411,-0.07540128661545187,-0.023785730643515912
Integrin,0.03360456416011972,-0.07439206883651328,0.13333333333333333,0.04726586856216486
GBD,0.042115776490776496,0.11747908622908623,0.12311641999142,0.08423602173602174
ANK,-0.10744956592342764,-0.1023124726750359,-0.04460995565548685,-0.09698540586679989
PP1,-0.008056586270871984,0.10443001443001443,0.00987219130076273,0.017256922971208687
CDC14,0.1027388996138996,0.03257722007722008,0.052009598884598884,0.08758758758758757
CKS1,-0.10177149299558626,-0.09630349261178277,-0.03850028785261946,-0.08030928164779633
TRAF2like,0.0868572785239452,0.05171279337946005,-0.10093610093610093,0.0010378510378510435
Clathr,-0.10018674136321196,0.03876050420168067,0.01226657329598506,0.018767507002801123
TRFH,0.06646159582401193,-0.022153865274670642,0.08028834203330848,0.09573079791200596
PP2A,-0.031421070688086396,-0.0018104592711922554,0.08776532271296669,0.01115175787950657
IRF7,0.08599320882852292,-0.04473212601395963,0.03459252971137521,-0.012566811293466642
NRP,0.020663020533486856,0.04239589330262905,0.05307642487046633,0.0833597198234504
APCC,0.0805980003772873,-0.015162233540841352,0.004673646481795888,0.018820348361944288
PTB,0.0024825814470528507,0.08032885177599217,0.029759247588537013,0.023558082266921087
Actin,-0.022508446685223116,0.0786887505908303,0.00853859216077587,-0.014363011979996383
WW,-0.024112751992498828,-0.0023502109704641363,0.07600351617440225,0.0006108766994842955
eIF4E,0.06927268752732496,-0.010024358253700578,-0.07113078508525389,-0.0013584410717631622
PDZ,-0.0334229033970276,-0.06707825585338523,0.03191440345600377,-0.035241489000943614
REV1ctd,0.03354895991882293,0.05091958396752917,0.0670662100456621,0.028813630982580756
CSL,0.03545751633986928,0.054516806722689076,0.04591503267973856,0.06552287581699347
TYR,-0.05193940702360392,0.05911773172135867,0.05369890616004606,0.017491844175782
WRC,0.006533659215320115,-0.04812709397484484,0.05893337727247762,-0.0031245613713895143
BIR,-0.05563702526918951,0.004911096174996944,0.0022474891486867535,-0.014112364839482035
Arc,-0.05412844430701573,0.017068645640074213,0.011152769188483475,0.00028258778258778125
CYCLIN,-0.012174076499551288,0.053994154599917535,0.019074862354168182,0.0027886924252346645
BRCT,-0.05334620755869774,-0.026166161672838813,0.04068317560069328,-0.04187448305672972
MYND,0.03524284357617691,-0.03705399538732872,0.017874101207434538,-0.05172070727626283
SH2,-0.022068155688845344,0.007065254910082497,0.05165742665742666,0.012184819656084025
UBA3,0.04563221331514014,0.02659727354849306,-0.008396977909173032,0.033159403078102265
MSH2,0.04329855155326853,-0.03911461311225462,0.014177744425385934,0.019870481545009845
TRAF6,0.00011485954318718808,-0.001265278142411251,0.04277697558414282,0.0280767772235349
WD40,-0.009617271530417072,-0.027053059095312616,0.04214003154730854,-0.013650007038113456
LIR,-0.01537315013877514,0.04143365666803167,0.007211757211757212,-0.0009744593077926425
SH3,-0.006793289139436961,-0.009736195932073633,0.036918323937780564,-0.006643583765412766
TRAF4,0.027115829000577702,-0.030726458694396303,0.006389720427848678,-0.015559261009867596
PP4,-0.009656788247213778,0.014527749634132612,0.02904494540132838,-0.007276070396637773
14-3-3,-0.01245923854701049,-0.02092615957019558,0.027781408736022386,-0.02491900331985353
USP7,-0.009370486397566154,0.01522500811364554,0.024866775178933757,0.004725734006208487
Pex14,-0.018162095398717472,-0.010475623874453307,-0.008109891471095483,-0.023524322925103303
NRBOX,-0.00727448703058459,-0.01921796360820751,-0.023002322880371663,0.02061040134210866
PCNA,-0.00023758380524636913,0.022799908871965112,-0.009718154006378961,0.008446700948165508
SUMO,0.003446226975638741,0.003613339275103981,0.020729352346999408,0.0002645944741532979
MAPK,-0.012558709600205503,-0.019251202652841998,0.003898040142917192,0.00123062716983482
FHA,0.0005042615336732989,0.015377067256152222,0.019088784611660428,-0.00116136989775334
