ELM,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars
14-3-3,258,341,1579972.0,0.9061522434560335,-0.002293502668596442,3167208,-0.20316617133916154,-0.4134510828839844,-2.375816255768427,-2.3179305235173517,Naive_High,0.9652491288988183,
ANK,6,593,56665.0,0.23360699757982395,-0.11521766285678596,128088,-2.695235648812284,-0.2988739925397446,-5.420779315594892,-2.3338511101641823,Naive_High,0.8286362851068138,
APCC,10,589,120385.0,0.07150101847100528,0.135493303150349,212040,2.950903587069703,-0.3784596389467558,-1.0390048285024345,-2.359543096553396,Naive_High,0.7317839316083918,
Actin,22,577,232806.0,0.712384671278333,0.018880310908040543,456984,-0.5839242060730627,-0.3129243655725042,-2.0606445942135947,-2.359543096553396,Naive_High,0.9452572036948148,
Arc,60,539,544640.5,0.04476908243588755,-0.06438449117020545,1164240,-2.842565711932113,-0.04239285482934239,-2.929277761707329,-2.2193477070935517,Naive_High,0.7317839316083918,
BIR,98,501,847436.5,0.11441493689919215,-0.04110543086163274,1767528,-1.1865530717483195,-0.15393511065390617,-3.3560328175862537,-2.209333762613924,Naive_High,0.7317839316083918,
BRCT,67,532,629099.0,0.5240229582904932,-0.019471876207932767,1283184,-1.8328633024783116,-0.13271024474228457,-2.3887569466501573,-2.344547109529437,Naive_High,0.9452572036948148,
CDC14,7,592,76830.0,0.7378587364013349,0.030003217503217505,149184,0.032477515724751715,-0.32707944945779666,-0.6630121930702744,-2.375816255768427,Naive_High,0.9452572036948148,
CKS1,20,579,198243.0,0.361556538818251,-0.04892055267702936,416880,0.12770505951163383,-0.33844178352189114,-2.7359511132662333,-2.320537540308479,Naive_High,0.8504382967375986,
CSL,4,595,42210.0,0.9011171569724923,-0.014705882352941176,85680,-2.085479160693597,-0.3110281929851562,-1.2891515059390481,-2.354644023721212,Naive_High,0.9652491288988183,
CYCLIN,90,509,817717.5,0.7575368388504328,-0.008322418685876446,1649160,-1.4090719214719447,-0.13081968278284342,-1.661480634271793,-2.414277155567019,Naive_High,0.9452572036948148,
Clathr,4,595,38841.0,0.42998294042009966,-0.09334733893557423,85680,-1.398907058799794,-0.3156438037541901,-2.2242969461038857,-2.354644023721212,Naive_High,0.878821439383972,
DLG,8,591,83031.0,0.7716385336284202,-0.02435843203609701,170208,-3.08507924719263,-0.28548740692284474,-3.0635026682760778,-2.3338511101641823,Naive_High,0.9452572036948148,
EVH1,3,596,32062.0,0.9779267084484237,-0.0037907034551329854,64368,-1.5904642017945076,-0.31649714574422627,-2.079815844723001,-2.349944639441086,Naive_High,0.9926414016867069,
FHA,221,378,1537713.5,0.25692158248674857,0.022630752205915605,3007368,-0.04951804980417158,-0.48269894831275206,-1.953448903953574,-2.6871260626394156,Naive_High,0.8286362851068138,
GBD,7,592,77660.0,0.6463465240126228,0.04113041613041613,149184,-1.3808381256444835,-0.3103679469416064,-2.0149241682914463,-2.354644023721212,Naive_High,0.9452572036948148,
IRF7,10,589,118408.0,0.12012900206176219,0.11684587813620072,212040,3.9517398596325606,-0.3954517658153954,-0.7188309801522593,-2.354644023721212,Naive_High,0.7317839316083918,
Integrin,5,594,52782.5,0.9047849237977402,-0.01267302656191545,106920,0.08479391073964931,-0.3263091936408091,-2.169296835050264,-2.349944639441086,Naive_High,0.9652491288988183,
LIR,192,407,1398029.5,0.7680481946814913,-0.006087408431158431,2813184,-1.0439013354676843,0.017261338921014894,-2.2046216940911645,-2.419304238471544,Naive_High,0.9452572036948148,
LYPXL,1,598,6034.0,0.06255784314448466,-0.43942772203641767,21528,-11.011493340167101,-0.3050036758006275,-16.447484968180362,-2.3338511101641823,Naive_High,0.7317839316083918,
MAPK,183,416,1328592.0,0.14547404813244666,-0.03043996076782962,2740608,-1.2365995928513682,0.07907219717033229,-2.6128862141440803,-2.2680034818845467,Naive_High,0.7317839316083918,
MSH2,16,583,164777.0,0.7552590972272359,-0.018623737373737372,335808,-0.6890185212719658,-0.3128291511639636,-2.4210412230575793,-2.3338511101641823,Naive_High,0.9452572036948148,
MYND,14,585,161511.0,0.1338085001841551,0.09558404558404558,294840,5.6897071100286745,-0.46676853163990367,-1.0761504991219377,-2.3825212777797473,Naive_High,0.7317839316083918,
NRBOX,25,574,245744.0,0.31285561114120963,-0.04861014324428958,516600,-2.8601643497178126,-0.21236861102090054,-3.157259988152922,-2.3016669877439364,Naive_High,0.8286362851068138,
NRP,20,579,212587.5,0.7105765891352651,0.019897812320092113,416880,-0.8740858252946259,-0.303837607880915,-1.5289643703909408,-2.3815886827140993,Naive_High,0.9452572036948148,
PCNA,30,569,296065.0,0.40934579588353426,-0.036434941092234586,614520,-2.631373145026091,-0.20116431830959516,-3.338221946474977,-2.2734253835603617,Naive_High,0.878821439383972,
PDZ,128,471,1062059.0,0.3644735557446851,-0.021309750235904694,2170368,-0.14970696815236728,-0.3699388525380876,-2.7326648870186694,-2.1836462325767507,Naive_High,0.8504382967375986,
PP1,49,550,495741.0,0.5325445548534565,0.021935683364254794,970200,-0.15145315910228535,-0.33814997576896405,-1.3967324745503205,-2.428952463339286,Naive_High,0.9452572036948148,
PP2A,26,573,261518.5,0.6001193701255877,-0.024781477006607898,536328,-4.259300113051032,-0.1442615855665192,-0.9701700298850802,-2.432946054101653,Naive_High,0.9452572036948148,
PP2B,18,581,167861.0,0.05495744926564338,-0.10827967956482012,376488,-3.4221279330594307,-0.22685953300150172,-2.870842140966148,-2.3338511101641823,Naive_High,0.7317839316083918,
PP4,35,564,357221.0,0.8963670964081158,0.0053501069458516265,710640,1.3241970918183434,-0.4250896980187664,-2.3274774436350185,-2.349944639441086,Naive_High,0.9652491288988183,
PTB,22,577,231963.5,0.7667332434816134,0.015193092099504578,456984,-1.4290943377245533,-0.2806995078665547,-1.262893567664281,-2.3825212777797473,Naive_High,0.9452572036948148,
Pex14,92,507,840869.0,0.9546143552763097,0.001520976855425016,1679184,0.2524964998808281,-0.4272847523826005,-2.569461178592115,-2.3179305235173517,Naive_High,0.9926414016867069,
REV1ctd,15,584,165247.0,0.43630146276830506,0.04798959918822932,315360,1.3189586756214056,-0.3650480678138072,-2.0894529558437274,-2.375816255768427,Naive_High,0.878821439383972,
SH2,222,377,1463172.5,0.1493436595119167,-0.028755214100041688,3012984,-1.3593330965054236,0.2874489547884926,-2.435546623149283,-2.296962207071962,Naive_High,0.7317839316083918,
SH3,103,496,947258.5,0.23841049197540698,0.03009458624769461,1839168,0.26112172966118796,-0.44415167262912236,-1.6402621541546112,-2.5741991960788937,Naive_High,0.8286362851068138,
SUMO,55,544,544836.5,0.726807653850988,0.011654226084373144,1077120,-0.11153411325492729,-0.3442450647792668,-2.2961533955739095,-2.354644023721212,Naive_High,0.9452572036948148,
TRAF2like,14,585,159822.0,0.1869890194053534,0.08412698412698413,294840,2.782287723818178,-0.3971892642776014,-1.8640398869601664,-2.3650884747267176,Naive_High,0.763538495905193,
TRAF4,22,577,237363.0,0.4483782853999857,0.038824116380442204,456984,4.3989099767069915,-0.5029111108431474,-1.3967005838896607,-2.3650884747267176,Naive_High,0.878821439383972,
TRAF6,13,586,140012.0,0.750060082868347,0.021061229252355533,274248,0.610445545666426,-0.34358273645495874,-1.134656234920285,-2.3650884747267176,Naive_High,0.9452572036948148,
TRFH,3,596,32225.0,0.9926414016867069,0.0012739249316430525,64368,-2.882771596741807,-0.3099922427495251,-1.4263423213591708,-2.359543096553396,Naive_High,0.9926414016867069,
TYR,20,579,197356.0,0.3213079472863155,-0.0531759739013625,416880,-1.7787056098594438,-0.27258994692876237,-3.33782372280084,-2.307604636469721,Naive_High,0.8286362851068138,
UBA3,66,533,652742.0,0.31583588787294725,0.030855774758213782,1266408,-0.2808023896344549,-0.3280876805873699,-1.1931205284100328,-2.432946054101653,Naive_High,0.8286362851068138,
USP7,301,298,1629022.5,0.6420435308469736,0.008955049164975807,3229128,-0.1425005795113507,-0.5050705269665293,-2.304670163919112,-2.4218316512301916,Naive_High,0.9452572036948148,
WD40,315,284,1661205.0,0.10111637325752852,0.03162493479394888,3220560,0.2951885372182075,-1.0084087348333715,-2.0791512372357888,-2.819556045747512,Naive_High,0.7317839316083918,
WRC,21,578,221069.0,0.8212886382111614,0.011831529997619963,436968,0.14981260372050112,-0.34005148122330947,-2.992703065288147,-2.320537540308479,Naive_High,0.9652491288988183,
WW,125,474,1100225.5,0.182161701620004,0.03162259728082513,2133000,0.6650746940050296,-0.5834135616446644,-1.6332728757268584,-2.6076536231907754,Naive_High,0.763538495905193,
