ELM,contrast,effect_low,effect_high,diff,pvalue,qvalue
14-3-3,PD1Low_vs_PD1High,-0.02491900331985353,0.02118301039906441,-0.046102013718917936,0.00649761902825678,0.06367666647691644
ANK,PD1Low_vs_PD1High,-0.09698540586679989,-0.0725959236358337,-0.024389482230966195,1.0,1.0
APCC,PD1Low_vs_PD1High,0.018820348361944288,0.027919260516883603,-0.009098912154939316,0.4290061108260317,0.7007099810158517
Actin,PD1Low_vs_PD1High,-0.014363011979996383,0.057508942690918434,-0.07187195467091481,0.1330207343015058,0.3430534726723044
Arc,PD1Low_vs_PD1High,0.00028258778258778125,-0.017553940768226483,0.017836528550814263,0.26861449461532527,0.5471953666324899
BIR,PD1Low_vs_PD1High,-0.014112364839482035,-0.018206595124188506,0.004094230284706471,0.042252850344294546,0.1380259777913622
BRCT,PD1Low_vs_PD1High,-0.04187448305672972,0.01598835396950087,-0.05786283702623059,0.025894643915525282,0.10573646265506158
CDC14,PD1Low_vs_PD1High,0.08758758758758757,0.0372962247962248,0.05029136279136277,0.3015158142668822,0.5471953666324899
CKS1,PD1Low_vs_PD1High,-0.08030928164779633,-0.07740756732552932,-0.0029017143222670044,0.02356587477534413,0.10573646265506158
CSL,PD1Low_vs_PD1High,0.06552287581699347,0.02507002801120448,0.04045284780578899,1.0,1.0
CYCLIN,PD1Low_vs_PD1High,0.0027886924252346645,0.037807934544454955,-0.03501924211922029,0.03266911932275627,0.1231374497550044
Clathr,PD1Low_vs_PD1High,0.018767507002801123,-0.051540616246498604,0.07030812324929972,1.0,1.0
DLG,PD1Low_vs_PD1High,-0.01567102212195275,-0.12195274801027763,0.10628172588832488,0.03936137747513073,0.13776482116295755
EVH1,PD1Low_vs_PD1High,0.04259880686055182,-0.21899080288342035,0.26158960974397216,0.012541430774669288,0.0768162634948494
FHA,PD1Low_vs_PD1High,-0.00116136989775334,0.02447477883207731,-0.02563614872983065,0.11578323543285421,0.3337990436076606
GBD,PD1Low_vs_PD1High,0.08423602173602174,0.10423816673816673,-0.02000214500214499,0.2789744414838712,0.5471953666324899
IRF7,PD1Low_vs_PD1High,-0.012566811293466642,0.06313588631075898,-0.07570269760422561,0.7207740123705731,0.9294191212146864
Integrin,PD1Low_vs_PD1High,0.04726586856216486,0.014431350542461654,0.032834518019703204,0.6976585112446816,0.9239261365132269
LIR,PD1Low_vs_PD1High,-0.0009744593077926425,0.023155968468468468,-0.02413042777626111,0.1288729068879697,0.3430534726723044
LYPXL,PD1Low_vs_PD1High,-0.14814814814814814,-0.4738325281803542,0.32568438003220607,0.004890692929295311,0.05991098838386756
MAPK,PD1Low_vs_PD1High,0.00123062716983482,-0.01983854190992169,0.021069169079756513,0.514292336513333,0.7411860143868622
MSH2,PD1Low_vs_PD1High,0.019870481545009845,-0.0076293596340766155,0.02749984117908646,0.46907298868795455,0.7186811725958695
MYND,PD1Low_vs_PD1High,-0.05172070727626283,0.06242934020711799,-0.11415004748338081,0.5543664826937629,0.776113075771268
NRBOX,PD1Low_vs_PD1High,0.02061040134210866,-0.053606917021551174,0.07421731836365983,1.0,1.0
NRP,PD1Low_vs_PD1High,0.0833597198234504,-0.005936160685728907,0.0892958805091793,0.02487680499543778,0.10573646265506158
PCNA,PD1Low_vs_PD1High,0.008446700948165508,0.00011607975872768063,0.008330621189437826,1.0,1.0
PDZ,PD1Low_vs_PD1High,-0.035241489000943614,-0.010483014861995758,-0.024758474138947856,0.02443360573256633,0.10573646265506158
PP1,PD1Low_vs_PD1High,0.017256922971208687,0.05357349000206143,-0.036316567030852745,0.0010844166706859737,0.026568208431806357
PP2A,PD1Low_vs_PD1High,0.01115175787950657,0.025204103956285456,-0.014052346076778886,0.18077395626099987,0.42180589794233303
PP2B,PD1Low_vs_PD1High,-0.041483393893032454,-0.0554563934751351,0.013972999582102644,0.008163263760988542,0.06666665404807309
PP4,PD1Low_vs_PD1High,-0.007276070396637773,0.029886674922135915,-0.037162745318773685,0.3585793056023321,0.6275137848040812
PTB,PD1Low_vs_PD1High,0.023558082266921087,0.0514890382741336,-0.02793095600721251,0.11580783145571899,0.3337990436076606
