ELM,tsubset,cliff_delta,pvalue,qvalue
14-3-3,Naive,-0.01245923854701049,0.5558289133212511,0.8511130235231656
14-3-3,CM,-0.02092615957019558,0.10262307726314579,0.3756690454857804
14-3-3,EM,0.027781408736022386,0.00605381875186084,0.07336441992101747
ANK,Naive,-0.10744956592342764,0.25808833858276636,0.6716008299026776
ANK,CM,-0.1023124726750359,0.28055772710242644,0.6598883000443879
ANK,EM,-0.04460995565548685,0.7711168703373108,0.8996363487268626
APCC,Naive,0.0805980003772873,0.2068388798200559,0.6716008299026776
APCC,CM,-0.015162233540841352,0.951767605349639,0.9981545523747924
APCC,EM,0.004673646481795888,0.7089495581723718,0.847281179279176
Actin,Naive,-0.022508446685223116,0.4366736614812654,0.7840030939225849
Actin,CM,0.0786887505908303,0.05409719093559562,0.23386360895156708
Actin,EM,0.00853859216077587,0.7015961537405551,0.847281179279176
Arc,Naive,-0.05412844430701573,0.04506047525807444,0.27599541095570596
Arc,CM,0.017068645640074213,0.6562990399810738,0.8111878404667833
Arc,EM,0.011152769188483475,0.8664924368133947,0.9649574864512804
BIR,Naive,-0.05563702526918951,0.006545531579554842,0.08374890238539262
BIR,CM,0.004911096174996944,0.26972661991647295,0.6598883000443879
BIR,EM,0.0022474891486867535,0.9023753790973373,0.9669556140885093
BRCT,Naive,-0.05334620755869774,0.01603833437834512,0.11226834064841584
BRCT,CM,-0.026166161672838813,0.4205955848545282,0.7416518745374934
BRCT,EM,0.04068317560069328,0.03355294712226131,0.20551180112385053
CDC14,Naive,0.1027388996138996,0.15924448933918,0.6002292290476785
CDC14,CM,0.03257722007722008,0.839803930218145,0.9301614829292705
CDC14,EM,0.052009598884598884,0.6661410217792112,0.847281179279176
CKS1,Naive,-0.10177149299558626,0.010731512634377882,0.10516882381690325
CKS1,CM,-0.09630349261178277,0.02504570870191214,0.15340496579921187
CKS1,EM,-0.03850028785261946,0.5358323486470717,0.8345108494939542
CSL,Naive,0.03545751633986928,0.7867225484254312,0.9402293871425886
CSL,CM,0.054516806722689076,0.7303477136948108,0.8728545846596519
CSL,EM,0.04591503267973856,0.8070228750056587,0.9196307180297042
CYCLIN,Naive,-0.012174076499551288,0.7828723676778853,0.9402293871425886
CYCLIN,CM,0.053994154599917535,0.013910430645489025,0.11201786822312776
CYCLIN,EM,0.019074862354168182,0.007486165298063008,0.07336441992101747
Clathr,Naive,-0.10018674136321196,0.44800176795576285,0.7840030939225849
Clathr,CM,0.03876050420168067,0.4727041152509386,0.7416518745374934
Clathr,EM,0.01226657329598506,0.9669556140885093,0.9669556140885093
DLG,Naive,9.9877796578305e-05,0.903411379750205,0.9674903035496264
DLG,CM,-0.15376480541455162,0.016002552603303966,0.11201786822312776
DLG,EM,-0.052770727580372254,0.4593754816025327,0.8345108494939542
EVH1,Naive,0.015333706189410885,0.9745478092697448,0.9797999535593508
EVH1,CM,-0.14890939597315436,0.006331249708933395,0.07755780893443409
EVH1,EM,-0.1310123042505593,0.2634143597376585,0.5378043177977194
FHA,Naive,0.0005042615336732989,0.26041664832960965,0.6716008299026776
FHA,CM,0.015377067256152222,0.43860159133318444,0.7416518745374934
FHA,EM,0.019088784611660428,0.06908482854611431,0.27389399609183296
GBD,Naive,0.042115776490776496,0.7734166695163438,0.9402293871425886
GBD,CM,0.11747908622908623,0.14874148846998914,0.4858888623352978
GBD,EM,0.12311641999142,0.10172842600308862,0.3115433046344589
IRF7,Naive,0.08599320882852292,0.21642169418103685,0.6716008299026776
IRF7,CM,-0.04473212601395963,0.5615071167271536,0.7690137363343996
IRF7,EM,0.03459252971137521,0.6999779554054355,0.847281179279176
Integrin,Naive,0.03360456416011972,0.7734698622164325,0.9402293871425886
Integrin,CM,-0.07439206883651328,0.5513370510657309,0.7690137363343996
Integrin,EM,0.13333333333333333,0.16840364778277717,0.39294184482648004
LIR,Naive,-0.01537315013877514,0.48578988405155166,0.7934568106175344
LIR,CM,0.04143365666803167,0.013505819159970511,0.11201786822312776
LIR,EM,0.007211757211757212,0.06063053314306632,0.27389399609183296
LYPXL,Naive,-0.4692493496841323,0.01537573088791433,0.11226834064841584
LYPXL,CM,-0.3169825343738387,0.0036452691050092856,0.05953939538181833
LYPXL,EM,-0.1467391304347826,0.633136987371911,0.847281179279176
MAPK,Naive,-0.012558709600205503,0.36641558001708485,0.7806244965581373
MAPK,CM,-0.019251202652841998,0.27528820957259825,0.6598883000443879
MAPK,EM,0.003898040142917192,0.9553220854836442,0.9669556140885093
MSH2,Naive,0.04329855155326853,0.2261109692283504,0.6716008299026776
MSH2,CM,-0.03911461311225462,0.5806838417218936,0.7690137363343996
MSH2,EM,0.014177744425385934,0.557149989911792,0.8345108494939542
MYND,Naive,0.03524284357617691,0.3135172677057855,0.7524233488191974
MYND,CM,-0.03705399538732872,0.6482585252450299,0.8111878404667833
MYND,EM,0.017874101207434538,0.11421397109854026,0.32920497551932193
NRBOX,Naive,-0.00727448703058459,0.4345721651750204,0.7840030939225849
NRBOX,CM,-0.01921796360820751,0.44906647336176075,0.7416518745374934
NRBOX,EM,-0.023002322880371663,0.5582852440912831,0.8345108494939542
NRP,Naive,0.020663020533486856,0.8394657746225265,0.9577560696403931
NRP,CM,0.04239589330262905,0.41239190900335476,0.7416518745374934
NRP,EM,0.05307642487046633,0.011612321415181093,0.09483395822397893
PCNA,Naive,-0.00023758380524636913,0.47136672174690075,0.7934568106175344
PCNA,CM,0.022799908871965112,0.4994798338721894,0.7416518745374934
PCNA,EM,-0.009718154006378961,0.9376083586663234,0.9669556140885093
PDZ,Naive,-0.0334229033970276,0.09503418007720332,0.45063361795010076
PDZ,CM,-0.06707825585338523,0.0002206986710107106,0.00540711743976241
PDZ,EM,0.03191440345600377,0.06600798933031671,0.27389399609183296
PP1,Naive,-0.008056586270871984,0.43184892410681763,0.7840030939225849
PP1,CM,0.10443001443001443,6.661054755607854e-05,0.0032639168302478483
PP1,EM,0.00987219130076273,0.09336770544647999,0.30500117112516795
PP2A,Naive,-0.031421070688086396,0.600009079694596,0.8909225728798548
PP2A,CM,-0.0018104592711922554,0.9981545523747924,0.9981545523747924
PP2A,EM,0.08776532271296669,0.024340561354561974,0.17038392948193382
PP2B,Naive,-0.14449066105692612,0.0007851860311425263,0.033334315228426725
PP2B,CM,0.007307005800981703,0.04412939626135559,0.23330631528652557
PP2B,EM,-0.008226025796306921,0.5710480660340407,0.8345108494939542
PP4,Naive,-0.009656788247213778,0.8404798162150389,0.9577560696403931
PP4,CM,0.014527749634132612,0.8542299333023913,0.9301614829292705
PP4,EM,0.02904494540132838,0.1630462926863987,0.39294184482648004
PTB,Naive,0.0024825814470528507,0.9280009034047437,0.9674903035496264
PTB,CM,0.08032885177599217,0.04761353373194399,0.23330631528652557
PTB,EM,0.029759247588537013,0.6678605132128215,0.847281179279176
Pex14,Naive,-0.018162095398717472,0.43357550211908025,0.7840030939225849
Pex14,CM,-0.010475623874453307,0.2930820177638185,0.6598883000443879
Pex14,EM,-0.008109891471095483,0.07266575406518017,0.27389399609183296
REV1ctd,Naive,0.03354895991882293,0.6959823368939024,0.9402293871425886
REV1ctd,CM,0.05091958396752917,0.448610876116905,0.7416518745374934
REV1ctd,EM,0.0670662100456621,0.1303116504189501,0.35473727058491966
SH2,Naive,-0.022068155688845344,0.2448394410314787,0.6716008299026776
SH2,CM,0.007065254910082497,0.8504323416022213,0.9301614829292705
SH2,EM,0.05165742665742666,0.0007315293580638649,0.01792246927256469
SH3,Naive,-0.006793289139436961,0.10116264892757365,0.45063361795010076
SH3,CM,-0.009736195932073633,0.7924122033773919,0.9244809039402907
SH3,EM,0.036918323937780564,0.08729514604554245,0.30500117112516795
SUMO,Naive,0.003446226975638741,0.9275350620902694,0.9674903035496264
SUMO,CM,0.003613339275103981,0.9850992412915681,0.9981545523747924
SUMO,EM,0.020729352346999408,0.5790483445468253,0.8345108494939542
TRAF2like,Naive,0.0868572785239452,0.13488641588846184,0.5507861982112192
TRAF2like,CM,0.05171279337946005,0.4773125462144492,0.7416518745374934
TRAF2like,EM,-0.10093610093610093,0.05727081314309701,0.27389399609183296
