ELM,contrast,effect_ts1,effect_ts2,diff,pvalue,qvalue
14-3-3,EM_vs_CM,0.027781408736022386,-0.02092615957019558,0.04870756830621797,0.01210763750372168,0.07755780893443409
ANK,EM_vs_CM,-0.04460995565548685,-0.1023124726750359,0.05770251701954905,0.5611154542048529,0.8086663898834644
APCC,EM_vs_CM,0.004673646481795888,-0.015162233540841352,0.01983588002263724,1.0,1.0
Actin,EM_vs_CM,0.00853859216077587,0.0786887505908303,-0.07015015843005443,0.10819438187119124,0.2945291506493539
Arc,EM_vs_CM,0.011152769188483475,0.017068645640074213,-0.0059158764515907375,1.0,1.0
BIR,EM_vs_CM,0.0022474891486867535,0.004911096174996944,-0.0026636070263101907,0.5394532398329459,0.8086663898834644
BRCT,EM_vs_CM,0.04068317560069328,-0.026166161672838813,0.0668493372735321,0.06710589424452262,0.21921258786544057
CDC14,EM_vs_CM,0.052009598884598884,0.03257722007722008,0.019432378807378803,1.0,1.0
CKS1,EM_vs_CM,-0.03850028785261946,-0.09630349261178277,0.057803204759163306,0.05009141740382428,0.175319960913385
CSL,EM_vs_CM,0.04591503267973856,0.054516806722689076,-0.008601774042950518,1.0,1.0
CYCLIN,EM_vs_CM,0.019074862354168182,0.053994154599917535,-0.034919292245749356,0.014972330596126016,0.08151602213446386
Clathr,EM_vs_CM,0.01226657329598506,0.03876050420168067,-0.026493930905695615,0.9454082305018772,1.0
DLG,EM_vs_CM,-0.052770727580372254,-0.15376480541455162,0.10099407783417937,0.03200510520660793,0.13068751292698239
EVH1,EM_vs_CM,-0.1310123042505593,-0.14890939597315436,0.01789709172259507,0.01266249941786679,0.07755780893443409
FHA,EM_vs_CM,0.019088784611660428,0.015377067256152222,0.003711717355508206,0.13816965709222861,0.3385156598759601
GBD,EM_vs_CM,0.12311641999142,0.11747908622908623,0.005637333762333774,0.20345685200617725,0.43345155427402976
IRF7,EM_vs_CM,0.03459252971137521,-0.04473212601395963,0.07932465572533484,1.0,1.0
Integrin,EM_vs_CM,0.13333333333333333,-0.07439206883651328,0.2077254021698466,0.33680729556555433,0.56908818905904
LIR,EM_vs_CM,0.007211757211757212,0.04143365666803167,-0.03422189945627446,0.027011638319941023,0.1203245706979191
LYPXL,EM_vs_CM,-0.1467391304347826,-0.3169825343738387,0.17024340393905613,0.007290538210018571,0.05953939538181833
MAPK,EM_vs_CM,0.003898040142917192,-0.019251202652841998,0.023149242795759188,0.5505764191451965,0.8086663898834644
MSH2,EM_vs_CM,0.014177744425385934,-0.03911461311225462,0.053292357537640556,1.0,1.0
MYND,EM_vs_CM,0.017874101207434538,-0.03705399538732872,0.054928096594763255,0.2284279421970805,0.44771876670627786
NRBOX,EM_vs_CM,-0.023002322880371663,-0.01921796360820751,-0.0037843592721641534,0.8981329467235215,1.0
NRP,EM_vs_CM,0.05307642487046633,0.04239589330262905,0.010680531567837277,0.023224642830362185,0.11380074986877471
PCNA,EM_vs_CM,-0.009718154006378961,0.022799908871965112,-0.03251806287834407,0.9989596677443788,1.0
