motif,Naive,CM,EM,PD1_Low
GBD,-1.9913506542555244,-1.6809042522505053,-1.9224162538683809,-1.753172992533084
Integrin,-1.2042238897645545,-1.380215125826244,-1.122264842226291,-1.1274103135987903
WRC,-1.0641365422603357,-1.2469280336223432,-1.304014430763879,-1.2298997755140644
Actin,-0.9764620291262227,-0.8468185626033585,-1.057730964983323,-0.9878267812548065
PP4,-0.8712610952788061,-0.9330512384605424,-0.8878994497955475,-0.8664372563354094
deltaCOP1,-0.871529050330994,-0.2680059225988787,-0.901764533252967,-0.7623989743804704
PP2A,-0.8820291167310156,-0.7605979537133528,-0.5397607456036227,-0.6651088691251127
APCC,-0.6868320228550806,-0.6754805104938357,-0.8700424384042487,-0.7148788380935639
TRAF2like,-0.4487487868738437,-0.41804605561332014,-0.8639055590809709,-0.6532928566308841
Arc,-0.7977714581001568,-0.7017978836802914,-0.8379715955020419,-0.7549046755437452
TRAF6,-0.8289799380772024,-0.8137882737064313,-0.8170743750264007,-0.684910334043318
MSH2,-0.5539454188375486,-0.8190213873748458,-0.678520026927717,-0.656878640653729
TYR,-0.6585936958370048,-0.5187408785454489,-0.8070976828257387,-0.6109453652382618
TRAF4,-0.30462941268357774,-0.6011357776848649,-0.5015302664822618,-0.5089088060670791
SUMO,-0.42491923079774596,-0.556411016515135,-0.5537873150608483,-0.5253968146727478
CKS1,-0.5476736080966141,-0.41344845871190256,-0.4170381217923923,-0.28991689460529046
PP2B,-0.5373794144161682,-0.1669980122599926,-0.25653551989041345,-0.19083057445818027
WW,-0.5027435597250303,-0.5229049452910306,-0.5073358733457122,-0.5275083724547449
WD40,-0.513598020798685,-0.5249461603856734,-0.5072312153680563,-0.5095025983619689
PP1,-0.31817464663277256,-0.25690081242730134,-0.5187453233968568,-0.3685891008700319
IRF7,-0.23823195282923604,-0.5123009334178662,-0.47941057314764307,-0.47387578166259353
ANK,-0.5115785718624066,-0.28282143734395526,-0.21237845392390287,-0.27036092764315195
NRP,-0.49996125259179464,-0.46329197017884766,-0.42330764567294965,-0.42588810698778334
USP7,-0.4324104975978234,-0.4840664184328311,-0.42939635816730737,-0.471631272419623
PDZ,-0.3314757541885441,-0.4634591316520938,-0.4195648943036893,-0.41327425658569705
REV1ctd,0.4504365297300934,0.4550047362786114,0.3878906365425493,0.42325022849434407
PTB,0.37374109604234146,0.4531695448519137,0.27364360110850394,0.30045709917722013
SH3,-0.372415164813155,-0.4332583176747453,-0.3775664106277298,-0.4097895350284319
CDC14,0.1652346494978201,0.41357872110692206,0.16140587887796387,0.30251810665250717
BRCT,-0.4054093933351828,-0.26180694274730054,-0.20574940323433952,-0.35375051242839844
SH2,-0.37350516916565984,-0.3606521284306064,-0.31033184234796746,-0.33063581895015876
eIF4E,-0.1638310410554135,-0.3655013430394295,-0.2891219738927079,-0.3142495293421751
Pex14,-0.3169793492805426,-0.3478417071051137,-0.27963904695508623,-0.3613516663474656
PCNA,-0.3495834079095468,-0.29460338499800204,-0.20564375518032457,-0.27490836203076685
CYCLIN,-0.335168421842218,-0.21798617268704817,-0.343228408295305,-0.3389429829729921
UBA3,0.29325089230296075,0.2674247481842209,0.17224694294992038,0.23884568342497664
NRBOX,-0.2642571199037513,-0.22532361381085697,-0.2545481505552048,-0.17890241187256253
LIR,0.16519235403942537,0.20258024768791455,0.18293499909076114,0.1942229685621953
FHA,-0.19619871834603994,-0.14956890816821058,-0.17568025501543624,-0.1960160309276221
MYND,0.15346154076324764,-0.18549554971829255,-0.007403599152865772,-0.167559787435094
DLG,-0.18355839122541784,-0.06872843992352985,0.09768633553560792,0.11086520414301876
14-3-3,-0.14019565498830322,-0.15986497097677424,-0.1322539440529392,-0.17435965393488367
MAPK,-0.010004766592986183,0.006472456821644675,0.1026715007415159,0.08541384278372598
BIR,0.011754970889090543,0.04844173754687416,0.06033415793289859,0.07547554042625813
