motif,contrast,EM_coef,CM_coef,logFC,se,zscore,pvalue,Naive_coef,Low_coef,High_coef,qvalue
14-3-3,EM_vs_CM,-0.1322539440529392,-0.15986497097677424,0.027611026923835047,0.05433226405065915,0.5081884108140727,0.6113212175390155,,,,0.9431098760560053
ANK,EM_vs_CM,-0.21237845392390287,-0.28282143734395526,0.0704429834200524,0.2713145658922716,0.25963583336702445,0.7951446929171542,,,,0.9431098760560053
APCC,EM_vs_CM,-0.8700424384042487,-0.6754805104938357,-0.19456192791041294,0.21345033751071213,-0.9115091134519697,0.3620271859740247,,,,0.8943489576307417
Actin,EM_vs_CM,-1.057730964983323,-0.8468185626033585,-0.21091240237996456,0.14171362157117232,-1.4883001368646753,0.13667175889582298,,,,0.7516946739270264
Arc,EM_vs_CM,-0.8379715955020419,-0.7017978836802914,-0.13617371182175053,0.09661662683995767,-1.4094231632337766,0.1587100788173419,,,,0.7759159408847826
BIR,EM_vs_CM,0.06033415793289859,0.04844173754687416,0.011892420386024428,0.07286248115150848,0.1632173403661017,0.8703473136453307,,,,0.9431098760560053
BRCT,EM_vs_CM,-0.20574940323433952,-0.26180694274730054,0.056057539512961024,0.08972955281193848,0.62473887093197,0.5321424568174569,,,,0.9005487730756963
CDC14,EM_vs_CM,0.16140587887796387,0.41357872110692206,-0.2521728422289582,0.25847477478031566,-0.9756187714769704,0.32925341872341884,,,,0.8943489576307417
CKS1,EM_vs_CM,-0.4170381217923923,-0.41344845871190256,-0.0035896630804897467,0.15841281367739504,-0.022660181314625428,0.981921338380669,,,,0.9860463487646839
CYCLIN,EM_vs_CM,-0.343228408295305,-0.21798617268704817,-0.1252422356082568,0.07970514728093828,-1.5713192921758625,0.11610850221181224,,,,0.7516946739270264
DLG,EM_vs_CM,0.09768633553560792,-0.06872843992352985,0.16641477545913777,0.2398703736756614,0.6937696094314424,0.48782670416222274,,,,0.8943489576307417
FHA,EM_vs_CM,-0.17568025501543624,-0.14956890816821058,-0.026111346847225658,0.05729505455540464,-0.4557347409797095,0.6485807366522779,,,,0.9431098760560053
GBD,EM_vs_CM,-1.9224162538683809,-1.6809042522505053,-0.24151200161787556,0.2526256101252822,-0.9560075936010797,0.3390683980552508,,,,0.8943489576307417
IRF7,EM_vs_CM,-0.47941057314764307,-0.5123009334178662,0.03289036027022313,0.2157002108433543,0.1524818178972887,0.8788069299612777,,,,0.9431098760560053
Integrin,EM_vs_CM,-1.122264842226291,-1.380215125826244,0.257950283599953,0.2898444024983219,0.889961239121899,0.37348669927302425,,,,0.8943489576307417
LIR,EM_vs_CM,0.18293499909076114,0.20258024768791455,-0.019645248597153414,0.06534590632991949,-0.3006347252721258,0.7636930487773849,,,,0.9431098760560053
MAPK,EM_vs_CM,0.1026715007415159,0.006472456821644675,0.09619904391987123,0.062119638270630516,1.5486092095509365,0.12147569070538417,,,,0.7516946739270264
MSH2,EM_vs_CM,-0.678520026927717,-0.8190213873748458,0.1405013604471288,0.17353974012636977,0.8096206686999601,0.41815822526960356,,,,0.8943489576307417
MYND,EM_vs_CM,-0.007403599152865772,-0.18549554971829255,0.17809195056542676,0.18387989921738315,0.9685232117453259,0.33278313228613055,,,,0.8943489576307417
NRBOX,EM_vs_CM,-0.2545481505552048,-0.22532361381085697,-0.02922453674434783,0.13917400169890326,-0.20998560354378407,0.833678909252308,,,,0.9431098760560053
NRP,EM_vs_CM,-0.42330764567294965,-0.46329197017884766,0.039984324505898006,0.1472967422939234,0.27145423505776695,0.7860416937552438,,,,0.9431098760560053
