motif,tsubset,coef,se
14-3-3,Naive,-0.14019565498830322,0.029016774461973364
ANK,Naive,-0.5115785718624066,0.14493945268770497
APCC,Naive,-0.6868320228550806,0.11400053767744117
Actin,Naive,-0.9764620291262227,0.07568831858063618
Arc,Naive,-0.7977714581001568,0.0516188755055081
BIR,Naive,0.011754970889090543,0.03891496597067441
BRCT,Naive,-0.4054093933351828,0.047935011648885216
CDC14,Naive,0.1652346494978201,0.13815374522024293
CKS1,Naive,-0.5476736080966141,0.0846440604615964
CYCLIN,Naive,-0.335168421842218,0.04257388915542465
DLG,Naive,-0.18355839122541784,0.1281240389457473
FHA,Naive,-0.19619871834603994,0.030599675998909094
GBD,Naive,-1.9913506542555244,0.1352116005068937
IRF7,Naive,-0.23823195282923604,0.11519290780603733
Integrin,Naive,-1.2042238897645545,0.15481003953726175
LIR,Naive,0.16519235403942537,0.03490061159963653
MAPK,Naive,-0.010004766592986183,0.03317755688798832
MSH2,Naive,-0.5539454188375486,0.09269713492026468
MYND,Naive,0.15346154076324764,0.09821990674256231
NRBOX,Naive,-0.2642571199037513,0.07434522241446917
NRP,Naive,-0.49996125259179464,0.07866045929125613
PCNA,Naive,-0.3495834079095468,0.06587692067544454
PDZ,Naive,-0.3314757541885441,0.035699387259994546
PP1,Naive,-0.31817464663277256,0.05320383819901975
PP2A,Naive,-0.8820291167310156,0.07213837098422692
PP2B,Naive,-0.5373794144161682,0.08954974209446388
PP4,Naive,-0.8712610952788061,0.06432288421775023
PTB,Naive,0.37374109604234146,0.0776332835809599
Pex14,Naive,-0.3169793492805426,0.04132546269643325
REV1ctd,Naive,0.4504365297300934,0.09065436376919513
SH2,Naive,-0.37350516916565984,0.03252273579092564
SH3,Naive,-0.372415164813155,0.04151832241159099
SUMO,Naive,-0.42491923079774596,0.05125298715216696
TRAF2like,Naive,-0.4487487868738437,0.09619882890411742
TRAF4,Naive,-0.30462941268357774,0.07479387172911045
TRAF6,Naive,-0.8289799380772024,0.10037979289083152
TYR,Naive,-0.6585936958370048,0.08401139380643467
UBA3,Naive,0.29325089230296075,0.047169208130779794
USP7,Naive,-0.4324104975978234,0.029008135080940894
WD40,Naive,-0.513598020798685,0.030698306659559388
WRC,Naive,-1.0641365422603357,0.07845905872653833
WW,Naive,-0.5027435597250303,0.04114999150528153
deltaCOP1,Naive,-0.871529050330994,0.14838046850503503
eIF4E,Naive,-0.1638310410554135,0.14301510300285628
14-3-3,CM,-0.15986497097677424,0.03527999256701532
ANK,CM,-0.28282143734395526,0.17619110535712218
APCC,CM,-0.6754805104938357,0.13860611521136973
Actin,CM,-0.8468185626033585,0.09201867598207523
Arc,CM,-0.7017978836802914,0.06274332478832699
BIR,CM,0.04844173754687416,0.04731258829130209
BRCT,CM,-0.26180694274730054,0.05826971102326709
CDC14,CM,0.41357872110692206,0.16784980951315154
CKS1,CM,-0.41344845871190256,0.10288253350338006
CYCLIN,CM,-0.21798617268704817,0.051756691160753515
DLG,CM,-0.06872843992352985,0.15577305900191188
FHA,CM,-0.14956890816821058,0.037203909344465595
GBD,CM,-1.6809042522505053,0.16409457463670127
IRF7,CM,-0.5123009334178662,0.14008001492755254
Integrin,CM,-1.380215125826244,0.18824739925705058
LIR,CM,0.20258024768791455,0.04243175155916234
MAPK,CM,0.006472456821644675,0.04033763347329388
MSH2,CM,-0.8190213873748458,0.1126998553614934
MYND,CM,-0.18549554971829255,0.11941855532684292
NRBOX,CM,-0.22532361381085697,0.09037606581818441
NRP,CM,-0.46329197017884766,0.09564308045612026
PCNA,CM,-0.29460338499800204,0.08009484435022783
PDZ,CM,-0.4634591316520938,0.043405121621450736
PP1,CM,-0.25690081242730134,0.0646826704870636
PP2A,CM,-0.7605979537133528,0.08767424566462985
PP2B,CM,-0.1669980122599926,0.10879838912284394
PP4,CM,-0.9330512384605424,0.07819157970728806
PTB,CM,0.4531695448519137,0.09438594679810569
Pex14,CM,-0.3478417071051137,0.05024248413392159
REV1ctd,CM,0.4550047362786114,0.11022475057066956
SH2,CM,-0.3606521284306064,0.03954286715312921
SH3,CM,-0.4332583176747453,0.050474902993529545
SUMO,CM,-0.556411016515135,0.06231146818300687
TRAF2like,CM,-0.41804605561332014,0.11695840226758708
TRAF4,CM,-0.6011357776848649,0.09094500650048387
TRAF6,CM,-0.8137882737064313,0.12202545127492828
TYR,CM,-0.5187408785454489,0.10210639488194105
UBA3,CM,0.2674247481842209,0.05735181937627746
USP7,CM,-0.4840664184328311,0.035268428802368315
WD40,CM,-0.5249461603856734,0.03732550834217868
WRC,CM,-1.2469280336223432,0.09538875440122456
WW,CM,-0.5229049452910306,0.05002700001943428
deltaCOP1,CM,-0.2680059225988787,0.18033641673276696
eIF4E,CM,-0.3655013430394295,0.17389885728350202
14-3-3,EM,-0.1322539440529392,0.041319693141913486
ANK,EM,-0.21237845392390287,0.20632083767362724
APCC,EM,-0.8700424384042487,0.1623249562126829
Actin,EM,-1.057730964983323,0.10777436526986968
Arc,EM,-0.8379715955020419,0.07347140788387099
BIR,EM,0.06033415793289859,0.05541173295189091
BRCT,EM,-0.20574940323433952,0.06823513336321255
CDC14,EM,0.16140587887796387,0.1965595346049986
CKS1,EM,-0.4170381217923923,0.12045664712715093
CYCLIN,EM,-0.343228408295305,0.06061481191232421
DLG,EM,0.09768633553560792,0.18240764856904526
FHA,EM,-0.17568025501543624,0.04357284023328729
GBD,EM,-1.9224162538683809,0.19207464555732268
IRF7,EM,-0.47941057314764307,0.16402490779075038
Integrin,EM,-1.122264842226291,0.22039213763781546
LIR,EM,0.18293499909076114,0.04969541159604311
MAPK,EM,0.1026715007415159,0.047241134455558796
MSH2,EM,-0.678520026927717,0.13196508630932055
MYND,EM,-0.007403599152865772,0.13982498338939553
NRBOX,EM,-0.2545481505552048,0.10583746726048164
NRP,EM,-0.42330764567294965,0.11202112055887758
PCNA,EM,-0.20564375518032457,0.09381026153845838
PDZ,EM,-0.4195648943036893,0.05083271947676506
PP1,EM,-0.5187453233968568,0.07575356573503997
PP2A,EM,-0.5397607456036227,0.10264092836485816
PP2B,EM,-0.25653551989041345,0.12739878415617975
PP4,EM,-0.8878994497955475,0.09155559708674361
PTB,EM,0.27364360110850394,0.11054432355680557
Pex14,EM,-0.27963904695508623,0.058837317127279055
REV1ctd,EM,0.3878906365425493,0.12909371066850592
SH2,EM,-0.31033184234796746,0.04631222572368804
SH3,EM,-0.3775664106277298,0.05910827323061743
SUMO,EM,-0.5537873150608483,0.07296834781784609
TRAF2like,EM,-0.8639055590809709,0.13698424344445434
TRAF4,EM,-0.5015302664822618,0.10650303833063218
TRAF6,EM,-0.8170743750264007,0.14287629248321976
TYR,EM,-0.8070976828257387,0.11957301079950218
UBA3,EM,0.17224694294992038,0.06717503539428028
USP7,EM,-0.42939635816730737,0.04130634618338073
WD40,EM,-0.5072312153680563,0.043717501669031114
WRC,EM,-1.304014430763879,0.11166704235616191
WW,EM,-0.5073358733457122,0.05858514673453675
deltaCOP1,EM,-0.901764533252967,0.21122507028333393
eIF4E,EM,-0.2891219738927079,0.20368535070487573
14-3-3,High,-0.103906366750748,0.02866780121137073
ANK,High,-0.39748852442886295,0.1431658783564897
