motif,Naive,CM,EM,PD1_Low
14-3-3,-0.007167578923460946,-0.08492422898603663,-0.0015263484874567194,-0.02433431657531938
PDZ,0.0012886026697608206,-0.06917027029286293,0.028713758155013543,-0.019481370772373916
MAPK,-0.06369198736920069,-0.0040988152772471476,0.005428566781160981,0.012858964510892535
LIR,0.01227152113419516,-0.009235542301494032,-0.050712300623565576,-0.03703908960396401
CYCLIN,-0.03391206253929571,0.050665696272404664,-0.03635151254491028,-0.015629175123465167
TRAF2like,0.013270673920585396,0.004820443873936307,-0.04612220745283473,-0.01803489426292657
Arc,-0.040287560795322495,0.023297110811485413,-0.008844721470952183,0.006444320735080562
USP7,0.015080022277356728,-0.03962826299020454,-0.03232228148674774,-0.021329202204201574
WD40,0.00012837300618221044,-0.03808552363125173,-0.01515899543392949,-0.026272699009004297
SH2,-0.03764944690388861,-0.022595917839616973,-0.006589562154065474,0.0007937454459588678
PP2B,-0.011925561938772523,0.03750112176257515,-0.003081209573852729,0.018397205839724245
WW,0.002374274114752447,-0.036051301453660145,0.031626637430822134,-0.005794951740483022
FHA,0.004249303976407125,-0.017066051206369875,-0.021788893377759584,-0.03434349823424354
SH3,0.03179072835153323,-0.028511053303122154,-0.010289524585383248,-0.028830358041719892
WRC,0.004440056331130371,-0.03155800897728649,0.0073771534835242025,-0.012913429532660557
TRAF4,0.021259196692937216,-0.013116288141053619,-0.02285622319417279,-0.029205872458522002
PCNA,-0.006990794382642277,0.007920588753903217,-0.02603120505871623,-0.011271748532933772
PP2A,-0.00847562570755601,-0.020408335163877446,0.02599945955286974,-0.005732053163497463
MYND,0.025605517133833588,-0.004718850898923932,-0.016252650273575107,-0.023172589273389332
Pex14,0.025428932632749014,-0.017362815884166088,-0.013276378922496534,-0.017173553141927454
BIR,-0.02338911638415153,0.009731276976749807,0.021217682096497915,0.011272701819565509
PP4,-0.02259309167605004,0.0075744261431603555,0.011764414179585247,-1.1863391768748207e-05
NRBOX,-0.007292945739809068,0.002754686337320589,-0.020591787894569964,-0.001167969197601093
BRCT,0.020240451729155146,-0.008179763082245052,0.007293883319758677,0.002184850161880763
SUMO,0.0029021185224906666,-0.0074588862867660186,-0.011124053192069367,-0.017973884576995915
REV1ctd,-0.01774704541980033,0.005343239689997495,0.008888173427915314,5.86858187321138e-06
UBA3,-0.0040505312712472135,-0.01749744189704595,-0.016637917939630556,-0.006885987402290859
CKS1,0.00954917166193824,-0.012551911285981238,-0.003919913517509572,-0.017227976721755325
APCC,0.017191564377985007,-0.01039062613834379,-0.007585649705789712,-0.001421863319026476
IRF7,0.01718875419444791,-0.011772719646002294,-0.00016703306825979931,-0.010455169211002384
Actin,0.015226735537748172,0.007578379672816821,-0.00825098285245654,0.0012280937937220063
PP1,0.007701182976568504,0.01195812104021152,-0.014392330786931817,-4.855231915077094e-05
Integrin,0.002208076225313571,-0.01307070760203471,0.001684748745832917,-0.0028036057148534224
MSH2,-0.0020935290993656834,-0.012237607600300307,-0.012489053654890142,-0.010697111487131887
TYR,0.002731702945643967,0.011894907329822513,-0.00547447059617436,0.011713858506297975
deltaCOP1,-0.002465830207316501,0.011712694198430816,-0.009431083269445448,-0.001866608176106051
EVH1,-0.007241499889864474,-0.0070879023000030884,0.010426124130265111,0.005350813812288624
DLG,0.006441636473035583,-0.01021473798058551,-0.0013062938837056282,-0.001465754029266079
CDC14,-0.00444545538601617,0.0024076951882414147,-0.008714885164717377,-0.004398090878700782
ANK,0.006376500671195377,-0.00455152200716012,-0.006243426522832166,-0.00813551515854022
eIF4E,0.00786143623495057,-0.006304297290466434,-0.004049323578965624,-0.002718543935041394
CSL,-0.006830732999769147,0.0036385907727593605,-0.0064758931773874606,0.0005094981500633136
PTB,-0.003836419016110936,0.005486900262061183,0.0012975725409890004,0.006785619956535562
GBD,0.00047195133313842675,0.0036250769262183686,-0.004372338396415812,-0.0023414163640569793
TRAF6,-0.003996717294235201,0.0009852122705533688,-0.003197560473961014,-0.0006272143619697994
Clathr,-0.0028254256314990235,0.003743814072523094,-0.0007209013541099853,0.0034976066058559196
NRP,-0.001973297832889351,0.0005103132193154526,-0.002876239027970798,0.003449979900915476
TRFH,0.0010553637350362217,-0.0028214773907068703,0.0017544929731155984,0.0017300547115761573
