motif,Naive,CM,EM,PD1_Low
MAPK,0.09660771958864835,0.09589604713688199,0.09591262724489436,0.09590877652670207
14-3-3,0.09586327171308547,0.09637076578873865,0.0958924973916648,0.09593863663659175
LIR,0.0959080055865678,0.0958986421368255,0.09612626806810134,0.09613045352963867
PDZ,0.09587944310482384,0.09608121522888892,0.09593630638822039,0.09610512047918429
SH2,0.09610455718354866,0.0959247095967849,0.09589540139265292,0.09589193317833905
FHA,0.09587106616469294,0.09590112590448222,0.09603535351550793,0.09604307313154688
CYCLIN,0.09599817382869029,0.09596586361140212,0.09599843852824583,0.09600927389747302
Arc,0.09600468330899577,0.09594682854074234,0.09593801174982142,0.09594071480077596
SH3,0.09599498347087328,0.09594761854549272,0.09592699366908226,0.09595263020017233
Clathr,0.09598907008132401,0.0959894338875015,0.0959890994380483,0.09598946091478361
TRFH,0.09598885579630506,0.09598907592507741,0.09598891607225077,0.09598908177075467
EVH1,0.09598773432576259,0.09598815576160138,0.0959882006570122,0.0959882600989485
Integrin,0.095987991525062,0.09598786934424416,0.09598795238947147,0.09598788644634257
CSL,0.0959861158777504,0.09598709710708728,0.09598646317978043,0.09598706013337337
ANK,0.09598589077521152,0.09598643245207947,0.09598565644281765,0.09598576816403025
CDC14,0.0959854892655882,0.09598616726129536,0.09598575813232846,0.09598585389955146
GBD,0.09598384345092258,0.09598485538976192,0.0959838381542853,0.09598423437513953
eIF4E,0.09598421054967046,0.09598428360929684,0.09598402178996761,0.09598420261583465
deltaCOP1,0.0959824782905783,0.09598387268013811,0.0959826285279663,0.09598332185042471
DLG,0.09598144362173645,0.09598163855220163,0.09598085229815777,0.09598103273994807
APCC,0.09598076481487225,0.09598003951406799,0.0959786680406105,0.09597923159891991
NRP,0.09597902099496392,0.09598059107665058,0.0959796042238163,0.09598014377310149
IRF7,0.0959790064951248,0.09597904714864251,0.09597815707818874,0.09597831991277742
TRAF6,0.0959769532094753,0.09597880911256104,0.09597731591563437,0.09597814414869718
PP2B,0.09597421840638692,0.095977906732965,0.0959734431732987,0.09597648649095754
MYND,0.09597786761477066,0.09597735159655943,0.09597713101501133,0.09597727574534018
TRAF2like,0.09597459706191117,0.09597570292954888,0.09597579001418817,0.09597619829091661
Pex14,0.09597540119800366,0.0959235776314898,0.09594504505401846,0.09594286646365764
CKS1,0.09597347144056788,0.09597538433685004,0.09597293293911345,0.09597404772675651
TYR,0.09597079121604406,0.09597320958896877,0.09597064825504892,0.09597183475747684
MSH2,0.09597170615387535,0.09597306379991367,0.095972111961388,0.09597237636841208
WRC,0.09597051997247753,0.09597283224009792,0.0959705310834062,0.09597090952571513
PP2A,0.0959683402143054,0.09597189375587431,0.09596973849590867,0.09597106954305162
REV1ctd,0.09597121276343955,0.09597178853062577,0.09597046307109175,0.09597027110338102
TRAF4,0.0959697503628504,0.0959682999113878,0.09597016593199961,0.09597107383514539
Actin,0.09596882369975016,0.09596878888968666,0.09596636023115407,0.09596670979417758
PP4,0.09596767761782017,0.09596577090157199,0.09596434719122945,0.09596414126697028
PTB,0.09596168163813491,0.09596419350682399,0.09596079642175183,0.09596214595948624
NRBOX,0.09595805587795349,0.09596097995673805,0.09596009849976907,0.0959598121222402
PCNA,0.09595480725177911,0.09595749335623854,0.09595934124424688,0.0959601284754017
BIR,0.09595875888473533,0.09592942246984984,0.09592844148297959,0.09592734277773211
SUMO,0.09594620502361267,0.09595672227007501,0.09594779447708213,0.0959532747951383
WD40,0.09586668199766209,0.09595462494733645,0.09588355127243217,0.09595192259861687
PP1,0.09594635813289668,0.09595321908540397,0.09595027338209597,0.09595450252990216
USP7,0.09591254529559184,0.09595410294536058,0.09592345701263157,0.09591906731194857
BRCT,0.09594989877678853,0.09593407614127285,0.0959272374913679,0.09592911193595592
UBA3,0.09594082435015712,0.09594947542724172,0.095944926512155,0.09594487453927994
WW,0.09591406886683312,0.09594553045904192,0.0959360471050437,0.09594763051154936
