ELM,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars
14-3-3,155,201,556794.5,0.7774246756161932,-0.007124770413167139,1121580,0.6820119317604738,-0.4600633410870656,-2.7142004952553536,-2.2363214513790357,Naive_High,0.9440288960107133,
ANK,4,352,27257.0,0.5244135072898517,0.07548137626262626,50688,4.958070438785749,-0.018730579235141157,-1.6960318094182216,-2.426511235228109,Naive_High,0.7829688925604504,
APCC,7,349,53632.0,0.014675782397746341,0.21962978123436577,87948,6.226661569981768,-0.0869556250014302,2.637490048220685,-2.5231884585752993,Naive_High,0.3551544936155472,
Actin,15,341,99054.0,0.22264848246126312,0.07585532746823069,184140,1.311115955312411,-0.018849329810301595,-1.197044722619193,-2.531531162443347,Naive_High,0.6679454473837894,
Arc,49,307,248103.5,0.02097384516272376,-0.08372480371084373,541548,-3.0494468893560858,0.5298436985108191,-3.2222367360919266,-2.3388855472106442,Naive_High,0.3551544936155472,
BIR,54,302,271299.5,0.0295962078012956,-0.07577909955577358,587088,-1.7170764346491942,0.35086505077956875,-3.72710962892945,-2.2115804405539743,Naive_High,0.3551544936155472,
BRCT,54,302,286603.5,0.4973097595037832,-0.02364381489657428,587088,-0.9055922608521513,0.20576523162380606,-2.6620726523402096,-2.404228999810325,Naive_High,0.7829688925604504,
CDC14,5,351,31865.0,0.9347776514916667,0.00870528648306426,63180,-1.6336652392786524,0.060989869118993,-0.7949618037019486,-2.480658481959474,Naive_High,0.9865314941795966,
CKS1,14,342,88228.0,0.7122490953049005,0.023716699155295645,172368,4.15985781503757,-0.1315757062753003,-2.438116639640267,-2.423910309555737,Naive_High,0.9239988263414926,
CSL,4,352,25157.0,0.9505033454549613,-0.007378472222222222,50688,-1.9244812467735717,0.05948023537348748,-1.2596301149357512,-2.426511235228109,Naive_High,0.9865314941795966,
CYCLIN,55,301,304440.0,0.5312920286041325,0.021645021645021644,595980,0.17304935724701126,0.012363465833181627,-2.140638823891594,-2.5857974894765565,Naive_High,0.7829688925604504,
Clathr,1,355,4069.0,0.12400690464929767,-0.36322378716744913,12780,-9.093305326060106,0.06290823433924901,-10.617147967781552,-2.4212517107578995,Naive_High,0.5411210384696626,
DLG,6,350,38157.0,0.9225994230037027,0.009444444444444445,75600,-1.7419558423217307,0.06768815119515326,-1.716078591774521,-2.426511235228109,Naive_High,0.9865314941795966,
EVH1,2,354,10798.0,0.3611530463763054,-0.1526993094789705,25488,-2.762624574896232,0.05300668648069432,-7.035797332640862,-2.413965547348556,Naive_High,0.7675818229478305,
FHA,131,225,539960.5,0.49363324578132906,0.01773725379323344,1061100,0.43048333177113074,-0.1917964382117549,-2.19105296965206,-2.6641162364583018,Naive_High,0.7829688925604504,
GBD,6,350,41105.0,0.3677996234958355,0.08743386243386243,75600,-0.5927815526596393,0.04798802051523169,-1.4690618406212277,-2.480658481959474,Naive_High,0.7675818229478305,
IRF7,8,348,58863.0,0.03833417170382466,0.17462883141762453,100224,6.878768879746804,-0.12008917578621027,0.9373868582966072,-2.480658481959474,Naive_High,0.35811861870349954,
Integrin,2,354,13262.0,0.8080814254881741,0.040646578782172,25488,3.283208977315374,0.018849434773284234,-4.494597813505322,-2.4212517107578995,Naive_High,0.9440288960107133,
LIR,128,228,548296.0,0.0929034434811822,0.04375304580896686,1050624,0.8493744223594538,-0.4187754745510388,-2.1302277242269,-2.690547623116798,Naive_High,0.4954850318996384,
MAPK,122,234,492009.0,0.10621599787604266,-0.04253070851431507,1027728,-0.509513774530465,0.3222213605003845,-2.977109852759157,-2.2664609687186106,Naive_High,0.5098367898050048,
MSH2,14,342,89551.0,0.5434334064680093,0.0390675763482781,172368,1.8779238603825952,-0.03816320520755262,-2.156023785199855,-2.4719243414542214,Naive_High,0.7829688925604504,
MYND,11,345,75372.0,0.15225219720616456,0.10338164251207729,136620,7.245486474878154,-0.19264125611387362,-1.917006580649497,-2.5027773993341835,Naive_High,0.6090087888246583,
NRBOX,24,332,138888.0,0.5257011922474468,-0.03162650602409638,286848,-1.997258152884819,0.18425696847472556,-2.580348412974584,-2.4212517107578995,Naive_High,0.7829688925604504,
NRP,6,350,38607.0,0.8260252840093741,0.02134920634920635,75600,-0.8363888747098309,0.05216414603609218,-0.7471180242305093,-2.4477798132787463,Naive_High,0.9440288960107133,
PCNA,25,331,148871.0,0.991400871823056,-0.0005303793219201074,297900,-1.0749167681243128,0.12118440201655928,-2.858465794274716,-2.4140232204740215,Naive_High,0.991400871823056,
PDZ,107,249,470731.0,0.4986710251139801,-0.018439281529023674,959148,0.42805972890053895,-0.1307761973011421,-2.6641162364583018,-2.306826043718157,Naive_High,0.7829688925604504,
