ELM_mw,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars,ELM_dm,Phenotype,Effect,SE,Pvalue,FDR,log2FC,ELM_raw
14-3-3,393,600,4331727.5,0.17861819762980702,0.020574757327301855,8488800,-1.362551297402405,-2.0597119019010863,-5.084891933758538,-5.292529413781347,Naive_High,0.38331204454863693,,ELM_14_3_3,Naive_High,-0.0141878859097786,0.0256057780065761,0.5795177780476585,0.9998849800444912,-0.020468792642736,14-3-3
ANK,16,977,268759.0,0.4504186306390424,-0.044840355964972135,562752,-3.860519828113089,-1.7497865749948696,-4.87062938630697,-5.212470723689766,Naive_High,0.6459662312579438,,ANK,Naive_High,-0.0076609206061354,0.1096221994532734,0.944285386810035,0.9998849800444912,-0.0110523721671156,ANK
APCC,38,955,597067.0,0.027482714359500632,-0.08596338140289642,1306440,-8.313493036444733,-1.5239759849580072,-7.295685983229152,-5.153392146588034,Naive_High,0.110683808516345,,APCC,Naive_High,-0.0007613051551261,0.0718926411661506,0.991550981198504,0.9998849800444912,-0.0010983311719037,APCC
Actin,26,967,424950.0,0.19287805512308365,-0.0610001856123883,905112,-5.876889248629472,-1.673744240491655,-5.284594546005134,-5.178716701485883,Naive_High,0.3947472205267471,,Actin,Naive_High,0.0088335873833574,0.0853683754112589,0.9175851093555784,0.9998849800444912,0.0127441727112291,Actin
Arc,147,846,2226442.5,0.7979125701114091,-0.0053935285698203635,4477032,-2.102891143270718,-1.7283508309208053,-4.550453220124215,-5.367577835261289,Naive_High,0.8720680134303134,,Arc,Naive_High,-0.0259019531137397,0.0391709542579619,0.5084493881435831,0.9998849800444912,-0.0373686193065307,Arc
BIR,163,830,2261191.5,0.0004021619409231593,-0.07146315322640254,4870440,-4.4090583688172496,-1.2682328757862473,-6.7458369276393935,-4.984988802092932,Naive_High,0.005648295371535793,**,BIR,Naive_High,-0.0245335827909328,0.0330568547358907,0.4579884308434793,0.9998849800444912,-0.0353944782277175,BIR
BRCT,103,890,1682507.0,0.42283861931210387,0.019664133425451195,3300120,-1.1188487907526177,-1.8607509837890757,-4.641997537663221,-5.2722669315501465,Naive_High,0.6215727703887928,,BRCT,Naive_High,0.0197961056630987,0.0464903192199179,0.6702453146494145,0.9998849800444912,0.0285597434690664,BRCT
CDC14,12,981,199227.5,0.38253009930041326,-0.059786404651338394,423792,-7.821968139282818,-1.7099349473480152,-3.920338901699071,-5.217963965525554,Naive_High,0.5982119637995824,,CDC14,Naive_High,-0.0042357878959189,0.143012704243541,0.97637149988333,0.9998849800444912,-0.0061109501916997,CDC14
CKS1,45,948,745206.5,0.41163756191012735,-0.02952740011460124,1535760,-2.1309563934375184,-1.7673172608809162,-5.756597962520546,-5.171239345526821,Naive_High,0.617456342865191,,CKS1,Naive_High,-0.0041068828845806,0.069117561891043,0.9526185358444674,0.9998849800444912,-0.0059249795710962,CKS1
CSL,10,983,160255.0,0.20817339134339574,-0.09429750197807166,353880,-8.157715753609486,-1.7189548763821993,-4.638595234647854,-5.211824214010571,Naive_High,0.399601531364936,,CSL,Naive_High,-0.0046852830717101,0.1382057187795283,0.9729562630925124,0.9998849800444912,-0.0067594346527173,CSL
CYCLIN,139,854,2115590.0,0.6466542962621327,-0.00988342815209191,4273416,-3.0401525591378857,-1.5793074886412537,-5.0786251187772935,-5.211824214010571,Naive_High,0.7915657642086564,,CYCLIN,Naive_High,-0.0371050052677606,0.0386422860736154,0.3369456837270738,0.9998849800444912,-0.0535312070919572,CYCLIN
Clathr,14,979,212687.0,0.02975084739622156,-0.13789986542795532,493416,-5.368706486022917,-1.7325310625285761,-8.406857851099982,-5.132738517387884,Naive_High,0.1181993126282316,,Clathr,Naive_High,-0.0063545408438551,0.113590302117961,0.9553875059409224,0.9998849800444912,-0.0091676645625561,Clathr
DLG,13,980,228015.0,0.9311170790704514,-0.005690737833594976,458640,-2.8713263056264413,-1.7693699582108706,-6.134198858271297,-5.171239345526821,Naive_High,0.9525050520191274,,DLG,Naive_High,0.0021195841740621,0.1114671300117576,0.9848288766739812,0.9998849800444912,0.0030579135766662,DLG
EVH1,12,981,246035.0,0.018609053946667693,0.16111205497036282,423792,2.0838743248440554,-1.8311073322303015,-3.526730479017404,-5.246318700633262,Naive_High,0.0868422517511159,,EVH1,Naive_High,0.0045954890625288,0.1317361837546664,0.9721722146146626,0.9998849800444912,0.0066298892809699,EVH1
FHA,402,591,4309751.5,0.6096450366068269,0.007781056178030697,8552952,-2.4282850670401652,-1.3454132048555842,-4.91494594613806,-5.41353680955932,Naive_High,0.7781525411853807,,FHA,Naive_High,-0.0098540672139555,0.0259614590406527,0.7042681737443699,0.9998849800444912,-0.0142164139021602,FHA
GBD,11,982,159169.0,0.011154135666910795,-0.18138101997572467,388872,-8.60421392599149,-1.7073965863888905,-8.038104200899772,-5.144097825932677,Naive_High,0.0630637670398418,,GBD,Naive_High,0.001882818267813,0.1353845391513529,0.9889040269161444,0.9998849800444912,0.002716332577869,GBD
IRF7,17,976,307236.0,0.6183741541884458,0.028728704596592734,597312,-1.5361902424641183,-1.7881091873953965,-5.289092482057731,-5.187945930558024,Naive_High,0.7801733651118551,,IRF7,Naive_High,0.0108937248893586,0.1016012254186503,0.9146141251497208,0.9998849800444912,0.0157163228746864,IRF7
