ELM,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars
14-3-3,393,600,4331727.5,0.17861819762980702,0.020574757327301855,8488800,-1.362551297402405,-2.0597119019010863,-5.084891933758538,-5.292529413781347,Naive_High,0.38331204454863693,
ANK,16,977,268759.0,0.4504186306390424,-0.044840355964972135,562752,-3.860519828113089,-1.7497865749948696,-4.87062938630697,-5.212470723689766,Naive_High,0.6459662312579438,
APCC,38,955,597067.0,0.027482714359500632,-0.08596338140289642,1306440,-8.313493036444733,-1.5239759849580072,-7.295685983229152,-5.153392146588034,Naive_High,0.110683808516345,
Actin,26,967,424950.0,0.19287805512308365,-0.0610001856123883,905112,-5.876889248629472,-1.673744240491655,-5.284594546005134,-5.178716701485883,Naive_High,0.3947472205267471,
Arc,147,846,2226442.5,0.7979125701114091,-0.0053935285698203635,4477032,-2.102891143270718,-1.7283508309208053,-4.550453220124215,-5.367577835261289,Naive_High,0.8720680134303134,
BIR,163,830,2261191.5,0.0004021619409231593,-0.07146315322640254,4870440,-4.4090583688172496,-1.2682328757862473,-6.7458369276393935,-4.984988802092932,Naive_High,0.005648295371535793,**
BRCT,103,890,1682507.0,0.42283861931210387,0.019664133425451195,3300120,-1.1188487907526177,-1.8607509837890757,-4.641997537663221,-5.2722669315501465,Naive_High,0.6215727703887928,
CDC14,12,981,199227.5,0.38253009930041326,-0.059786404651338394,423792,-7.821968139282818,-1.7099349473480152,-3.920338901699071,-5.217963965525554,Naive_High,0.5982119637995824,
CKS1,45,948,745206.5,0.41163756191012735,-0.02952740011460124,1535760,-2.1309563934375184,-1.7673172608809162,-5.756597962520546,-5.171239345526821,Naive_High,0.617456342865191,
CSL,10,983,160255.0,0.20817339134339574,-0.09429750197807166,353880,-8.157715753609486,-1.7189548763821993,-4.638595234647854,-5.211824214010571,Naive_High,0.399601531364936,
CYCLIN,139,854,2115590.0,0.6466542962621327,-0.00988342815209191,4273416,-3.0401525591378857,-1.5793074886412537,-5.0786251187772935,-5.211824214010571,Naive_High,0.7915657642086564,
Clathr,14,979,212687.0,0.02975084739622156,-0.13789986542795532,493416,-5.368706486022917,-1.7325310625285761,-8.406857851099982,-5.132738517387884,Naive_High,0.1181993126282316,
DLG,13,980,228015.0,0.9311170790704514,-0.005690737833594976,458640,-2.8713263056264413,-1.7693699582108706,-6.134198858271297,-5.171239345526821,Naive_High,0.9525050520191274,
EVH1,12,981,246035.0,0.018609053946667693,0.16111205497036282,423792,2.0838743248440554,-1.8311073322303015,-3.526730479017404,-5.246318700633262,Naive_High,0.0868422517511159,
FHA,402,591,4309751.5,0.6096450366068269,0.007781056178030697,8552952,-2.4282850670401652,-1.3454132048555842,-4.91494594613806,-5.41353680955932,Naive_High,0.7781525411853807,
GBD,11,982,159169.0,0.011154135666910795,-0.18138101997572467,388872,-8.60421392599149,-1.7073965863888905,-8.038104200899772,-5.144097825932677,Naive_High,0.0630637670398418,
IRF7,17,976,307236.0,0.6183741541884458,0.028728704596592734,597312,-1.5361902424641183,-1.7881091873953965,-5.289092482057731,-5.187945930558024,Naive_High,0.7801733651118551,
Integrin,11,982,211538.0,0.2184535392549385,0.08795696270238022,388872,1.4567745950709927,-1.8200960504741115,-3.3545792642513588,-5.211824214010571,Naive_High,0.4064894970946324,
LIR,412,581,4076527.0,0.00038653747660236023,-0.053883820069923705,8617392,-3.8528690253446896,-0.31657101992734044,-5.4033728841678155,-5.066258000503167,Naive_High,0.005648295371535793,**
LYPXL,12,981,175666.0,0.01251041212621082,-0.17098010344697398,423792,-10.571491869094075,-1.6763016295521593,-9.22457583606354,-5.164452608370523,Naive_High,0.06815977715760234,
MAPK,271,722,3481291.5,0.49215710703580806,-0.011534772549941567,7043832,-3.074168494362936,-1.299460026381497,-4.984988802092932,-5.25854431389045,Naive_High,0.6890199498501314,
MSH2,28,965,430493.0,0.011024615424854183,-0.11486758779504894,972720,-6.873643532069325,-1.636111691317985,-8.043157058704253,-5.090619418602018,Naive_High,0.0630637670398418,
MYND,25,968,429607.0,0.773265225747032,-0.013758034894398532,871200,0.7114574923203789,-1.8482399156278992,-5.684725260867083,-5.171239345526821,Naive_High,0.8644105565385074,
NRBOX,26,967,397509.0,0.009418848981741256,-0.12163577546204227,905112,-6.441945886743255,-1.6585514043065896,-7.978491345765632,-5.090619418602018,Naive_High,0.057690450013165195,
NRP,32,961,568462.0,0.524406195545354,0.02696482252283501,1107072,-3.207830303329407,-1.7363779722302346,-3.6860588583011067,-5.24774662262087,Naive_High,0.7137750994922873,
PCNA,35,958,556302.0,0.05368092941087017,-0.07826821751665175,1207080,-6.539693292409395,-1.6100423129284636,-7.21393470251569,-5.144097825932677,Naive_High,0.1685578584947607,
