ELM,tsubset,cliff_delta,pvalue,qvalue
14-3-3,Naive,0.00919617613797003,0.4501903289933479,0.6071374161653407
14-3-3,CM,-0.004758623126943737,0.12273518010654627,0.22565566549930427
14-3-3,EM,0.03679395203091132,0.0003415355852611768,0.0025102865516696492
ANK,Naive,-0.0057023342431479565,0.6080258422103149,0.7574559220755618
ANK,CM,-0.007685445809166386,0.5592487780308955,0.7087031928494968
ANK,EM,-0.02342061867394518,0.8307448327220308,0.9045888178528779
APCC,Naive,-0.07202091179082085,0.02468486622812105,0.06978221799103451
APCC,CM,-0.0014229509200575606,0.8543722327879172,0.9100921610132161
APCC,EM,-0.1352997458742843,4.228366580982801e-06,0.00010359498123407862
Actin,Naive,-0.08666551763759622,0.021473379638425993,0.06313173613697243
Actin,CM,-0.00836471066564138,0.9053739234350918,0.9439004733685
Actin,EM,-0.05972078593588418,0.15312057073801666,0.26120306737545207
Arc,Naive,0.007223312230066704,0.6316552705544527,0.7673828493512772
Arc,CM,0.03873514864311892,0.022489527555759392,0.06482275589601237
Arc,EM,0.04438911761184642,0.006926579800353494,0.02948872334401849
BIR,Naive,-0.06246335033385074,4.4476317828556766e-05,0.0005943653382543495
BIR,CM,-0.005621052718029582,0.09175603145406686,0.1822721165371328
BIR,EM,-0.06406864677524002,2.5065259355638858e-05,0.0003684593125278912
BRCT,Naive,-0.007140649430929784,0.2571901325554342,0.39382239047550865
BRCT,CM,-0.002823230670399864,0.846100602377309,0.9100921610132161
BRCT,EM,0.0483246063779499,0.010281655214812169,0.03661874101206929
CDC14,Naive,-0.01466993241967758,0.5981631809229175,0.7515383555185374
CDC14,CM,-0.020213925699399705,0.8913567639102685,0.935924602105782
CDC14,EM,-0.026360809076150564,0.8222832557019764,0.9020570043894816
CKS1,Naive,-0.04841967494921082,0.11801467311360536,0.22241226856025625
CKS1,CM,-0.03560126582278481,0.1315493496572704,0.23582627316608226
CKS1,EM,-0.03653728447153201,0.3106446122230081,0.4476937058508058
CSL,Naive,-0.07730304057872725,0.3009312500639436,0.44236893759399715
CSL,CM,-0.00018932971628800657,0.7862198464909202,0.8704692864055067
CSL,EM,-0.08704928224256811,0.14142797718244138,0.24749896006927244
CYCLIN,Naive,-0.00786794452026201,0.8522592644556009,0.9100921610132161
CYCLIN,CM,0.04718695769379812,0.006615314274089901,0.02946821813003683
CYCLIN,EM,0.004819797557738353,0.04407831606910362,0.11570557968139698
Clathr,Naive,-0.14216401575952137,0.005236574439973607,0.025659214755870675
Clathr,CM,0.019105582307829497,0.6248693261854198,0.7654649245771393
Clathr,EM,-0.09673379055401526,0.068869967483559,0.15110276447885332
DLG,Naive,-0.005610064538635967,0.9909891911548997,0.9909891911548997
DLG,CM,-0.13455869527298098,0.011979057647281577,0.03828090161196504
DLG,EM,-0.009240362811791383,0.9759197993219835,0.9893807620712523
EVH1,Naive,0.14315985200286935,0.009637314053025148,0.03541712914486742
EVH1,CM,0.03474581870351494,0.2167658611816441,0.3389849105712945
EVH1,EM,0.07692924831049194,0.21391621558908525,0.33812563109242505
FHA,Naive,-0.00328401235035576,0.5395881904543176,0.6957847719016201
FHA,CM,0.0014643482156803875,0.9500788435916823,0.9719017236386454
FHA,EM,0.020038636952481436,0.08623280718515425,0.173646885701612
GBD,Naive,-0.2005621386985949,0.00027410009882777864,0.0021206691856675507
GBD,CM,-0.17796344298380956,0.0013626159734568821,0.008012181923926467
GBD,EM,-0.16246476989857844,0.004376434462551981,0.02254026313954234
IRF7,Naive,0.04659039162112932,0.4588266453412462,0.6131592442287563
IRF7,CM,-0.06488401371477553,0.17941205655274994,0.29169203942651495
IRF7,EM,-0.003279693024750884,0.9520669945847954,0.9719017236386454
Integrin,Naive,0.10161184142854204,0.11100372519589796,0.21470457373417104
Integrin,CM,0.012880845110987672,0.28071253605762125,0.4210688040864319
Integrin,EM,0.11581188668765044,0.05630938735538937,0.133507740987778
LIR,Naive,-0.03933376826770791,0.0004415904273945559,0.0029506269466818055
LIR,CM,-0.007539113922170421,0.638520278502538,0.7693645978678121
LIR,EM,-0.025598115996115764,0.03168076409594156,0.08786928909629074
LYPXL,Naive,-0.13041067316041832,0.016695994897053867,0.05080149274812552
LYPXL,CM,-0.07598538905878355,0.22213793278774907,0.34372922231367486
LYPXL,EM,-0.19828123230263903,0.00012222195976296923,0.0011977752056770985
MAPK,Naive,0.020128958214789903,0.007938266866272747,0.030708558666897205
MAPK,CM,0.028646552047237924,0.010960711595449313,0.03661874101206929
MAPK,EM,0.022794055849145747,0.13682580605493078,0.24233004204909425
MSH2,Naive,-0.05092318447240727,0.04914342497225066,0.12244209272747199
MSH2,CM,-0.09689838802533103,0.007881468286930704,0.030708558666897205
MSH2,EM,-0.05696808948104285,0.1699967165036026,0.2839717877957907
MYND,Naive,-0.02951675849403122,0.6172775431246506,0.7625193179775095
MYND,CM,-0.03779040404040404,0.494520065145408,0.649057585503348
MYND,EM,-0.031864095500459134,0.10633576842809733,0.20841810611907077
NRBOX,Naive,-0.09974235232766773,0.007278161148181583,0.029719158021741465
NRBOX,CM,-0.11208115680711336,0.001899417171204898,0.010739012467966155
NRBOX,EM,-0.10290881128523321,0.005420941113690625,0.025705753022984577
NRP,Naive,0.049125079488958265,0.19512775494473056,0.3117802171399499
NRP,CM,0.06104029367556943,0.045501420338124765,0.11734576824042703
NRP,EM,0.0697786593825876,0.010785549727953758,0.03661874101206929
PCNA,Naive,-0.06540080193524869,0.05827331710961725,0.13364142126571782
PCNA,CM,-0.033307651522682835,0.42633783075706044,0.5857164590774568
PCNA,EM,-0.08261424263511946,0.010913764905771672,0.03661874101206929
PDZ,Naive,-0.004532570794048834,0.7846616224607138,0.8704692864055067
PDZ,CM,-0.06189562308187156,7.647296759172306e-06,0.00016059323194261843
PDZ,EM,0.03453450684892216,0.007021124605718687,0.02948872334401849
PP1,Naive,-0.03741524729515996,0.12280580435336286,0.22565566549930427
PP1,CM,0.038426805484665746,0.08612098291725312,0.173646885701612
PP1,EM,-0.028330915203185945,0.1805712625021283,0.29169203942651495
PP2A,Naive,0.06582875946536565,0.008375793862119618,0.03157029994183548
PP2A,CM,0.09181987006826922,0.000238393125247649,0.0019955830442218714
PP2A,EM,0.1276222980298487,1.2187924458562094e-07,5.972082984695426e-06
PP2B,Naive,-0.025607187247080585,0.6465840960877345,0.7727468465438778
PP2B,CM,0.06858722829228812,0.004446718578549169,0.02254026313954234
PP2B,EM,0.06934237339576829,0.0384779377490333,0.10474549720570175
PP4,Naive,0.0030392017986408497,0.9871070374900062,0.9909891911548997
PP4,CM,0.010538230198424373,0.684823449819635,0.7989606914562409
PP4,EM,0.017265653659936292,0.12579005105884344,0.2282856482179011
PTB,Naive,0.01934088833795,0.4752692353149659,0.6294106089306305
PTB,CM,-0.002998918527360747,0.6522730155659769,0.7732591394209566
PTB,EM,0.022480729892005773,0.5387935374355107,0.6957847719016201
Pex14,Naive,-0.02829288259939506,0.15264002848507152,0.26120306737545207
Pex14,CM,0.0009399310044888405,0.719482512047114,0.8262806974291075
Pex14,EM,-0.019396992811163655,0.2996997670814734,0.44236893759399715
REV1ctd,Naive,0.07458744694043021,0.043769609871031845,0.11570557968139698
REV1ctd,CM,0.03872553695489738,0.3915773129466583,0.544341186580555
REV1ctd,EM,0.13620510802689942,2.2626846667872513e-05,0.0003684593125278912
SH2,Naive,-0.03999050567342243,6.242047182203336e-05,0.0007163855626532989
SH2,CM,-0.012777184808350463,0.3925181345410804,0.544341186580555
SH2,EM,0.0028695403646330315,0.7637518971994601,0.8636271452947742
SH3,Naive,0.048391678312938155,0.00020614392308171414,0.0018939472933132487
SH3,CM,0.01609726183216997,0.38488482646523936,0.5440198989460595
