CCD,contrast,effect,EM_effect,CM_effect,overall_pvalue,overall_qvalue,max_pip,contrast_max_pip,Naive_effect,Low_effect,High_effect
ABCC8-2,EM_vs_CM,-0.39503715884211243,-0.16741187452619244,0.22762528431592,0.1124732834411382,0.11978578793731129,0.9989139801656464,0.9989139801656464,,,
ABCC8-2,Naive_vs_CM,-0.301804167336693,,0.22762528431592,0.1124732834411382,0.11978578793731129,0.9989139801656464,0.9989139801656464,-0.07417888302077302,,
ABCC8-2,Naive_vs_EM,0.09323299150541942,-0.16741187452619244,,0.1124732834411382,0.11978578793731129,0.9989139801656464,0.9671133709980428,-0.07417888302077302,,
ABCC8-2,PD1Low_vs_PD1High,0.2683270326540219,,,0.1124732834411382,0.11978578793731129,0.9989139801656464,0.9989139801656464,,0.12950835858332913,-0.1388186740706928
ABCC8-3,EM_vs_CM,0.5318318841724639,0.05437149169529448,-0.4774603924771693,0.0,0.0,1.0,1.0,,,
ABCC8-3,Naive_vs_CM,0.2283765710478547,,-0.4774603924771693,0.0,0.0,1.0,1.0,-0.24908382142931462,,
ABCC8-3,Naive_vs_EM,-0.3034553131246091,0.05437149169529448,,0.0,0.0,1.0,1.0,-0.24908382142931462,,
ABCC8-3,PD1Low_vs_PD1High,-0.6086516109331751,,,0.0,0.0,1.0,1.0,,-0.528383379536984,0.0802682313961911
ABCC8-5,EM_vs_CM,0.004179245788264396,0.0011682929716597124,-0.003010952816604684,1.910051569337666e-294,2.933293481482844e-294,1.0,1.0,,,
ABCC8-5,Naive_vs_CM,-0.11475625375776466,,-0.003010952816604684,1.910051569337666e-294,2.933293481482844e-294,1.0,1.0,-0.11776720657436934,,
ABCC8-5,Naive_vs_EM,-0.11893549954602906,0.0011682929716597124,,1.910051569337666e-294,2.933293481482844e-294,1.0,1.0,-0.11776720657436934,,
ABCC8-5,PD1Low_vs_PD1High,-0.105001857314261,,,1.910051569337666e-294,2.933293481482844e-294,1.0,1.0,,-0.09237088413023527,0.012630973184025729
ABCC8-6,EM_vs_CM,0.05790143743076093,0.004769787824476124,-0.0531316496062848,0.3616559723486932,0.3724839954729055,0.977397101594381,0.977397101594381,,,
ABCC8-6,Naive_vs_CM,0.1434230815855847,,-0.0531316496062848,0.3616559723486932,0.3724839954729055,0.977397101594381,0.9439506273931106,0.0902914319792999,,
ABCC8-6,Naive_vs_EM,0.08552164415482377,0.004769787824476124,,0.3616559723486932,0.3724839954729055,0.977397101594381,0.977397101594381,0.0902914319792999,,
ABCC8-6,PD1Low_vs_PD1High,-0.17238936931509613,,,0.3616559723486932,0.3724839954729055,0.977397101594381,0.977397101594381,,-0.07221816125838432,0.1001712080567118
ABCC9-2,EM_vs_CM,-0.5042471555836661,-0.5608457401320224,-0.05659858454835631,0.0,0.0,1.0,1.0,,,
ABCC9-2,Naive_vs_CM,0.3745701874743568,,-0.05659858454835631,0.0,0.0,1.0,1.0,0.31797160292600046,,
ABCC9-2,Naive_vs_EM,0.8788173430580228,-0.5608457401320224,,0.0,0.0,1.0,1.0,0.31797160292600046,,
ABCC9-2,PD1Low_vs_PD1High,0.8597274971459068,,,0.0,0.0,1.0,1.0,,0.3300395079881607,-0.5296879891577462
ABCC9-3,EM_vs_CM,0.7805095493276769,-0.2005238455490821,-0.981033394876759,0.0,0.0,1.0,1.0,,,
ABCC9-3,Naive_vs_CM,1.3357560326269908,,-0.981033394876759,0.0,0.0,1.0,1.0,0.3547226377502317,,
ABCC9-3,Naive_vs_EM,0.5552464832993138,-0.2005238455490821,,0.0,0.0,1.0,1.0,0.3547226377502317,,
ABCC9-3,PD1Low_vs_PD1High,1.1397105540744188,,,0.0,0.0,1.0,1.0,,0.2942437428120064,-0.8454668112624125
ABCC9-5,EM_vs_CM,1.4604631250047593,0.27329379403357773,-1.1871693309711815,7.459853853853326e-221,1.0431665551729854e-220,1.0,1.0,,,
ABCC9-5,Naive_vs_CM,1.066691987014051,,-1.1871693309711815,7.459853853853326e-221,1.0431665551729854e-220,1.0,1.0,-0.1204773439571305,,
ABCC9-5,Naive_vs_EM,-0.39377113799070823,0.27329379403357773,,7.459853853853326e-221,1.0431665551729854e-220,1.0,1.0,-0.1204773439571305,,
ABCC9-5,PD1Low_vs_PD1High,1.0783849528335343,,,7.459853853853326e-221,1.0431665551729854e-220,1.0,1.0,,0.1944081827851891,-0.8839767700483452
ADAM10-1,EM_vs_CM,0.7930959502143484,0.3197112645200856,-0.47338468569426284,7.34222675603383e-63,8.800439038591072e-63,1.0,1.0,,,
ADAM10-1,Naive_vs_CM,0.21645323026410368,,-0.47338468569426284,7.34222675603383e-63,8.800439038591072e-63,1.0,1.0,-0.25693145543015916,,
ADAM10-1,Naive_vs_EM,-0.5766427199502447,0.3197112645200856,,7.34222675603383e-63,8.800439038591072e-63,1.0,1.0,-0.25693145543015916,,
ADAM10-1,PD1Low_vs_PD1High,0.9552974569594088,,,7.34222675603383e-63,8.800439038591072e-63,1.0,1.0,,0.34078043627825894,-0.6145170206811499
ADCY7-1,EM_vs_CM,-0.2456556549980088,-0.16346459138618763,0.08219106361182116,0.0,0.0,1.0,1.0,,,
ADCY7-1,Naive_vs_CM,0.012678263725659722,,0.08219106361182116,0.0,0.0,1.0,1.0,0.09486932733748088,,
ADCY7-1,Naive_vs_EM,0.2583339187236685,-0.16346459138618763,,0.0,0.0,1.0,1.0,0.09486932733748088,,
ADCY7-1,PD1Low_vs_PD1High,0.27481313702377863,,,0.0,0.0,1.0,1.0,,0.14193850169959413,-0.13287463532418453
AGER-1,EM_vs_CM,-0.277037826858058,-0.10205576020697904,0.17498206665107896,1.1502970072678919e-170,1.5278076081087059e-170,1.0,1.0,,,
AGER-1,Naive_vs_CM,-0.19934401311615368,,0.17498206665107896,1.1502970072678919e-170,1.5278076081087059e-170,1.0,1.0,-0.024361946465074724,,
AGER-1,Naive_vs_EM,0.07769381374190432,-0.10205576020697904,,1.1502970072678919e-170,1.5278076081087059e-170,1.0,1.0,-0.024361946465074724,,
AGER-1,PD1Low_vs_PD1High,0.051217559327364645,,,1.1502970072678919e-170,1.5278076081087059e-170,1.0,1.0,,0.04179689965669072,-0.009420659670673922
AGTRAP-1,EM_vs_CM,1.1554665688851442,0.41636935042094464,-0.7390972184641995,0.0,0.0,1.0,1.0,,,
AGTRAP-1,Naive_vs_CM,0.6000284591194666,,-0.7390972184641995,0.0,0.0,1.0,1.0,-0.13906875934473295,,
AGTRAP-1,Naive_vs_EM,-0.5554381097656775,0.41636935042094464,,0.0,0.0,1.0,1.0,-0.13906875934473295,,
AGTRAP-1,PD1Low_vs_PD1High,-0.19644988371657784,,,0.0,0.0,1.0,1.0,,-0.2521571509876182,-0.05570726727104036
ANO6-2,EM_vs_CM,1.1762487939882091,0.0006430241920979407,-1.1756057697961113,0.0,0.0,1.0,1.0,,,
ANO6-2,Naive_vs_CM,0.9910094312480907,,-1.1756057697961113,0.0,0.0,1.0,1.0,-0.1845963385480206,,
ANO6-2,Naive_vs_EM,-0.18523936274011854,0.0006430241920979407,,0.0,0.0,1.0,1.0,-0.1845963385480206,,
ANO6-2,PD1Low_vs_PD1High,-1.7175697727840022,,,0.0,0.0,1.0,1.0,,-1.3119712477760126,0.4055985250079897
ANO6-3,EM_vs_CM,-0.09009639607664094,0.1579448990913936,0.24804129516803453,2.8567276290871787e-174,3.8089701721162383e-174,1.0,1.0,,,
ANO6-3,Naive_vs_CM,-0.8074583458584979,,0.24804129516803453,2.8567276290871787e-174,3.8089701721162383e-174,1.0,1.0,-0.5594170506904633,,
ANO6-3,Naive_vs_EM,-0.7173619497818569,0.1579448990913936,,2.8567276290871787e-174,3.8089701721162383e-174,1.0,1.0,-0.5594170506904633,,
ANO6-3,PD1Low_vs_PD1High,0.1960982653504692,,,2.8567276290871787e-174,3.8089701721162383e-174,1.0,1.0,,0.04690551386488954,-0.14919275148557967
ANO6-4,EM_vs_CM,-0.17812885671589568,-0.031987007909876575,0.1461418488060191,0.0,0.0,1.0,1.0,,,
ANO6-4,Naive_vs_CM,-0.31454438921677164,,0.1461418488060191,0.0,0.0,1.0,1.0,-0.16840254041075253,,
ANO6-4,Naive_vs_EM,-0.13641553250087596,-0.031987007909876575,,0.0,0.0,1.0,1.0,-0.16840254041075253,,
ANO6-4,PD1Low_vs_PD1High,0.5043698556372403,,,0.0,0.0,1.0,1.0,,0.23410236131375017,-0.2702674943234902
APP-1,EM_vs_CM,-0.6920737360311715,-1.0853377015774848,-0.39326396554631327,1.1407758150626204e-107,1.416703539283543e-107,1.0,1.0,,,
APP-1,Naive_vs_CM,1.0115710857386504,,-0.39326396554631327,1.1407758150626204e-107,1.416703539283543e-107,1.0,1.0,0.6183071201923371,,
APP-1,Naive_vs_EM,1.703644821769822,-1.0853377015774848,,1.1407758150626204e-107,1.416703539283543e-107,1.0,1.0,0.6183071201923371,,
APP-1,PD1Low_vs_PD1High,-0.28555092372012914,,,1.1407758150626204e-107,1.416703539283543e-107,1.0,1.0,,-0.4295403108372182,-0.14398938711708906
AQP1-1,EM_vs_CM,0.028385334878205604,0.0018139068801528158,-0.026571427998052788,0.0,0.0,1.0,1.0,,,
AQP1-1,Naive_vs_CM,-0.041174275453906284,,-0.026571427998052788,0.0,0.0,1.0,1.0,-0.06774570345195907,,
AQP1-1,Naive_vs_EM,-0.06955961033211189,0.0018139068801528158,,0.0,0.0,1.0,1.0,-0.06774570345195907,,
AQP1-1,PD1Low_vs_PD1High,0.4696566481581057,,,0.0,0.0,1.0,1.0,,0.20399391588909985,-0.2656627322690059
ARL6IP1-1,EM_vs_CM,0.07390898289712078,-0.08561760794399642,-0.1595265908411172,1.1559108589227089e-36,1.3524943383313328e-36,1.0,0.999999999693592,,,
ARL6IP1-1,Naive_vs_CM,0.29045461614609236,,-0.1595265908411172,1.1559108589227089e-36,1.3524943383313328e-36,1.0,1.0,0.13092802530497516,,
ARL6IP1-1,Naive_vs_EM,0.21654563324897158,-0.08561760794399642,,1.1559108589227089e-36,1.3524943383313328e-36,1.0,1.0,0.13092802530497516,,
ARL6IP1-1,PD1Low_vs_PD1High,-0.5324065468404857,,,1.1559108589227089e-36,1.3524943383313328e-36,1.0,1.0,,-0.30427533124695566,0.22813121559353
ARL6IP1-2,EM_vs_CM,2.1370766764132902,0.955152170168001,-1.1819245062452892,0.0,0.0,1.0,1.0,,,
ARL6IP1-2,Naive_vs_CM,0.3254941522788203,,-1.1819245062452892,0.0,0.0,1.0,1.0,-0.8564303539664689,,
ARL6IP1-2,Naive_vs_EM,-1.81158252413447,0.955152170168001,,0.0,0.0,1.0,1.0,-0.8564303539664689,,
ARL6IP1-2,PD1Low_vs_PD1High,0.3401065119360307,,,0.0,0.0,1.0,1.0,,-0.19101430737990366,-0.5311208193159344
ASIC2-1,EM_vs_CM,-0.6826957866003736,-0.292493372444526,0.39020241415584755,0.0,0.0,1.0,1.0,,,
ASIC2-1,Naive_vs_CM,-0.6074929440918997,,0.39020241415584755,0.0,0.0,1.0,1.0,-0.21729052993605213,,
ASIC2-1,Naive_vs_EM,0.07520284250847387,-0.292493372444526,,0.0,0.0,1.0,1.0,-0.21729052993605213,,
ASIC2-1,PD1Low_vs_PD1High,0.41514273198676266,,,0.0,0.0,1.0,1.0,,0.16771086991847114,-0.2474318620682915
ASIC2-2,EM_vs_CM,2.7541032674978214,0.7246857206302133,-2.029417546867608,0.0,0.0,1.0,1.0,,,
ASIC2-2,Naive_vs_CM,1.8293897118342934,,-2.029417546867608,0.0,0.0,1.0,1.0,-0.20002783503331467,,
ASIC2-2,Naive_vs_EM,-0.924713555663528,0.7246857206302133,,0.0,0.0,1.0,1.0,-0.20002783503331467,,
ASIC2-2,PD1Low_vs_PD1High,0.05167289049522977,,,0.0,0.0,1.0,1.0,,-0.4757501085092883,-0.5274229990045181
ATP6AP2-1,EM_vs_CM,0.22891922154965472,0.17222701092587245,-0.05669221062378227,0.0,0.0,1.0,1.0,,,
ATP6AP2-1,Naive_vs_CM,-0.33517729129809415,,-0.05669221062378227,0.0,0.0,1.0,1.0,-0.3918695019218764,,
