CCD,total_counts,g_statistic,df,pvalue,Naive_High_prop,Naive_Low_prop,CM_High_prop,CM_Low_prop,EM_High_prop,EM_Low_prop,Naive_High_effect,Naive_Low_effect,CM_High_effect,CM_Low_effect,EM_High_effect,EM_Low_effect,Naive_High_se,Naive_Low_se,CM_High_se,CM_Low_se,EM_High_se,EM_Low_se,qvalue,Naive_High_pip,Naive_Low_pip,CM_High_pip,CM_Low_pip,EM_High_pip,EM_Low_pip,max_pip,Naive_High_ci_excludes_zero,Naive_Low_ci_excludes_zero,CM_High_ci_excludes_zero,CM_Low_ci_excludes_zero,EM_High_ci_excludes_zero,EM_Low_ci_excludes_zero,significant_pip
ABCC8-2,195,8.915722676029638,5,0.1124732834411382,0.18974358974358974,0.13846153846153847,0.14358974358974358,0.18461538461538463,0.09743589743589744,0.24615384615384617,-0.028884795763155058,-0.11947297027839099,-0.10237509076959461,0.5576256594014346,-0.28519613567932867,-0.04962761337305621,0.18263757050434504,0.20733988836366143,0.20421242342727142,0.18457413575319578,0.24148267744345472,0.16624179728017763,0.11978578793731129,0.9236363681512775,0.9402656975549772,0.9372861058846982,0.9989139801656464,0.9671133709980428,0.9193718281411171,0.9989139801656464,False,False,False,True,False,False,True
ABCC8-3,12674,2465.320570369356,5,0.0,0.17547735521540161,0.11085687233706801,0.2568249960549156,0.026116458892220293,0.10004734101309767,0.3306769764872968,-0.12458310150728469,-0.37358454135134456,0.621392254802317,-1.5763130397566556,-0.25600445910645897,0.36474744249704794,0.02335969792129401,0.02830007631463011,0.020341894535977068,0.05570180751535701,0.029610865094292876,0.018888364871866393,0.0,0.9999995698195139,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
ABCC8-5,49242,1371.652654430329,5,1.910051569337666e-294,0.17939969944356443,0.13634702083587183,0.20011372405669955,0.08730352138418424,0.1087689370862272,0.28806709719345275,-0.09787696189882777,-0.1376574512499109,0.2986992773219135,-0.30472118295512285,-0.16292939587100852,0.16526598181432794,0.011759618661617151,0.013147955258869637,0.011281648550960838,0.01598090625956672,0.014490697515201639,0.009965115059895368,2.933293481482844e-294,0.9999999999999989,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
ABCC8-6,210,5.466294465957972,5,0.3616559723486932,0.21904761904761905,0.15714285714285714,0.1380952380952381,0.11904761904761904,0.1619047619047619,0.20476190476190476,0.15156937010062888,0.029013493857970918,-0.14778753536082867,0.041524236148259064,0.2967317894303352,-0.28719221378138293,0.16684433649288483,0.1896131829149958,0.20002006078134438,0.213086674943036,0.18733411132649297,0.17100911860670934,0.3724839954729055,0.9421356213908839,0.9260520290872758,0.9439506273931106,0.9336395552800905,0.9757395730592845,0.977397101594381,0.977397101594381,False,False,False,False,False,True,True
ABCC9-2,13565,3672.099522585091,5,0.0,0.2116476225580538,0.23486914854404717,0.0636196092886104,0.24032436417250277,0.0671581275340951,0.18238112790269076,0.10785089138128012,0.5280923144707208,-1.0061951529034747,0.8929979838067621,-0.6907197059510439,-0.4309717743130008,0.021027661356848772,0.020264089726466435,0.03518352844711161,0.020107588347925708,0.03431046224847845,0.022240679342536453,0.0,0.9999986132523094,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
ABCC9-3,6496,3706.6552467943825,5,0.0,0.12777093596059114,0.3771551724137931,0.016317733990147784,0.16948891625615764,0.1731834975369458,0.13608374384236452,-0.4981676928313963,1.2076129683318597,-2.416003756457634,0.4539369667041162,0.3777710155017926,-0.7788187065999568,0.03717057871273669,0.02560727589332662,0.09793294152900683,0.03307790667845464,0.03279573985222471,0.03618966867786861,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
ABCC9-5,1756,1031.8980092179172,5,7.459853853853326e-221,0.05125284738041002,0.38838268792710706,0.042710706150341685,0.04783599088838269,0.15831435079726652,0.311503416856492,-1.4956641976064853,1.2547095096922243,-1.4263216539998707,-0.9480170079424921,0.2700555414613204,0.2765320466058351,0.10822057302764294,0.04896719061352548,0.11801958124880776,0.11181848541374327,0.06537735629719484,0.05153216658290966,1.0431665551729854e-220,1.0,1.0,1.0,0.9999999999999999,0.9999522997649796,0.9999998283076412,1.0,True,True,True,True,True,True,True
ADAM10-1,1451,300.6271675141633,5,7.34222675603383e-63,0.10957960027567196,0.17505168849069608,0.055823569951757405,0.13645761543762921,0.12267401791867677,0.40041350792556857,-0.6722917686599084,0.15842885779959004,-1.144760759289779,0.19799138790125337,-0.026498534093762238,0.6659210631339334,0.08404548296610123,0.06908575186630092,0.11435038367353786,0.07647950916220896,0.08002505789723306,0.05358056038721972,8.800439038591072e-63,0.9999999999999968,0.9843332262955262,1.0,0.9929799708225157,0.8494698436643735,1.0,1.0,True,True,True,True,False,True,True
ADCY7-1,120930,2953.9125952885106,5,0.0,0.18103034813528487,0.19251633176217647,0.14359546845282395,0.1446043165467626,0.10450673943603737,0.23374679566691475,-0.08713756777107484,0.2768762224460366,-0.10296933033503253,0.26735145755867484,-0.20851700786644622,-0.11841217490592904,0.0074912768610194864,0.007321802525975385,0.00822493354919156,0.008208673465965766,0.009426017897402588,0.006815511401735696,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
AGER-1,27458,800.0114573241763,5,1.1502970072678919e-170,0.2032194624517445,0.14017772598149902,0.14542209920606017,0.1671279772743827,0.12586495738946754,0.21818777769684608,0.05658423463500628,-0.10530812756515573,-0.08767660581956882,0.43764073912172674,0.0028303921725407744,-0.20694191258649886,0.015008704492375102,0.01739472176817577,0.017130665506186728,0.016191554016574416,0.018207200066485435,0.014621261258956702,1.5278076081087059e-170,0.9991850475889428,0.9999999904974636,0.9999982058261307,1.0,0.5529107254537681,1.0,1.0,True,True,True,True,False,True,True
AGTRAP-1,24152,3763.6631200087586,5,0.0,0.22780722093408412,0.10077840344484928,0.08616263663464724,0.05510930771778735,0.16354753229546207,0.36659489897316994,0.20233527085807435,-0.48047278954754025,-0.6786895409689873,-0.7995048959594118,0.30923246829779183,0.5235062325440974,0.015352950751845342,0.021384639211443082,0.02294016277778248,0.028207447393294605,0.01741125410669893,0.013363851580136884,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
ANO6-2,2880,2697.712117180014,5,0.0,0.43645833333333334,0.0375,0.049305555555555554,0.04236111111111111,0.3506944444444444,0.08368055555555555,1.1674823542224222,-1.5366750313184634,-1.2758656772942687,-1.075345862297954,1.3251788980958157,-1.3238928497116198,0.03757697700442522,0.09808374461362604,0.08606908768717189,0.09251934152149811,0.039055664504860074,0.0672947974898808,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
ANO6-3,6277,816.6745157481,5,2.8567276290871787e-174,0.07535446869523658,0.14895650788593276,0.22829377090967024,0.11789071212362594,0.14561096064999204,0.28389357973554247,-1.0846692568548144,-0.03416484452611224,0.46562642893544726,0.030456161400621795,0.1714645734626281,0.14442522472015906,0.047820509619498644,0.03545597229481418,0.030077933138198308,0.039146907582876526,0.0357916367573462,0.027998526347332898,3.8089701721162383e-174,1.0,0.790750162684779,1.0,0.78020247725813,0.9999955726027477,0.9999990975840836,1.0,True,False,True,False,True,True,True
