ELM,effect,se,zscore,pvalue,contrast,pip,ci_excludes_zero,significant_pip,qvalue
14-3-3,0.057155048543840965,0.03824481909245215,1.4944520565171366,0.13505750410773923,EM_vs_CM,0.09502667768819954,False,False,0.9926021845277935
ANK,0.008396889869050052,0.1578152213333008,0.05320709750370709,0.9575669006375744,EM_vs_CM,0.09488045138643489,False,False,0.9926021845277935
APCC,0.027826576000389357,0.12149582602898394,0.22903318500629868,0.8188431236577057,EM_vs_CM,0.09487644225177645,False,False,0.9926021845277935
Actin,-0.00425205627616666,0.13984902654587653,-0.03040461833155343,0.9757443616640642,EM_vs_CM,0.09487861792986081,False,False,0.9926021845277935
Arc,0.023357593919668324,0.04997053720417343,0.46742731270292504,0.6401941853524693,EM_vs_CM,0.09483517615828821,False,False,0.9926021845277935
BIR,-0.07727114281608977,0.055089053939877536,-1.4026587368957373,0.16071862745984322,EM_vs_CM,0.09493993806161492,False,False,0.9926021845277935
BRCT,-0.0197425067892635,0.06729144993300269,-0.29338804274420766,0.7692255640471661,EM_vs_CM,0.0948536058110665,False,False,0.9926021845277935
CDC14,-0.0064619982687545135,0.20583992330784534,-0.03139331848219855,0.9749558696054759,EM_vs_CM,0.09488318373893108,False,False,0.9926021845277935
CKS1,-0.040435612754603285,0.08770374304148015,-0.4610477426884615,0.6447643524818185,EM_vs_CM,0.09487010575536166,False,False,0.9926021845277935
CSL,-0.00575266915028071,0.16717230530363628,-0.03441161584648902,0.9725489208525001,EM_vs_CM,0.09488116479623811,False,False,0.9926021845277935
CYCLIN,-0.04023150372269741,0.06818996226994485,-0.5899915820957962,0.5551962931061466,EM_vs_CM,0.09486382762354911,False,False,0.9926021845277935
Clathr,-0.03714223219542435,0.1546184859504668,-0.2402185739118099,0.8101608152903497,EM_vs_CM,0.09488055474112667,False,False,0.9926021845277935
DLG,0.011749132240815162,0.17159499451960764,0.06847013383873866,0.9454113940087868,EM_vs_CM,0.09488148643932728,False,False,0.9926021845277935
EVH1,-0.0054907828974054915,0.12297286536730342,-0.044650361533052525,0.9643859999617752,EM_vs_CM,0.09487614280580689,False,False,0.9926021845277935
FHA,0.043859265465781644,0.038162965893773784,1.1492624967321317,0.25044775743814707,EM_vs_CM,0.09492342889887095,False,False,0.9926021845277935
GBD,0.003271597234986863,0.15101428740258133,0.02166415702287346,0.9827158556102144,EM_vs_CM,0.09487982210454193,False,False,0.9926021845277935
IRF7,-0.0018917280800003749,0.18369119604293127,-0.01029841451714567,0.9917831992982845,EM_vs_CM,0.09488217858885167,False,False,0.9926021845277935
Integrin,-0.0016244807556709175,0.1752043624315401,-0.009271919563679084,0.9926021845277935,EM_vs_CM,0.09488169036637856,False,False,0.9926021845277935
LIR,0.04090226977480761,0.041605756571407276,0.9830915994667161,0.3255623583909928,EM_vs_CM,0.09488378255771555,False,False,0.9926021845277935
LYPXL,-0.006260337030188474,0.22983555834047836,-0.0272383310719676,0.9782696432640968,EM_vs_CM,0.09488395764316718,False,False,0.9926021845277935
MAPK,-0.06333604005591904,0.05173101257002043,-1.2243340485591818,0.22082623752746267,EM_vs_CM,0.09491797232408257,False,False,0.9926021845277935
MSH2,0.0028830542647000825,0.10281092805272206,0.028042293940014187,0.9776284187118467,EM_vs_CM,0.09487140685830628,False,False,0.9926021845277935
MYND,0.018319867942781502,0.18114727372460487,0.10113245187798348,0.9194453172275193,EM_vs_CM,0.09488209065748865,False,False,0.9926021845277935
NRBOX,0.024221741548648593,0.19135989439235385,0.12657689650991163,0.8992752837512975,EM_vs_CM,0.09488263712050231,False,False,0.9926021845277935
NRP,0.007549594716357508,0.10900685521874431,0.0692579810802515,0.9447842716272018,EM_vs_CM,0.09487319556861899,False,False,0.9926021845277935
PCNA,-0.017132462831156332,0.14112923599501037,-0.12139556138291609,0.9033777323845316,EM_vs_CM,0.0948788861739886,False,False,0.9926021845277935
PDZ,0.06862144068602996,0.04259057883229285,1.6111882619918774,0.10713869541777743,EM_vs_CM,0.09503286658990101,False,False,0.9926021845277935
PP1,-0.0016121782269192635,0.08007760039285804,-0.020132699019575647,0.9839375153816075,EM_vs_CM,0.09486122736955382,False,False,0.9926021845277935
PP2A,0.017218009073607588,0.07131683999800505,0.241429781158128,0.8092220332691555,EM_vs_CM,0.09485637202277125,False,False,0.9926021845277935
PP2B,0.009600429718504801,0.10250305833755072,0.09365993438839476,0.9253792980455153,EM_vs_CM,0.09487143861126207,False,False,0.9926021845277935
PP4,-0.03531620403355407,0.07330458985723783,-0.48177343468305456,0.6299669028306993,EM_vs_CM,0.0948633804301844,False,False,0.9926021845277935
PTB,0.02299528710266434,0.07214903845354292,0.31871924554436165,0.7499394193409024,EM_vs_CM,0.09485845588292682,False,False,0.9926021845277935
Pex14,0.037235868728726924,0.0688108755711238,0.5411334824571365,0.5884155814675373,EM_vs_CM,0.0948623097068385,False,False,0.9926021845277935
REV1ctd,0.033265677447222426,0.09120449686358245,0.3647372508066021,0.7153075492544576,EM_vs_CM,0.09486979840367353,False,False,0.9926021845277935
SH2,0.010236034424305249,0.03890910541872385,0.2630755529881564,0.7924923463334823,EM_vs_CM,0.09478518717825656,False,False,0.9926021845277935
SH3,-0.007581889815221194,0.040672284846411166,-0.18641416000729558,0.8521199889730278,EM_vs_CM,0.09479037101077284,False,False,0.9926021845277935
SUMO,-0.05181600365049277,0.06232295818240901,-0.8314111711263108,0.40574139041294777,EM_vs_CM,0.09487389284177987,False,False,0.9926021845277935
TRAF2like,0.03458610315227074,0.07399247275988628,0.46742731878290444,0.6401941810033829,EM_vs_CM,0.09486340663747642,False,False,0.9926021845277935
TRAF4,-0.024422246918700666,0.12440525887785091,-0.1963120139694416,0.8443659585600327,EM_vs_CM,0.09487678550273423,False,False,0.9926021845277935
TRAF6,0.023542444434277825,0.08895425843235545,0.2646578685401609,0.7912730364331945,EM_vs_CM,0.09486759153424194,False,False,0.9926021845277935
TRFH,0.003517313976579303,0.12124195744740407,0.029010699353853205,0.976856057336443,EM_vs_CM,0.09487581481311552,False,False,0.9926021845277935
TYR,0.014256971113672547,0.0630858873593456,0.2259930344240534,0.8212068379215562,EM_vs_CM,0.09484753598921793,False,False,0.9926021845277935
