ELM,phenotype,effect,se,pip,significant
14-3-3,Naive_High,-0.04487984961412248,0.050162415787242454,0.0979153335773534,False
14-3-3,CM_High,-0.021131433177820697,0.05224615322722372,0.09787681973929598,False
14-3-3,CM_Low,-0.06672851695400984,0.05470805642772742,0.0979564511529183,False
14-3-3,EM_High,-0.004943618186275198,0.052174951155624615,0.09786704741673051,False
14-3-3,EM_Low,0.03139376514212659,0.04714747015372553,0.09788630912580867,False
ANK,Naive_High,-0.03140913151262498,0.19595072986821496,0.09792452459177635,False
ANK,CM_High,-0.0007074822737142922,0.20649421760221687,0.09792485121523586,False
ANK,CM_Low,-0.007694666989977779,0.23711867383157909,0.09792581695149592,False
ANK,EM_High,-0.008703268931738468,0.21054786891288527,0.09792500963933708,False
ANK,EM_Low,0.017094899406146502,0.1969097091786791,0.0979244869309986,False
APCC,Naive_High,-0.013742431663228787,0.1635407737415774,0.0979225286149253,False
APCC,CM_High,-0.012403217762412886,0.165954230797512,0.09792270159788215,False
APCC,CM_Low,-0.0229393423830128,0.17763644763468805,0.0979235414577737,False
APCC,EM_High,-0.004465825333800295,0.1727841507439573,0.09792314889885773,False
APCC,EM_Low,0.024776417189153323,0.16021307455373945,0.09792237547052864,False
Actin,Naive_High,-0.01082287182102217,0.17377925374671566,0.09792323188839204,False
Actin,CM_High,-0.002415834227294292,0.1911645108516836,0.0979241873662998,False
Actin,CM_Low,0.008453220369684841,0.19893312940049881,0.09792455033034787,False
Actin,EM_High,-0.005019118874228328,0.18740892519579744,0.09792400192872978,False
Actin,EM_Low,0.0025523924642855576,0.17185079486799154,0.0979230843960873,False
Arc,Naive_High,0.007220114144275541,0.06514988932531456,0.09788932560904355,False
Arc,CM_High,0.03492200477647022,0.06752006520451621,0.09790154934910023,False
Arc,CM_Low,-0.10263907458043484,0.07193287672728087,0.09796281723697184,False
Arc,EM_High,-0.021095900491561688,0.06903240682461607,0.097896530655767,False
Arc,EM_Low,9.401852693372709e-05,0.06146942595959254,0.09788390481660775,False
BIR,Naive_High,-0.01828874728109625,0.07149067257293894,0.09789778514349905,False
BIR,CM_High,0.011440906767864804,0.07451915742334769,0.09789897670273136,False
BIR,CM_Low,0.04706345627740152,0.07862671656262404,0.09791120420435113,False
BIR,EM_High,-0.038604237723610435,0.07447897201347413,0.09790644378522843,False
BIR,EM_Low,-0.05743368486330277,0.06864008833662814,0.09791801680741453,False
BRCT,Naive_High,-0.011966441912086625,0.08713818407226047,0.09790689037161748,False
BRCT,CM_High,0.022433724084446677,0.09167751618498092,0.09790983771357155,False
BRCT,CM_Low,-0.0024021479949524424,0.09534881531515198,0.09791016565391075,False
BRCT,EM_High,0.0013967178435536503,0.09127792138223403,0.09790845562200808,False
BRCT,EM_Low,-0.020850155332586415,0.08292400666979612,0.09790569927961065,False
CDC14,Naive_High,-0.006543310259634745,0.23732025156554895,0.09792582119317854,False
CDC14,CM_High,-0.008793765182463364,0.24718631980300537,0.09792605838797562,False
CDC14,CM_Low,0.01389439462238985,0.317614588283578,0.09792715439708614,False
CDC14,EM_High,-0.003605747648773969,0.25701340431116676,0.09792626392032901,False
CDC14,EM_Low,-0.004217619448808572,0.23086009991863482,0.09792564879895452,False
CKS1,Naive_High,-0.011048886244804369,0.11149274870547075,0.09791530526111142,False
CKS1,CM_High,0.0011364482539827005,0.11444609429509316,0.09791586835550475,False
CKS1,CM_Low,0.03198505941937208,0.1264918938637896,0.09791889767095925,False
CKS1,EM_High,-0.034350303905842906,0.11753410589624147,0.09791758947150617,False
CKS1,EM_Low,-0.013399413930008887,0.10619469223263066,0.09791401374420965,False
CSL,Naive_High,-0.0009676054078725129,0.21143888428211896,0.09792503539908888,False
CSL,CM_High,-0.0031874898318637154,0.22181467698026314,0.09792538319488735,False
CSL,CM_Low,0.007644887387056633,0.241274966113661,0.09792591989588001,False
CSL,EM_High,0.0021714307680781356,0.22325457813583366,0.09792542719599573,False
CSL,EM_Low,-0.009219371513446638,0.19847034926724177,0.09792453184458715,False
CYCLIN,Naive_High,-0.0244749048577973,0.0878899485161873,0.09790855390446582,False
CYCLIN,CM_High,-0.0032886790521671743,0.09433526949550058,0.09790977352385023,False
CYCLIN,CM_Low,0.022375021887689573,0.09849603718783109,0.09791223144352369,False
CYCLIN,EM_High,0.017020096566927247,0.09316059535963522,0.09790991913885427,False
CYCLIN,EM_Low,-0.07839676117679967,0.08512770432762831,0.09792527018703764,False
Clathr,Naive_High,0.00798557124205415,0.20134120237247344,0.09792465123233143,False
Clathr,CM_High,0.01383140029467906,0.21464458519869123,0.09792516327803956,False
Clathr,CM_Low,0.01317789052870803,0.22410781993958448,0.09792546447059236,False
Clathr,EM_High,-0.01671452585675674,0.2050338405339846,0.09792482106953478,False
Clathr,EM_Low,-0.030560647710704866,0.18645956179522233,0.09792408033200156,False
DLG,Naive_High,-0.005951091200735829,0.23269822401264348,0.09792569994281287,False
DLG,CM_High,-0.0023403740517440705,0.246125526872596,0.09792603110569809,False
DLG,CM_Low,-0.012423923188165835,0.24122404179539,0.09792592347795769,False
DLG,EM_High,0.010750741847765897,0.2579662670787624,0.09792628681123114,False
DLG,EM_Low,-0.002016774606045475,0.22707002039659768,0.09792554070607602,False
EVH1,Naive_High,0.022553404727310256,0.16718829325328863,0.09792286844145517,False
EVH1,CM_High,-0.022986399962064495,0.16676261893611397,0.09792284284302304,False
EVH1,CM_Low,0.0029217865304329215,0.1753794656354358,0.09792331377849041,False
EVH1,EM_High,-0.010678550121816247,0.17059336715868112,0.09792302089619197,False
EVH1,EM_Low,-0.02036762910462631,0.1550714184378522,0.09792189297449302,False
FHA,Naive_High,-0.012799220883626842,0.05028408965244147,0.09786606029723612,False
FHA,CM_High,-0.07418440512836633,0.05222312223852013,0.09799212901336392,False
FHA,CM_Low,-0.06027640487569467,0.05465232196171991,0.0979410923165667,False
FHA,EM_High,-0.021731632168436987,0.05223970096366527,0.09787739518339982,False
FHA,EM_Low,-0.025010646904060716,0.04725893354412619,0.09787411482098402,False
GBD,Naive_High,0.004439826859571616,0.20719848852634956,0.09792488002130989,False
GBD,CM_High,-0.0020188374879571897,0.20390148730574298,0.09792474961189543,False
GBD,CM_Low,-0.006095843263565976,0.21551843531885104,0.09792518073272853,False
GBD,EM_High,-0.004755833530584469,0.21243554340630935,0.09792507277549146,False
GBD,EM_Low,0.0031843472490350293,0.1954730801906779,0.09792439045791054,False
IRF7,Naive_High,0.0032350441451976693,0.2540350841533398,0.0979262031858205,False
IRF7,CM_High,-0.008191586328864353,0.25366386649354083,0.09792619780194686,False
IRF7,CM_Low,-0.0005157227936516427,0.2709295003402629,0.09792652082702137,False
IRF7,EM_High,-0.010172460428722946,0.2536361791413996,0.09792619871991307,False
IRF7,EM_Low,-0.0023183048537937997,0.24168916566882312,0.09792592722719727,False
Integrin,Naive_High,0.0030114173731183103,0.20627537891189296,0.09792484356196954,False
Integrin,CM_High,0.009500180777863033,0.22608500263871809,0.0979255175435368,False
Integrin,CM_Low,-0.0012653454346698604,0.24152270886490554,0.09792592302961196,False
Integrin,EM_High,-0.006914834624202962,0.21666697262195556,0.09792522016308224,False
Integrin,EM_Low,0.0119007084560543,0.19688356660154965,0.09792446875867454,False
LIR,Naive_High,-0.07383349714297117,0.055097650342017385,0.09797328408937392,False
LIR,CM_High,-0.048610387402091865,0.05679487332285344,0.09791473559382093,False
LIR,CM_Low,-0.09738901357362269,0.059935231419634846,0.09800633114311647,False
LIR,EM_High,-0.04042363508316489,0.057589305030554525,0.09790285233463047,False
LIR,EM_Low,-0.02377122634293445,0.05199478834282698,0.09787916557895775,False
LYPXL,Naive_High,-0.004576415608779523,0.29944343966896736,0.0979269410341339,False
LYPXL,CM_High,0.004600290872475522,0.323803784277609,0.09792721526276511,False
LYPXL,CM_Low,0.0002941601330297596,0.3390762547742529,0.09792735760723249,False
LYPXL,EM_High,-0.006242205429954863,0.30824933959268025,0.09792704802569276,False
LYPXL,EM_Low,-0.0013840176249168019,0.29597410245455175,0.09792689595802086,False
MAPK,Naive_High,-0.04612869293327077,0.06792328852230299,0.09790899800215662,False
MAPK,CM_High,-0.02313892091253978,0.07070194938546627,0.09789850340622505,False
MAPK,CM_Low,0.059890572751793755,0.07398711089314856,0.09791813281281894,False
MAPK,EM_High,-0.05180961001278884,0.07112284263456646,0.09791307201236302,False
MAPK,EM_Low,-0.038110818259795266,0.06419087704147282,0.09790214683012015,False
MSH2,Naive_High,0.0016699408980336092,0.1409409452368441,0.09792028505196824,False
MSH2,CM_High,-0.017707323522236744,0.1479171764649783,0.09792118260084694,False
MSH2,CM_Low,-0.017439806948736866,0.1521223127474625,0.09792159107347649,False
MSH2,EM_High,-0.0083373627446338,0.1452331765185961,0.09792080831207202,False
MSH2,EM_Low,-0.02104365919693964,0.1328287594510946,0.0979194492201585,False
MYND,Naive_High,-0.012245761150888228,0.23747053744508362,0.097925830727253,False
MYND,CM_High,-0.02972345503427606,0.23691337587994454,0.09792585617098036,False
MYND,CM_Low,0.008608885992857918,0.2677190744493404,0.09792646743090833,False
MYND,EM_High,-0.010253222641340114,0.2520155594783896,0.09792616482842009,False
MYND,EM_Low,0.025778389485484977,0.23518322953359186,0.09792580073625963,False
NRBOX,Naive_High,0.0014454950912902312,0.24108637387578088,0.09792591250399295,False
NRBOX,CM_High,-0.01925290207805001,0.2379568519833291,0.0979258546563559,False
NRBOX,CM_Low,-0.003279787626782167,0.2615673546526385,0.09792635257342353,False
NRBOX,EM_High,0.016701678025874245,0.27088301703330264,0.0979265288252679,False
NRBOX,EM_Low,0.009209115366590767,0.23180286847150436,0.09792567859878382,False
NRP,Naive_High,0.008981601814147967,0.14464791467509483,0.09792074777919176,False
NRP,CM_High,-0.018780863075812903,0.14872740261047787,0.09792127814481451,False
NRP,CM_Low,-0.004845337238333078,0.15481052304828236,0.09792175423975868,False
NRP,EM_High,-0.002688317686797549,0.15746424228933692,0.09792198615868154,False
NRP,EM_Low,-0.005838693194633415,0.1383449502785396,0.09791997576494754,False
PCNA,Naive_High,-0.011780826472576543,0.18090571622376087,0.09792366650444848,False
PCNA,CM_High,0.019484912861004212,0.19945734881265637,0.09792460586098552,False
PCNA,CM_Low,0.0011618314620150054,0.19803910845599096,0.0979245038869618,False
PCNA,EM_High,-0.012972288538602538,0.1857136729587369,0.09792393379087207,False
PCNA,EM_Low,-0.0006458928006909139,0.1701382083945093,0.09792296684021691,False
PDZ,Naive_High,0.012321139088597666,0.055949035775858844,0.09787723646792673,False
PDZ,CM_High,-0.06663205524808995,0.058039592516071846,0.0979448276238049,False
PDZ,CM_Low,-0.04424481305852323,0.06139848914354993,0.09790717252325393,False
PDZ,EM_High,0.05346695685731215,0.05857514916180457,0.09792055737710184,False
PDZ,EM_Low,-0.02710094379186539,0.05327480648647793,0.0978844952288992,False
PP1,Naive_High,-0.016651686668982743,0.10444638292309749,0.09791366134406847,False
PP1,CM_High,-0.011967110185688244,0.1089728111017806,0.09791470444135447,False
PP1,CM_Low,0.020345061211098577,0.11427233910494673,0.09791623985284251,False
PP1,EM_High,0.02568991934528849,0.11041675345901318,0.09791565753816119,False
PP1,EM_Low,-0.020536324773716683,0.09918231790207017,0.0979123096351066,False
PP2A,Naive_High,-0.03135044215467407,0.09389226161521864,0.09791171709072116,False
PP2A,CM_High,-0.03060532642733109,0.09777119224435557,0.09791280829405272,False
PP2A,CM_Low,0.0034239498966039993,0.10322748969503097,0.0979129134752093,False
PP2A,EM_High,-0.004913788464109063,0.09776269063771938,0.09791110956826142,False
PP2A,EM_Low,0.012168430080597148,0.08943017431725192,0.09790799311443742,False
PP2B,Naive_High,-0.0190177397698317,0.12688931646742008,0.09791852231407036,False
PP2B,CM_High,-0.018211976761639322,0.13540201407892602,0.09791973761180321,False
PP2B,CM_Low,0.019042512428598564,0.14861556171333348,0.09792127039811185,False
PP2B,EM_High,-0.004573606109885995,0.13545749846071448,0.09791958815865402,False
PP2B,EM_Low,0.024605001213854838,0.12946684603240644,0.09791906716167355,False
PP4,Naive_High,-0.02939350137264819,0.0964430541011068,0.09791227085544582,False
PP4,CM_High,-0.0035160980997466706,0.10142325891443886,0.09791234379622915,False
PP4,CM_Low,0.013558824792348564,0.10479443762063961,0.09791362778081597,False
PP4,EM_High,-0.01830703073196764,0.10019977389329937,0.09791248293929403,False
PP4,EM_Low,-0.04228265064253861,0.09139607041275812,0.09791285373127358,False
PTB,Naive_High,-0.013903938909012592,0.09491661473636076,0.09791038773867335,False
PTB,CM_High,-0.010144681497327161,0.09881216667384013,0.09791162335898589,False
PTB,CM_Low,-0.034556449907659936,0.10397506345706979,0.09791485926091331,False
PTB,EM_High,-0.009826573901814606,0.09982255842142024,0.09791195545390877,False
PTB,EM_Low,0.01111601670215619,0.08919785399976247,0.09790782077901598,False
Pex14,Naive_High,-0.043558040903949886,0.08889962880230266,0.097912503245524,False
Pex14,CM_High,-0.04612602343487313,0.09351604631652456,0.09791413804101647,False
Pex14,CM_Low,0.015959191675711734,0.09852300637201128,0.0979117968153627,False
Pex14,EM_High,0.01634579530703301,0.09308321389611897,0.09790983788965128,False
Pex14,EM_Low,0.027959110391259437,0.08424004743785747,0.09790753909446681,False
REV1ctd,Naive_High,-0.01664356928987837,0.11866319367299244,0.09791700952443837,False
REV1ctd,CM_High,-0.009536904398307232,0.12267149193159918,0.0979176157696677,False
