motif,Naive,CM,EM,PD1_Low
LIR,-0.03691674857148559,-0.07299970048785728,-0.03209743071304967,-0.04038674663885238
FHA,-0.006399610441813421,-0.0672304050020305,-0.02337113953624885,-0.028429017259918463
WW,-0.024003649387280803,-0.009766856757822372,-0.058908719393600484,-0.03370993017709235
PDZ,0.006160569544298833,-0.055438434153306584,0.013183006532723378,-0.02378191895012954
SH3,-0.003237366590199616,-0.046192582979334665,-0.053774472794555855,-0.029465341629217223
SH2,-0.030638673833094796,-0.050761981342457185,-0.04052594691815194,-0.031413688134832314
WD40,-0.025024850349227072,-0.05021975989154323,-0.04593928047337399,-0.03273162102531928
SUMO,0.0012507456077610179,0.0029111559874424944,-0.04890484766305027,-0.026134157701952616
BIR,-0.009144373640548126,0.02925218152263316,-0.048018961293456605,-0.003456742861967082
MAPK,-0.023064346466635386,0.018375825919626988,-0.04496021413629205,0.007259918163999496
14-3-3,-0.02243992480706124,-0.04392997506591527,0.013225073477925698,-0.011778250603961085
USP7,-0.03034581317150095,-0.01515012546783871,-0.03570199568437683,-0.021709175647630596
TYR,-0.03512788142875475,-0.0015716084188050466,0.0126853626948675,-0.00216477151465203
Arc,0.0036100570721377704,-0.033858534901982304,-0.01050094098231398,-0.034181685351167036
CYCLIN,-0.01223745242889865,0.0095431714177612,-0.03068833230493621,-0.018673913096370034
PP4,-0.014696750686324095,0.005021363346300947,-0.030294840687253126,-0.009574608616730014
UBA3,-0.028940637339883123,-0.017478374109319517,0.004547896882085414,-0.0018510161685321564
TRAF2like,-0.014921866296900066,-0.025794985908118982,0.008791117244151754,-0.004972496906990275
WRC,-0.024171891714171743,-0.02023269417472563,0.01391151714379004,-0.005154654315194765
CKS1,-0.005524443122402184,0.01656075383667739,-0.023874858917925897,0.006195215163121065
Clathr,0.003992785621027075,0.013504645411693545,-0.023637586783730805,-0.005794252393998945
PTB,-0.006951969454506296,-0.02235056570249355,0.0006447214001707923,-0.007813477735167915
Pex14,-0.021779020451974943,-0.0150834158795807,0.02215245284914622,0.014639434022323724
TRAF6,-0.01247040676867683,-0.02152624620808588,0.002016198226191943,-2.6754948802591254e-05
REV1ctd,-0.008321784644939186,-0.013002819611085906,0.02026285783613652,0.0025783765276513604
APCC,-0.006871215831614394,-0.017671280072712844,0.010155295927676514,0.0006123582687135078
MSH2,0.0008349704490168046,-0.017573565235486803,-0.01469051097078672,-0.012827822048558835
ANK,-0.01570456575631249,-0.0042010746318460355,0.004195815237204017,0.003133410805389574
PP2A,-0.015675221077337036,-0.013590688265363545,0.0036273208082440423,0.005197459992400382
EVH1,0.011276702363655128,-0.010032306715815786,-0.015523089613221278,-0.005815280858064462
PP2B,-0.00950886988491585,0.0004152678334796208,0.01001569755198442,0.014549171214151134
eIF4E,-0.011949479277404897,-0.013210532874254713,0.007139567075300077,0.005917370727893297
NRBOX,0.0007227475456451156,-0.011266344852416088,0.012955396696232507,0.0019764425799362
TRAF4,-0.0054720684107860875,0.011690586141182886,-0.012731660777517778,-0.0044876154729695935
deltaCOP1,0.011912626560776978,0.004644880158669927,-0.006312238325669432,0.0026684234071069936
NRP,0.004490800907073983,-0.01181310015707299,-0.004263505440715482,-0.003561343477655498
MYND,-0.006122880575444114,-0.010557284520709071,0.007762583422072432,0.011462425159447632
PCNA,-0.005890413236288272,0.010323372161509609,-0.0068090906696467255,0.00017197955377469716
BRCT,-0.005983220956043312,0.010015788044747117,-0.009726718744516383,-0.007750767775846286
PP1,-0.008325843334491372,0.004188975512705167,0.002576797285785904,-6.375452087270181e-05
DLG,-0.0029755456003679147,-0.007382148619954953,0.004366983620860211,-0.00481356593140377
TRFH,0.005433949124242334,-0.0014224861137355528,0.00209482786284375,0.006879866785262009
IRF7,0.0016175220725988346,-0.004353654561257998,-0.006245382641258373,-0.0009446758824818141
Actin,-0.005411435910511085,0.0030186930711952747,-0.0012333632049713853,0.0036685376113234657
Integrin,0.0015057086865591551,0.0041174176715965865,0.002492936915925669,0.0035451210071281466
GBD,0.002219913429785808,-0.004057340375761583,-0.0007857431407747198,-0.0009704986715103158
CDC14,-0.0032716551298173726,0.0025503147199632432,-0.00391168354879127,0.003225591724527093
LYPXL,-0.0022882078043897614,0.002447225502752641,-0.0038131115274358325,-0.00036328583062901406
CSL,-0.0004838027039362564,0.002228698777596459,-0.003523970372684251,-0.0005248280421300018
