motif,Naive,CM,EM,PD1_Low
LIR,0.09797328408937392,0.09796053336846869,0.09789100895679412,0.09794274836103711
USP7,0.09796677593594268,0.09787781658991582,0.09789488198509814,0.09788971403278589
FHA,0.09786606029723612,0.09796661066496531,0.09787575500219192,0.09790760356877536
SH2,0.09795603159209997,0.09792413559767868,0.09791209066802112,0.09792119740859652
WD40,0.09792584589506884,0.09793737056001892,0.09794864205618053,0.09795283935426807
WW,0.09791821917552676,0.09792104524196367,0.09794412917032527,0.09791996781271646
Arc,0.09788932560904355,0.09793218329303603,0.09789021773618738,0.09792336102678979
SH3,0.09786805818363904,0.09791597898189919,0.09793193714064846,0.09791795724303322
LYPXL,0.0979269410341339,0.0979272864349988,0.0979269719918568,0.09792712678262668
CDC14,0.09792582119317854,0.09792660639253088,0.09792595635964177,0.09792640159802032
IRF7,0.0979262031858205,0.09792635931448412,0.09792606297355516,0.09792622402710932
MYND,0.097925830727253,0.09792616180094435,0.09792598278233985,0.09792613408358397
NRBOX,0.09792591250399295,0.09792610361488971,0.09792610371202586,0.09792601558610367
PDZ,0.09787723646792673,0.09792600007352942,0.09790252630300052,0.09789583387607656
DLG,0.09792569994281287,0.09792597729182789,0.09792591375865359,0.09792573209201685
Integrin,0.09792484356196954,0.09792572028657438,0.09792484446087839,0.09792519589414325
CSL,0.09792503539908888,0.09792565154538369,0.09792497952029144,0.09792522587023358
ANK,0.09792452459177635,0.0979253340833659,0.09792474828516784,0.09792515194124726
Clathr,0.09792465123233143,0.09792531387431597,0.09792445070076816,0.09792477240129696
GBD,0.09792488002130989,0.09792496517231197,0.09792473161670101,0.09792478559531953
deltaCOP1,0.0979242134257922,0.09792461496280777,0.09792380650813473,0.09792421031354548
PCNA,0.09792366650444848,0.09792455487397367,0.09792345031554449,0.09792373536358936
Actin,0.09792323188839204,0.09792436884832384,0.09792354316240853,0.09792381736321759
TRAF4,0.0979229155628099,0.09792349475723491,0.09792255921628754,0.09792287892073603
APCC,0.0979225286149253,0.09792312152782792,0.09792276218469317,0.09792295846415117
eIF4E,0.09792211270297506,0.09792308328399549,0.09792213380866657,0.09792244579268511
EVH1,0.09792286844145517,0.09792307831075672,0.09792245693534249,0.09792260337649172
TRFH,0.09792175111405388,0.09792286350633525,0.09792133711419662,0.09792205324290126
TYR,0.09792165970774695,0.09790933987296646,0.09790508531918024,0.09790713657995688
NRP,0.09792074777919176,0.09792151619228659,0.09792098096181454,0.09792086500235311
MSH2,0.09792028505196824,0.09792138683716171,0.09792012876611525,0.09792052014681749
14-3-3,0.0979153335773534,0.09791663544610714,0.09787667827126958,0.0979213801393635
PP2B,0.09791852231407036,0.09792050400495753,0.09791932766016379,0.09792016877989271
CYCLIN,0.09790855390446582,0.09791100248368696,0.09791759466294596,0.09791875081528068
TRAF6,0.09791769967377854,0.09791874438392081,0.09791749671234914,0.09791794504186987
REV1ctd,0.09791700952443837,0.09791835949571573,0.09791766546020964,0.0979178640856267
CKS1,0.09791530526111142,0.097917383013232,0.0979158016078579,0.09791645570758445
WRC,0.09791667548860634,0.09791652394545744,0.09791441671348677,0.0979158163837037
UBA3,0.0979166480660641,0.09791310860621491,0.09790939194876626,0.09791004524486022
PP1,0.09791366134406847,0.09791547214709849,0.09791398358663389,0.09791427474397454
BIR,0.09789778514349905,0.09790509045354125,0.09791223029632148,0.09791461050588283
TRAF2like,0.09791162808063335,0.09791339315935049,0.09791036590370622,0.09791172156825681
PTB,0.09791038773867335,0.0979132413099496,0.09790988811646237,0.09791134001996465
PP4,0.09791227085544582,0.09791298578852256,0.09791266833528381,0.09791324075604477
Pex14,0.097912503245524,0.09791296742818958,0.09790868849205905,0.09790966795491476
PP2A,0.09791171709072116,0.09791286088463101,0.09790955134134942,0.09791045329482337
SUMO,0.09790306405747072,0.09791031131185882,0.09791227501454063,0.09791019044239932
MAPK,0.09790899800215662,0.097908318109522,0.09790760942124158,0.09791013982146954
BRCT,0.09790689037161748,0.09791000168374114,0.09790707745080937,0.0979079324667607
