motif,Naive,CM,EM,PD1_Low
F_14_3_3,-4.250652842837206,-4.39036751949467,-6.555427551634522,-5.878474339087681
Arc,0.6615520683803118,1.1295673592295876,0.5484165119613978,-0.2301585970130532
BIR,5.7538486967514215,5.8278094187292515,14.096409141356851,9.406686411094197
BRCT,-4.932934834150646,-2.2641705767154323,-3.393910909226097,-3.3316536563553116
CKS1,-8.634693678232685,-8.435857453596611,-7.672140367367793,-6.888517951260196
CYCLIN,-11.742740978047852,-21.665948727666695,-16.792286187214174,-17.32053514244573
FHA,-14.092177460832524,-10.920217845335854,-12.062564441448144,-9.612296225798605
LIR,-7.9633719140330355,-8.768316589032166,-8.543126655621364,-11.343172810590687
MAPK,-3.686077513414647,-1.2244288090697262,-4.37599345390461,-2.7073495823445115
PDZ,3.7396739624178736,2.4122426887647475,9.419059902154563,7.017433872552494
PP1,-0.5278011317992098,1.9072905193361147,1.4492839051534019,0.6043956776674158
PP2A,-6.748247185746377,-4.2329475627723845,-5.909909998827266,-4.775017503563479
PP4,-2.1071571726309384,-0.9418577077202009,-5.971254013729172,-2.7940970931428772
PTB,-1.6956005461583479,-2.8614733724023433,-2.517723316931526,-0.03620143750810135
Pex14,-5.341331273530869,-1.4679159067229621,-10.772163938626647,-5.143008540592696
SH2,-4.63461490080602,-5.013038466075787,-3.552685030190416,-3.3668335711944675
SH3,-1.7423198196574712,-4.940037674303717,0.43174855056357686,-2.1147819103571805
SUMO,-6.334605811175172,-7.856919871690014,-11.111082770883025,-10.251068005675696
TRAF2like,2.365733017070869,2.0821733083186906,3.175148862893798,3.1693539344404233
TRAF6,-7.558463497822949,-11.883314693022124,-14.453157827137561,-7.400394619271159
TYR,-8.726490746905501,-9.785875557565221,-14.832177401983898,-18.819913107425943
UBA3,-8.085283333729166,-2.8747421014526084,-13.390877449223934,-9.035949723213458
USP7,-16.750498453410213,-26.542727544671582,-18.45801137280781,-15.211605279298174
WD40,-11.695374688075276,-10.360667463112359,-13.18535732561876,-11.862972385483655
WRC,-13.569339118381611,-7.6273818285280175,-8.77247033600231,-8.164089506258216
WW,-2.9544452484752552,-0.6769917551379844,-4.675337089327121,-2.242433214749729
