motif,contrast,log_effect,se_log_effect,z,logFC,pvalue,qvalue,neglog10_q
FHA,EM_vs_CM,0.1753294198749701,0.04142810820197889,4.232136766182221,0.25294688457555825,2.314815694671092e-05,0.0006018520806144839,3.2205102337697
UBA3,EM_vs_CM,-0.2824009379501716,0.07170448128616538,-3.938400123461431,-0.40741843272310446,8.202672513740384e-05,0.0010663474267862498,2.9721012747152193
F_14_3_3,EM_vs_CM,-0.09777350168218268,0.027998254532254487,-3.492128467135188,-0.14105734600723369,0.0004791877174086452,0.003700585756109178,2.431729527146119
MAPK,EM_vs_CM,-0.28103522262109826,0.08254959261140474,-3.4044410605882445,-0.4054481219905843,0.0006629960631044671,0.003700585756109178,2.431729527146119
PDZ,EM_vs_CM,0.21878382877353048,0.06463236408235444,3.3850506921695844,0.3156383447982725,0.0007116511069440727,0.003700585756109178,2.431729527146119
WW,EM_vs_CM,-0.17776224749264213,0.05439529102688483,-3.267971255173233,-0.2564567129149114,0.0010832136647385881,0.004693925880533882,2.3284637724130293
SH3,EM_vs_CM,0.15819385478452394,0.04974624287357037,3.1800161307974997,0.2282254897967415,0.0014726685436574293,0.005469911733584737,2.262019681696985
SH2,EM_vs_CM,0.11709566228011327,0.04074290340515637,2.874013693027429,0.16893333128112828,0.004052913910404308,0.013171970208814002,1.880349260207497
Pex14,EM_vs_CM,-0.2625271441024355,0.09533692321056189,-2.753677539211287,-0.37874660889532596,0.005892979823198971,0.01702416393368592,1.7689342073389696
CYCLIN,EM_vs_CM,0.19732375467233365,0.07453680975284437,2.64733297986105,0.28467800231536616,0.008112942466040092,0.02109365041170424,1.675848255894779
WD40,EM_vs_CM,-0.11724839117268149,0.04528665569421915,-2.5890273718676973,-0.1691536724970369,0.009624744363993144,0.02274939576943834,1.6430301338413122
PP4,EM_vs_CM,-0.19354086319860164,0.08730103534115283,-2.216936631304399,-0.2792204435459919,0.026627422123542077,0.05769274793434117,1.23887877488656
TYR,EM_vs_CM,0.0851946691187101,0.06636629337024424,1.2837038923271806,0.12290992664773917,0.19924558200324305,0.39849116400648615,0.39958130404395337
USP7,EM_vs_CM,-0.044761139524598426,0.03636390896272875,-1.230922109349587,-0.06457667401667712,0.21835199758734203,0.4055108526622066,0.39199751830056995
BIR,EM_vs_CM,-0.06131261961928958,0.05448111244936347,-1.125392211406761,-0.08845541226866044,0.260422870064943,0.4513996414459012,0.34543879022531127
SUMO,EM_vs_CM,-0.06523966738886464,0.06791396813213249,-0.9606222281392133,-0.09412094461116044,0.33674214808649994,0.5472059906405624,0.26184915674134307
WRC,EM_vs_CM,0.03927890006342322,0.04331732341321738,0.9067711707099168,0.05666747433307387,0.3645278182416901,0.5575131337814083,0.2537448971379082
TRAF2like,EM_vs_CM,-0.09615532764940841,0.11377546768400824,-0.8451323436126253,-0.13872281435485495,0.3980369516740726,0.574942263529216,0.24037576555321805
PP1,EM_vs_CM,-0.04599920451841347,0.07907287988153672,-0.5817317465523871,-0.0663628242435523,0.560747384260589,0.7661359370378169,0.1156941657882841
TRAF6,EM_vs_CM,0.02769432048993281,0.05130483131915576,0.5397994648428469,0.03995445883161568,0.5893353361829361,0.7661359370378169,0.1156941657882841
Arc,EM_vs_CM,-0.04480844832015539,0.11555179105725241,-0.3877780509516651,-0.06464492618141758,0.6981802898256626,0.864413692165106,0.06327836258396592
PTB,EM_vs_CM,-0.02335484618383564,0.08256608415082331,-0.2828624661570892,-0.03369392077014421,0.7772822676774194,0.8766999573717942,0.057149014562572625
CKS1,EM_vs_CM,0.031901216006117505,0.14702419945178138,0.21697935526987822,0.04602372613035335,0.8282244337891218,0.8766999573717942,0.057149014562572625
PP2A,EM_vs_CM,-0.016726613775671362,0.08622470629585387,-0.1939886430958555,-0.024131402745026096,0.8461847744865557,0.8766999573717942,0.057149014562572625
BRCT,EM_vs_CM,-0.009257945443715221,0.05800914788491326,-0.15959457742910552,-0.013356391980468523,0.873200450814354,0.8766999573717942,0.057149014562572625
LIR,EM_vs_CM,0.007674105587836988,0.04946123497624127,0.15515394210280534,0.011071394074830706,0.8766999573717942,0.8766999573717942,0.057149014562572625
CYCLIN,Naive_vs_CM,0.18290094428620562,0.056554889251155926,3.234043010392197,0.26387028529561746,0.0012205107358225973,0.01098996110440987,1.9590038446256501
UBA3,Naive_vs_CM,-0.14002068169898382,0.043321889777494946,-3.2321000403754874,-0.202007143109016,0.0012288402689538433,0.01098996110440987,1.9590038446256501
PP1,Naive_vs_CM,-0.17361292069636622,0.053865046164595046,-3.2231091042948044,-0.2504704997228964,0.001268072435124216,0.01098996110440987,1.9590038446256501
SH3,Naive_vs_CM,0.08121208827789607,0.027102014248025857,2.996533303195782,0.11716427701875738,0.002730684091741491,0.01774944659631969,1.7508151831109335
SH2,Naive_vs_CM,0.12170525775146622,0.04669905002843492,2.6061613175719898,0.1755835718081534,0.009156332639021615,0.047612929722912395,1.3222750946576465
TRAF2like,Naive_vs_CM,0.15304526311644132,0.07184255004597534,2.130287176868035,0.22079764212963648,0.033147911564790286,0.14364095011409125,0.8427217308925091
MAPK,Naive_vs_CM,-0.07335012295654161,0.036885910172770875,-1.9885675211205325,-0.1058218586379983,0.04674895930204239,0.1736389916933003,0.7603527447367423
TRAF6,Naive_vs_CM,0.17123999704356796,0.09026117596702925,1.8971611571526477,0.24704709453659626,0.057806671630829566,0.1878716828001961,0.7261386745582684
F_14_3_3,Naive_vs_CM,-0.1074214951772697,0.06408842161957427,-1.6761451204855446,-0.1549764583771247,0.09370977061456062,0.27071711510873064,0.5674842866664652
Pex14,Naive_vs_CM,-0.12576688662596464,0.0796902198858141,-1.578197259414926,-0.1814432636433237,0.11452029967055732,0.2817664009002718,0.5501107953770407
WW,Naive_vs_CM,-0.08036496299061943,0.051578726912644986,-1.558102880800597,-0.11594213356779173,0.11920886191934575,0.2817664009002718,0.5501107953770407
PDZ,Naive_vs_CM,0.09035742938947201,0.0657846163313203,1.3735343371829094,0.13035821528766595,0.16958629413924797,0.3674369706350373,0.4348171481527021
WD40,Naive_vs_CM,-0.06366621988168275,0.05078081717089249,-1.2537454776953878,-0.09185093969545004,0.20993453226749115,0.4198690645349823,0.37688612249633396
PP2A,Naive_vs_CM,-0.08855558750121378,0.08163699760852698,-1.0847482158256658,-0.1277587069310098,0.27803318653807774,0.5163473464278586,0.28705805052976907
CKS1,Naive_vs_CM,0.11687417045210052,0.12449914571286573,0.9387547985401378,0.16861378611925684,0.34785665132404575,0.6029515289616793,0.2197175992206797
FHA,Naive_vs_CM,0.04817338401547816,0.056315851160333906,0.8554142931858784,0.06949950222197,0.3923218335950146,0.6375229795918987,0.195504156415431
BIR,Naive_vs_CM,-0.03503999922769016,0.058885962320423355,-0.5950484266016193,-0.05055203311854171,0.5518111010184679,0.8439463897929509,0.07368514028971589
Arc,Naive_vs_CM,-0.03765007815833434,0.07977467133341425,-0.47195529018198923,-0.05431758104811083,0.6369587018085503,0.8975046435530364,0.04696329576998514
TYR,Naive_vs_CM,0.055233332753076014,0.12394600998286333,0.44562412909227594,0.07968485525463273,0.655868777981065,0.8975046435530364,0.04696329576998514
SUMO,Naive_vs_CM,0.03159458680262944,0.08249845934475727,0.3829718403660984,0.04558135369908939,0.7017406433944849,0.9122628364128305,0.03988001698053719
